asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B00XXCOJLS,2023/1/1,18737,14,17,26,23,77
B00XXCOJLS,2023/1/8,32501,15,18,25,24,75
B00XXCOJLS,2023/1/15,26185,14,16,25,24,75
B00XXCOJLS,2023/1/22,28559,13,15,26,23,71
B00XXCOJLS,2023/1/29,16518,15,18,27,27,73
B00XXCOJLS,2023/2/5,12003,15,18,30,24,78
B00XXCOJLS,2023/2/12,7438,15,16,27,25,79
B00XXCOJLS,2023/2/19,6917,14,18,29,25,99
B00XXCOJLS,2023/2/26,11379,14,18,27,23,84
B00XXCOJLS,2023/3/5,11047,16,20,25,23,87
B00XXCOJLS,2023/3/12,14277,14,17,25,23,83
B00XXCOJLS,2023/3/19,12150,15,19,27,23,76
B00XXCOJLS,2023/3/26,8708,16,17,24,23,83
B00XXCOJLS,2023/4/2,16778,15,17,23,22,82
B00XXCOJLS,2023/4/9,15318,13,17,24,23,82
B00XXCOJLS,2023/4/16,18891,16,17,28,23,84
B00XXCOJLS,2023/4/23,15916,15,16,25,22,85
B00XXCOJLS,2023/4/30,13960,15,17,26,23,89
B00XXCOJLS,2023/5/7,18103,16,16,31,27,80
B00XXCOJLS,2023/5/14,22533,16,18,27,22,83
B00XXCOJLS,2023/5/21,15501,15,19,26,24,88
B00XXCOJLS,2023/5/28,22292,14,18,23,22,81
B00XXCOJLS,2023/6/4,19020,16,17,24,22,83
B00XXCOJLS,2023/6/11,10814,18,16,26,27,74
B00XXCOJLS,2023/6/18,51346,17,16,26,23,75
B00XXCOJLS,2023/6/25,16378,14,15,22,24,74
B00XXCOJLS,2023/7/2,12200,15,15,23,24,70
B00XXCOJLS,2023/7/9,32903,15,17,24,24,76
B00XXCOJLS,2023/7/16,14094,15,16,23,23,73
B00XXCOJLS,2023/7/23,19066,14,15,23,25,74
B00XXCOJLS,2023/7/30,32491,14,16,24,26,79
B00XXCOJLS,2023/8/6,13932,14,15,23,24,76
B00XXCOJLS,2023/8/13,16403,16,16,22,23,74
B00XXCOJLS,2023/8/20,15668,14,15,22,25,75
B00XXCOJLS,2023/8/27,20128,16,19,25,26,85
B00XXCOJLS,2023/9/3,25303,14,18,25,25,79
B00XXCOJLS,2023/9/10,16119,15,27,34,32,100
B00XXCOJLS,2023/9/17,12685,16,24,35,33,87
B00XXCOJLS,2023/9/24,24366,16,27,34,31,91
B00XXCOJLS,2023/10/1,21451,16,23,30,31,94
B00XXCOJLS,2023/10/8,46052,16,24,33,27,88
B00XXCOJLS,2023/10/15,108450,15,22,26,27,85
B00XXCOJLS,2023/10/22,176972,16,22,28,28,89
B00XXCOJLS,2023/10/29,192784,16,21,29,27,90
B00XXCOJLS,2023/11/5,24269,16,21,28,26,94
B00XXCOJLS,2023/11/12,28575,13,19,26,25,81
B00XXCOJLS,2023/11/19,27752,15,18,26,26,83
B00XXCOJLS,2023/11/26,22088,16,20,26,28,87
B00XXCOJLS,2023/12/3,25378,15,19,26,27,83
B00XXCOJLS,2023/12/10,27122,15,18,28,28,79
B00XXCOJLS,2023/12/17,37013,14,18,23,25,72
B00XXCOJLS,2023/12/24,25813,12,16,23,21,66
B00XXCOJLS,2023/12/31,26353,15,18,24,22,72
B00XXCOJLS,2024/1/7,18856,16,18,24,25,72
B00XXCOJLS,2024/1/14,22511,15,20,23,25,76
B00XXCOJLS,2024/1/21,24308,14,17,23,26,79
B00XXCOJLS,2024/1/28,31837,14,19,25,26,82
B00XXCOJLS,2024/2/4,106541,15,18,24,27,81
B00XXCOJLS,2024/2/11,36098,15,21,25,25,84
B00XXCOJLS,2024/2/18,29206,15,20,26,26,88
B00XXCOJLS,2024/2/25,33416,15,20,24,27,77
B00XXCOJLS,2024/3/3,23471,15,22,26,26,84
B00XXCOJLS,2024/3/10,20135,16,21,25,27,91
B00XXCOJLS,2024/3/17,36309,15,21,27,27,91
B00XXCOJLS,2024/3/24,35541,15,19,24,24,90
B00XXCOJLS,2024/3/31,25000,14,19,24,23,86
B00XXCOJLS,2024/4/7,16649,16,20,22,25,92
B00XXCOJLS,2024/4/14,29385,18,19,23,28,94
B00XXCOJLS,2024/4/21,39228,15,20,24,26,90
B00XXCOJLS,2024/4/28,16092,17,21,25,26,98
B00XXCOJLS,2024/5/5,30714,16,21,24,28,95
B00XXCOJLS,2024/5/12,18406,17,22,26,26,94
B00XXCOJLS,2024/5/19,12367,19,20,28,26,96
B00XXCOJLS,2024/5/26,16899,15,19,24,26,89
B00XXCOJLS,2024/6/2,128254,15,19,23,26,89
B00XXCOJLS,2024/6/9,183818,16,17,22,25,84
B00XXCOJLS,2024/6/16,27337,15,16,23,26,85
B00XXCOJLS,2024/6/23,39237,15,16,23,27,76
B00XXCOJLS,2024/6/30,34610,16,15,23,27,81
B00XXCOJLS,2024/7/7,22345,14,15,21,23,78
B00XXCOJLS,2024/7/14,26977,16,15,21,25,85
B00XXCOJLS,2024/7/21,25836,14,16,20,25,74
B00XXCOJLS,2024/7/28,21922,13,15,21,23,73
B00XXCOJLS,2024/8/4,22389,15,14,19,22,74
B00XXCOJLS,2024/8/11,21669,13,16,22,23,76
B00XXCOJLS,2024/8/18,18015,16,16,22,24,79
B00XXCOJLS,2024/8/25,53126,15,14,22,25,74
B00XXCOJLS,2024/9/1,191084,16,16,22,25,77
B00XXCOJLS,2024/9/8,31356,17,24,30,28,85
B00XXCOJLS,2024/9/15,121554,16,23,27,28,89
B00XXCOJLS,2024/9/22,19880,15,24,28,27,85
B00XXCOJLS,2024/9/29,35999,15,21,24,25,85
B00XXCOJLS,2024/10/6,34866,14,22,24,27,87
B00XXCOJLS,2024/10/13,173748,16,23,25,27,95
B00XXCOJLS,2024/10/20,233986,17,20,25,27,87
B00XXCOJLS,2024/10/27,20426,14,19,23,27,86
