asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B01FH4H5LA,2023/1/1,55354,14,17,26,23,77
B01FH4H5LA,2023/1/8,155221,15,18,25,24,75
B01FH4H5LA,2023/1/15,155499,14,16,25,24,75
B01FH4H5LA,2023/1/22,20730,13,15,26,23,71
B01FH4H5LA,2023/1/29,39361,15,18,27,27,73
B01FH4H5LA,2023/2/5,22673,15,18,30,24,78
B01FH4H5LA,2023/2/12,18973,15,16,27,25,79
B01FH4H5LA,2023/2/19,47844,14,18,29,25,99
B01FH4H5LA,2023/2/26,19714,14,18,27,23,84
B01FH4H5LA,2023/3/5,21229,16,20,25,23,87
B01FH4H5LA,2023/3/12,37900,14,17,25,23,83
B01FH4H5LA,2023/3/19,27531,15,19,27,23,76
B01FH4H5LA,2023/3/26,89199,16,17,24,23,83
B01FH4H5LA,2023/4/2,29220,15,17,23,22,82
B01FH4H5LA,2023/4/9,25267,13,17,24,23,82
B01FH4H5LA,2023/4/16,23493,16,17,28,23,84
B01FH4H5LA,2023/4/23,18771,15,16,25,22,85
B01FH4H5LA,2023/4/30,32378,15,17,26,23,89
B01FH4H5LA,2023/5/7,30151,16,16,31,27,80
B01FH4H5LA,2023/5/14,24798,16,18,27,22,83
B01FH4H5LA,2023/5/21,32343,15,19,26,24,88
B01FH4H5LA,2023/5/28,12068,14,18,23,22,81
B01FH4H5LA,2023/6/4,12118,16,17,24,22,83
B01FH4H5LA,2023/6/11,23062,18,16,26,27,74
B01FH4H5LA,2023/6/18,30407,17,16,26,23,75
B01FH4H5LA,2023/6/25,35274,14,15,22,24,74
B01FH4H5LA,2023/7/2,29671,15,15,23,24,70
B01FH4H5LA,2023/7/9,73189,15,17,24,24,76
B01FH4H5LA,2023/7/16,171932,15,16,23,23,73
B01FH4H5LA,2023/7/23,30061,14,15,23,25,74
B01FH4H5LA,2023/7/30,26350,14,16,24,26,79
B01FH4H5LA,2023/8/6,69108,14,15,23,24,76
B01FH4H5LA,2023/8/13,23856,16,16,22,23,74
B01FH4H5LA,2023/8/20,28863,14,15,22,25,75
B01FH4H5LA,2023/8/27,41156,16,19,25,26,85
B01FH4H5LA,2023/9/3,24099,14,18,25,25,79
B01FH4H5LA,2023/9/10,32764,15,27,34,32,100
B01FH4H5LA,2023/9/17,41476,16,24,35,33,87
B01FH4H5LA,2023/9/24,28148,16,27,34,31,91
B01FH4H5LA,2023/10/1,30074,16,23,30,31,94
B01FH4H5LA,2023/10/8,42225,16,24,33,27,88
B01FH4H5LA,2023/10/15,32513,15,22,26,27,85
B01FH4H5LA,2023/10/22,23935,16,22,28,28,89
B01FH4H5LA,2023/10/29,46249,16,21,29,27,90
B01FH4H5LA,2023/11/5,21210,16,21,28,26,94
B01FH4H5LA,2023/11/12,26433,13,19,26,25,81
B01FH4H5LA,2023/11/19,19608,15,18,26,26,83
B01FH4H5LA,2023/11/26,55890,16,20,26,28,87
B01FH4H5LA,2023/12/3,17149,15,19,26,27,83
B01FH4H5LA,2023/12/10,96297,15,18,28,28,79
B01FH4H5LA,2023/12/17,35873,14,18,23,25,72
B01FH4H5LA,2023/12/24,30295,12,16,23,21,66
B01FH4H5LA,2023/12/31,22592,15,18,24,22,72
B01FH4H5LA,2024/1/7,41681,16,18,24,25,72
B01FH4H5LA,2024/1/14,102671,15,20,23,25,76
B01FH4H5LA,2024/1/21,192211,14,17,23,26,79
B01FH4H5LA,2024/1/28,31193,14,19,25,26,82
B01FH4H5LA,2024/2/4,118148,15,18,24,27,81
B01FH4H5LA,2024/2/11,33521,15,21,25,25,84
B01FH4H5LA,2024/2/18,128342,15,20,26,26,88
B01FH4H5LA,2024/2/25,28535,15,20,24,27,77
B01FH4H5LA,2024/3/3,39756,15,22,26,26,84
B01FH4H5LA,2024/3/10,29510,16,21,25,27,91
B01FH4H5LA,2024/3/17,26565,15,21,27,27,91
B01FH4H5LA,2024/3/24,24008,15,19,24,24,90
B01FH4H5LA,2024/3/31,44824,14,19,24,23,86
B01FH4H5LA,2024/4/7,31886,16,20,22,25,92
B01FH4H5LA,2024/4/14,26052,18,19,23,28,94
B01FH4H5LA,2024/4/21,39792,15,20,24,26,90
B01FH4H5LA,2024/4/28,21895,17,21,25,26,98
B01FH4H5LA,2024/5/5,25417,16,21,24,28,95
B01FH4H5LA,2024/5/12,30038,17,22,26,26,94
B01FH4H5LA,2024/5/19,25191,19,20,28,26,96
B01FH4H5LA,2024/5/26,46203,15,19,24,26,89
B01FH4H5LA,2024/6/2,11012,15,19,23,26,89
B01FH4H5LA,2024/6/9,15832,16,17,22,25,84
B01FH4H5LA,2024/6/16,34795,15,16,23,26,85
B01FH4H5LA,2024/6/23,38704,15,16,23,27,76
