asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B01LXIND6Y,2023/1/1,193520,14,17,26,23,77
B01LXIND6Y,2023/1/8,216492,15,18,25,24,75
B01LXIND6Y,2023/1/15,40253,14,16,25,24,75
B01LXIND6Y,2023/1/22,47909,13,15,26,23,71
B01LXIND6Y,2023/1/29,94027,15,18,27,27,73
B01LXIND6Y,2023/2/5,36458,15,18,30,24,78
B01LXIND6Y,2023/2/12,24399,15,16,27,25,79
B01LXIND6Y,2023/2/19,26738,14,18,29,25,99
B01LXIND6Y,2023/2/26,28604,14,18,27,23,84
B01LXIND6Y,2023/3/5,18261,16,20,25,23,87
B01LXIND6Y,2023/3/12,30542,14,17,25,23,83
B01LXIND6Y,2023/3/19,52790,15,19,27,23,76
B01LXIND6Y,2023/3/26,49388,16,17,24,23,83
B01LXIND6Y,2023/4/2,181662,15,17,23,22,82
B01LXIND6Y,2023/4/9,30536,13,17,24,23,82
B01LXIND6Y,2023/4/16,32467,16,17,28,23,84
B01LXIND6Y,2023/4/23,159489,15,16,25,22,85
B01LXIND6Y,2023/4/30,207395,15,17,26,23,89
B01LXIND6Y,2023/5/7,52107,16,16,31,27,80
B01LXIND6Y,2023/5/14,27136,16,18,27,22,83
B01LXIND6Y,2023/5/21,32715,15,19,26,24,88
B01LXIND6Y,2023/5/28,103559,14,18,23,22,81
B01LXIND6Y,2023/6/4,45642,16,17,24,22,83
B01LXIND6Y,2023/6/11,28967,18,16,26,27,74
B01LXIND6Y,2023/6/18,62538,17,16,26,23,75
B01LXIND6Y,2023/6/25,55834,14,15,22,24,74
B01LXIND6Y,2023/7/2,16996,15,15,23,24,70
B01LXIND6Y,2023/7/9,68934,15,17,24,24,76
B01LXIND6Y,2023/7/16,151913,15,16,23,23,73
B01LXIND6Y,2023/7/23,201059,14,15,23,25,74
B01LXIND6Y,2023/7/30,48674,14,16,24,26,79
B01LXIND6Y,2023/8/6,60454,14,15,23,24,76
B01LXIND6Y,2023/8/13,28271,16,16,22,23,74
B01LXIND6Y,2023/8/20,72284,14,15,22,25,75
B01LXIND6Y,2023/8/27,37194,16,19,25,26,85
B01LXIND6Y,2023/9/3,64381,14,18,25,25,79
B01LXIND6Y,2023/9/10,220661,15,27,34,32,100
B01LXIND6Y,2023/9/17,249088,16,24,35,33,87
B01LXIND6Y,2023/9/24,264767,16,27,34,31,91
B01LXIND6Y,2023/10/1,39702,16,23,30,31,94
B01LXIND6Y,2023/10/8,29697,16,24,33,27,88
B01LXIND6Y,2023/10/15,24914,15,22,26,27,85
B01LXIND6Y,2023/10/22,40055,16,22,28,28,89
B01LXIND6Y,2023/10/29,19527,16,21,29,27,90
B01LXIND6Y,2023/11/5,38669,16,21,28,26,94
B01LXIND6Y,2023/11/12,33432,13,19,26,25,81
B01LXIND6Y,2023/11/19,36140,15,18,26,26,83
B01LXIND6Y,2023/11/26,215789,16,20,26,28,87
B01LXIND6Y,2023/12/3,20247,15,19,26,27,83
B01LXIND6Y,2023/12/10,46164,15,18,28,28,79
B01LXIND6Y,2023/12/17,24704,14,18,23,25,72
B01LXIND6Y,2023/12/24,32612,12,16,23,21,66
B01LXIND6Y,2023/12/31,135615,15,18,24,22,72
B01LXIND6Y,2024/1/7,245551,16,18,24,25,72
B01LXIND6Y,2024/1/14,38096,15,20,23,25,76
B01LXIND6Y,2024/1/21,38591,14,17,23,26,79
B01LXIND6Y,2024/1/28,196097,14,19,25,26,82
B01LXIND6Y,2024/2/4,44899,15,18,24,27,81
B01LXIND6Y,2024/2/11,43880,15,21,25,25,84
B01LXIND6Y,2024/2/18,33530,15,20,26,26,88
B01LXIND6Y,2024/2/25,20827,15,20,24,27,77
B01LXIND6Y,2024/3/3,147817,15,22,26,26,84
B01LXIND6Y,2024/3/10,41114,16,21,25,27,91
B01LXIND6Y,2024/3/17,45998,15,21,27,27,91
B01LXIND6Y,2024/3/24,165468,15,19,24,24,90
B01LXIND6Y,2024/3/31,246417,14,19,24,23,86
B01LXIND6Y,2024/4/7,270829,16,20,22,25,92
B01LXIND6Y,2024/4/14,14371,18,19,23,28,94
B01LXIND6Y,2024/4/21,113244,15,20,24,26,90
B01LXIND6Y,2024/4/28,50081,17,21,25,26,98
B01LXIND6Y,2024/5/5,31111,16,21,24,28,95
B01LXIND6Y,2024/5/12,44811,17,22,26,26,94
B01LXIND6Y,2024/5/19,60493,19,20,28,26,96
B01LXIND6Y,2024/5/26,34351,15,19,24,26,89
B01LXIND6Y,2024/6/2,25669,15,19,23,26,89
B01LXIND6Y,2024/6/9,35899,16,17,22,25,84
B01LXIND6Y,2024/6/16,33534,15,16,23,26,85
B01LXIND6Y,2024/6/23,34689,15,16,23,27,76
B01LXIND6Y,2024/6/30,146295,16,15,23,27,81
B01LXIND6Y,2024/7/7,43612,14,15,21,23,78
B01LXIND6Y,2024/7/14,44350,16,15,21,25,85
B01LXIND6Y,2024/7/21,111006,14,16,20,25,74
B01LXIND6Y,2024/7/28,38111,13,15,21,23,73
B01LXIND6Y,2024/8/4,118932,15,14,19,22,74
