asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B07FBJ9WNB,2023/1/1,16011,14,17,26,23,77
B07FBJ9WNB,2023/1/8,26272,15,18,25,24,75
B07FBJ9WNB,2023/1/15,11941,14,16,25,24,75
B07FBJ9WNB,2023/1/22,14502,13,15,26,23,71
B07FBJ9WNB,2023/1/29,11426,15,18,27,27,73
B07FBJ9WNB,2023/2/5,15851,15,18,30,24,78
B07FBJ9WNB,2023/2/12,15287,15,16,27,25,79
B07FBJ9WNB,2023/2/19,18439,14,18,29,25,99
B07FBJ9WNB,2023/2/26,14561,14,18,27,23,84
B07FBJ9WNB,2023/3/5,15250,16,20,25,23,87
B07FBJ9WNB,2023/3/12,17589,14,17,25,23,83
B07FBJ9WNB,2023/3/19,15385,15,19,27,23,76
B07FBJ9WNB,2023/3/26,17497,16,17,24,23,83
B07FBJ9WNB,2023/4/2,18437,15,17,23,22,82
B07FBJ9WNB,2023/4/9,18529,13,17,24,23,82
B07FBJ9WNB,2023/4/16,24496,16,17,28,23,84
B07FBJ9WNB,2023/4/23,23128,15,16,25,22,85
B07FBJ9WNB,2023/4/30,29820,15,17,26,23,89
B07FBJ9WNB,2023/5/7,15145,16,16,31,27,80
B07FBJ9WNB,2023/5/14,9326,16,18,27,22,83
B07FBJ9WNB,2023/5/21,23898,15,19,26,24,88
B07FBJ9WNB,2023/5/28,13543,14,18,23,22,81
B07FBJ9WNB,2023/6/4,11894,16,17,24,22,83
B07FBJ9WNB,2023/6/11,22085,18,16,26,27,74
B07FBJ9WNB,2023/6/18,14200,17,16,26,23,75
B07FBJ9WNB,2023/6/25,28214,14,15,22,24,74
B07FBJ9WNB,2023/7/2,15795,15,15,23,24,70
B07FBJ9WNB,2023/7/9,15352,15,17,24,24,76
B07FBJ9WNB,2023/7/16,30959,15,16,23,23,73
B07FBJ9WNB,2023/7/23,11512,14,15,23,25,74
B07FBJ9WNB,2023/7/30,13108,14,16,24,26,79
B07FBJ9WNB,2023/8/6,15063,14,15,23,24,76
B07FBJ9WNB,2023/8/13,17026,16,16,22,23,74
B07FBJ9WNB,2023/8/20,15400,14,15,22,25,75
B07FBJ9WNB,2023/8/27,10384,16,19,25,26,85
B07FBJ9WNB,2023/9/3,15580,14,18,25,25,79
B07FBJ9WNB,2023/9/10,13611,15,27,34,32,100
B07FBJ9WNB,2023/9/17,20937,16,24,35,33,87
B07FBJ9WNB,2023/9/24,22304,16,27,34,31,91
B07FBJ9WNB,2023/10/1,17576,16,23,30,31,94
B07FBJ9WNB,2023/10/8,22421,16,24,33,27,88
B07FBJ9WNB,2023/10/15,16630,15,22,26,27,85
B07FBJ9WNB,2023/10/22,17113,16,22,28,28,89
B07FBJ9WNB,2023/10/29,14817,16,21,29,27,90
B07FBJ9WNB,2023/11/5,21449,16,21,28,26,94
B07FBJ9WNB,2023/11/12,15663,13,19,26,25,81
B07FBJ9WNB,2023/11/19,25346,15,18,26,26,83
B07FBJ9WNB,2023/11/26,19861,16,20,26,28,87
B07FBJ9WNB,2023/12/3,10001,15,19,26,27,83
B07FBJ9WNB,2023/12/10,16149,15,18,28,28,79
B07FBJ9WNB,2023/12/17,18900,14,18,23,25,72
B07FBJ9WNB,2023/12/24,12275,12,16,23,21,66
B07FBJ9WNB,2023/12/31,20262,15,18,24,22,72
B07FBJ9WNB,2024/1/7,36138,16,18,24,25,72
B07FBJ9WNB,2024/1/14,15545,15,20,23,25,76
B07FBJ9WNB,2024/1/21,31159,14,17,23,26,79
B07FBJ9WNB,2024/1/28,20190,14,19,25,26,82
B07FBJ9WNB,2024/2/4,12390,15,18,24,27,81
B07FBJ9WNB,2024/2/11,20736,15,21,25,25,84
B07FBJ9WNB,2024/2/18,13859,15,20,26,26,88
B07FBJ9WNB,2024/2/25,15580,15,20,24,27,77
B07FBJ9WNB,2024/3/3,27359,15,22,26,26,84
B07FBJ9WNB,2024/3/10,8005,16,21,25,27,91
B07FBJ9WNB,2024/3/17,10839,15,21,27,27,91
B07FBJ9WNB,2024/3/24,12539,15,19,24,24,90
B07FBJ9WNB,2024/3/31,13239,14,19,24,23,86
B07FBJ9WNB,2024/4/7,19388,16,20,22,25,92
B07FBJ9WNB,2024/4/14,10878,18,19,23,28,94
B07FBJ9WNB,2024/4/21,13486,15,20,24,26,90
B07FBJ9WNB,2024/4/28,11225,17,21,25,26,98
B07FBJ9WNB,2024/5/5,15263,16,21,24,28,95
B07FBJ9WNB,2024/5/12,9816,17,22,26,26,94
