asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B07G28MFV5,2023/1/1,10959,14,17,26,23,77
B07G28MFV5,2023/1/8,6246,15,18,25,24,75
B07G28MFV5,2023/1/15,7730,14,16,25,24,75
B07G28MFV5,2023/1/22,4606,13,15,26,23,71
B07G28MFV5,2023/1/29,7345,15,18,27,27,73
B07G28MFV5,2023/2/5,5726,15,18,30,24,78
B07G28MFV5,2023/2/12,4629,15,16,27,25,79
B07G28MFV5,2023/2/19,3376,14,18,29,25,99
B07G28MFV5,2023/2/26,3670,14,18,27,23,84
B07G28MFV5,2023/3/5,2721,16,20,25,23,87
B07G28MFV5,2023/3/12,3598,14,17,25,23,83
B07G28MFV5,2023/3/19,3233,15,19,27,23,76
B07G28MFV5,2023/3/26,2504,16,17,24,23,83
B07G28MFV5,2023/4/2,4685,15,17,23,22,82
B07G28MFV5,2023/4/9,3563,13,17,24,23,82
B07G28MFV5,2023/4/16,2800,16,17,28,23,84
B07G28MFV5,2023/4/23,2872,15,16,25,22,85
B07G28MFV5,2023/4/30,4217,15,17,26,23,89
B07G28MFV5,2023/5/7,4284,16,16,31,27,80
B07G28MFV5,2023/5/14,3830,16,18,27,22,83
B07G28MFV5,2023/5/21,2214,15,19,26,24,88
B07G28MFV5,2023/5/28,2657,14,18,23,22,81
B07G28MFV5,2023/6/4,3697,16,17,24,22,83
B07G28MFV5,2023/6/11,2026,18,16,26,27,74
B07G28MFV5,2023/6/18,1883,17,16,26,23,75
B07G28MFV5,2023/6/25,2911,14,15,22,24,74
B07G28MFV5,2023/7/2,4173,15,15,23,24,70
B07G28MFV5,2023/7/9,2969,15,17,24,24,76
B07G28MFV5,2023/7/16,3468,15,16,23,23,73
B07G28MFV5,2023/7/23,2378,14,15,23,25,74
B07G28MFV5,2023/7/30,2421,14,16,24,26,79
B07G28MFV5,2023/8/6,2250,14,15,23,24,76
B07G28MFV5,2023/8/13,2802,16,16,22,23,74
B07G28MFV5,2023/8/20,4338,14,15,22,25,75
B07G28MFV5,2023/8/27,5002,16,19,25,26,85
B07G28MFV5,2023/9/3,3488,14,18,25,25,79
B07G28MFV5,2023/9/10,3477,15,27,34,32,100
B07G28MFV5,2023/9/17,8873,16,24,35,33,87
B07G28MFV5,2023/9/24,4115,16,27,34,31,91
B07G28MFV5,2023/10/1,3210,16,23,30,31,94
B07G28MFV5,2023/10/8,7614,16,24,33,27,88
B07G28MFV5,2023/10/15,6909,15,22,26,27,85
B07G28MFV5,2023/10/22,4147,16,22,28,28,89
B07G28MFV5,2023/10/29,2727,16,21,29,27,90
B07G28MFV5,2023/11/5,3491,16,21,28,26,94
B07G28MFV5,2023/11/12,5630,13,19,26,25,81
B07G28MFV5,2023/11/19,7390,15,18,26,26,83
B07G28MFV5,2023/11/26,9856,16,20,26,28,87
B07G28MFV5,2023/12/3,6456,15,19,26,27,83
B07G28MFV5,2023/12/10,4044,15,18,28,28,79
B07G28MFV5,2023/12/17,4143,14,18,23,25,72
B07G28MFV5,2023/12/24,3453,12,16,23,21,66
B07G28MFV5,2023/12/31,3503,15,18,24,22,72
B07G28MFV5,2024/1/7,3191,16,18,24,25,72
B07G28MFV5,2024/1/14,3083,15,20,23,25,76
B07G28MFV5,2024/1/21,3004,14,17,23,26,79
B07G28MFV5,2024/1/28,3299,14,19,25,26,82
B07G28MFV5,2024/2/4,2672,15,18,24,27,81
B07G28MFV5,2024/2/11,3427,15,21,25,25,84
B07G28MFV5,2024/2/18,3393,15,20,26,26,88
B07G28MFV5,2024/2/25,2898,15,20,24,27,77
B07G28MFV5,2024/3/3,3793,15,22,26,26,84
B07G28MFV5,2024/3/10,2617,16,21,25,27,91
B07G28MFV5,2024/3/17,2856,15,21,27,27,91
B07G28MFV5,2024/3/24,2632,15,19,24,24,90
B07G28MFV5,2024/3/31,3084,14,19,24,23,86
B07G28MFV5,2024/4/7,1328,16,20,22,25,92
B07G28MFV5,2024/4/14,2410,18,19,23,28,94
B07G28MFV5,2024/4/21,2604,15,20,24,26,90
B07G28MFV5,2024/4/28,2551,17,21,25,26,98
B07G28MFV5,2024/5/5,2474,16,21,24,28,95
B07G28MFV5,2024/5/12,2364,17,22,26,26,94
B07G28MFV5,2024/5/19,2790,19,20,28,26,96
B07G28MFV5,2024/5/26,2856,15,19,24,26,89
B07G28MFV5,2024/6/2,4151,15,19,23,26,89
B07G28MFV5,2024/6/9,3578,16,17,22,25,84
B07G28MFV5,2024/6/16,2483,15,16,23,26,85
B07G28MFV5,2024/6/23,2151,15,16,23,27,76
B07G28MFV5,2024/6/30,2184,16,15,23,27,81
B07G28MFV5,2024/7/7,3953,14,15,21,23,78
B07G28MFV5,2024/7/14,5266,16,15,21,25,85
B07G28MFV5,2024/7/21,3558,14,16,20,25,74
B07G28MFV5,2024/7/28,2730,13,15,21,23,73
B07G28MFV5,2024/8/4,4043,15,14,19,22,74
B07G28MFV5,2024/8/11,3525,13,16,22,23,76
B07G28MFV5,2024/8/18,2769,16,16,22,24,79
B07G28MFV5,2024/8/25,2814,15,14,22,25,74
B07G28MFV5,2024/9/1,2883,16,16,22,25,77
B07G28MFV5,2024/9/8,3052,17,24,30,28,85
B07G28MFV5,2024/9/15,9523,16,23,27,28,89
B07G28MFV5,2024/9/22,5115,15,24,28,27,85
B07G28MFV5,2024/9/29,5115,15,21,24,25,85
B07G28MFV5,2024/10/6,3147,14,22,24,27,87
B07G28MFV5,2024/10/13,4782,16,23,25,27,95
B07G28MFV5,2024/10/20,3690,17,20,25,27,87
B07G28MFV5,2024/10/27,5715,14,19,23,27,86
B07G28MFV5,2024/11/3,9498,16,20,25,28,91
B07G28MFV5,2024/11/10,5437,17,19,25,26,90
B07G28MFV5,2024/11/17,7108,17,19,22,26,87
B07G28MFV5,2024/11/24,6342,16,19,24,26,89
B07G28MFV5,2024/12/1,10369,18,20,26,29,89
B07G28MFV5,2024/12/8,4968,17,19,25,26,88
B07G28MFV5,2024/12/15,4185,16,18,24,28,85
B07G28MFV5,2024/12/22,3746,15,15,21,26,76
B07G28MFV5,2024/12/29,5663,16,18,23,21,85
B07G28MFV5,2025/1/5,11068,16,20,24,26,79
B07G28MFV5,2025/1/12,6550,15,19,23,28,83
B07G28MFV5,2025/1/19,6395,15,18,22,27,81
B07G28MFV5,2025/1/26,4238,15,18,21,26,82
B07G28MFV5,2025/2/2,11550,15,17,24,26,83
B07G28MFV5,2025/2/9,9270,16,19,25,27,81
B07G28MFV5,2025/2/16,7389,15,21,26,30,87
B07G28MFV5,2025/2/23,19495,16,22,26,27,91
B07G28MFV5,2025/3/2,6425,17,18,25,28,89
B07G28MFV5,2025/3/9,8581,16,19,23,26,89
B07G28MFV5,2025/3/16,7213,18,21,27,29,89
B07G28MFV5,2025/3/23,9962,16,20,26,27,86
B07G28MFV5,2025/3/30,4884,15,19,25,25,84
B07G28MFV5,2025/4/6,8646,16,21,22,28,87
B07G28MFV5,2025/4/13,10194,18,17,24,26,83
B07G28MFV5,2025/4/20,10754,15,16,23,24,83
B07G28MFV5,2025/4/27,9304,17,22,25,23,90
