asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B07JNL93SQ,2023/1/1,13250,14,17,26,23,77
B07JNL93SQ,2023/1/8,14713,15,18,25,24,75
B07JNL93SQ,2023/1/15,20287,14,16,25,24,75
B07JNL93SQ,2023/1/22,8678,13,15,26,23,71
B07JNL93SQ,2023/1/29,8046,15,18,27,27,73
B07JNL93SQ,2023/2/5,8013,15,18,30,24,78
B07JNL93SQ,2023/2/12,14001,15,16,27,25,79
B07JNL93SQ,2023/2/19,13682,14,18,29,25,99
B07JNL93SQ,2023/2/26,20956,14,18,27,23,84
B07JNL93SQ,2023/3/5,16164,16,20,25,23,87
B07JNL93SQ,2023/3/12,18421,14,17,25,23,83
B07JNL93SQ,2023/3/19,19424,15,19,27,23,76
B07JNL93SQ,2023/3/26,24608,16,17,24,23,83
B07JNL93SQ,2023/4/2,21908,15,17,23,22,82
B07JNL93SQ,2023/4/9,20787,13,17,24,23,82
B07JNL93SQ,2023/4/16,11127,16,17,28,23,84
B07JNL93SQ,2023/4/23,10587,15,16,25,22,85
B07JNL93SQ,2023/4/30,16254,15,17,26,23,89
B07JNL93SQ,2023/5/7,12717,16,16,31,27,80
B07JNL93SQ,2023/5/14,11742,16,18,27,22,83
B07JNL93SQ,2023/5/21,7707,15,19,26,24,88
B07JNL93SQ,2023/5/28,7480,14,18,23,22,81
B07JNL93SQ,2023/6/4,8629,16,17,24,22,83
B07JNL93SQ,2023/6/11,22722,18,16,26,27,74
B07JNL93SQ,2023/6/18,14014,17,16,26,23,75
B07JNL93SQ,2023/6/25,16059,14,15,22,24,74
B07JNL93SQ,2023/7/2,12068,15,15,23,24,70
B07JNL93SQ,2023/7/9,23240,15,17,24,24,76
B07JNL93SQ,2023/7/16,25853,15,16,23,23,73
B07JNL93SQ,2023/7/23,11896,14,15,23,25,74
B07JNL93SQ,2023/7/30,14587,14,16,24,26,79
B07JNL93SQ,2023/8/6,21739,14,15,23,24,76
B07JNL93SQ,2023/8/13,15955,16,16,22,23,74
B07JNL93SQ,2023/8/20,18059,14,15,22,25,75
B07JNL93SQ,2023/8/27,20509,16,19,25,26,85
B07JNL93SQ,2023/9/3,17087,14,18,25,25,79
B07JNL93SQ,2023/9/10,14021,15,27,34,32,100
B07JNL93SQ,2023/9/17,10103,16,24,35,33,87
B07JNL93SQ,2023/9/24,28010,16,27,34,31,91
B07JNL93SQ,2023/10/1,11834,16,23,30,31,94
B07JNL93SQ,2023/10/8,17003,16,24,33,27,88
B07JNL93SQ,2023/10/15,25282,15,22,26,27,85
B07JNL93SQ,2023/10/22,18425,16,22,28,28,89
B07JNL93SQ,2023/10/29,32373,16,21,29,27,90
B07JNL93SQ,2023/11/5,15863,16,21,28,26,94
B07JNL93SQ,2023/11/12,19095,13,19,26,25,81
B07JNL93SQ,2023/11/19,9662,15,18,26,26,83
B07JNL93SQ,2023/11/26,34134,16,20,26,28,87
B07JNL93SQ,2023/12/3,11080,15,19,26,27,83
B07JNL93SQ,2023/12/10,13562,15,18,28,28,79
B07JNL93SQ,2023/12/17,15549,14,18,23,25,72
B07JNL93SQ,2023/12/24,31660,12,16,23,21,66
B07JNL93SQ,2023/12/31,34919,15,18,24,22,72
B07JNL93SQ,2024/1/7,16604,16,18,24,25,72
B07JNL93SQ,2024/1/14,25533,15,20,23,25,76
B07JNL93SQ,2024/1/21,13509,14,17,23,26,79
B07JNL93SQ,2024/1/28,27659,14,19,25,26,82
B07JNL93SQ,2024/2/4,22659,15,18,24,27,81
B07JNL93SQ,2024/2/11,33643,15,21,25,25,84
B07JNL93SQ,2024/2/18,11379,15,20,26,26,88
B07JNL93SQ,2024/2/25,25081,15,20,24,27,77
B07JNL93SQ,2024/3/3,29942,15,22,26,26,84
B07JNL93SQ,2024/3/10,20155,16,21,25,27,91
B07JNL93SQ,2024/3/17,18515,15,21,27,27,91
B07JNL93SQ,2024/3/24,24164,15,19,24,24,90
B07JNL93SQ,2024/3/31,24053,14,19,24,23,86
B07JNL93SQ,2024/4/7,25375,16,20,22,25,92
B07JNL93SQ,2024/4/14,122382,18,19,23,28,94
B07JNL93SQ,2024/4/21,29356,15,20,24,26,90
B07JNL93SQ,2024/4/28,32554,17,21,25,26,98
B07JNL93SQ,2024/5/5,13524,16,21,24,28,95
B07JNL93SQ,2024/5/12,30296,17,22,26,26,94
B07JNL93SQ,2024/5/19,135466,19,20,28,26,96
B07JNL93SQ,2024/5/26,41843,15,19,24,26,89
B07JNL93SQ,2024/6/2,17192,15,19,23,26,89
B07JNL93SQ,2024/6/9,27352,16,17,22,25,84
B07JNL93SQ,2024/6/16,106616,15,16,23,26,85
B07JNL93SQ,2024/6/23,32239,15,16,23,27,76
B07JNL93SQ,2024/6/30,11511,16,15,23,27,81
B07JNL93SQ,2024/7/7,16985,14,15,21,23,78
B07JNL93SQ,2024/7/14,62337,16,15,21,25,85
B07JNL93SQ,2024/7/21,27091,14,16,20,25,74
B07JNL93SQ,2024/7/28,56875,13,15,21,23,73
B07JNL93SQ,2024/8/4,14360,15,14,19,22,74
B07JNL93SQ,2024/8/11,32395,13,16,22,23,76
B07JNL93SQ,2024/8/18,21974,16,16,22,24,79
B07JNL93SQ,2024/8/25,28817,15,14,22,25,74
B07JNL93SQ,2024/9/1,16142,16,16,22,25,77
B07JNL93SQ,2024/9/8,27879,17,24,30,28,85
B07JNL93SQ,2024/9/15,61324,16,23,27,28,89
B07JNL93SQ,2024/9/22,35524,15,24,28,27,85
B07JNL93SQ,2024/9/29,23480,15,21,24,25,85
B07JNL93SQ,2024/10/6,71745,14,22,24,27,87
B07JNL93SQ,2024/10/13,25558,16,23,25,27,95
B07JNL93SQ,2024/10/20,29515,17,20,25,27,87
B07JNL93SQ,2024/10/27,13048,14,19,23,27,86
B07JNL93SQ,2024/11/3,28955,16,20,25,28,91
B07JNL93SQ,2024/11/10,27584,17,19,25,26,90
B07JNL93SQ,2024/11/17,32298,17,19,22,26,87
B07JNL93SQ,2024/11/24,54234,16,19,24,26,89
B07JNL93SQ,2024/12/1,189872,18,20,26,29,89
B07JNL93SQ,2024/12/8,35074,17,19,25,26,88
B07JNL93SQ,2024/12/15,132022,16,18,24,28,85
B07JNL93SQ,2024/12/22,181074,15,15,21,26,76
B07JNL93SQ,2024/12/29,177044,16,18,23,21,85
B07JNL93SQ,2025/1/5,27888,16,20,24,26,79
B07JNL93SQ,2025/1/12,93115,15,19,23,28,83
B07JNL93SQ,2025/1/19,15433,15,18,22,27,81
B07JNL93SQ,2025/1/26,19577,15,18,21,26,82
B07JNL93SQ,2025/2/2,24883,15,17,24,26,83
B07JNL93SQ,2025/2/9,36751,16,19,25,27,81
B07JNL93SQ,2025/2/16,145307,15,21,26,30,87
B07JNL93SQ,2025/2/23,178259,16,22,26,27,91
B07JNL93SQ,2025/3/2,35094,17,18,25,28,89
B07JNL93SQ,2025/3/9,30179,16,19,23,26,89
B07JNL93SQ,2025/3/16,30805,18,21,27,29,89
B07JNL93SQ,2025/3/23,26019,16,20,26,27,86
B07JNL93SQ,2025/3/30,45105,15,19,25,25,84
B07JNL93SQ,2025/4/6,51091,16,21,22,28,87
B07JNL93SQ,2025/4/13,10111,18,17,24,26,83
B07JNL93SQ,2025/4/20,43151,15,16,23,24,83
B07JNL93SQ,2025/4/27,32260,17,22,25,23,90
B07JNL93SQ,2025/5/4,32091,16,21,23,25,91
B07JNL93SQ,2025/5/11,65246,17,20,25,27,86
B07JNL93SQ,2025/5/18,77823,17,18,24,25,85
B07JNL93SQ,2025/5/25,72948,18,18,24,24,89
B07JNL93SQ,2025/6/1,86006,15,18,22,26,81
B07JNL93SQ,2025/6/8,84384,16,17,22,26,79
B07JNL93SQ,2025/6/15,45374,15,16,20,26,76
B07JNL93SQ,2025/6/22,28808,15,16,22,24,72
B07JNL93SQ,2025/6/29,25378,16,15,20,24,74
B07JNL93SQ,2025/7/6,20467,15,16,22,24,73
B07JNL93SQ,2025/7/13,25480,16,16,21,24,72
B07JNL93SQ,2025/7/20,66358,15,15,22,24,76
B07JNL93SQ,2025/7/27,180129,14,14,20,24,71
B07JNL93SQ,2025/8/3,60743,16,15,20,23,79
B07JNL93SQ,2025/8/10,63702,17,15,21,22,76
B07JNL93SQ,2025/8/17,63757,17,17,24,24,85
B07JNL93SQ,2025/8/24,87854,17,17,21,24,83
B07JNL93SQ,2025/8/31,28558,17,18,21,24,84
B07JNL93SQ,2025/9/7,28557,17,29,29,30,85
B07JNL93SQ,2025/9/14,23478,16,27,27,26,81
B07JNL93SQ,2025/9/21,17923,16,22,24,25,81
B07JNL93SQ,2025/9/28,17913,16,22,24,27,83
B07JNL93SQ,2025/10/5,30419,16,23,23,27,82
B07JNL93SQ,2025/10/12,20657,16,21,22,24,86
B07JNL93SQ,2025/10/19,24174,15,21,24,25,77
B07JNL93SQ,2025/10/26,22833,15,18,22,25,75
B07JNL93SQ,2025/11/2,21738,14,20,22,26,77
B07JNL93SQ,2025/11/9,17197,14,19,23,25,75
B07JNL93SQ,2025/11/16,14468,15,18,23,26,76
B07JNL93SQ,2025/11/23,19740,16,21,24,25,83
B07JNL93SQ,2025/11/30,14724,16,17,23,26,79
B07JNL93SQ,2025/12/7,18460,17,17,23,24,83
