asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B07NVXM29C,2023/1/1,17724,14,17,26,23,77
B07NVXM29C,2023/1/8,11537,15,18,25,24,75
B07NVXM29C,2023/1/15,11733,14,16,25,24,75
B07NVXM29C,2023/1/22,14782,13,15,26,23,71
B07NVXM29C,2023/1/29,17538,15,18,27,27,73
B07NVXM29C,2023/2/5,20326,15,18,30,24,78
B07NVXM29C,2023/2/12,10886,15,16,27,25,79
B07NVXM29C,2023/2/19,14223,14,18,29,25,99
B07NVXM29C,2023/2/26,11598,14,18,27,23,84
B07NVXM29C,2023/3/5,15571,16,20,25,23,87
B07NVXM29C,2023/3/12,16219,14,17,25,23,83
B07NVXM29C,2023/3/19,16886,15,19,27,23,76
B07NVXM29C,2023/3/26,17820,16,17,24,23,83
B07NVXM29C,2023/4/2,24529,15,17,23,22,82
B07NVXM29C,2023/4/9,13915,13,17,24,23,82
B07NVXM29C,2023/4/16,14452,16,17,28,23,84
B07NVXM29C,2023/4/23,23205,15,16,25,22,85
B07NVXM29C,2023/4/30,31827,15,17,26,23,89
B07NVXM29C,2023/5/7,33021,16,16,31,27,80
B07NVXM29C,2023/5/14,14819,16,18,27,22,83
B07NVXM29C,2023/5/21,17783,15,19,26,24,88
B07NVXM29C,2023/5/28,16172,14,18,23,22,81
B07NVXM29C,2023/6/4,21236,16,17,24,22,83
B07NVXM29C,2023/6/11,15753,18,16,26,27,74
B07NVXM29C,2023/6/18,17695,17,16,26,23,75
B07NVXM29C,2023/6/25,25005,14,15,22,24,74
B07NVXM29C,2023/7/2,21378,15,15,23,24,70
B07NVXM29C,2023/7/9,27827,15,17,24,24,76
B07NVXM29C,2023/7/16,15048,15,16,23,23,73
B07NVXM29C,2023/7/23,8038,14,15,23,25,74
B07NVXM29C,2023/7/30,26602,14,16,24,26,79
B07NVXM29C,2023/8/6,37010,14,15,23,24,76
B07NVXM29C,2023/8/13,35774,16,16,22,23,74
B07NVXM29C,2023/8/20,26051,14,15,22,25,75
B07NVXM29C,2023/8/27,12723,16,19,25,26,85
B07NVXM29C,2023/9/3,29066,14,18,25,25,79
B07NVXM29C,2023/9/10,23800,15,27,34,32,100
B07NVXM29C,2023/9/17,27407,16,24,35,33,87
B07NVXM29C,2023/9/24,32667,16,27,34,31,91
B07NVXM29C,2023/10/1,109744,16,23,30,31,94
B07NVXM29C,2023/10/8,19367,16,24,33,27,88
B07NVXM29C,2023/10/15,25224,15,22,26,27,85
B07NVXM29C,2023/10/22,39179,16,22,28,28,89
B07NVXM29C,2023/10/29,29543,16,21,29,27,90
B07NVXM29C,2023/11/5,13819,16,21,28,26,94
B07NVXM29C,2023/11/12,94951,13,19,26,25,81
B07NVXM29C,2023/11/19,14478,15,18,26,26,83
B07NVXM29C,2023/11/26,31606,16,20,26,28,87
B07NVXM29C,2023/12/3,11006,15,19,26,27,83
B07NVXM29C,2023/12/10,39237,15,18,28,28,79
B07NVXM29C,2023/12/17,39562,14,18,23,25,72
B07NVXM29C,2023/12/24,19043,12,16,23,21,66
B07NVXM29C,2023/12/31,33062,15,18,24,22,72
B07NVXM29C,2024/1/7,44547,16,18,24,25,72
B07NVXM29C,2024/1/14,27974,15,20,23,25,76
B07NVXM29C,2024/1/21,29388,14,17,23,26,79
B07NVXM29C,2024/1/28,20342,14,19,25,26,82
B07NVXM29C,2024/2/4,20006,15,18,24,27,81
B07NVXM29C,2024/2/11,24168,15,21,25,25,84
B07NVXM29C,2024/2/18,24316,15,20,26,26,88
B07NVXM29C,2024/2/25,21234,15,20,24,27,77
B07NVXM29C,2024/3/3,24166,15,22,26,26,84
B07NVXM29C,2024/3/10,13057,16,21,25,27,91
B07NVXM29C,2024/3/17,30004,15,21,27,27,91
B07NVXM29C,2024/3/24,44097,15,19,24,24,90
B07NVXM29C,2024/3/31,38807,14,19,24,23,86
B07NVXM29C,2024/4/7,21253,16,20,22,25,92
B07NVXM29C,2024/4/14,39728,18,19,23,28,94
B07NVXM29C,2024/4/21,42117,15,20,24,26,90
B07NVXM29C,2024/4/28,27242,17,21,25,26,98
B07NVXM29C,2024/5/5,22553,16,21,24,28,95
B07NVXM29C,2024/5/12,16438,17,22,26,26,94
B07NVXM29C,2024/5/19,12920,19,20,28,26,96
B07NVXM29C,2024/5/26,26208,15,19,24,26,89
B07NVXM29C,2024/6/2,41572,15,19,23,26,89
B07NVXM29C,2024/6/9,36096,16,17,22,25,84
B07NVXM29C,2024/6/16,27797,15,16,23,26,85
B07NVXM29C,2024/6/23,25389,15,16,23,27,76
B07NVXM29C,2024/6/30,89249,16,15,23,27,81
B07NVXM29C,2024/7/7,156616,14,15,21,23,78
B07NVXM29C,2024/7/14,15406,16,15,21,25,85
B07NVXM29C,2024/7/21,13053,14,16,20,25,74
B07NVXM29C,2024/7/28,21701,13,15,21,23,73
B07NVXM29C,2024/8/4,21571,15,14,19,22,74
B07NVXM29C,2024/8/11,34509,13,16,22,23,76
B07NVXM29C,2024/8/18,78582,16,16,22,24,79
B07NVXM29C,2024/8/25,42175,15,14,22,25,74
B07NVXM29C,2024/9/1,46723,16,16,22,25,77
B07NVXM29C,2024/9/8,55098,17,24,30,28,85
B07NVXM29C,2024/9/15,33321,16,23,27,28,89
B07NVXM29C,2024/9/22,115431,15,24,28,27,85
B07NVXM29C,2024/9/29,34051,15,21,24,25,85
B07NVXM29C,2024/10/6,37874,14,22,24,27,87
B07NVXM29C,2024/10/13,37156,16,23,25,27,95
B07NVXM29C,2024/10/20,126462,17,20,25,27,87
B07NVXM29C,2024/10/27,24079,14,19,23,27,86
B07NVXM29C,2024/11/3,32435,16,20,25,28,91
B07NVXM29C,2024/11/10,33049,17,19,25,26,90
B07NVXM29C,2024/11/17,157833,17,19,22,26,87
B07NVXM29C,2024/11/24,55952,16,19,24,26,89
B07NVXM29C,2024/12/1,25825,18,20,26,29,89
B07NVXM29C,2024/12/8,41087,17,19,25,26,88
B07NVXM29C,2024/12/15,37613,16,18,24,28,85
B07NVXM29C,2024/12/22,38538,15,15,21,26,76
B07NVXM29C,2024/12/29,41630,16,18,23,21,85
B07NVXM29C,2025/1/5,41203,16,20,24,26,79
B07NVXM29C,2025/1/12,100199,15,19,23,28,83
B07NVXM29C,2025/1/19,22366,15,18,22,27,81
B07NVXM29C,2025/1/26,113673,15,18,21,26,82
B07NVXM29C,2025/2/2,180035,15,17,24,26,83
B07NVXM29C,2025/2/9,40253,16,19,25,27,81
B07NVXM29C,2025/2/16,23301,15,21,26,30,87
B07NVXM29C,2025/2/23,110595,16,22,26,27,91
B07NVXM29C,2025/3/2,33201,17,18,25,28,89
B07NVXM29C,2025/3/9,30111,16,19,23,26,89
B07NVXM29C,2025/3/16,42237,18,21,27,29,89
B07NVXM29C,2025/3/23,31687,16,20,26,27,86
B07NVXM29C,2025/3/30,56971,15,19,25,25,84
B07NVXM29C,2025/4/6,31483,16,21,22,28,87
B07NVXM29C,2025/4/13,111662,18,17,24,26,83
B07NVXM29C,2025/4/20,18563,15,16,23,24,83
B07NVXM29C,2025/4/27,30591,17,22,25,23,90
B07NVXM29C,2025/5/4,26514,16,21,23,25,91
B07NVXM29C,2025/5/11,42982,17,20,25,27,86
B07NVXM29C,2025/5/18,43389,17,18,24,25,85
B07NVXM29C,2025/5/25,63966,18,18,24,24,89
B07NVXM29C,2025/6/1,60093,15,18,22,26,81
B07NVXM29C,2025/6/8,48191,16,17,22,26,79
B07NVXM29C,2025/6/15,48563,15,16,20,26,76
B07NVXM29C,2025/6/22,21094,15,16,22,24,72
B07NVXM29C,2025/6/29,21887,16,15,20,24,74
B07NVXM29C,2025/7/6,78330,15,16,22,24,73
B07NVXM29C,2025/7/13,76504,16,16,21,24,72
B07NVXM29C,2025/7/20,58341,15,15,22,24,76
B07NVXM29C,2025/7/27,25699,14,14,20,24,71
B07NVXM29C,2025/8/3,25745,16,15,20,23,79
B07NVXM29C,2025/8/10,54918,17,15,21,22,76
B07NVXM29C,2025/8/17,25206,17,17,24,24,85
B07NVXM29C,2025/8/24,32146,17,17,21,24,83
B07NVXM29C,2025/8/31,27099,17,18,21,24,84
B07NVXM29C,2025/9/7,27098,17,29,29,30,85
B07NVXM29C,2025/9/14,21696,16,27,27,26,81
B07NVXM29C,2025/9/21,18364,16,22,24,25,81
B07NVXM29C,2025/9/28,18922,16,22,24,27,83
B07NVXM29C,2025/10/5,19844,16,23,23,27,82
B07NVXM29C,2025/10/12,23756,16,21,22,24,86
B07NVXM29C,2025/10/19,14843,15,21,24,25,77
B07NVXM29C,2025/10/26,16660,15,18,22,25,75
B07NVXM29C,2025/11/2,16658,14,20,22,26,77
B07NVXM29C,2025/11/9,19908,14,19,23,25,75
B07NVXM29C,2025/11/16,19324,15,18,23,26,76
B07NVXM29C,2025/11/23,20189,16,21,24,25,83
B07NVXM29C,2025/11/30,24010,16,17,23,26,79
B07NVXM29C,2025/12/7,11901,17,17,23,24,83
B07NVXM29C,2025/12/14,14700,16,16,23,25,81
B07NVXM29C,2025/12/21,12865,14,15,21,22,84
B07NVXM29C,2025/12/28,19270,15,18,23,21,81
