asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B08N4FKFCG,2023/1/1,32509,14,17,26,23,77
B08N4FKFCG,2023/1/8,53903,15,18,25,24,75
B08N4FKFCG,2023/1/15,39960,14,16,25,24,75
B08N4FKFCG,2023/1/22,27064,13,15,26,23,71
B08N4FKFCG,2023/1/29,38310,15,18,27,27,73
B08N4FKFCG,2023/2/5,39466,15,18,30,24,78
B08N4FKFCG,2023/2/12,34397,15,16,27,25,79
B08N4FKFCG,2023/2/19,59828,14,18,29,25,99
B08N4FKFCG,2023/2/26,30500,14,18,27,23,84
B08N4FKFCG,2023/3/5,24625,16,20,25,23,87
B08N4FKFCG,2023/3/12,126384,14,17,25,23,83
B08N4FKFCG,2023/3/19,37830,15,19,27,23,76
B08N4FKFCG,2023/3/26,49074,16,17,24,23,83
B08N4FKFCG,2023/4/2,202527,15,17,23,22,82
B08N4FKFCG,2023/4/9,32957,13,17,24,23,82
B08N4FKFCG,2023/4/16,32293,16,17,28,23,84
B08N4FKFCG,2023/4/23,25978,15,16,25,22,85
B08N4FKFCG,2023/4/30,29419,15,17,26,23,89
B08N4FKFCG,2023/5/7,32178,16,16,31,27,80
B08N4FKFCG,2023/5/14,26659,16,18,27,22,83
B08N4FKFCG,2023/5/21,14070,15,19,26,24,88
B08N4FKFCG,2023/5/28,71342,14,18,23,22,81
B08N4FKFCG,2023/6/4,37858,16,17,24,22,83
B08N4FKFCG,2023/6/11,4800,18,16,26,27,74
B08N4FKFCG,2023/6/18,27929,17,16,26,23,75
B08N4FKFCG,2023/6/25,58648,14,15,22,24,74
B08N4FKFCG,2023/7/2,21595,15,15,23,24,70
B08N4FKFCG,2023/7/9,30610,15,17,24,24,76
B08N4FKFCG,2023/7/16,29605,15,16,23,23,73
B08N4FKFCG,2023/7/23,21641,14,15,23,25,74
B08N4FKFCG,2023/7/30,21949,14,16,24,26,79
B08N4FKFCG,2023/8/6,24478,14,15,23,24,76
B08N4FKFCG,2023/8/13,13591,16,16,22,23,74
B08N4FKFCG,2023/8/20,74441,14,15,22,25,75
B08N4FKFCG,2023/8/27,28921,16,19,25,26,85
B08N4FKFCG,2023/9/3,14535,14,18,25,25,79
B08N4FKFCG,2023/9/10,34134,15,27,34,32,100
B08N4FKFCG,2023/9/17,40019,16,24,35,33,87
B08N4FKFCG,2023/9/24,1015,16,27,34,31,91
B08N4FKFCG,2023/10/1,14866,16,23,30,31,94
B08N4FKFCG,2023/10/8,41005,16,24,33,27,88
B08N4FKFCG,2023/10/15,22918,15,22,26,27,85
B08N4FKFCG,2023/10/22,31204,16,22,28,28,89
B08N4FKFCG,2023/10/29,130694,16,21,29,27,90
B08N4FKFCG,2023/11/5,197628,16,21,28,26,94
B08N4FKFCG,2023/11/12,211580,13,19,26,25,81
B08N4FKFCG,2023/11/19,40693,15,18,26,26,83
B08N4FKFCG,2023/11/26,41415,16,20,26,28,87
B08N4FKFCG,2023/12/3,39909,15,19,26,27,83
B08N4FKFCG,2023/12/10,29057,15,18,28,28,79
B08N4FKFCG,2023/12/17,42891,14,18,23,25,72
B08N4FKFCG,2023/12/24,222072,12,16,23,21,66
B08N4FKFCG,2023/12/31,38767,15,18,24,22,72
B08N4FKFCG,2024/1/7,25793,16,18,24,25,72
B08N4FKFCG,2024/1/14,19061,15,20,23,25,76
B08N4FKFCG,2024/1/21,39116,14,17,23,26,79
B08N4FKFCG,2024/1/28,35872,14,19,25,26,82
B08N4FKFCG,2024/2/4,29326,15,18,24,27,81
B08N4FKFCG,2024/2/11,28595,15,21,25,25,84
B08N4FKFCG,2024/2/18,27671,15,20,26,26,88
B08N4FKFCG,2024/2/25,177449,15,20,24,27,77
B08N4FKFCG,2024/3/3,230463,15,22,26,26,84
B08N4FKFCG,2024/3/10,23772,16,21,25,27,91
B08N4FKFCG,2024/3/17,176140,15,21,27,27,91
B08N4FKFCG,2024/3/24,48696,15,19,24,24,90
B08N4FKFCG,2024/3/31,33450,14,19,24,23,86
B08N4FKFCG,2024/4/7,37345,16,20,22,25,92
B08N4FKFCG,2024/4/14,29284,18,19,23,28,94
B08N4FKFCG,2024/4/21,42400,15,20,24,26,90
B08N4FKFCG,2024/4/28,21266,17,21,25,26,98
B08N4FKFCG,2024/5/5,24428,16,21,24,28,95
B08N4FKFCG,2024/5/12,137485,17,22,26,26,94
B08N4FKFCG,2024/5/19,34529,19,20,28,26,96
B08N4FKFCG,2024/5/26,49701,15,19,24,26,89
B08N4FKFCG,2024/6/2,34070,15,19,23,26,89
B08N4FKFCG,2024/6/9,21032,16,17,22,25,84
B08N4FKFCG,2024/6/16,10684,15,16,23,26,85
B08N4FKFCG,2024/6/23,126377,15,16,23,27,76
B08N4FKFCG,2024/6/30,36250,16,15,23,27,81
B08N4FKFCG,2024/7/7,178134,14,15,21,23,78
B08N4FKFCG,2024/7/14,250877,16,15,21,25,85
B08N4FKFCG,2024/7/21,41224,14,16,20,25,74
B08N4FKFCG,2024/7/28,36951,13,15,21,23,73
B08N4FKFCG,2024/8/4,30345,15,14,19,22,74
B08N4FKFCG,2024/8/11,56974,13,16,22,23,76
B08N4FKFCG,2024/8/18,225273,16,16,22,24,79
B08N4FKFCG,2024/8/25,30305,15,14,22,25,74
B08N4FKFCG,2024/9/1,23683,16,16,22,25,77
B08N4FKFCG,2024/9/8,13483,17,24,30,28,85
B08N4FKFCG,2024/9/15,29552,16,23,27,28,89
B08N4FKFCG,2024/9/22,13121,15,24,28,27,85
B08N4FKFCG,2024/9/29,33764,15,21,24,25,85
B08N4FKFCG,2024/10/6,31943,14,22,24,27,87
B08N4FKFCG,2024/10/13,40827,16,23,25,27,95
B08N4FKFCG,2024/10/20,247103,17,20,25,27,87
B08N4FKFCG,2024/10/27,247967,14,19,23,27,86
B08N4FKFCG,2024/11/3,37252,16,20,25,28,91
B08N4FKFCG,2024/11/10,125588,17,19,25,26,90
B08N4FKFCG,2024/11/17,244545,17,19,22,26,87
B08N4FKFCG,2024/11/24,39021,16,19,24,26,89
B08N4FKFCG,2024/12/1,91539,18,20,26,29,89
B08N4FKFCG,2024/12/8,277856,17,19,25,26,88
B08N4FKFCG,2024/12/15,281057,16,18,24,28,85
B08N4FKFCG,2024/12/22,293786,15,15,21,26,76
B08N4FKFCG,2024/12/29,33711,16,18,23,21,85
B08N4FKFCG,2025/1/5,316115,16,20,24,26,79
B08N4FKFCG,2025/1/12,38991,15,19,23,28,83
B08N4FKFCG,2025/1/19,27709,15,18,22,27,81
B08N4FKFCG,2025/1/26,26884,15,18,21,26,82
B08N4FKFCG,2025/2/2,159851,15,17,24,26,83
B08N4FKFCG,2025/2/9,246612,16,19,25,27,81
B08N4FKFCG,2025/2/16,34685,15,21,26,30,87
B08N4FKFCG,2025/2/23,26343,16,22,26,27,91
B08N4FKFCG,2025/3/2,229541,17,18,25,28,89
B08N4FKFCG,2025/3/9,39736,16,19,23,26,89
B08N4FKFCG,2025/3/16,34438,18,21,27,29,89
B08N4FKFCG,2025/3/23,23364,16,20,26,27,86
B08N4FKFCG,2025/3/30,41102,15,19,25,25,84
B08N4FKFCG,2025/4/6,185118,16,21,22,28,87
B08N4FKFCG,2025/4/13,277726,18,17,24,26,83
B08N4FKFCG,2025/4/20,36215,15,16,23,24,83
B08N4FKFCG,2025/4/27,152604,17,22,25,23,90
B08N4FKFCG,2025/5/4,94941,16,21,23,25,91
B08N4FKFCG,2025/5/11,47676,17,20,25,27,86
B08N4FKFCG,2025/5/18,76613,17,18,24,25,85
B08N4FKFCG,2025/5/25,190203,18,18,24,24,89
B08N4FKFCG,2025/6/1,69942,15,18,22,26,81
B08N4FKFCG,2025/6/8,46108,16,17,22,26,79
B08N4FKFCG,2025/6/15,79000,15,16,20,26,76
B08N4FKFCG,2025/6/22,85124,15,16,22,24,72
B08N4FKFCG,2025/6/29,87015,16,15,20,24,74
B08N4FKFCG,2025/7/6,259107,15,16,22,24,73
B08N4FKFCG,2025/7/13,299590,16,16,21,24,72
B08N4FKFCG,2025/7/20,98139,15,15,22,24,76
B08N4FKFCG,2025/7/27,93150,14,14,20,24,71
B08N4FKFCG,2025/8/3,66690,16,15,20,23,79
B08N4FKFCG,2025/8/10,27939,17,15,21,22,76
B08N4FKFCG,2025/8/17,84272,17,17,24,24,85
B08N4FKFCG,2025/8/24,43757,17,17,21,24,83
B08N4FKFCG,2025/8/31,63376,17,18,21,24,84
B08N4FKFCG,2025/9/7,69380,17,29,29,30,85
B08N4FKFCG,2025/9/14,4463,16,27,27,26,81
B08N4FKFCG,2025/9/21,3991,16,22,24,25,81
B08N4FKFCG,2025/9/28,3854,16,22,24,27,83
B08N4FKFCG,2025/10/5,3759,16,23,23,27,82
B08N4FKFCG,2025/10/12,4360,16,21,22,24,86
B08N4FKFCG,2025/10/19,3314,15,21,24,25,77
B08N4FKFCG,2025/10/26,3911,15,18,22,25,75
B08N4FKFCG,2025/11/2,4851,14,20,22,26,77
B08N4FKFCG,2025/11/9,4060,14,19,23,25,75
B08N4FKFCG,2025/11/16,4074,15,18,23,26,76
B08N4FKFCG,2025/11/23,4766,16,21,24,25,83
B08N4FKFCG,2025/11/30,3965,16,17,23,26,79
B08N4FKFCG,2025/12/7,2931,17,17,23,24,83
B08N4FKFCG,2025/12/14,3131,16,16,23,25,81
B08N4FKFCG,2025/12/21,3289,14,15,21,22,84
B08N4FKFCG,2025/12/28,2669,15,18,23,21,81
