asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B099RKG1FN,2023/1/1,9335,14,17,26,23,77
B099RKG1FN,2023/1/8,4457,15,18,25,24,75
B099RKG1FN,2023/1/15,4479,14,16,25,24,75
B099RKG1FN,2023/1/22,4884,13,15,26,23,71
B099RKG1FN,2023/1/29,5471,15,18,27,27,73
B099RKG1FN,2023/2/5,4619,15,18,30,24,78
B099RKG1FN,2023/2/12,8446,15,16,27,25,79
B099RKG1FN,2023/2/19,4841,14,18,29,25,99
B099RKG1FN,2023/2/26,6371,14,18,27,23,84
B099RKG1FN,2023/3/5,5372,16,20,25,23,87
B099RKG1FN,2023/3/12,5801,14,17,25,23,83
B099RKG1FN,2023/3/19,4160,15,19,27,23,76
B099RKG1FN,2023/3/26,6734,16,17,24,23,83
B099RKG1FN,2023/4/2,22070,15,17,23,22,82
B099RKG1FN,2023/4/9,9293,13,17,24,23,82
B099RKG1FN,2023/4/16,15032,16,17,28,23,84
B099RKG1FN,2023/4/23,4032,15,16,25,22,85
B099RKG1FN,2023/4/30,4964,15,17,26,23,89
B099RKG1FN,2023/5/7,3806,16,16,31,27,80
B099RKG1FN,2023/5/14,8907,16,18,27,22,83
B099RKG1FN,2023/5/21,10024,15,19,26,24,88
B099RKG1FN,2023/5/28,6924,14,18,23,22,81
B099RKG1FN,2023/6/4,6194,16,17,24,22,83
B099RKG1FN,2023/6/11,6982,18,16,26,27,74
B099RKG1FN,2023/6/18,3095,17,16,26,23,75
B099RKG1FN,2023/6/25,4464,14,15,22,24,74
B099RKG1FN,2023/7/2,5108,15,15,23,24,70
B099RKG1FN,2023/7/9,5361,15,17,24,24,76
B099RKG1FN,2023/7/16,7096,15,16,23,23,73
B099RKG1FN,2023/7/23,5685,14,15,23,25,74
B099RKG1FN,2023/7/30,6913,14,16,24,26,79
B099RKG1FN,2023/8/6,10777,14,15,23,24,76
B099RKG1FN,2023/8/13,9693,16,16,22,23,74
B099RKG1FN,2023/8/20,4981,14,15,22,25,75
B099RKG1FN,2023/8/27,4689,16,19,25,26,85
B099RKG1FN,2023/9/3,5317,14,18,25,25,79
