asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B09ZRN1N3Z,2023/1/1,13114,14,17,26,23,77
B09ZRN1N3Z,2023/1/8,5305,15,18,25,24,75
B09ZRN1N3Z,2023/1/15,6222,14,16,25,24,75
B09ZRN1N3Z,2023/1/22,4978,13,15,26,23,71
B09ZRN1N3Z,2023/1/29,5917,15,18,27,27,73
B09ZRN1N3Z,2023/2/5,4595,15,18,30,24,78
B09ZRN1N3Z,2023/2/12,3385,15,16,27,25,79
B09ZRN1N3Z,2023/2/19,9543,14,18,29,25,99
B09ZRN1N3Z,2023/2/26,4242,14,18,27,23,84
B09ZRN1N3Z,2023/3/5,2685,16,20,25,23,87
B09ZRN1N3Z,2023/3/12,3370,14,17,25,23,83
B09ZRN1N3Z,2023/3/19,4308,15,19,27,23,76
B09ZRN1N3Z,2023/3/26,2460,16,17,24,23,83
B09ZRN1N3Z,2023/4/2,3769,15,17,23,22,82
B09ZRN1N3Z,2023/4/9,4506,13,17,24,23,82
B09ZRN1N3Z,2023/4/16,2970,16,17,28,23,84
B09ZRN1N3Z,2023/4/23,5798,15,16,25,22,85
B09ZRN1N3Z,2023/4/30,4722,15,17,26,23,89
B09ZRN1N3Z,2023/5/7,2497,16,16,31,27,80
B09ZRN1N3Z,2023/5/14,2253,16,18,27,22,83
B09ZRN1N3Z,2023/5/21,3164,15,19,26,24,88
B09ZRN1N3Z,2023/5/28,2533,14,18,23,22,81
B09ZRN1N3Z,2023/6/4,3073,16,17,24,22,83
B09ZRN1N3Z,2023/6/11,3131,18,16,26,27,74
B09ZRN1N3Z,2023/6/18,4182,17,16,26,23,75
B09ZRN1N3Z,2023/6/25,3027,14,15,22,24,74
B09ZRN1N3Z,2023/7/2,2154,15,15,23,24,70
B09ZRN1N3Z,2023/7/9,4971,15,17,24,24,76
B09ZRN1N3Z,2023/7/16,3235,15,16,23,23,73
B09ZRN1N3Z,2023/7/23,2565,14,15,23,25,74
B09ZRN1N3Z,2023/7/30,2968,14,16,24,26,79
B09ZRN1N3Z,2023/8/6,3068,14,15,23,24,76
B09ZRN1N3Z,2023/8/13,2983,16,16,22,23,74
B09ZRN1N3Z,2023/8/20,2065,14,15,22,25,75
B09ZRN1N3Z,2023/8/27,2983,16,19,25,26,85
B09ZRN1N3Z,2023/9/3,2835,14,18,25,25,79
B09ZRN1N3Z,2023/9/10,2878,15,27,34,32,100
B09ZRN1N3Z,2023/9/17,3516,16,24,35,33,87
B09ZRN1N3Z,2023/9/24,3113,16,27,34,31,91
B09ZRN1N3Z,2023/10/1,3494,16,23,30,31,94
B09ZRN1N3Z,2023/10/8,3457,16,24,33,27,88
B09ZRN1N3Z,2023/10/15,2701,15,22,26,27,85
B09ZRN1N3Z,2023/10/22,2114,16,22,28,28,89
B09ZRN1N3Z,2023/10/29,2870,16,21,29,27,90
B09ZRN1N3Z,2023/11/5,2302,16,21,28,26,94
B09ZRN1N3Z,2023/11/12,3817,13,19,26,25,81
B09ZRN1N3Z,2023/11/19,3967,15,18,26,26,83
B09ZRN1N3Z,2023/11/26,4799,16,20,26,28,87
B09ZRN1N3Z,2023/12/3,2933,15,19,26,27,83
B09ZRN1N3Z,2023/12/10,2574,15,18,28,28,79
B09ZRN1N3Z,2023/12/17,1987,14,18,23,25,72
B09ZRN1N3Z,2023/12/24,2871,12,16,23,21,66
B09ZRN1N3Z,2023/12/31,3737,15,18,24,22,72
B09ZRN1N3Z,2024/1/7,2293,16,18,24,25,72
B09ZRN1N3Z,2024/1/14,1423,15,20,23,25,76
B09ZRN1N3Z,2024/1/21,295,14,17,23,26,79
B09ZRN1N3Z,2024/1/28,752,14,19,25,26,82
B09ZRN1N3Z,2024/2/4,1085,15,18,24,27,81
B09ZRN1N3Z,2024/2/11,775,15,21,25,25,84
B09ZRN1N3Z,2024/2/18,648,15,20,26,26,88
B09ZRN1N3Z,2024/2/25,862,15,20,24,27,77
B09ZRN1N3Z,2024/3/3,825,15,22,26,26,84
B09ZRN1N3Z,2024/3/10,277,16,21,25,27,91
B09ZRN1N3Z,2024/3/17,302,15,21,27,27,91
B09ZRN1N3Z,2024/3/24,436,15,19,24,24,90
B09ZRN1N3Z,2024/3/31,242,14,19,24,23,86
B09ZRN1N3Z,2024/4/7,207,16,20,22,25,92
B09ZRN1N3Z,2024/4/14,325,18,19,23,28,94
B09ZRN1N3Z,2024/4/21,1225,15,20,24,26,90
B09ZRN1N3Z,2024/4/28,545,17,21,25,26,98
B09ZRN1N3Z,2024/5/5,238,16,21,24,28,95
B09ZRN1N3Z,2024/5/12,623,17,22,26,26,94
B09ZRN1N3Z,2024/5/19,526,19,20,28,26,96
B09ZRN1N3Z,2024/5/26,320,15,19,24,26,89
B09ZRN1N3Z,2024/6/2,381,15,19,23,26,89
B09ZRN1N3Z,2024/6/9,305,16,17,22,25,84
B09ZRN1N3Z,2024/6/16,499,15,16,23,26,85
B09ZRN1N3Z,2024/6/23,424,15,16,23,27,76
B09ZRN1N3Z,2024/6/30,310,16,15,23,27,81
B09ZRN1N3Z,2024/7/7,369,14,15,21,23,78
B09ZRN1N3Z,2024/7/14,667,16,15,21,25,85
B09ZRN1N3Z,2024/7/21,254,14,16,20,25,74
B09ZRN1N3Z,2024/7/28,296,13,15,21,23,73
B09ZRN1N3Z,2024/8/4,271,15,14,19,22,74
B09ZRN1N3Z,2024/8/11,388,13,16,22,23,76
B09ZRN1N3Z,2024/8/18,279,16,16,22,24,79
B09ZRN1N3Z,2024/8/25,300,15,14,22,25,74
B09ZRN1N3Z,2024/9/1,275,16,16,22,25,77
B09ZRN1N3Z,2024/9/8,241,17,24,30,28,85
B09ZRN1N3Z,2024/9/15,434,16,23,27,28,89
B09ZRN1N3Z,2024/9/22,465,15,24,28,27,85
B09ZRN1N3Z,2024/9/29,492,15,21,24,25,85
B09ZRN1N3Z,2024/10/6,348,14,22,24,27,87
B09ZRN1N3Z,2024/10/13,269,16,23,25,27,95
B09ZRN1N3Z,2024/10/20,425,17,20,25,27,87
B09ZRN1N3Z,2024/10/27,242,14,19,23,27,86
B09ZRN1N3Z,2024/11/3,399,16,20,25,28,91
B09ZRN1N3Z,2024/11/10,292,17,19,25,26,90
B09ZRN1N3Z,2024/11/17,266,17,19,22,26,87
B09ZRN1N3Z,2024/11/24,314,16,19,24,26,89
B09ZRN1N3Z,2024/12/1,744,18,20,26,29,89
B09ZRN1N3Z,2024/12/8,315,17,19,25,26,88
B09ZRN1N3Z,2024/12/15,179,16,18,24,28,85
B09ZRN1N3Z,2024/12/22,230,15,15,21,26,76
B09ZRN1N3Z,2024/12/29,185,16,18,23,21,85
B09ZRN1N3Z,2025/1/5,433,16,20,24,26,79
B09ZRN1N3Z,2025/1/12,187,15,19,23,28,83
B09ZRN1N3Z,2025/1/19,191,15,18,22,27,81
B09ZRN1N3Z,2025/1/26,259,15,18,21,26,82
B09ZRN1N3Z,2025/2/2,335,15,17,24,26,83
B09ZRN1N3Z,2025/2/9,331,16,19,25,27,81
