asin,date,daily_salesrank
B01C10VTE2,2023-01-01,1210
B01C10VTE2,2023-01-02,1291
B01C10VTE2,2023-01-03,709
B01C10VTE2,2023-01-04,846
B01C10VTE2,2023-01-05,1143
B01C10VTE2,2023-01-06,587
B01C10VTE2,2023-01-07,677
B01C10VTE2,2023-01-08,513
B01C10VTE2,2023-01-09,501
B01C10VTE2,2023-01-10,427
B01C10VTE2,2023-01-11,501
B01C10VTE2,2023-01-12,678
B01C10VTE2,2023-01-13,340
B01C10VTE2,2023-01-14,469
B01C10VTE2,2023-01-15,906
B01C10VTE2,2023-01-16,527
B01C10VTE2,2023-01-17,214
B01C10VTE2,2023-01-18,325
B01C10VTE2,2023-01-19,271
B01C10VTE2,2023-01-20,499
B01C10VTE2,2023-01-21,800
B01C10VTE2,2023-01-22,553
B01C10VTE2,2023-01-23,748
B01C10VTE2,2023-01-24,291
B01C10VTE2,2023-01-25,387
B01C10VTE2,2023-01-26,842
B01C10VTE2,2023-01-27,501
B01C10VTE2,2023-01-28,607
B01C10VTE2,2023-01-29,733
B01C10VTE2,2023-01-30,1100
B01C10VTE2,2023-01-31,531
B01C10VTE2,2023-02-01,524
B01C10VTE2,2023-02-02,444
B01C10VTE2,2023-02-03,505
B01C10VTE2,2023-02-04,607
B01C10VTE2,2023-02-05,693
B01C10VTE2,2023-02-06,981
B01C10VTE2,2023-02-07,1206
B01C10VTE2,2023-02-08,630
B01C10VTE2,2023-02-09,988
B01C10VTE2,2023-02-10,1176
B01C10VTE2,2023-02-11,1365
B01C10VTE2,2023-02-12,1493
B01C10VTE2,2023-02-13,1582
B01C10VTE2,2023-02-14,1658
B01C10VTE2,2023-02-15,615
B01C10VTE2,2023-02-16,786
B01C10VTE2,2023-02-17,1180
B01C10VTE2,2023-02-18,1385
B01C10VTE2,2023-02-19,1494
B01C10VTE2,2023-02-20,1633
B01C10VTE2,2023-02-21,1705
B01C10VTE2,2023-02-22,1768
B01C10VTE2,2023-02-23,1791
B01C10VTE2,2023-02-24,460
B01C10VTE2,2023-02-25,516
B01C10VTE2,2023-02-26,547
B01C10VTE2,2023-02-27,931
B01C10VTE2,2023-02-28,1209
B01C10VTE2,2023-03-01,1248
B01C10VTE2,2023-03-02,488
B01C10VTE2,2023-03-03,991
B01C10VTE2,2023-03-04,1293
B01C10VTE2,2023-03-05,1349
B01C10VTE2,2023-03-06,1613
B01C10VTE2,2023-03-07,1720
B01C10VTE2,2023-03-08,1750
B01C10VTE2,2023-03-09,1804
B01C10VTE2,2023-03-10,1806
B01C10VTE2,2023-03-11,1828
B01C10VTE2,2023-03-12,640
B01C10VTE2,2023-03-13,1108
B01C10VTE2,2023-03-14,618
B01C10VTE2,2023-03-15,460
B01C10VTE2,2023-03-16,878
B01C10VTE2,2023-03-17,1143
B01C10VTE2,2023-03-18,1367
B01C10VTE2,2023-03-19,1531
B01C10VTE2,2023-03-20,1672
B01C10VTE2,2023-03-21,1756
B01C10VTE2,2023-03-22,614
B01C10VTE2,2023-03-23,712
B01C10VTE2,2023-03-24,609
B01C10VTE2,2023-03-25,699
B01C10VTE2,2023-03-26,575
B01C10VTE2,2023-03-27,1024
B01C10VTE2,2023-03-28,609
B01C10VTE2,2023-03-29,724
B01C10VTE2,2023-03-30,1140
B01C10VTE2,2023-03-31,1395
B01C10VTE2,2023-04-01,511
B01C10VTE2,2023-04-02,539
B01C10VTE2,2023-04-03,839
B01C10VTE2,2023-04-04,423
B01C10VTE2,2023-04-05,495
B01C10VTE2,2023-04-06,876
B01C10VTE2,2023-04-07,1089
B01C10VTE2,2023-04-08,495
B01C10VTE2,2023-04-09,643
B01C10VTE2,2023-04-10,994
B01C10VTE2,2023-04-11,566
B01C10VTE2,2023-04-12,778
B01C10VTE2,2023-04-13,1122
B01C10VTE2,2023-04-14,1404
B01C10VTE2,2023-04-15,1447
B01C10VTE2,2023-04-16,1606
B01C10VTE2,2023-04-17,671
B01C10VTE2,2023-04-18,671
B01C10VTE2,2023-04-19,1218
B01C10VTE2,2023-04-20,1508
B01C10VTE2,2023-04-21,1628
B01C10VTE2,2023-04-22,651
B01C10VTE2,2023-04-23,1001
B01C10VTE2,2023-04-24,1396
B01C10VTE2,2023-04-25,653
B01C10VTE2,2023-04-26,477
B01C10VTE2,2023-04-27,531
B01C10VTE2,2023-04-28,967
B01C10VTE2,2023-04-29,548
B01C10VTE2,2023-04-30,667
B01C10VTE2,2023-05-01,599
B01C10VTE2,2023-05-02,872
B01C10VTE2,2023-05-03,1496
B01C10VTE2,2023-05-04,1570
B01C10VTE2,2023-05-05,1654
B01C10VTE2,2023-05-06,1739
B01C10VTE2,2023-05-07,602
B01C10VTE2,2023-05-08,506
B01C10VTE2,2023-05-09,704
B01C10VTE2,2023-05-10,1146
B01C10VTE2,2023-05-11,1370
B01C10VTE2,2023-05-12,1525
B01C10VTE2,2023-05-13,1636
B01C10VTE2,2023-05-14,1736
B01C10VTE2,2023-05-15,1839
B01C10VTE2,2023-05-16,477
B01C10VTE2,2023-05-17,597
B01C10VTE2,2023-05-18,596
B01C10VTE2,2023-05-19,815
B01C10VTE2,2023-05-20,348
B01C10VTE2,2023-05-21,539
B01C10VTE2,2023-05-22,452
B01C10VTE2,2023-05-23,701
B01C10VTE2,2023-05-24,542
B01C10VTE2,2023-05-25,667
B01C10VTE2,2023-05-26,1012
B01C10VTE2,2023-05-27,480
B01C10VTE2,2023-05-28,493
B01C10VTE2,2023-05-29,357
B01C10VTE2,2023-05-30,357
B01C10VTE2,2023-05-31,494
B01C10VTE2,2023-06-01,513
B01C10VTE2,2023-06-02,942
B01C10VTE2,2023-06-03,1107
B01C10VTE2,2023-06-04,1308
B01C10VTE2,2023-06-05,1493
B01C10VTE2,2023-06-06,464
B01C10VTE2,2023-06-07,390
B01C10VTE2,2023-06-08,507
B01C10VTE2,2023-06-09,523
B01C10VTE2,2023-06-10,713
B01C10VTE2,2023-06-11,550
B01C10VTE2,2023-06-12,969
B01C10VTE2,2023-06-13,1140
B01C10VTE2,2023-06-14,1310
B01C10VTE2,2023-06-15,669
B01C10VTE2,2023-06-16,655
B01C10VTE2,2023-06-17,522
B01C10VTE2,2023-06-18,798
B01C10VTE2,2023-06-19,581
B01C10VTE2,2023-06-20,572
B01C10VTE2,2023-06-21,716
B01C10VTE2,2023-06-22,559
B01C10VTE2,2023-06-23,750
B01C10VTE2,2023-06-24,1081
B01C10VTE2,2023-06-25,1247
B01C10VTE2,2023-06-26,1462
B01C10VTE2,2023-06-27,410
B01C10VTE2,2023-06-28,590
B01C10VTE2,2023-06-29,1023
B01C10VTE2,2023-06-30,633
B01C10VTE2,2023-07-01,832
B01C10VTE2,2023-07-02,1197
B01C10VTE2,2023-07-03,1509
B01C10VTE2,2023-07-04,1640
B01C10VTE2,2023-07-05,1732
B01C10VTE2,2023-07-06,1773
B01C10VTE2,2023-07-07,714
B01C10VTE2,2023-07-08,1153
B01C10VTE2,2023-07-09,1388
B01C10VTE2,2023-07-10,674
B01C10VTE2,2023-07-11,759
B01C10VTE2,2023-07-12,618
B01C10VTE2,2023-07-13,1287
B01C10VTE2,2023-07-14,1339
B01C10VTE2,2023-07-15,1460
B01C10VTE2,2023-07-16,579
B01C10VTE2,2023-07-17,536
B01C10VTE2,2023-07-18,615
B01C10VTE2,2023-07-19,478
B01C10VTE2,2023-07-20,804
B01C10VTE2,2023-07-21,532
B01C10VTE2,2023-07-22,805
B01C10VTE2,2023-07-23,1160
B01C10VTE2,2023-07-24,1420
B01C10VTE2,2023-07-25,603
B01C10VTE2,2023-07-26,498
B01C10VTE2,2023-07-27,572
B01C10VTE2,2023-07-28,505
B01C10VTE2,2023-07-29,803
B01C10VTE2,2023-07-30,1100
B01C10VTE2,2023-07-31,1372
B01C10VTE2,2023-08-01,686
B01C10VTE2,2023-08-02,982
B01C10VTE2,2023-08-03,1284
B01C10VTE2,2023-08-04,738
B01C10VTE2,2023-08-05,619
B01C10VTE2,2023-08-06,611
B01C10VTE2,2023-08-07,883
B01C10VTE2,2023-08-08,589
B01C10VTE2,2023-08-09,471
B01C10VTE2,2023-08-10,
B01C10VTE2,2023-08-11,553
B01C10VTE2,2023-08-12,459
B01C10VTE2,2023-08-13,698
B01C10VTE2,2023-08-14,1019
B01C10VTE2,2023-08-15,1175
B01C10VTE2,2023-08-16,722
B01C10VTE2,2023-08-17,446
B01C10VTE2,2023-08-18,609
B01C10VTE2,2023-08-19,1020
B01C10VTE2,2023-08-20,1198
B01C10VTE2,2023-08-21,1382
B01C10VTE2,2023-08-22,636
B01C10VTE2,2023-08-23,552
B01C10VTE2,2023-08-24,1037
B01C10VTE2,2023-08-25,1275
