asin,date,daily_salesrank
B01G58K3KM,2023-01-01,5115
B01G58K3KM,2023-01-02,5128
B01G58K3KM,2023-01-03,5133
B01G58K3KM,2023-01-04,5144
B01G58K3KM,2023-01-05,5151
B01G58K3KM,2023-01-06,5170
B01G58K3KM,2023-01-07,5178
B01G58K3KM,2023-01-08,5191
B01G58K3KM,2023-01-09,
B01G58K3KM,2023-01-10,5202
B01G58K3KM,2023-01-11,5227
B01G58K3KM,2023-01-12,5233
B01G58K3KM,2023-01-13,5209
B01G58K3KM,2023-01-14,5216
B01G58K3KM,2023-01-15,5223
B01G58K3KM,2023-01-16,5233
B01G58K3KM,2023-01-17,5224
B01G58K3KM,2023-01-18,5245
B01G58K3KM,2023-01-19,5260
B01G58K3KM,2023-01-20,5264
B01G58K3KM,2023-01-21,5246
B01G58K3KM,2023-01-22,5248
B01G58K3KM,2023-01-23,5242
B01G58K3KM,2023-01-24,5238
B01G58K3KM,2023-01-25,5235
B01G58K3KM,2023-01-26,5242
B01G58K3KM,2023-01-27,5248
B01G58K3KM,2023-01-28,5247
B01G58K3KM,2023-01-29,5258
B01G58K3KM,2023-01-30,5263
B01G58K3KM,2023-01-31,5269
B01G58K3KM,2023-02-01,5259
B01G58K3KM,2023-02-02,5268
B01G58K3KM,2023-02-03,5274
B01G58K3KM,2023-02-04,5282
B01G58K3KM,2023-02-05,5286
B01G58K3KM,2023-02-06,5297
B01G58K3KM,2023-02-07,5282
B01G58K3KM,2023-02-08,5284
B01G58K3KM,2023-02-09,5287
B01G58K3KM,2023-02-10,5311
B01G58K3KM,2023-02-11,5291
B01G58K3KM,2023-02-12,5296
B01G58K3KM,2023-02-13,5309
B01G58K3KM,2023-02-14,5309
B01G58K3KM,2023-02-15,5305
B01G58K3KM,2023-02-16,5297
B01G58K3KM,2023-02-17,5295
B01G58K3KM,2023-02-18,5302
B01G58K3KM,2023-02-19,5272
B01G58K3KM,2023-02-20,5286
B01G58K3KM,2023-02-21,5293
B01G58K3KM,2023-02-22,5284
B01G58K3KM,2023-02-23,5312
B01G58K3KM,2023-02-24,5333
B01G58K3KM,2023-02-25,5323
B01G58K3KM,2023-02-26,5326
B01G58K3KM,2023-02-27,5305
B01G58K3KM,2023-02-28,5311
B01G58K3KM,2023-03-01,5286
B01G58K3KM,2023-03-02,5287
B01G58K3KM,2023-03-03,5298
B01G58K3KM,2023-03-04,5315
B01G58K3KM,2023-03-05,5307
B01G58K3KM,2023-03-06,5314
B01G58K3KM,2023-03-07,5320
B01G58K3KM,2023-03-08,5325
B01G58K3KM,2023-03-09,5322
B01G58K3KM,2023-03-10,5323
B01G58K3KM,2023-03-11,5333
B01G58K3KM,2023-03-12,5344
B01G58K3KM,2023-03-13,5352
B01G58K3KM,2023-03-14,5356
B01G58K3KM,2023-03-15,5362
