asin,date,daily_salesrank
B01HUJES06,2023-01-01,575
B01HUJES06,2023-01-02,923
B01HUJES06,2023-01-03,1240
B01HUJES06,2023-01-04,1422
B01HUJES06,2023-01-05,760
B01HUJES06,2023-01-06,1632
B01HUJES06,2023-01-07,1665
B01HUJES06,2023-01-08,836
B01HUJES06,2023-01-09,1227
B01HUJES06,2023-01-10,783
B01HUJES06,2023-01-11,699
B01HUJES06,2023-01-12,1058
B01HUJES06,2023-01-13,1240
B01HUJES06,2023-01-14,636
B01HUJES06,2023-01-15,1112
B01HUJES06,2023-01-16,1381
B01HUJES06,2023-01-17,1444
B01HUJES06,2023-01-18,1527
B01HUJES06,2023-01-19,618
B01HUJES06,2023-01-20,986
B01HUJES06,2023-01-21,1268
B01HUJES06,2023-01-22,1384
B01HUJES06,2023-01-23,1497
B01HUJES06,2023-01-24,1559
B01HUJES06,2023-01-25,1682
B01HUJES06,2023-01-26,583
B01HUJES06,2023-01-27,597
B01HUJES06,2023-01-28,863
B01HUJES06,2023-01-29,613
B01HUJES06,2023-01-30,1121
B01HUJES06,2023-01-31,749
B01HUJES06,2023-02-01,1116
B01HUJES06,2023-02-02,1316
B01HUJES06,2023-02-03,1479
B01HUJES06,2023-02-04,1538
B01HUJES06,2023-02-05,1589
B01HUJES06,2023-02-06,1661
B01HUJES06,2023-02-07,558
B01HUJES06,2023-02-08,946
B01HUJES06,2023-02-09,1148
B01HUJES06,2023-02-10,1317
B01HUJES06,2023-02-11,1556
B01HUJES06,2023-02-12,623
B01HUJES06,2023-02-13,585
B01HUJES06,2023-02-14,1080
B01HUJES06,2023-02-15,1317
B01HUJES06,2023-02-16,1390
B01HUJES06,2023-02-17,1486
B01HUJES06,2023-02-18,1559
B01HUJES06,2023-02-19,1593
B01HUJES06,2023-02-20,597
B01HUJES06,2023-02-21,980
B01HUJES06,2023-02-22,1339
B01HUJES06,2023-02-23,633
B01HUJES06,2023-02-24,1166
B01HUJES06,2023-02-25,1332
B01HUJES06,2023-02-26,1440
B01HUJES06,2023-02-27,1526
B01HUJES06,2023-02-28,1597
B01HUJES06,2023-03-01,617
B01HUJES06,2023-03-02,1082
B01HUJES06,2023-03-03,1371
B01HUJES06,2023-03-04,1510
B01HUJES06,2023-03-05,1613
B01HUJES06,2023-03-06,1683
B01HUJES06,2023-03-07,752
B01HUJES06,2023-03-08,536
B01HUJES06,2023-03-09,848
B01HUJES06,2023-03-10,1090
B01HUJES06,2023-03-11,1315
B01HUJES06,2023-03-12,1495
B01HUJES06,2023-03-13,1605
B01HUJES06,2023-03-14,1676
B01HUJES06,2023-03-15,1711
B01HUJES06,2023-03-16,354
B01HUJES06,2023-03-17,807
B01HUJES06,2023-03-18,1037
B01HUJES06,2023-03-19,1275
B01HUJES06,2023-03-20,1466
B01HUJES06,2023-03-21,1561
B01HUJES06,2023-03-22,
B01HUJES06,2023-03-23,1681
B01HUJES06,2023-03-24,1674
B01HUJES06,2023-03-25,1722
B01HUJES06,2023-03-26,1769
B01HUJES06,2023-03-27,1802
B01HUJES06,2023-03-28,1812
B01HUJES06,2023-03-29,1805
B01HUJES06,2023-03-30,1800
B01HUJES06,2023-03-31,1806
B01HUJES06,2023-04-01,1817
B01HUJES06,2023-04-02,1871
B01HUJES06,2023-04-03,728
B01HUJES06,2023-04-04,1933
B01HUJES06,2023-04-05,1943
B01HUJES06,2023-04-06,1936
B01HUJES06,2023-04-07,1907
B01HUJES06,2023-04-08,1909
B01HUJES06,2023-04-09,1919
B01HUJES06,2023-04-10,1927
B01HUJES06,2023-04-11,1934
B01HUJES06,2023-04-12,1917
B01HUJES06,2023-04-13,
B01HUJES06,2023-04-14,1882
B01HUJES06,2023-04-15,1874
B01HUJES06,2023-04-16,1894
B01HUJES06,2023-04-17,1932
B01HUJES06,2023-04-18,1942
B01HUJES06,2023-04-19,686
B01HUJES06,2023-04-20,1201
B01HUJES06,2023-04-21,1537
B01HUJES06,2023-04-22,1634
B01HUJES06,2023-04-23,1786
B01HUJES06,2023-04-24,1855
B01HUJES06,2023-04-25,1933
B01HUJES06,2023-04-26,1945
B01HUJES06,2023-04-27,1911
B01HUJES06,2023-04-28,1903
B01HUJES06,2023-04-29,651
B01HUJES06,2023-04-30,1242
B01HUJES06,2023-05-01,1563
B01HUJES06,2023-05-02,1632
B01HUJES06,2023-05-03,1761
B01HUJES06,2023-05-04,1814
B01HUJES06,2023-05-05,1863
B01HUJES06,2023-05-06,1880
B01HUJES06,2023-05-07,1879
B01HUJES06,2023-05-08,1909
B01HUJES06,2023-05-09,1899
B01HUJES06,2023-05-10,1909
B01HUJES06,2023-05-11,595
B01HUJES06,2023-05-12,1116
B01HUJES06,2023-05-13,1441
B01HUJES06,2023-05-14,1678
B01HUJES06,2023-05-15,653
B01HUJES06,2023-05-16,652
B01HUJES06,2023-05-17,396
B01HUJES06,2023-05-18,591
B01HUJES06,2023-05-19,1056
B01HUJES06,2023-05-20,1258
B01HUJES06,2023-05-21,1406
B01HUJES06,2023-05-22,911
B01HUJES06,2023-05-23,1263
B01HUJES06,2023-05-24,1379
B01HUJES06,2023-05-25,1517
B01HUJES06,2023-05-26,1631
B01HUJES06,2023-05-27,1663
B01HUJES06,2023-05-28,1709
B01HUJES06,2023-05-29,1691
B01HUJES06,2023-05-30,1702
B01HUJES06,2023-05-31,1705
B01HUJES06,2023-06-01,1732
B01HUJES06,2023-06-02,1804
B01HUJES06,2023-06-03,1818
B01HUJES06,2023-06-04,1856
B01HUJES06,2023-06-05,1900
B01HUJES06,2023-06-06,1913
B01HUJES06,2023-06-07,1928
B01HUJES06,2023-06-08,1909
B01HUJES06,2023-06-09,1857
B01HUJES06,2023-06-10,1844
B01HUJES06,2023-06-11,1834
B01HUJES06,2023-06-12,1904
B01HUJES06,2023-06-13,1930
B01HUJES06,2023-06-14,1955
B01HUJES06,2023-06-15,1937
B01HUJES06,2023-06-16,1941
B01HUJES06,2023-06-17,1904
B01HUJES06,2023-06-18,1943
B01HUJES06,2023-06-19,669
B01HUJES06,2023-06-20,706
B01HUJES06,2023-06-21,859
B01HUJES06,2023-06-22,1177
B01HUJES06,2023-06-23,1383
B01HUJES06,2023-06-24,1520
B01HUJES06,2023-06-25,1642
B01HUJES06,2023-06-26,1760
B01HUJES06,2023-06-27,1828
B01HUJES06,2023-06-28,1861
B01HUJES06,2023-06-29,1879
B01HUJES06,2023-06-30,1889
B01HUJES06,2023-07-01,1887
B01HUJES06,2023-07-02,1929
B01HUJES06,2023-07-03,1985
B01HUJES06,2023-07-04,2028
B01HUJES06,2023-07-05,2036
B01HUJES06,2023-07-06,2033
B01HUJES06,2023-07-07,1999
B01HUJES06,2023-07-08,1988
B01HUJES06,2023-07-09,1987
B01HUJES06,2023-07-10,1996
B01HUJES06,2023-07-11,2008
B01HUJES06,2023-07-12,2088
B01HUJES06,2023-07-13,2187
B01HUJES06,2023-07-14,2163
B01HUJES06,2023-07-15,2130
B01HUJES06,2023-07-16,2087
B01HUJES06,2023-07-17,2039
B01HUJES06,2023-07-18,2026
B01HUJES06,2023-07-19,2038
B01HUJES06,2023-07-20,2004
B01HUJES06,2023-07-21,1995
B01HUJES06,2023-07-22,1961
B01HUJES06,2023-07-23,1956
B01HUJES06,2023-07-24,1998
B01HUJES06,2023-07-25,1997
B01HUJES06,2023-07-26,2012
B01HUJES06,2023-07-27,684
B01HUJES06,2023-07-28,1154
B01HUJES06,2023-07-29,1405
B01HUJES06,2023-07-30,862
B01HUJES06,2023-07-31,1159
B01HUJES06,2023-08-01,1422
B01HUJES06,2023-08-02,1642
B01HUJES06,2023-08-03,1743
B01HUJES06,2023-08-04,
B01HUJES06,2023-08-05,
B01HUJES06,2023-08-06,1469
B01HUJES06,2023-08-07,1664
B01HUJES06,2023-08-08,1758
B01HUJES06,2023-08-09,1834
B01HUJES06,2023-08-10,
B01HUJES06,2023-08-11,1878
B01HUJES06,2023-08-12,1864
B01HUJES06,2023-08-13,1864
B01HUJES06,2023-08-14,1883
B01HUJES06,2023-08-15,1865
B01HUJES06,2023-08-16,873
B01HUJES06,2023-08-17,613
B01HUJES06,2023-08-18,1192
B01HUJES06,2023-08-19,1359
B01HUJES06,2023-08-20,1541
B01HUJES06,2023-08-21,1689
B01HUJES06,2023-08-22,1783
B01HUJES06,2023-08-23,1822
B01HUJES06,2023-08-24,
B01HUJES06,2023-08-25,1906
B01HUJES06,2023-08-26,1908
B01HUJES06,2023-08-27,1913
B01HUJES06,2023-08-28,1908
B01HUJES06,2023-08-29,355
B01HUJES06,2023-08-30,582
B01HUJES06,2023-08-31,595
B01HUJES06,2023-09-01,1036
B01HUJES06,2023-09-02,1396
B01HUJES06,2023-09-03,1428
B01HUJES06,2023-09-04,1565
B01HUJES06,2023-09-05,1697
B01HUJES06,2023-09-06,591
B01HUJES06,2023-09-07,842
B01HUJES06,2023-09-08,1199
B01HUJES06,2023-09-09,473
B01HUJES06,2023-09-10,811
B01HUJES06,2023-09-11,1081
B01HUJES06,2023-09-12,1309
B01HUJES06,2023-09-13,1443
B01HUJES06,2023-09-14,1585
B01HUJES06,2023-09-15,1655
B01HUJES06,2023-09-16,1705
B01HUJES06,2023-09-17,1766
B01HUJES06,2023-09-18,1807
B01HUJES06,2023-09-19,1848
B01HUJES06,2023-09-20,1862
