asin,date,daily_salesrank
B075B5WR85,2023-01-01,308
B075B5WR85,2023-01-02,357
B075B5WR85,2023-01-03,187
B075B5WR85,2023-01-04,496
B075B5WR85,2023-01-05,502
B075B5WR85,2023-01-06,277
B075B5WR85,2023-01-07,332
B075B5WR85,2023-01-08,540
B075B5WR85,2023-01-09,229
B075B5WR85,2023-01-10,195
B075B5WR85,2023-01-11,168
B075B5WR85,2023-01-12,292
B075B5WR85,2023-01-13,250
B075B5WR85,2023-01-14,177
B075B5WR85,2023-01-15,289
B075B5WR85,2023-01-16,311
B075B5WR85,2023-01-17,316
B075B5WR85,2023-01-18,177
B075B5WR85,2023-01-19,211
B075B5WR85,2023-01-20,225
B075B5WR85,2023-01-21,302
B075B5WR85,2023-01-22,230
B075B5WR85,2023-01-23,247
B075B5WR85,2023-01-24,203
B075B5WR85,2023-01-25,247
B075B5WR85,2023-01-26,236
B075B5WR85,2023-01-27,394
B075B5WR85,2023-01-28,463
B075B5WR85,2023-01-29,338
B075B5WR85,2023-01-30,396
B075B5WR85,2023-01-31,126
B075B5WR85,2023-02-01,152
B075B5WR85,2023-02-02,174
B075B5WR85,2023-02-03,238
B075B5WR85,2023-02-04,210
B075B5WR85,2023-02-05,247
B075B5WR85,2023-02-06,240
B075B5WR85,2023-02-07,249
B075B5WR85,2023-02-08,200
B075B5WR85,2023-02-09,175
B075B5WR85,2023-02-10,138
B075B5WR85,2023-02-11,203
B075B5WR85,2023-02-12,311
B075B5WR85,2023-02-13,186
B075B5WR85,2023-02-14,162
B075B5WR85,2023-02-15,228
B075B5WR85,2023-02-16,231
B075B5WR85,2023-02-17,183
B075B5WR85,2023-02-18,153
B075B5WR85,2023-02-19,304
B075B5WR85,2023-02-20,515
B075B5WR85,2023-02-21,643
B075B5WR85,2023-02-22,428
B075B5WR85,2023-02-23,326
B075B5WR85,2023-02-24,222
B075B5WR85,2023-02-25,207
B075B5WR85,2023-02-26,292
B075B5WR85,2023-02-27,271
B075B5WR85,2023-02-28,130
B075B5WR85,2023-03-01,147
B075B5WR85,2023-03-02,239
B075B5WR85,2023-03-03,275
B075B5WR85,2023-03-04,238
B075B5WR85,2023-03-05,273
B075B5WR85,2023-03-06,409
B075B5WR85,2023-03-07,306
B075B5WR85,2023-03-08,241
B075B5WR85,2023-03-09,379
B075B5WR85,2023-03-10,209
B075B5WR85,2023-03-11,210
B075B5WR85,2023-03-12,267
B075B5WR85,2023-03-13,247
B075B5WR85,2023-03-14,243
B075B5WR85,2023-03-15,164
B075B5WR85,2023-03-16,123
B075B5WR85,2023-03-17,123
B075B5WR85,2023-03-18,177
B075B5WR85,2023-03-19,236
B075B5WR85,2023-03-20,273
B075B5WR85,2023-03-21,194
B075B5WR85,2023-03-22,157
B075B5WR85,2023-03-23,136
B075B5WR85,2023-03-24,164
B075B5WR85,2023-03-25,124
B075B5WR85,2023-03-26,147
B075B5WR85,2023-03-27,166
B075B5WR85,2023-03-28,144
B075B5WR85,2023-03-29,136
B075B5WR85,2023-03-30,141
B075B5WR85,2023-03-31,153
B075B5WR85,2023-04-01,149
B075B5WR85,2023-04-02,178
B075B5WR85,2023-04-03,168
B075B5WR85,2023-04-04,146
B075B5WR85,2023-04-05,186
B075B5WR85,2023-04-06,120
B075B5WR85,2023-04-07,95
