asin,date,daily_salesrank
B07JR174ZT,2023-01-01,555
B07JR174ZT,2023-01-02,552
B07JR174ZT,2023-01-03,567
B07JR174ZT,2023-01-04,681
B07JR174ZT,2023-01-05,681
B07JR174ZT,2023-01-06,704
B07JR174ZT,2023-01-07,666
B07JR174ZT,2023-01-08,681
B07JR174ZT,2023-01-09,657
B07JR174ZT,2023-01-10,670
B07JR174ZT,2023-01-11,643
B07JR174ZT,2023-01-12,632
B07JR174ZT,2023-01-13,601
B07JR174ZT,2023-01-14,592
B07JR174ZT,2023-01-15,615
B07JR174ZT,2023-01-16,646
B07JR174ZT,2023-01-17,614
B07JR174ZT,2023-01-18,617
B07JR174ZT,2023-01-19,101
B07JR174ZT,2023-01-20,107
B07JR174ZT,2023-01-21,567
B07JR174ZT,2023-01-22,602
B07JR174ZT,2023-01-23,470
B07JR174ZT,2023-01-24,552
B07JR174ZT,2023-01-25,281
B07JR174ZT,2023-01-26,320
B07JR174ZT,2023-01-27,353
B07JR174ZT,2023-01-28,421
B07JR174ZT,2023-01-29,572
B07JR174ZT,2023-01-30,597
B07JR174ZT,2023-01-31,606
B07JR174ZT,2023-02-01,423
B07JR174ZT,2023-02-02,536
B07JR174ZT,2023-02-03,410
B07JR174ZT,2023-02-04,526
B07JR174ZT,2023-02-05,601
B07JR174ZT,2023-02-06,642
B07JR174ZT,2023-02-07,588
B07JR174ZT,2023-02-08,598
B07JR174ZT,2023-02-09,584
B07JR174ZT,2023-02-10,588
B07JR174ZT,2023-02-11,537
B07JR174ZT,2023-02-12,621
B07JR174ZT,2023-02-13,653
B07JR174ZT,2023-02-14,616
B07JR174ZT,2023-02-15,604
B07JR174ZT,2023-02-16,636
B07JR174ZT,2023-02-17,397
B07JR174ZT,2023-02-18,481
B07JR174ZT,2023-02-19,564
B07JR174ZT,2023-02-20,647
B07JR174ZT,2023-02-21,631
B07JR174ZT,2023-02-22,389
B07JR174ZT,2023-02-23,489
B07JR174ZT,2023-02-24,395
B07JR174ZT,2023-02-25,335
B07JR174ZT,2023-02-26,518
B07JR174ZT,2023-02-27,447
B07JR174ZT,2023-02-28,387
B07JR174ZT,2023-03-01,524
B07JR174ZT,2023-03-02,614
B07JR174ZT,2023-03-03,662
B07JR174ZT,2023-03-04,636
B07JR174ZT,2023-03-05,469
B07JR174ZT,2023-03-06,485
B07JR174ZT,2023-03-07,626
B07JR174ZT,2023-03-08,458
B07JR174ZT,2023-03-09,352
B07JR174ZT,2023-03-10,518
B07JR174ZT,2023-03-11,542
B07JR174ZT,2023-03-12,634
B07JR174ZT,2023-03-13,311
B07JR174ZT,2023-03-14,364
B07JR174ZT,2023-03-15,305
B07JR174ZT,2023-03-16,508
B07JR174ZT,2023-03-17,587
B07JR174ZT,2023-03-18,441
B07JR174ZT,2023-03-19,220
B07JR174ZT,2023-03-20,223
B07JR174ZT,2023-03-21,171
B07JR174ZT,2023-03-22,167
B07JR174ZT,2023-03-23,145
B07JR174ZT,2023-03-24,220
B07JR174ZT,2023-03-25,279
B07JR174ZT,2023-03-26,218
B07JR174ZT,2023-03-27,216
B07JR174ZT,2023-03-28,236
B07JR174ZT,2023-03-29,284
B07JR174ZT,2023-03-30,468
B07JR174ZT,2023-03-31,526
B07JR174ZT,2023-04-01,405
B07JR174ZT,2023-04-02,455
B07JR174ZT,2023-04-03,639
B07JR174ZT,2023-04-04,670
B07JR174ZT,2023-04-05,662
B07JR174ZT,2023-04-06,679
B07JR174ZT,2023-04-07,678
B07JR174ZT,2023-04-08,436
B07JR174ZT,2023-04-09,604
B07JR174ZT,2023-04-10,665
B07JR174ZT,2023-04-11,665
B07JR174ZT,2023-04-12,680
B07JR174ZT,2023-04-13,675
B07JR174ZT,2023-04-14,408
B07JR174ZT,2023-04-15,519
B07JR174ZT,2023-04-16,461
B07JR174ZT,2023-04-17,593
B07JR174ZT,2023-04-18,671
B07JR174ZT,2023-04-19,662
B07JR174ZT,2023-04-20,679
B07JR174ZT,2023-04-21,703
B07JR174ZT,2023-04-22,676
B07JR174ZT,2023-04-23,738
B07JR174ZT,2023-04-24,782
B07JR174ZT,2023-04-25,738
B07JR174ZT,2023-04-26,513
B07JR174ZT,2023-04-27,649
B07JR174ZT,2023-04-28,627
B07JR174ZT,2023-04-29,665
B07JR174ZT,2023-04-30,701
B07JR174ZT,2023-05-01,769
B07JR174ZT,2023-05-02,752
B07JR174ZT,2023-05-03,701
B07JR174ZT,2023-05-04,735
B07JR174ZT,2023-05-05,711
B07JR174ZT,2023-05-06,737
B07JR174ZT,2023-05-07,725
B07JR174ZT,2023-05-08,422
B07JR174ZT,2023-05-09,470
B07JR174ZT,2023-05-10,681
B07JR174ZT,2023-05-11,682
B07JR174ZT,2023-05-12,678
B07JR174ZT,2023-05-13,668
B07JR174ZT,2023-05-14,729
B07JR174ZT,2023-05-15,751
B07JR174ZT,2023-05-16,720
B07JR174ZT,2023-05-17,725
B07JR174ZT,2023-05-18,749
B07JR174ZT,2023-05-19,749
B07JR174ZT,2023-05-20,389
B07JR174ZT,2023-05-21,591
B07JR174ZT,2023-05-22,478
B07JR174ZT,2023-05-23,537
B07JR174ZT,2023-05-24,711
B07JR174ZT,2023-05-25,692
B07JR174ZT,2023-05-26,707
B07JR174ZT,2023-05-27,684
B07JR174ZT,2023-05-28,724
B07JR174ZT,2023-05-29,734
B07JR174ZT,2023-05-30,734
B07JR174ZT,2023-05-31,730
B07JR174ZT,2023-06-01,763
B07JR174ZT,2023-06-02,776
B07JR174ZT,2023-06-03,784
B07JR174ZT,2023-06-04,797
B07JR174ZT,2023-06-05,836
B07JR174ZT,2023-06-06,810
B07JR174ZT,2023-06-07,781
B07JR174ZT,2023-06-08,744
B07JR174ZT,2023-06-09,742
B07JR174ZT,2023-06-10,770
B07JR174ZT,2023-06-11,752
B07JR174ZT,2023-06-12,770
B07JR174ZT,2023-06-13,516
B07JR174ZT,2023-06-14,681
B07JR174ZT,2023-06-15,802
B07JR174ZT,2023-06-16,767
B07JR174ZT,2023-06-17,767
B07JR174ZT,2023-06-18,802
B07JR174ZT,2023-06-19,834
B07JR174ZT,2023-06-20,767
B07JR174ZT,2023-06-21,773
B07JR174ZT,2023-06-22,822
B07JR174ZT,2023-06-23,783
