asin,date,daily_salesrank
B07KCNJY79,2023-01-01,1724
B07KCNJY79,2023-01-02,1719
B07KCNJY79,2023-01-03,1713
B07KCNJY79,2023-01-04,1806
B07KCNJY79,2023-01-05,1837
B07KCNJY79,2023-01-06,1887
B07KCNJY79,2023-01-07,1879
B07KCNJY79,2023-01-08,1903
B07KCNJY79,2023-01-09,1920
B07KCNJY79,2023-01-10,1899
B07KCNJY79,2023-01-11,1871
B07KCNJY79,2023-01-12,1853
B07KCNJY79,2023-01-13,1828
B07KCNJY79,2023-01-14,1810
B07KCNJY79,2023-01-15,1836
B07KCNJY79,2023-01-16,1838
B07KCNJY79,2023-01-17,1804
B07KCNJY79,2023-01-18,1848
B07KCNJY79,2023-01-19,1844
B07KCNJY79,2023-01-20,1818
B07KCNJY79,2023-01-21,1770
B07KCNJY79,2023-01-22,1757
B07KCNJY79,2023-01-23,1777
B07KCNJY79,2023-01-24,1801
B07KCNJY79,2023-01-25,1800
B07KCNJY79,2023-01-26,613
B07KCNJY79,2023-01-27,1113
B07KCNJY79,2023-01-28,1381
B07KCNJY79,2023-01-29,1502
B07KCNJY79,2023-01-30,1635
B07KCNJY79,2023-01-31,1732
B07KCNJY79,2023-02-01,1769
B07KCNJY79,2023-02-02,1783
B07KCNJY79,2023-02-03,1814
B07KCNJY79,2023-02-04,1821
B07KCNJY79,2023-02-05,1829
B07KCNJY79,2023-02-06,1847
B07KCNJY79,2023-02-07,1824
B07KCNJY79,2023-02-08,1798
B07KCNJY79,2023-02-09,1762
B07KCNJY79,2023-02-10,1775
B07KCNJY79,2023-02-11,1774
B07KCNJY79,2023-02-12,1808
B07KCNJY79,2023-02-13,1813
B07KCNJY79,2023-02-14,1833
B07KCNJY79,2023-02-15,1831
B07KCNJY79,2023-02-16,1840
B07KCNJY79,2023-02-17,1855
B07KCNJY79,2023-02-18,1816
B07KCNJY79,2023-02-19,1825
B07KCNJY79,2023-02-20,1838
B07KCNJY79,2023-02-21,1853
B07KCNJY79,2023-02-22,1868
B07KCNJY79,2023-02-23,1859
B07KCNJY79,2023-02-24,1843
B07KCNJY79,2023-02-25,1826
B07KCNJY79,2023-02-26,1817
B07KCNJY79,2023-02-27,1823
B07KCNJY79,2023-02-28,1816
B07KCNJY79,2023-03-01,1831
B07KCNJY79,2023-03-02,1848
B07KCNJY79,2023-03-03,1899
B07KCNJY79,2023-03-04,1922
B07KCNJY79,2023-03-05,1914
B07KCNJY79,2023-03-06,1923
B07KCNJY79,2023-03-07,1902
B07KCNJY79,2023-03-08,1882
B07KCNJY79,2023-03-09,1899
B07KCNJY79,2023-03-10,1857
B07KCNJY79,2023-03-11,1876
B07KCNJY79,2023-03-12,1886
B07KCNJY79,2023-03-13,1900
B07KCNJY79,2023-03-14,1913
B07KCNJY79,2023-03-15,1936
B07KCNJY79,2023-03-16,1929
B07KCNJY79,2023-03-17,1935
B07KCNJY79,2023-03-18,1939
B07KCNJY79,2023-03-19,1904
B07KCNJY79,2023-03-20,1919
B07KCNJY79,2023-03-21,1930
B07KCNJY79,2023-03-22,1939
B07KCNJY79,2023-03-23,1917
B07KCNJY79,2023-03-24,1915
B07KCNJY79,2023-03-25,1920
B07KCNJY79,2023-03-26,1954
B07KCNJY79,2023-03-27,1970
B07KCNJY79,2023-03-28,1968
B07KCNJY79,2023-03-29,1963
B07KCNJY79,2023-03-30,1969
B07KCNJY79,2023-03-31,1949
B07KCNJY79,2023-04-01,1944
B07KCNJY79,2023-04-02,1998
B07KCNJY79,2023-04-03,2039
B07KCNJY79,2023-04-04,2065
B07KCNJY79,2023-04-05,2075
B07KCNJY79,2023-04-06,2028
B07KCNJY79,2023-04-07,2006
B07KCNJY79,2023-04-08,1998
B07KCNJY79,2023-04-09,2019
B07KCNJY79,2023-04-10,2004
B07KCNJY79,2023-04-11,2014
B07KCNJY79,2023-04-12,2000
B07KCNJY79,2023-04-13,1983
B07KCNJY79,2023-04-14,1966
B07KCNJY79,2023-04-15,1939
B07KCNJY79,2023-04-16,1961
B07KCNJY79,2023-04-17,1993
B07KCNJY79,2023-04-18,1992
B07KCNJY79,2023-04-19,2022
B07KCNJY79,2023-04-20,2026
B07KCNJY79,2023-04-21,2028
B07KCNJY79,2023-04-22,2026
B07KCNJY79,2023-04-23,2032
B07KCNJY79,2023-04-24,2069
B07KCNJY79,2023-04-25,2088
B07KCNJY79,2023-04-26,2079
B07KCNJY79,2023-04-27,2015
B07KCNJY79,2023-04-28,2019
B07KCNJY79,2023-04-29,1983
B07KCNJY79,2023-04-30,1979
B07KCNJY79,2023-05-01,2000
B07KCNJY79,2023-05-02,2025
B07KCNJY79,2023-05-03,2024
B07KCNJY79,2023-05-04,2019
B07KCNJY79,2023-05-05,2020
B07KCNJY79,2023-05-06,2034
B07KCNJY79,2023-05-07,2013
B07KCNJY79,2023-05-08,2019
B07KCNJY79,2023-05-09,2012
B07KCNJY79,2023-05-10,2006
B07KCNJY79,2023-05-11,1981
B07KCNJY79,2023-05-12,1980
B07KCNJY79,2023-05-13,1966
B07KCNJY79,2023-05-14,1981
B07KCNJY79,2023-05-15,2023
B07KCNJY79,2023-05-16,2037
B07KCNJY79,2023-05-17,2064
B07KCNJY79,2023-05-18,2076
B07KCNJY79,2023-05-19,2054
B07KCNJY79,2023-05-20,2069
B07KCNJY79,2023-05-21,2078
B07KCNJY79,2023-05-22,2046
