asin,date,daily_salesrank
B07LBWQ3BF,2023-01-01,699
B07LBWQ3BF,2023-01-02,323
B07LBWQ3BF,2023-01-03,443
B07LBWQ3BF,2023-01-04,1004
B07LBWQ3BF,2023-01-05,1178
B07LBWQ3BF,2023-01-06,1305
B07LBWQ3BF,2023-01-07,622
B07LBWQ3BF,2023-01-08,558
B07LBWQ3BF,2023-01-09,1021
B07LBWQ3BF,2023-01-10,271
B07LBWQ3BF,2023-01-11,331
B07LBWQ3BF,2023-01-12,387
B07LBWQ3BF,2023-01-13,248
B07LBWQ3BF,2023-01-14,331
B07LBWQ3BF,2023-01-15,713
B07LBWQ3BF,2023-01-16,391
B07LBWQ3BF,2023-01-17,520
B07LBWQ3BF,2023-01-18,535
B07LBWQ3BF,2023-01-19,517
B07LBWQ3BF,2023-01-20,492
B07LBWQ3BF,2023-01-21,440
B07LBWQ3BF,2023-01-22,307
B07LBWQ3BF,2023-01-23,420
B07LBWQ3BF,2023-01-24,765
B07LBWQ3BF,2023-01-25,387
B07LBWQ3BF,2023-01-26,314
B07LBWQ3BF,2023-01-27,464
B07LBWQ3BF,2023-01-28,527
B07LBWQ3BF,2023-01-29,927
B07LBWQ3BF,2023-01-30,1135
B07LBWQ3BF,2023-01-31,270
B07LBWQ3BF,2023-02-01,316
B07LBWQ3BF,2023-02-02,856
B07LBWQ3BF,2023-02-03,554
B07LBWQ3BF,2023-02-04,523
B07LBWQ3BF,2023-02-05,631
B07LBWQ3BF,2023-02-06,373
B07LBWQ3BF,2023-02-07,306
B07LBWQ3BF,2023-02-08,377
B07LBWQ3BF,2023-02-09,370
B07LBWQ3BF,2023-02-10,286
B07LBWQ3BF,2023-02-11,369
B07LBWQ3BF,2023-02-12,518
B07LBWQ3BF,2023-02-13,686
B07LBWQ3BF,2023-02-14,485
B07LBWQ3BF,2023-02-15,312
B07LBWQ3BF,2023-02-16,332
B07LBWQ3BF,2023-02-17,295
B07LBWQ3BF,2023-02-18,565
B07LBWQ3BF,2023-02-19,312
B07LBWQ3BF,2023-02-20,374
B07LBWQ3BF,2023-02-21,744
B07LBWQ3BF,2023-02-22,256
B07LBWQ3BF,2023-02-23,383
B07LBWQ3BF,2023-02-24,428
B07LBWQ3BF,2023-02-25,276
B07LBWQ3BF,2023-02-26,312
B07LBWQ3BF,2023-02-27,213
B07LBWQ3BF,2023-02-28,239
B07LBWQ3BF,2023-03-01,316
B07LBWQ3BF,2023-03-02,307
B07LBWQ3BF,2023-03-03,300
B07LBWQ3BF,2023-03-04,251
B07LBWQ3BF,2023-03-05,484
B07LBWQ3BF,2023-03-06,522
B07LBWQ3BF,2023-03-07,785
B07LBWQ3BF,2023-03-08,969
B07LBWQ3BF,2023-03-09,1114
B07LBWQ3BF,2023-03-10,1167
B07LBWQ3BF,2023-03-11,541
B07LBWQ3BF,2023-03-12,1047
B07LBWQ3BF,2023-03-13,1227
B07LBWQ3BF,2023-03-14,1342
B07LBWQ3BF,2023-03-15,1385
B07LBWQ3BF,2023-03-16,1442
B07LBWQ3BF,2023-03-17,1483
B07LBWQ3BF,2023-03-18,1491
B07LBWQ3BF,2023-03-19,448
B07LBWQ3BF,2023-03-20,419
B07LBWQ3BF,2023-03-21,391
B07LBWQ3BF,2023-03-22,509
B07LBWQ3BF,2023-03-23,485
B07LBWQ3BF,2023-03-24,464
B07LBWQ3BF,2023-03-25,469
B07LBWQ3BF,2023-03-26,553
B07LBWQ3BF,2023-03-27,472
