asin,date,daily_salesrank
B07RWR7BX6,2023-01-01,54
B07RWR7BX6,2023-01-02,73
B07RWR7BX6,2023-01-03,81
B07RWR7BX6,2023-01-04,69
B07RWR7BX6,2023-01-05,66
B07RWR7BX6,2023-01-06,66
B07RWR7BX6,2023-01-07,84
B07RWR7BX6,2023-01-08,96
B07RWR7BX6,2023-01-09,98
B07RWR7BX6,2023-01-10,115
B07RWR7BX6,2023-01-11,95
B07RWR7BX6,2023-01-12,121
B07RWR7BX6,2023-01-13,44
B07RWR7BX6,2023-01-14,61
B07RWR7BX6,2023-01-15,67
B07RWR7BX6,2023-01-16,92
B07RWR7BX6,2023-01-17,99
B07RWR7BX6,2023-01-18,79
B07RWR7BX6,2023-01-19,71
B07RWR7BX6,2023-01-20,34
B07RWR7BX6,2023-01-21,35
B07RWR7BX6,2023-01-22,59
B07RWR7BX6,2023-01-23,45
B07RWR7BX6,2023-01-24,50
B07RWR7BX6,2023-01-25,35
B07RWR7BX6,2023-01-26,33
B07RWR7BX6,2023-01-27,30
B07RWR7BX6,2023-01-28,21
B07RWR7BX6,2023-01-29,21
B07RWR7BX6,2023-01-30,26
B07RWR7BX6,2023-01-31,23
B07RWR7BX6,2023-02-01,19
B07RWR7BX6,2023-02-02,23
B07RWR7BX6,2023-02-03,22
B07RWR7BX6,2023-02-04,25
B07RWR7BX6,2023-02-05,34
B07RWR7BX6,2023-02-06,37
B07RWR7BX6,2023-02-07,34
B07RWR7BX6,2023-02-08,39
B07RWR7BX6,2023-02-09,43
B07RWR7BX6,2023-02-10,29
B07RWR7BX6,2023-02-11,25
B07RWR7BX6,2023-02-12,43
B07RWR7BX6,2023-02-13,28
B07RWR7BX6,2023-02-14,25
B07RWR7BX6,2023-02-15,34
B07RWR7BX6,2023-02-16,32
B07RWR7BX6,2023-02-17,26
B07RWR7BX6,2023-02-18,32
B07RWR7BX6,2023-02-19,33
B07RWR7BX6,2023-02-20,39
B07RWR7BX6,2023-02-21,44
B07RWR7BX6,2023-02-22,30
B07RWR7BX6,2023-02-23,30
B07RWR7BX6,2023-02-24,29
B07RWR7BX6,2023-02-25,27
B07RWR7BX6,2023-02-26,20
B07RWR7BX6,2023-02-27,33
B07RWR7BX6,2023-02-28,28
B07RWR7BX6,2023-03-01,26
B07RWR7BX6,2023-03-02,24
B07RWR7BX6,2023-03-03,25
B07RWR7BX6,2023-03-04,27
B07RWR7BX6,2023-03-05,29
B07RWR7BX6,2023-03-06,36
B07RWR7BX6,2023-03-07,34
B07RWR7BX6,2023-03-08,37
B07RWR7BX6,2023-03-09,29
B07RWR7BX6,2023-03-10,29
B07RWR7BX6,2023-03-11,25
B07RWR7BX6,2023-03-12,26
B07RWR7BX6,2023-03-13,35
B07RWR7BX6,2023-03-14,31
B07RWR7BX6,2023-03-15,30
B07RWR7BX6,2023-03-16,32
B07RWR7BX6,2023-03-17,24
B07RWR7BX6,2023-03-18,26
B07RWR7BX6,2023-03-19,39
B07RWR7BX6,2023-03-20,33
B07RWR7BX6,2023-03-21,30
B07RWR7BX6,2023-03-22,28
B07RWR7BX6,2023-03-23,25
B07RWR7BX6,2023-03-24,26
B07RWR7BX6,2023-03-25,23
B07RWR7BX6,2023-03-26,26
B07RWR7BX6,2023-03-27,26
B07RWR7BX6,2023-03-28,24
B07RWR7BX6,2023-03-29,14
B07RWR7BX6,2023-03-30,11
B07RWR7BX6,2023-03-31,14
B07RWR7BX6,2023-04-01,14
B07RWR7BX6,2023-04-02,17
B07RWR7BX6,2023-04-03,17
B07RWR7BX6,2023-04-04,18
B07RWR7BX6,2023-04-05,21
B07RWR7BX6,2023-04-06,24
B07RWR7BX6,2023-04-07,19
B07RWR7BX6,2023-04-08,24
B07RWR7BX6,2023-04-09,31
B07RWR7BX6,2023-04-10,30
B07RWR7BX6,2023-04-11,27
B07RWR7BX6,2023-04-12,28
B07RWR7BX6,2023-04-13,23
B07RWR7BX6,2023-04-14,24
B07RWR7BX6,2023-04-15,28
B07RWR7BX6,2023-04-16,34
B07RWR7BX6,2023-04-17,32
B07RWR7BX6,2023-04-18,27
B07RWR7BX6,2023-04-19,30
B07RWR7BX6,2023-04-20,32
B07RWR7BX6,2023-04-21,28
B07RWR7BX6,2023-04-22,29
B07RWR7BX6,2023-04-23,39
B07RWR7BX6,2023-04-24,28
B07RWR7BX6,2023-04-25,29
B07RWR7BX6,2023-04-26,31
B07RWR7BX6,2023-04-27,28
B07RWR7BX6,2023-04-28,31
B07RWR7BX6,2023-04-29,31
B07RWR7BX6,2023-04-30,40
B07RWR7BX6,2023-05-01,25
B07RWR7BX6,2023-05-02,24
