asin,date,daily_salesrank
B07YC9Z3N1,2023-01-01,1709
B07YC9Z3N1,2023-01-02,1710
B07YC9Z3N1,2023-01-03,1718
B07YC9Z3N1,2023-01-04,1794
B07YC9Z3N1,2023-01-05,1842
B07YC9Z3N1,2023-01-06,1892
B07YC9Z3N1,2023-01-07,1891
B07YC9Z3N1,2023-01-08,1912
B07YC9Z3N1,2023-01-09,1910
B07YC9Z3N1,2023-01-10,1916
B07YC9Z3N1,2023-01-11,1885
B07YC9Z3N1,2023-01-12,1877
B07YC9Z3N1,2023-01-13,1838
B07YC9Z3N1,2023-01-14,1823
B07YC9Z3N1,2023-01-15,1833
B07YC9Z3N1,2023-01-16,1863
B07YC9Z3N1,2023-01-17,1834
B07YC9Z3N1,2023-01-18,1874
B07YC9Z3N1,2023-01-19,1850
B07YC9Z3N1,2023-01-20,1841
B07YC9Z3N1,2023-01-21,1798
B07YC9Z3N1,2023-01-22,1793
B07YC9Z3N1,2023-01-23,1808
B07YC9Z3N1,2023-01-24,1822
B07YC9Z3N1,2023-01-25,1824
B07YC9Z3N1,2023-01-26,1838
B07YC9Z3N1,2023-01-27,1822
B07YC9Z3N1,2023-01-28,1804
B07YC9Z3N1,2023-01-29,1836
B07YC9Z3N1,2023-01-30,1824
B07YC9Z3N1,2023-01-31,1867
B07YC9Z3N1,2023-02-01,1874
B07YC9Z3N1,2023-02-02,1875
B07YC9Z3N1,2023-02-03,1889
B07YC9Z3N1,2023-02-04,1885
B07YC9Z3N1,2023-02-05,1896
B07YC9Z3N1,2023-02-06,1911
B07YC9Z3N1,2023-02-07,1882
B07YC9Z3N1,2023-02-08,1864
B07YC9Z3N1,2023-02-09,1830
B07YC9Z3N1,2023-02-10,1838
B07YC9Z3N1,2023-02-11,1806
B07YC9Z3N1,2023-02-12,1852
B07YC9Z3N1,2023-02-13,1874
B07YC9Z3N1,2023-02-14,1876
B07YC9Z3N1,2023-02-15,1876
B07YC9Z3N1,2023-02-16,1879
B07YC9Z3N1,2023-02-17,1890
B07YC9Z3N1,2023-02-18,1863
B07YC9Z3N1,2023-02-19,1866
B07YC9Z3N1,2023-02-20,1887
B07YC9Z3N1,2023-02-21,1901
B07YC9Z3N1,2023-02-22,1895
B07YC9Z3N1,2023-02-23,1898
B07YC9Z3N1,2023-02-24,1881
B07YC9Z3N1,2023-02-25,1864
B07YC9Z3N1,2023-02-26,1870
B07YC9Z3N1,2023-02-27,1848
B07YC9Z3N1,2023-02-28,1844
B07YC9Z3N1,2023-03-01,1870
B07YC9Z3N1,2023-03-02,1902
B07YC9Z3N1,2023-03-03,1933
B07YC9Z3N1,2023-03-04,1951
B07YC9Z3N1,2023-03-05,1956
B07YC9Z3N1,2023-03-06,1959
B07YC9Z3N1,2023-03-07,1945
B07YC9Z3N1,2023-03-08,1922
B07YC9Z3N1,2023-03-09,1941
B07YC9Z3N1,2023-03-10,1897
B07YC9Z3N1,2023-03-11,1904
B07YC9Z3N1,2023-03-12,1931
B07YC9Z3N1,2023-03-13,1952
B07YC9Z3N1,2023-03-14,1947
B07YC9Z3N1,2023-03-15,610
B07YC9Z3N1,2023-03-16,705
B07YC9Z3N1,2023-03-17,1229
B07YC9Z3N1,2023-03-18,1434
B07YC9Z3N1,2023-03-19,1623
B07YC9Z3N1,2023-03-20,1758
B07YC9Z3N1,2023-03-21,1810
B07YC9Z3N1,2023-03-22,1972
B07YC9Z3N1,2023-03-23,1956
B07YC9Z3N1,2023-03-24,1954
B07YC9Z3N1,2023-03-25,1953
B07YC9Z3N1,2023-03-26,1972
B07YC9Z3N1,2023-03-27,2000
B07YC9Z3N1,2023-03-28,1991
B07YC9Z3N1,2023-03-29,1985
B07YC9Z3N1,2023-03-30,1974
B07YC9Z3N1,2023-03-31,1974
B07YC9Z3N1,2023-04-01,1969
B07YC9Z3N1,2023-04-02,2023
B07YC9Z3N1,2023-04-03,2057
B07YC9Z3N1,2023-04-04,2070
B07YC9Z3N1,2023-04-05,2062
B07YC9Z3N1,2023-04-06,2054
B07YC9Z3N1,2023-04-07,2033
B07YC9Z3N1,2023-04-08,2032
B07YC9Z3N1,2023-04-09,2028
B07YC9Z3N1,2023-04-10,2026
B07YC9Z3N1,2023-04-11,2038
B07YC9Z3N1,2023-04-12,2025
B07YC9Z3N1,2023-04-13,2013
B07YC9Z3N1,2023-04-14,1984
B07YC9Z3N1,2023-04-15,1955
B07YC9Z3N1,2023-04-16,1990
B07YC9Z3N1,2023-04-17,2017
B07YC9Z3N1,2023-04-18,2016
B07YC9Z3N1,2023-04-19,2033
B07YC9Z3N1,2023-04-20,2051
B07YC9Z3N1,2023-04-21,2048
B07YC9Z3N1,2023-04-22,2038
B07YC9Z3N1,2023-04-23,2058
B07YC9Z3N1,2023-04-24,2087
B07YC9Z3N1,2023-04-25,2088
B07YC9Z3N1,2023-04-26,2096
B07YC9Z3N1,2023-04-27,2034
B07YC9Z3N1,2023-04-28,2035
B07YC9Z3N1,2023-04-29,2003
B07YC9Z3N1,2023-04-30,2000
B07YC9Z3N1,2023-05-01,2012
B07YC9Z3N1,2023-05-02,2044
B07YC9Z3N1,2023-05-03,2048
B07YC9Z3N1,2023-05-04,2040
B07YC9Z3N1,2023-05-05,2041
B07YC9Z3N1,2023-05-06,2025
B07YC9Z3N1,2023-05-07,2035
