asin,date,daily_salesrank
B07YCBRJFQ,2023-01-01,1713
B07YCBRJFQ,2023-01-02,1709
B07YCBRJFQ,2023-01-03,1712
B07YCBRJFQ,2023-01-04,1794
B07YCBRJFQ,2023-01-05,1842
B07YCBRJFQ,2023-01-06,1892
B07YCBRJFQ,2023-01-07,1891
B07YCBRJFQ,2023-01-08,1902
B07YCBRJFQ,2023-01-09,1910
B07YCBRJFQ,2023-01-10,1918
B07YCBRJFQ,2023-01-11,1880
B07YCBRJFQ,2023-01-12,1877
B07YCBRJFQ,2023-01-13,1841
B07YCBRJFQ,2023-01-14,1831
B07YCBRJFQ,2023-01-15,1840
B07YCBRJFQ,2023-01-16,1863
B07YCBRJFQ,2023-01-17,1834
B07YCBRJFQ,2023-01-18,1878
B07YCBRJFQ,2023-01-19,1852
B07YCBRJFQ,2023-01-20,1843
B07YCBRJFQ,2023-01-21,1801
B07YCBRJFQ,2023-01-22,1793
B07YCBRJFQ,2023-01-23,1808
B07YCBRJFQ,2023-01-24,1820
B07YCBRJFQ,2023-01-25,1830
B07YCBRJFQ,2023-01-26,1838
B07YCBRJFQ,2023-01-27,1822
B07YCBRJFQ,2023-01-28,1804
B07YCBRJFQ,2023-01-29,1841
B07YCBRJFQ,2023-01-30,1824
B07YCBRJFQ,2023-01-31,1867
B07YCBRJFQ,2023-02-01,1879
B07YCBRJFQ,2023-02-02,1884
B07YCBRJFQ,2023-02-03,1888
B07YCBRJFQ,2023-02-04,1884
B07YCBRJFQ,2023-02-05,1898
B07YCBRJFQ,2023-02-06,1913
B07YCBRJFQ,2023-02-07,1892
B07YCBRJFQ,2023-02-08,1864
B07YCBRJFQ,2023-02-09,1836
B07YCBRJFQ,2023-02-10,1838
B07YCBRJFQ,2023-02-11,1806
B07YCBRJFQ,2023-02-12,1852
B07YCBRJFQ,2023-02-13,1887
B07YCBRJFQ,2023-02-14,1886
B07YCBRJFQ,2023-02-15,1882
B07YCBRJFQ,2023-02-16,1879
B07YCBRJFQ,2023-02-17,1890
B07YCBRJFQ,2023-02-18,1870
B07YCBRJFQ,2023-02-19,1893
B07YCBRJFQ,2023-02-20,1904
B07YCBRJFQ,2023-02-21,1903
B07YCBRJFQ,2023-02-22,1895
B07YCBRJFQ,2023-02-23,1904
B07YCBRJFQ,2023-02-24,1905
B07YCBRJFQ,2023-02-25,1868
B07YCBRJFQ,2023-02-26,1870
B07YCBRJFQ,2023-02-27,1844
B07YCBRJFQ,2023-02-28,1858
B07YCBRJFQ,2023-03-01,1875
B07YCBRJFQ,2023-03-02,1914
B07YCBRJFQ,2023-03-03,1933
B07YCBRJFQ,2023-03-04,1950
B07YCBRJFQ,2023-03-05,1956
B07YCBRJFQ,2023-03-06,1959
B07YCBRJFQ,2023-03-07,1939
B07YCBRJFQ,2023-03-08,1922
B07YCBRJFQ,2023-03-09,1939
B07YCBRJFQ,2023-03-10,1903
B07YCBRJFQ,2023-03-11,1904
B07YCBRJFQ,2023-03-12,1931
B07YCBRJFQ,2023-03-13,1952
B07YCBRJFQ,2023-03-14,1945
B07YCBRJFQ,2023-03-15,610
B07YCBRJFQ,2023-03-16,705
B07YCBRJFQ,2023-03-17,1229
B07YCBRJFQ,2023-03-18,1434
B07YCBRJFQ,2023-03-19,1623
B07YCBRJFQ,2023-03-20,1758
B07YCBRJFQ,2023-03-21,1815
B07YCBRJFQ,2023-03-22,1974
B07YCBRJFQ,2023-03-23,1958
B07YCBRJFQ,2023-03-24,1972
B07YCBRJFQ,2023-03-25,1953
B07YCBRJFQ,2023-03-26,1972
B07YCBRJFQ,2023-03-27,1994
B07YCBRJFQ,2023-03-28,1991
B07YCBRJFQ,2023-03-29,1985
B07YCBRJFQ,2023-03-30,1974
B07YCBRJFQ,2023-03-31,1974
B07YCBRJFQ,2023-04-01,1969
B07YCBRJFQ,2023-04-02,2018
B07YCBRJFQ,2023-04-03,2057
B07YCBRJFQ,2023-04-04,2070
B07YCBRJFQ,2023-04-05,2069
B07YCBRJFQ,2023-04-06,2054
B07YCBRJFQ,2023-04-07,2033
B07YCBRJFQ,2023-04-08,2032
B07YCBRJFQ,2023-04-09,2028
B07YCBRJFQ,2023-04-10,2026
B07YCBRJFQ,2023-04-11,2038
B07YCBRJFQ,2023-04-12,2025
B07YCBRJFQ,2023-04-13,2013
B07YCBRJFQ,2023-04-14,1981
B07YCBRJFQ,2023-04-15,1955
B07YCBRJFQ,2023-04-16,1990
B07YCBRJFQ,2023-04-17,2017
B07YCBRJFQ,2023-04-18,2016
B07YCBRJFQ,2023-04-19,2033
B07YCBRJFQ,2023-04-20,2051
B07YCBRJFQ,2023-04-21,2048
B07YCBRJFQ,2023-04-22,2037
B07YCBRJFQ,2023-04-23,2058
B07YCBRJFQ,2023-04-24,2087
B07YCBRJFQ,2023-04-25,2089
B07YCBRJFQ,2023-04-26,2096
B07YCBRJFQ,2023-04-27,2034
B07YCBRJFQ,2023-04-28,2030
B07YCBRJFQ,2023-04-29,2003
B07YCBRJFQ,2023-04-30,2000
B07YCBRJFQ,2023-05-01,2012
B07YCBRJFQ,2023-05-02,2044
B07YCBRJFQ,2023-05-03,2048
B07YCBRJFQ,2023-05-04,2040
B07YCBRJFQ,2023-05-05,2041
B07YCBRJFQ,2023-05-06,2025
B07YCBRJFQ,2023-05-07,2035
B07YCBRJFQ,2023-05-08,2041
B07YCBRJFQ,2023-05-09,2038
B07YCBRJFQ,2023-05-10,2030
B07YCBRJFQ,2023-05-11,2007
B07YCBRJFQ,2023-05-12,1998
B07YCBRJFQ,2023-05-13,1988
B07YCBRJFQ,2023-05-14,2008
B07YCBRJFQ,2023-05-15,2043
B07YCBRJFQ,2023-05-16,2051
B07YCBRJFQ,2023-05-17,2070
B07YCBRJFQ,2023-05-18,2087
B07YCBRJFQ,2023-05-19,2079
B07YCBRJFQ,2023-05-20,2091
B07YCBRJFQ,2023-05-21,2076
B07YCBRJFQ,2023-05-22,2071
B07YCBRJFQ,2023-05-23,2072
B07YCBRJFQ,2023-05-24,2064
B07YCBRJFQ,2023-05-25,2057
B07YCBRJFQ,2023-05-26,2018
B07YCBRJFQ,2023-05-27,2001
B07YCBRJFQ,2023-05-28,1986
B07YCBRJFQ,2023-05-29,1937
B07YCBRJFQ,2023-05-30,1912
B07YCBRJFQ,2023-05-31,1918
