asin,date,daily_salesrank
B083N9LZ6Y,2023-01-01,198
B083N9LZ6Y,2023-01-02,212
B083N9LZ6Y,2023-01-03,247
B083N9LZ6Y,2023-01-04,332
B083N9LZ6Y,2023-01-05,187
B083N9LZ6Y,2023-01-06,266
B083N9LZ6Y,2023-01-07,335
B083N9LZ6Y,2023-01-08,286
B083N9LZ6Y,2023-01-09,352
B083N9LZ6Y,2023-01-10,376
B083N9LZ6Y,2023-01-11,181
B083N9LZ6Y,2023-01-12,183
B083N9LZ6Y,2023-01-13,185
B083N9LZ6Y,2023-01-14,294
B083N9LZ6Y,2023-01-15,344
B083N9LZ6Y,2023-01-16,323
B083N9LZ6Y,2023-01-17,280
B083N9LZ6Y,2023-01-18,337
B083N9LZ6Y,2023-01-19,281
B083N9LZ6Y,2023-01-20,596
B083N9LZ6Y,2023-01-21,432
B083N9LZ6Y,2023-01-22,462
B083N9LZ6Y,2023-01-23,500
B083N9LZ6Y,2023-01-24,423
B083N9LZ6Y,2023-01-25,219
B083N9LZ6Y,2023-01-26,185
B083N9LZ6Y,2023-01-27,295
B083N9LZ6Y,2023-01-28,368
B083N9LZ6Y,2023-01-29,238
B083N9LZ6Y,2023-01-30,273
B083N9LZ6Y,2023-01-31,206
B083N9LZ6Y,2023-02-01,227
B083N9LZ6Y,2023-02-02,254
B083N9LZ6Y,2023-02-03,287
B083N9LZ6Y,2023-02-04,392
B083N9LZ6Y,2023-02-05,271
B083N9LZ6Y,2023-02-06,209
B083N9LZ6Y,2023-02-07,181
B083N9LZ6Y,2023-02-08,228
B083N9LZ6Y,2023-02-09,176
B083N9LZ6Y,2023-02-10,209
B083N9LZ6Y,2023-02-11,226
B083N9LZ6Y,2023-02-12,390
B083N9LZ6Y,2023-02-13,243
B083N9LZ6Y,2023-02-14,240
B083N9LZ6Y,2023-02-15,411
B083N9LZ6Y,2023-02-16,350
B083N9LZ6Y,2023-02-17,467
B083N9LZ6Y,2023-02-18,411
B083N9LZ6Y,2023-02-19,508
B083N9LZ6Y,2023-02-20,436
B083N9LZ6Y,2023-02-21,223
B083N9LZ6Y,2023-02-22,254
B083N9LZ6Y,2023-02-23,435
B083N9LZ6Y,2023-02-24,163
B083N9LZ6Y,2023-02-25,303
B083N9LZ6Y,2023-02-26,194
B083N9LZ6Y,2023-02-27,284
B083N9LZ6Y,2023-02-28,220
B083N9LZ6Y,2023-03-01,272
B083N9LZ6Y,2023-03-02,328
B083N9LZ6Y,2023-03-03,355
B083N9LZ6Y,2023-03-04,399
B083N9LZ6Y,2023-03-05,589
B083N9LZ6Y,2023-03-06,883
B083N9LZ6Y,2023-03-07,482
B083N9LZ6Y,2023-03-08,350
B083N9LZ6Y,2023-03-09,266
B083N9LZ6Y,2023-03-10,266
B083N9LZ6Y,2023-03-11,312
B083N9LZ6Y,2023-03-12,548
B083N9LZ6Y,2023-03-13,475
B083N9LZ6Y,2023-03-14,313
B083N9LZ6Y,2023-03-15,354
B083N9LZ6Y,2023-03-16,312
B083N9LZ6Y,2023-03-17,404
B083N9LZ6Y,2023-03-18,478
B083N9LZ6Y,2023-03-19,389
B083N9LZ6Y,2023-03-20,293
B083N9LZ6Y,2023-03-21,333
B083N9LZ6Y,2023-03-22,353
B083N9LZ6Y,2023-03-23,317
B083N9LZ6Y,2023-03-24,441
B083N9LZ6Y,2023-03-25,319
B083N9LZ6Y,2023-03-26,253
B083N9LZ6Y,2023-03-27,359
B083N9LZ6Y,2023-03-28,477
B083N9LZ6Y,2023-03-29,409
B083N9LZ6Y,2023-03-30,370
B083N9LZ6Y,2023-03-31,338
B083N9LZ6Y,2023-04-01,399
B083N9LZ6Y,2023-04-02,407
B083N9LZ6Y,2023-04-03,316
B083N9LZ6Y,2023-04-04,302
B083N9LZ6Y,2023-04-05,470
B083N9LZ6Y,2023-04-06,349
B083N9LZ6Y,2023-04-07,457
B083N9LZ6Y,2023-04-08,311
B083N9LZ6Y,2023-04-09,554
B083N9LZ6Y,2023-04-10,826
B083N9LZ6Y,2023-04-11,496
B083N9LZ6Y,2023-04-12,319
B083N9LZ6Y,2023-04-13,345
B083N9LZ6Y,2023-04-14,337
B083N9LZ6Y,2023-04-15,535
B083N9LZ6Y,2023-04-16,520
B083N9LZ6Y,2023-04-17,424
B083N9LZ6Y,2023-04-18,311
B083N9LZ6Y,2023-04-19,346
B083N9LZ6Y,2023-04-20,298
B083N9LZ6Y,2023-04-21,347
B083N9LZ6Y,2023-04-22,312
B083N9LZ6Y,2023-04-23,347
B083N9LZ6Y,2023-04-24,448
B083N9LZ6Y,2023-04-25,325
B083N9LZ6Y,2023-04-26,245
B083N9LZ6Y,2023-04-27,331
B083N9LZ6Y,2023-04-28,231
B083N9LZ6Y,2023-04-29,269
B083N9LZ6Y,2023-04-30,268
B083N9LZ6Y,2023-05-01,300
B083N9LZ6Y,2023-05-02,443
B083N9LZ6Y,2023-05-03,642
B083N9LZ6Y,2023-05-04,532
B083N9LZ6Y,2023-05-05,561
B083N9LZ6Y,2023-05-06,529
B083N9LZ6Y,2023-05-07,539
B083N9LZ6Y,2023-05-08,608
B083N9LZ6Y,2023-05-09,372
B083N9LZ6Y,2023-05-10,284
B083N9LZ6Y,2023-05-11,596
B083N9LZ6Y,2023-05-12,834
B083N9LZ6Y,2023-05-13,305
B083N9LZ6Y,2023-05-14,391
B083N9LZ6Y,2023-05-15,709
B083N9LZ6Y,2023-05-16,516
B083N9LZ6Y,2023-05-17,450
B083N9LZ6Y,2023-05-18,432
B083N9LZ6Y,2023-05-19,381
B083N9LZ6Y,2023-05-20,518
B083N9LZ6Y,2023-05-21,852
B083N9LZ6Y,2023-05-22,364
B083N9LZ6Y,2023-05-23,317
B083N9LZ6Y,2023-05-24,442
B083N9LZ6Y,2023-05-25,349
B083N9LZ6Y,2023-05-26,400
B083N9LZ6Y,2023-05-27,433
B083N9LZ6Y,2023-05-28,481
B083N9LZ6Y,2023-05-29,689
B083N9LZ6Y,2023-05-30,205
B083N9LZ6Y,2023-05-31,299
B083N9LZ6Y,2023-06-01,317
B083N9LZ6Y,2023-06-02,515
B083N9LZ6Y,2023-06-03,396
B083N9LZ6Y,2023-06-04,516
B083N9LZ6Y,2023-06-05,414
B083N9LZ6Y,2023-06-06,423
B083N9LZ6Y,2023-06-07,448
B083N9LZ6Y,2023-06-08,438
B083N9LZ6Y,2023-06-09,445
B083N9LZ6Y,2023-06-10,455
B083N9LZ6Y,2023-06-11,520
B083N9LZ6Y,2023-06-12,464
B083N9LZ6Y,2023-06-13,469
B083N9LZ6Y,2023-06-14,400
B083N9LZ6Y,2023-06-15,915
B083N9LZ6Y,2023-06-16,547
B083N9LZ6Y,2023-06-17,496
B083N9LZ6Y,2023-06-18,639
B083N9LZ6Y,2023-06-19,936
B083N9LZ6Y,2023-06-20,559
B083N9LZ6Y,2023-06-21,403
B083N9LZ6Y,2023-06-22,475
B083N9LZ6Y,2023-06-23,327
B083N9LZ6Y,2023-06-24,457
B083N9LZ6Y,2023-06-25,406
B083N9LZ6Y,2023-06-26,641
B083N9LZ6Y,2023-06-27,522
B083N9LZ6Y,2023-06-28,520
B083N9LZ6Y,2023-06-29,703
B083N9LZ6Y,2023-06-30,631
B083N9LZ6Y,2023-07-01,799
B083N9LZ6Y,2023-07-02,1088
B083N9LZ6Y,2023-07-03,569
B083N9LZ6Y,2023-07-04,431
B083N9LZ6Y,2023-07-05,503
B083N9LZ6Y,2023-07-06,318
B083N9LZ6Y,2023-07-07,387
B083N9LZ6Y,2023-07-08,716
B083N9LZ6Y,2023-07-09,945
B083N9LZ6Y,2023-07-10,1127
B083N9LZ6Y,2023-07-11,453
B083N9LZ6Y,2023-07-12,534
B083N9LZ6Y,2023-07-13,502
B083N9LZ6Y,2023-07-14,480
B083N9LZ6Y,2023-07-15,773
B083N9LZ6Y,2023-07-16,618
B083N9LZ6Y,2023-07-17,522
B083N9LZ6Y,2023-07-18,749
B083N9LZ6Y,2023-07-19,1031
B083N9LZ6Y,2023-07-20,446
B083N9LZ6Y,2023-07-21,444
B083N9LZ6Y,2023-07-22,446
B083N9LZ6Y,2023-07-23,687
