asin,date,daily_salesrank
B08KH6QFYZ,2023-01-01,167
B08KH6QFYZ,2023-01-02,123
B08KH6QFYZ,2023-01-03,169
B08KH6QFYZ,2023-01-04,245
B08KH6QFYZ,2023-01-05,118
B08KH6QFYZ,2023-01-06,116
B08KH6QFYZ,2023-01-07,122
B08KH6QFYZ,2023-01-08,132
B08KH6QFYZ,2023-01-09,161
B08KH6QFYZ,2023-01-10,133
B08KH6QFYZ,2023-01-11,112
B08KH6QFYZ,2023-01-12,135
B08KH6QFYZ,2023-01-13,88
B08KH6QFYZ,2023-01-14,133
B08KH6QFYZ,2023-01-15,156
B08KH6QFYZ,2023-01-16,167
B08KH6QFYZ,2023-01-17,204
B08KH6QFYZ,2023-01-18,120
B08KH6QFYZ,2023-01-19,225
B08KH6QFYZ,2023-01-20,157
B08KH6QFYZ,2023-01-21,158
B08KH6QFYZ,2023-01-22,189
B08KH6QFYZ,2023-01-23,163
B08KH6QFYZ,2023-01-24,209
B08KH6QFYZ,2023-01-25,300
B08KH6QFYZ,2023-01-26,167
B08KH6QFYZ,2023-01-27,159
B08KH6QFYZ,2023-01-28,184
B08KH6QFYZ,2023-01-29,158
B08KH6QFYZ,2023-01-30,200
B08KH6QFYZ,2023-01-31,221
B08KH6QFYZ,2023-02-01,194
B08KH6QFYZ,2023-02-02,98
B08KH6QFYZ,2023-02-03,141
B08KH6QFYZ,2023-02-04,133
B08KH6QFYZ,2023-02-05,169
B08KH6QFYZ,2023-02-06,150
B08KH6QFYZ,2023-02-07,230
B08KH6QFYZ,2023-02-08,104
B08KH6QFYZ,2023-02-09,108
B08KH6QFYZ,2023-02-10,111
B08KH6QFYZ,2023-02-11,130
B08KH6QFYZ,2023-02-12,124
B08KH6QFYZ,2023-02-13,150
B08KH6QFYZ,2023-02-14,172
B08KH6QFYZ,2023-02-15,252
B08KH6QFYZ,2023-02-16,139
B08KH6QFYZ,2023-02-17,130
B08KH6QFYZ,2023-02-18,144
B08KH6QFYZ,2023-02-19,182
B08KH6QFYZ,2023-02-20,140
B08KH6QFYZ,2023-02-21,200
B08KH6QFYZ,2023-02-22,136
B08KH6QFYZ,2023-02-23,128
B08KH6QFYZ,2023-02-24,84
B08KH6QFYZ,2023-02-25,117
B08KH6QFYZ,2023-02-26,144
B08KH6QFYZ,2023-02-27,114
B08KH6QFYZ,2023-02-28,175
B08KH6QFYZ,2023-03-01,94
B08KH6QFYZ,2023-03-02,81
B08KH6QFYZ,2023-03-03,102
B08KH6QFYZ,2023-03-04,86
B08KH6QFYZ,2023-03-05,90
B08KH6QFYZ,2023-03-06,103
B08KH6QFYZ,2023-03-07,82
B08KH6QFYZ,2023-03-08,94
B08KH6QFYZ,2023-03-09,99
B08KH6QFYZ,2023-03-10,107
B08KH6QFYZ,2023-03-11,118
B08KH6QFYZ,2023-03-12,116
B08KH6QFYZ,2023-03-13,133
B08KH6QFYZ,2023-03-14,94
B08KH6QFYZ,2023-03-15,118
B08KH6QFYZ,2023-03-16,105
B08KH6QFYZ,2023-03-17,101
B08KH6QFYZ,2023-03-18,114
B08KH6QFYZ,2023-03-19,158
B08KH6QFYZ,2023-03-20,139
B08KH6QFYZ,2023-03-21,178
B08KH6QFYZ,2023-03-22,184
B08KH6QFYZ,2023-03-23,175
B08KH6QFYZ,2023-03-24,193
B08KH6QFYZ,2023-03-25,129
B08KH6QFYZ,2023-03-26,186
B08KH6QFYZ,2023-03-27,194
B08KH6QFYZ,2023-03-28,127
B08KH6QFYZ,2023-03-29,157
B08KH6QFYZ,2023-03-30,142
B08KH6QFYZ,2023-03-31,132
B08KH6QFYZ,2023-04-01,138
B08KH6QFYZ,2023-04-02,152
B08KH6QFYZ,2023-04-03,124
B08KH6QFYZ,2023-04-04,154
B08KH6QFYZ,2023-04-05,130
B08KH6QFYZ,2023-04-06,130
B08KH6QFYZ,2023-04-07,128
B08KH6QFYZ,2023-04-08,146
B08KH6QFYZ,2023-04-09,176
B08KH6QFYZ,2023-04-10,94
B08KH6QFYZ,2023-04-11,80
B08KH6QFYZ,2023-04-12,97
B08KH6QFYZ,2023-04-13,97
B08KH6QFYZ,2023-04-14,87
B08KH6QFYZ,2023-04-15,130
B08KH6QFYZ,2023-04-16,196
B08KH6QFYZ,2023-04-17,165
B08KH6QFYZ,2023-04-18,107
B08KH6QFYZ,2023-04-19,90
B08KH6QFYZ,2023-04-20,104
B08KH6QFYZ,2023-04-21,96
B08KH6QFYZ,2023-04-22,109
B08KH6QFYZ,2023-04-23,145
B08KH6QFYZ,2023-04-24,148
B08KH6QFYZ,2023-04-25,120
B08KH6QFYZ,2023-04-26,112
B08KH6QFYZ,2023-04-27,141
B08KH6QFYZ,2023-04-28,114
B08KH6QFYZ,2023-04-29,162
B08KH6QFYZ,2023-04-30,124
B08KH6QFYZ,2023-05-01,147
B08KH6QFYZ,2023-05-02,137
B08KH6QFYZ,2023-05-03,128
B08KH6QFYZ,2023-05-04,130
B08KH6QFYZ,2023-05-05,130
B08KH6QFYZ,2023-05-06,129
B08KH6QFYZ,2023-05-07,154
B08KH6QFYZ,2023-05-08,137
B08KH6QFYZ,2023-05-09,107
B08KH6QFYZ,2023-05-10,107
B08KH6QFYZ,2023-05-11,105
B08KH6QFYZ,2023-05-12,131
B08KH6QFYZ,2023-05-13,142
B08KH6QFYZ,2023-05-14,142
B08KH6QFYZ,2023-05-15,104
B08KH6QFYZ,2023-05-16,110
B08KH6QFYZ,2023-05-17,86
B08KH6QFYZ,2023-05-18,152
B08KH6QFYZ,2023-05-19,165
B08KH6QFYZ,2023-05-20,179
B08KH6QFYZ,2023-05-21,218
B08KH6QFYZ,2023-05-22,163
B08KH6QFYZ,2023-05-23,178
B08KH6QFYZ,2023-05-24,196
B08KH6QFYZ,2023-05-25,144
B08KH6QFYZ,2023-05-26,203
B08KH6QFYZ,2023-05-27,125
B08KH6QFYZ,2023-05-28,213
B08KH6QFYZ,2023-05-29,139
B08KH6QFYZ,2023-05-30,130
B08KH6QFYZ,2023-05-31,135
B08KH6QFYZ,2023-06-01,164
B08KH6QFYZ,2023-06-02,153
B08KH6QFYZ,2023-06-03,152
B08KH6QFYZ,2023-06-04,193
B08KH6QFYZ,2023-06-05,190
B08KH6QFYZ,2023-06-06,150
B08KH6QFYZ,2023-06-07,152
B08KH6QFYZ,2023-06-08,190
B08KH6QFYZ,2023-06-09,162
B08KH6QFYZ,2023-06-10,177
B08KH6QFYZ,2023-06-11,187
B08KH6QFYZ,2023-06-12,154
B08KH6QFYZ,2023-06-13,94
B08KH6QFYZ,2023-06-14,160
B08KH6QFYZ,2023-06-15,160
B08KH6QFYZ,2023-06-16,108
B08KH6QFYZ,2023-06-17,102
B08KH6QFYZ,2023-06-18,153
B08KH6QFYZ,2023-06-19,137
B08KH6QFYZ,2023-06-20,140
B08KH6QFYZ,2023-06-21,126
B08KH6QFYZ,2023-06-22,182
B08KH6QFYZ,2023-06-23,187
B08KH6QFYZ,2023-06-24,132
B08KH6QFYZ,2023-06-25,142
B08KH6QFYZ,2023-06-26,92
B08KH6QFYZ,2023-06-27,142
B08KH6QFYZ,2023-06-28,125
B08KH6QFYZ,2023-06-29,111
B08KH6QFYZ,2023-06-30,172
B08KH6QFYZ,2023-07-01,119
B08KH6QFYZ,2023-07-02,153
B08KH6QFYZ,2023-07-03,167
B08KH6QFYZ,2023-07-04,195
B08KH6QFYZ,2023-07-05,192
B08KH6QFYZ,2023-07-06,192
B08KH6QFYZ,2023-07-07,165
B08KH6QFYZ,2023-07-08,183
B08KH6QFYZ,2023-07-09,193
B08KH6QFYZ,2023-07-10,126
B08KH6QFYZ,2023-07-11,148
B08KH6QFYZ,2023-07-12,173
B08KH6QFYZ,2023-07-13,183
B08KH6QFYZ,2023-07-14,175
B08KH6QFYZ,2023-07-15,199
B08KH6QFYZ,2023-07-16,270
B08KH6QFYZ,2023-07-17,199
B08KH6QFYZ,2023-07-18,242
B08KH6QFYZ,2023-07-19,177
B08KH6QFYZ,2023-07-20,109
B08KH6QFYZ,2023-07-21,165
B08KH6QFYZ,2023-07-22,186
B08KH6QFYZ,2023-07-23,287
B08KH6QFYZ,2023-07-24,424
B08KH6QFYZ,2023-07-25,228
B08KH6QFYZ,2023-07-26,281
B08KH6QFYZ,2023-07-27,174
B08KH6QFYZ,2023-07-28,194
B08KH6QFYZ,2023-07-29,171
B08KH6QFYZ,2023-07-30,188
B08KH6QFYZ,2023-07-31,201
B08KH6QFYZ,2023-08-01,143
B08KH6QFYZ,2023-08-02,179
B08KH6QFYZ,2023-08-03,112
B08KH6QFYZ,2023-08-04,125
B08KH6QFYZ,2023-08-05,146
B08KH6QFYZ,2023-08-06,207
B08KH6QFYZ,2023-08-07,102
B08KH6QFYZ,2023-08-08,141
B08KH6QFYZ,2023-08-09,179
B08KH6QFYZ,2023-08-10,219
B08KH6QFYZ,2023-08-11,165
B08KH6QFYZ,2023-08-12,133
B08KH6QFYZ,2023-08-13,104
B08KH6QFYZ,2023-08-14,132
B08KH6QFYZ,2023-08-15,121
B08KH6QFYZ,2023-08-16,98
B08KH6QFYZ,2023-08-17,105
B08KH6QFYZ,2023-08-18,94
B08KH6QFYZ,2023-08-19,113
B08KH6QFYZ,2023-08-20,122
B08KH6QFYZ,2023-08-21,115
B08KH6QFYZ,2023-08-22,130
B08KH6QFYZ,2023-08-23,135
B08KH6QFYZ,2023-08-24,127
B08KH6QFYZ,2023-08-25,152
B08KH6QFYZ,2023-08-26,141
B08KH6QFYZ,2023-08-27,279
B08KH6QFYZ,2023-08-28,188
B08KH6QFYZ,2023-08-29,190
B08KH6QFYZ,2023-08-30,213
B08KH6QFYZ,2023-08-31,187
B08KH6QFYZ,2023-09-01,149
B08KH6QFYZ,2023-09-02,132
B08KH6QFYZ,2023-09-03,82
B08KH6QFYZ,2023-09-04,85
B08KH6QFYZ,2023-09-05,116
B08KH6QFYZ,2023-09-06,134
B08KH6QFYZ,2023-09-07,173
B08KH6QFYZ,2023-09-08,200
B08KH6QFYZ,2023-09-09,168
B08KH6QFYZ,2023-09-10,358
B08KH6QFYZ,2023-09-11,315
B08KH6QFYZ,2023-09-12,235
B08KH6QFYZ,2023-09-13,279
B08KH6QFYZ,2023-09-14,345
B08KH6QFYZ,2023-09-15,337
B08KH6QFYZ,2023-09-16,256
B08KH6QFYZ,2023-09-17,332
B08KH6QFYZ,2023-09-18,271
B08KH6QFYZ,2023-09-19,263
B08KH6QFYZ,2023-09-20,179
B08KH6QFYZ,2023-09-21,161
B08KH6QFYZ,2023-09-22,210
B08KH6QFYZ,2023-09-23,205
B08KH6QFYZ,2023-09-24,315
B08KH6QFYZ,2023-09-25,290
B08KH6QFYZ,2023-09-26,180
B08KH6QFYZ,2023-09-27,178
B08KH6QFYZ,2023-09-28,207
B08KH6QFYZ,2023-09-29,446
B08KH6QFYZ,2023-09-30,306
B08KH6QFYZ,2023-10-01,222
B08KH6QFYZ,2023-10-02,278
B08KH6QFYZ,2023-10-03,271
B08KH6QFYZ,2023-10-04,245
B08KH6QFYZ,2023-10-05,146
B08KH6QFYZ,2023-10-06,147
B08KH6QFYZ,2023-10-07,226
B08KH6QFYZ,2023-10-08,228
B08KH6QFYZ,2023-10-09,167
B08KH6QFYZ,2023-10-10,123
B08KH6QFYZ,2023-10-11,119
B08KH6QFYZ,2023-10-12,137
B08KH6QFYZ,2023-10-13,123
B08KH6QFYZ,2023-10-14,136
B08KH6QFYZ,2023-10-15,190
B08KH6QFYZ,2023-10-16,252
B08KH6QFYZ,2023-10-17,266
B08KH6QFYZ,2023-10-18,292
B08KH6QFYZ,2023-10-19,234
B08KH6QFYZ,2023-10-20,140
B08KH6QFYZ,2023-10-21,278
B08KH6QFYZ,2023-10-22,262
B08KH6QFYZ,2023-10-23,171
B08KH6QFYZ,2023-10-24,233
B08KH6QFYZ,2023-10-25,233
B08KH6QFYZ,2023-10-26,275
B08KH6QFYZ,2023-10-27,167
B08KH6QFYZ,2023-10-28,208
B08KH6QFYZ,2023-10-29,254
B08KH6QFYZ,2023-10-30,247
B08KH6QFYZ,2023-10-31,346
B08KH6QFYZ,2023-11-01,249
B08KH6QFYZ,2023-11-02,153
B08KH6QFYZ,2023-11-03,145
B08KH6QFYZ,2023-11-04,201
B08KH6QFYZ,2023-11-05,429
B08KH6QFYZ,2023-11-06,427
B08KH6QFYZ,2023-11-07,249
B08KH6QFYZ,2023-11-08,246
B08KH6QFYZ,2023-11-09,303
B08KH6QFYZ,2023-11-10,237
B08KH6QFYZ,2023-11-11,193
B08KH6QFYZ,2023-11-12,199
B08KH6QFYZ,2023-11-13,360
B08KH6QFYZ,2023-11-14,306
B08KH6QFYZ,2023-11-15,172
B08KH6QFYZ,2023-11-16,220
B08KH6QFYZ,2023-11-17,143
B08KH6QFYZ,2023-11-18,118
B08KH6QFYZ,2023-11-19,149
B08KH6QFYZ,2023-11-20,170
B08KH6QFYZ,2023-11-21,206
B08KH6QFYZ,2023-11-22,175
B08KH6QFYZ,2023-11-23,169
B08KH6QFYZ,2023-11-24,157
B08KH6QFYZ,2023-11-25,157
B08KH6QFYZ,2023-11-26,165
B08KH6QFYZ,2023-11-27,157
B08KH6QFYZ,2023-11-28,155
B08KH6QFYZ,2023-11-29,148
B08KH6QFYZ,2023-11-30,210
B08KH6QFYZ,2023-12-01,191
B08KH6QFYZ,2023-12-02,196
B08KH6QFYZ,2023-12-03,206
B08KH6QFYZ,2023-12-04,181
B08KH6QFYZ,2023-12-05,200
B08KH6QFYZ,2023-12-06,196
B08KH6QFYZ,2023-12-07,248
B08KH6QFYZ,2023-12-08,270
B08KH6QFYZ,2023-12-09,284
B08KH6QFYZ,2023-12-10,363
B08KH6QFYZ,2023-12-11,399
B08KH6QFYZ,2023-12-12,545
B08KH6QFYZ,2023-12-13,274
B08KH6QFYZ,2023-12-14,204
B08KH6QFYZ,2023-12-15,159
B08KH6QFYZ,2023-12-16,215
B08KH6QFYZ,2023-12-17,186
B08KH6QFYZ,2023-12-18,185
B08KH6QFYZ,2023-12-19,138
B08KH6QFYZ,2023-12-20,155
B08KH6QFYZ,2023-12-21,152
B08KH6QFYZ,2023-12-22,122
B08KH6QFYZ,2023-12-23,94
B08KH6QFYZ,2023-12-24,91
B08KH6QFYZ,2023-12-25,134
B08KH6QFYZ,2023-12-26,103
B08KH6QFYZ,2023-12-27,156
B08KH6QFYZ,2023-12-28,205
B08KH6QFYZ,2023-12-29,185
B08KH6QFYZ,2023-12-30,200
B08KH6QFYZ,2023-12-31,175
B08KH6QFYZ,2024-01-01,178
B08KH6QFYZ,2024-01-02,156
B08KH6QFYZ,2024-01-03,143
B08KH6QFYZ,2024-01-04,142
B08KH6QFYZ,2024-01-05,111
B08KH6QFYZ,2024-01-06,101
B08KH6QFYZ,2024-01-07,114
B08KH6QFYZ,2024-01-08,142
B08KH6QFYZ,2024-01-09,122
B08KH6QFYZ,2024-01-10,106
B08KH6QFYZ,2024-01-11,129
B08KH6QFYZ,2024-01-12,122
B08KH6QFYZ,2024-01-13,118
B08KH6QFYZ,2024-01-14,146
B08KH6QFYZ,2024-01-15,162
B08KH6QFYZ,2024-01-16,198
B08KH6QFYZ,2024-01-17,121
B08KH6QFYZ,2024-01-18,91
B08KH6QFYZ,2024-01-19,82
B08KH6QFYZ,2024-01-20,142
B08KH6QFYZ,2024-01-21,172
B08KH6QFYZ,2024-01-22,175
B08KH6QFYZ,2024-01-23,138
B08KH6QFYZ,2024-01-24,126
B08KH6QFYZ,2024-01-25,101
B08KH6QFYZ,2024-01-26,109
B08KH6QFYZ,2024-01-27,117
B08KH6QFYZ,2024-01-28,108
B08KH6QFYZ,2024-01-29,168
B08KH6QFYZ,2024-01-30,209
B08KH6QFYZ,2024-01-31,198
B08KH6QFYZ,2024-02-01,163
B08KH6QFYZ,2024-02-02,108
B08KH6QFYZ,2024-02-03,122
B08KH6QFYZ,2024-02-04,106
B08KH6QFYZ,2024-02-05,96
B08KH6QFYZ,2024-02-06,118
B08KH6QFYZ,2024-02-07,100
B08KH6QFYZ,2024-02-08,99
B08KH6QFYZ,2024-02-09,102
B08KH6QFYZ,2024-02-10,125
B08KH6QFYZ,2024-02-11,159
B08KH6QFYZ,2024-02-12,162
B08KH6QFYZ,2024-02-13,135
B08KH6QFYZ,2024-02-14,114
B08KH6QFYZ,2024-02-15,131
B08KH6QFYZ,2024-02-16,112
B08KH6QFYZ,2024-02-17,155
B08KH6QFYZ,2024-02-18,149
B08KH6QFYZ,2024-02-19,152
B08KH6QFYZ,2024-02-20,132
B08KH6QFYZ,2024-02-21,145
B08KH6QFYZ,2024-02-22,140
B08KH6QFYZ,2024-02-23,154
B08KH6QFYZ,2024-02-24,151
B08KH6QFYZ,2024-02-25,153
B08KH6QFYZ,2024-02-26,216
B08KH6QFYZ,2024-02-27,119
B08KH6QFYZ,2024-02-28,139
B08KH6QFYZ,2024-02-29,92
B08KH6QFYZ,2024-03-01,90
B08KH6QFYZ,2024-03-02,88
B08KH6QFYZ,2024-03-03,141
B08KH6QFYZ,2024-03-04,122
B08KH6QFYZ,2024-03-05,97
B08KH6QFYZ,2024-03-06,100
B08KH6QFYZ,2024-03-07,111
B08KH6QFYZ,2024-03-08,117
B08KH6QFYZ,2024-03-09,99
B08KH6QFYZ,2024-03-10,130
B08KH6QFYZ,2024-03-11,184
B08KH6QFYZ,2024-03-12,158
B08KH6QFYZ,2024-03-13,145
B08KH6QFYZ,2024-03-14,149
B08KH6QFYZ,2024-03-15,121
B08KH6QFYZ,2024-03-16,132
B08KH6QFYZ,2024-03-17,156
B08KH6QFYZ,2024-03-18,192
B08KH6QFYZ,2024-03-19,230
B08KH6QFYZ,2024-03-20,107
B08KH6QFYZ,2024-03-21,169
B08KH6QFYZ,2024-03-22,130
B08KH6QFYZ,2024-03-23,138
B08KH6QFYZ,2024-03-24,130
B08KH6QFYZ,2024-03-25,161
B08KH6QFYZ,2024-03-26,114
B08KH6QFYZ,2024-03-27,123
B08KH6QFYZ,2024-03-28,151
B08KH6QFYZ,2024-03-29,139
B08KH6QFYZ,2024-03-30,169
B08KH6QFYZ,2024-03-31,135
B08KH6QFYZ,2024-04-01,109
B08KH6QFYZ,2024-04-02,145
B08KH6QFYZ,2024-04-03,143
B08KH6QFYZ,2024-04-04,127
B08KH6QFYZ,2024-04-05,134
