asin,date,daily_salesrank
B08T1DM8KQ,2023-01-01,54
B08T1DM8KQ,2023-01-02,79
B08T1DM8KQ,2023-01-03,69
B08T1DM8KQ,2023-01-04,91
B08T1DM8KQ,2023-01-05,62
B08T1DM8KQ,2023-01-06,66
B08T1DM8KQ,2023-01-07,79
B08T1DM8KQ,2023-01-08,96
B08T1DM8KQ,2023-01-09,90
B08T1DM8KQ,2023-01-10,116
B08T1DM8KQ,2023-01-11,95
B08T1DM8KQ,2023-01-12,113
B08T1DM8KQ,2023-01-13,44
B08T1DM8KQ,2023-01-14,61
B08T1DM8KQ,2023-01-15,81
B08T1DM8KQ,2023-01-16,92
B08T1DM8KQ,2023-01-17,99
B08T1DM8KQ,2023-01-18,76
B08T1DM8KQ,2023-01-19,68
B08T1DM8KQ,2023-01-20,34
B08T1DM8KQ,2023-01-21,35
B08T1DM8KQ,2023-01-22,58
B08T1DM8KQ,2023-01-23,35
B08T1DM8KQ,2023-01-24,30
B08T1DM8KQ,2023-01-25,35
B08T1DM8KQ,2023-01-26,33
B08T1DM8KQ,2023-01-27,27
B08T1DM8KQ,2023-01-28,22
B08T1DM8KQ,2023-01-29,21
B08T1DM8KQ,2023-01-30,26
B08T1DM8KQ,2023-01-31,23
B08T1DM8KQ,2023-02-01,19
B08T1DM8KQ,2023-02-02,23
B08T1DM8KQ,2023-02-03,23
B08T1DM8KQ,2023-02-04,26
B08T1DM8KQ,2023-02-05,30
B08T1DM8KQ,2023-02-06,37
B08T1DM8KQ,2023-02-07,34
B08T1DM8KQ,2023-02-08,34
B08T1DM8KQ,2023-02-09,43
B08T1DM8KQ,2023-02-10,25
B08T1DM8KQ,2023-02-11,26
B08T1DM8KQ,2023-02-12,43
B08T1DM8KQ,2023-02-13,28
B08T1DM8KQ,2023-02-14,23
B08T1DM8KQ,2023-02-15,32
B08T1DM8KQ,2023-02-16,32
B08T1DM8KQ,2023-02-17,22
B08T1DM8KQ,2023-02-18,30
B08T1DM8KQ,2023-02-19,33
B08T1DM8KQ,2023-02-20,39
B08T1DM8KQ,2023-02-21,47
B08T1DM8KQ,2023-02-22,30
B08T1DM8KQ,2023-02-23,28
B08T1DM8KQ,2023-02-24,29
B08T1DM8KQ,2023-02-25,27
B08T1DM8KQ,2023-02-26,20
B08T1DM8KQ,2023-02-27,34
B08T1DM8KQ,2023-02-28,28
B08T1DM8KQ,2023-03-01,25
B08T1DM8KQ,2023-03-02,25
B08T1DM8KQ,2023-03-03,24
B08T1DM8KQ,2023-03-04,27
B08T1DM8KQ,2023-03-05,27
B08T1DM8KQ,2023-03-06,35
B08T1DM8KQ,2023-03-07,34
B08T1DM8KQ,2023-03-08,34
B08T1DM8KQ,2023-03-09,29
B08T1DM8KQ,2023-03-10,29
B08T1DM8KQ,2023-03-11,25
B08T1DM8KQ,2023-03-12,29
B08T1DM8KQ,2023-03-13,31
B08T1DM8KQ,2023-03-14,31
B08T1DM8KQ,2023-03-15,30
B08T1DM8KQ,2023-03-16,31
B08T1DM8KQ,2023-03-17,24
B08T1DM8KQ,2023-03-18,29
B08T1DM8KQ,2023-03-19,39
B08T1DM8KQ,2023-03-20,30
B08T1DM8KQ,2023-03-21,28
B08T1DM8KQ,2023-03-22,29
B08T1DM8KQ,2023-03-23,25
B08T1DM8KQ,2023-03-24,22
B08T1DM8KQ,2023-03-25,23
B08T1DM8KQ,2023-03-26,25
B08T1DM8KQ,2023-03-27,26
B08T1DM8KQ,2023-03-28,20
B08T1DM8KQ,2023-03-29,14
B08T1DM8KQ,2023-03-30,11
B08T1DM8KQ,2023-03-31,14
B08T1DM8KQ,2023-04-01,14
B08T1DM8KQ,2023-04-02,16
B08T1DM8KQ,2023-04-03,15
B08T1DM8KQ,2023-04-04,17
B08T1DM8KQ,2023-04-05,17
B08T1DM8KQ,2023-04-06,19
B08T1DM8KQ,2023-04-07,19
B08T1DM8KQ,2023-04-08,24
B08T1DM8KQ,2023-04-09,24
B08T1DM8KQ,2023-04-10,30
B08T1DM8KQ,2023-04-11,27
B08T1DM8KQ,2023-04-12,29
B08T1DM8KQ,2023-04-13,23
B08T1DM8KQ,2023-04-14,24
B08T1DM8KQ,2023-04-15,28
B08T1DM8KQ,2023-04-16,32
B08T1DM8KQ,2023-04-17,37
B08T1DM8KQ,2023-04-18,27
B08T1DM8KQ,2023-04-19,32
B08T1DM8KQ,2023-04-20,32
B08T1DM8KQ,2023-04-21,28
B08T1DM8KQ,2023-04-22,29
B08T1DM8KQ,2023-04-23,39
B08T1DM8KQ,2023-04-24,28
B08T1DM8KQ,2023-04-25,29
B08T1DM8KQ,2023-04-26,31
B08T1DM8KQ,2023-04-27,38
B08T1DM8KQ,2023-04-28,31
B08T1DM8KQ,2023-04-29,31
B08T1DM8KQ,2023-04-30,42
B08T1DM8KQ,2023-05-01,22
B08T1DM8KQ,2023-05-02,24
B08T1DM8KQ,2023-05-03,28
B08T1DM8KQ,2023-05-04,56
B08T1DM8KQ,2023-05-05,49
B08T1DM8KQ,2023-05-06,67
B08T1DM8KQ,2023-05-07,93
B08T1DM8KQ,2023-05-08,58
B08T1DM8KQ,2023-05-09,51
B08T1DM8KQ,2023-05-10,44
B08T1DM8KQ,2023-05-11,52
B08T1DM8KQ,2023-05-12,47
B08T1DM8KQ,2023-05-13,31
B08T1DM8KQ,2023-05-14,73
B08T1DM8KQ,2023-05-15,100
B08T1DM8KQ,2023-05-16,127
B08T1DM8KQ,2023-05-17,167
B08T1DM8KQ,2023-05-18,140
B08T1DM8KQ,2023-05-19,102
B08T1DM8KQ,2023-05-20,60
B08T1DM8KQ,2023-05-21,94
B08T1DM8KQ,2023-05-22,84
B08T1DM8KQ,2023-05-23,55
B08T1DM8KQ,2023-05-24,50
B08T1DM8KQ,2023-05-25,49
B08T1DM8KQ,2023-05-26,50
B08T1DM8KQ,2023-05-27,39
B08T1DM8KQ,2023-05-28,59
B08T1DM8KQ,2023-05-29,48
B08T1DM8KQ,2023-05-30,45
B08T1DM8KQ,2023-05-31,35
B08T1DM8KQ,2023-06-01,26
B08T1DM8KQ,2023-06-02,23
B08T1DM8KQ,2023-06-03,20
B08T1DM8KQ,2023-06-04,25
B08T1DM8KQ,2023-06-05,34
B08T1DM8KQ,2023-06-06,44
B08T1DM8KQ,2023-06-07,41
B08T1DM8KQ,2023-06-08,47
B08T1DM8KQ,2023-06-09,35
B08T1DM8KQ,2023-06-10,41
B08T1DM8KQ,2023-06-11,75
B08T1DM8KQ,2023-06-12,48
B08T1DM8KQ,2023-06-13,46
B08T1DM8KQ,2023-06-14,66
B08T1DM8KQ,2023-06-15,54
B08T1DM8KQ,2023-06-16,47
B08T1DM8KQ,2023-06-17,61
B08T1DM8KQ,2023-06-18,74
B08T1DM8KQ,2023-06-19,84
B08T1DM8KQ,2023-06-20,82
B08T1DM8KQ,2023-06-21,66
B08T1DM8KQ,2023-06-22,59
B08T1DM8KQ,2023-06-23,56
B08T1DM8KQ,2023-06-24,66
B08T1DM8KQ,2023-06-25,60
B08T1DM8KQ,2023-06-26,60
B08T1DM8KQ,2023-06-27,65
B08T1DM8KQ,2023-06-28,48
B08T1DM8KQ,2023-06-29,58
B08T1DM8KQ,2023-06-30,41
B08T1DM8KQ,2023-07-01,32
B08T1DM8KQ,2023-07-02,48
B08T1DM8KQ,2023-07-03,69
B08T1DM8KQ,2023-07-04,74
B08T1DM8KQ,2023-07-05,52
B08T1DM8KQ,2023-07-06,31
B08T1DM8KQ,2023-07-07,43
B08T1DM8KQ,2023-07-08,36
B08T1DM8KQ,2023-07-09,66
B08T1DM8KQ,2023-07-10,69
B08T1DM8KQ,2023-07-11,66
B08T1DM8KQ,2023-07-12,80
B08T1DM8KQ,2023-07-13,75
B08T1DM8KQ,2023-07-14,61
B08T1DM8KQ,2023-07-15,50
B08T1DM8KQ,2023-07-16,61
B08T1DM8KQ,2023-07-17,57
B08T1DM8KQ,2023-07-18,45
B08T1DM8KQ,2023-07-19,49
B08T1DM8KQ,2023-07-20,47
B08T1DM8KQ,2023-07-21,61
B08T1DM8KQ,2023-07-22,50
B08T1DM8KQ,2023-07-23,89
B08T1DM8KQ,2023-07-24,89
B08T1DM8KQ,2023-07-25,46
B08T1DM8KQ,2023-07-26,54
B08T1DM8KQ,2023-07-27,57
B08T1DM8KQ,2023-07-28,38
B08T1DM8KQ,2023-07-29,52
B08T1DM8KQ,2023-07-30,71
B08T1DM8KQ,2023-07-31,56
B08T1DM8KQ,2023-08-01,60
B08T1DM8KQ,2023-08-02,76
B08T1DM8KQ,2023-08-03,41
B08T1DM8KQ,2023-08-04,68
B08T1DM8KQ,2023-08-05,71
B08T1DM8KQ,2023-08-06,68
B08T1DM8KQ,2023-08-07,85
B08T1DM8KQ,2023-08-08,48
B08T1DM8KQ,2023-08-09,60
B08T1DM8KQ,2023-08-10,37
B08T1DM8KQ,2023-08-11,42
B08T1DM8KQ,2023-08-12,52
B08T1DM8KQ,2023-08-13,59
B08T1DM8KQ,2023-08-14,52
B08T1DM8KQ,2023-08-15,59
B08T1DM8KQ,2023-08-16,53
B08T1DM8KQ,2023-08-17,34
B08T1DM8KQ,2023-08-18,41
B08T1DM8KQ,2023-08-19,44
B08T1DM8KQ,2023-08-20,56
B08T1DM8KQ,2023-08-21,43
B08T1DM8KQ,2023-08-22,35
B08T1DM8KQ,2023-08-23,38
B08T1DM8KQ,2023-08-24,48
B08T1DM8KQ,2023-08-25,48
B08T1DM8KQ,2023-08-26,44
B08T1DM8KQ,2023-08-27,47
B08T1DM8KQ,2023-08-28,35
B08T1DM8KQ,2023-08-29,37
B08T1DM8KQ,2023-08-30,40
B08T1DM8KQ,2023-08-31,38
B08T1DM8KQ,2023-09-01,36
B08T1DM8KQ,2023-09-02,41
B08T1DM8KQ,2023-09-03,55
B08T1DM8KQ,2023-09-04,40
B08T1DM8KQ,2023-09-05,45
B08T1DM8KQ,2023-09-06,45
B08T1DM8KQ,2023-09-07,48
B08T1DM8KQ,2023-09-08,40
B08T1DM8KQ,2023-09-09,47
B08T1DM8KQ,2023-09-10,47
B08T1DM8KQ,2023-09-11,50
B08T1DM8KQ,2023-09-12,66
B08T1DM8KQ,2023-09-13,50
B08T1DM8KQ,2023-09-14,39
B08T1DM8KQ,2023-09-15,30
B08T1DM8KQ,2023-09-16,26
B08T1DM8KQ,2023-09-17,27
B08T1DM8KQ,2023-09-18,43
B08T1DM8KQ,2023-09-19,50
B08T1DM8KQ,2023-09-20,45
B08T1DM8KQ,2023-09-21,36
B08T1DM8KQ,2023-09-22,36
B08T1DM8KQ,2023-09-23,37
B08T1DM8KQ,2023-09-24,51
B08T1DM8KQ,2023-09-25,60
B08T1DM8KQ,2023-09-26,67
B08T1DM8KQ,2023-09-27,119
B08T1DM8KQ,2023-09-28,122
B08T1DM8KQ,2023-09-29,122
B08T1DM8KQ,2023-09-30,140
B08T1DM8KQ,2023-10-01,109
B08T1DM8KQ,2023-10-02,106
B08T1DM8KQ,2023-10-03,117
B08T1DM8KQ,2023-10-04,130
B08T1DM8KQ,2023-10-05,113
B08T1DM8KQ,2023-10-06,66
B08T1DM8KQ,2023-10-07,62
B08T1DM8KQ,2023-10-08,49
B08T1DM8KQ,2023-10-09,64
B08T1DM8KQ,2023-10-10,57
B08T1DM8KQ,2023-10-11,46
B08T1DM8KQ,2023-10-12,45
B08T1DM8KQ,2023-10-13,61
B08T1DM8KQ,2023-10-14,57
B08T1DM8KQ,2023-10-15,83
B08T1DM8KQ,2023-10-16,63
B08T1DM8KQ,2023-10-17,57
B08T1DM8KQ,2023-10-18,49
B08T1DM8KQ,2023-10-19,44
B08T1DM8KQ,2023-10-20,36
B08T1DM8KQ,2023-10-21,41
B08T1DM8KQ,2023-10-22,28
B08T1DM8KQ,2023-10-23,35
B08T1DM8KQ,2023-10-24,36
B08T1DM8KQ,2023-10-25,36
B08T1DM8KQ,2023-10-26,42
B08T1DM8KQ,2023-10-27,21
B08T1DM8KQ,2023-10-28,26
B08T1DM8KQ,2023-10-29,51
B08T1DM8KQ,2023-10-30,42
B08T1DM8KQ,2023-10-31,46
B08T1DM8KQ,2023-11-01,28
B08T1DM8KQ,2023-11-02,30
B08T1DM8KQ,2023-11-03,52
B08T1DM8KQ,2023-11-04,63
B08T1DM8KQ,2023-11-05,76
B08T1DM8KQ,2023-11-06,236
B08T1DM8KQ,2023-11-07,323
B08T1DM8KQ,2023-11-08,283
B08T1DM8KQ,2023-11-09,187
B08T1DM8KQ,2023-11-10,126
B08T1DM8KQ,2023-11-11,88
B08T1DM8KQ,2023-11-12,137
B08T1DM8KQ,2023-11-13,149
B08T1DM8KQ,2023-11-14,93
B08T1DM8KQ,2023-11-15,74
B08T1DM8KQ,2023-11-16,110
B08T1DM8KQ,2023-11-17,130
B08T1DM8KQ,2023-11-18,120
B08T1DM8KQ,2023-11-19,101
B08T1DM8KQ,2023-11-20,175
B08T1DM8KQ,2023-11-21,95
B08T1DM8KQ,2023-11-22,86
B08T1DM8KQ,2023-11-23,39
B08T1DM8KQ,2023-11-24,47
B08T1DM8KQ,2023-11-25,57
B08T1DM8KQ,2023-11-26,62
B08T1DM8KQ,2023-11-27,48
B08T1DM8KQ,2023-11-28,47
B08T1DM8KQ,2023-11-29,47
B08T1DM8KQ,2023-11-30,33
B08T1DM8KQ,2023-12-01,33
B08T1DM8KQ,2023-12-02,43
B08T1DM8KQ,2023-12-03,40
B08T1DM8KQ,2023-12-04,31
B08T1DM8KQ,2023-12-05,33
B08T1DM8KQ,2023-12-06,32
B08T1DM8KQ,2023-12-07,41
B08T1DM8KQ,2023-12-08,42
B08T1DM8KQ,2023-12-09,40
B08T1DM8KQ,2023-12-10,47
B08T1DM8KQ,2023-12-11,80
B08T1DM8KQ,2023-12-12,35
B08T1DM8KQ,2023-12-13,27
B08T1DM8KQ,2023-12-14,31
B08T1DM8KQ,2023-12-15,41
B08T1DM8KQ,2023-12-16,43
B08T1DM8KQ,2023-12-17,59
B08T1DM8KQ,2023-12-18,54
B08T1DM8KQ,2023-12-19,49
B08T1DM8KQ,2023-12-20,42
B08T1DM8KQ,2023-12-21,39
B08T1DM8KQ,2023-12-22,31
B08T1DM8KQ,2023-12-23,43
B08T1DM8KQ,2023-12-24,48
B08T1DM8KQ,2023-12-25,42
B08T1DM8KQ,2023-12-26,32
B08T1DM8KQ,2023-12-27,30
B08T1DM8KQ,2023-12-28,36
B08T1DM8KQ,2023-12-29,42
B08T1DM8KQ,2023-12-30,46
B08T1DM8KQ,2023-12-31,58
B08T1DM8KQ,2024-01-01,49
B08T1DM8KQ,2024-01-02,42
B08T1DM8KQ,2024-01-03,52
B08T1DM8KQ,2024-01-04,77
B08T1DM8KQ,2024-01-05,52
B08T1DM8KQ,2024-01-06,53
B08T1DM8KQ,2024-01-07,51
B08T1DM8KQ,2024-01-08,64
B08T1DM8KQ,2024-01-09,61
B08T1DM8KQ,2024-01-10,41
B08T1DM8KQ,2024-01-11,31
B08T1DM8KQ,2024-01-12,27
B08T1DM8KQ,2024-01-13,32
B08T1DM8KQ,2024-01-14,31
B08T1DM8KQ,2024-01-15,34
B08T1DM8KQ,2024-01-16,29
B08T1DM8KQ,2024-01-17,18
B08T1DM8KQ,2024-01-18,21
B08T1DM8KQ,2024-01-19,13
B08T1DM8KQ,2024-01-20,17
B08T1DM8KQ,2024-01-21,23
B08T1DM8KQ,2024-01-22,33
B08T1DM8KQ,2024-01-23,20
B08T1DM8KQ,2024-01-24,20
B08T1DM8KQ,2024-01-25,17
B08T1DM8KQ,2024-01-26,27
B08T1DM8KQ,2024-01-27,26
B08T1DM8KQ,2024-01-28,29
B08T1DM8KQ,2024-01-29,40
B08T1DM8KQ,2024-01-30,27
B08T1DM8KQ,2024-01-31,27
B08T1DM8KQ,2024-02-01,21
B08T1DM8KQ,2024-02-02,19
B08T1DM8KQ,2024-02-03,23
B08T1DM8KQ,2024-02-04,26
B08T1DM8KQ,2024-02-05,22
B08T1DM8KQ,2024-02-06,20
B08T1DM8KQ,2024-02-07,18
B08T1DM8KQ,2024-02-08,17
B08T1DM8KQ,2024-02-09,17
B08T1DM8KQ,2024-02-10,22
B08T1DM8KQ,2024-02-11,21
B08T1DM8KQ,2024-02-12,24
B08T1DM8KQ,2024-02-13,23
B08T1DM8KQ,2024-02-14,23
B08T1DM8KQ,2024-02-15,17
B08T1DM8KQ,2024-02-16,17
B08T1DM8KQ,2024-02-17,20
B08T1DM8KQ,2024-02-18,28
B08T1DM8KQ,2024-02-19,30
B08T1DM8KQ,2024-02-20,27
B08T1DM8KQ,2024-02-21,24
B08T1DM8KQ,2024-02-22,19
B08T1DM8KQ,2024-02-23,20
B08T1DM8KQ,2024-02-24,27
B08T1DM8KQ,2024-02-25,22
B08T1DM8KQ,2024-02-26,25
