asin,date,daily_salesrank
B0956MW64T,2023-01-01,91
B0956MW64T,2023-01-02,81
B0956MW64T,2023-01-03,32
B0956MW64T,2023-01-04,46
B0956MW64T,2023-01-05,46
B0956MW64T,2023-01-06,42
B0956MW64T,2023-01-07,58
B0956MW64T,2023-01-08,70
B0956MW64T,2023-01-09,93
B0956MW64T,2023-01-10,120
B0956MW64T,2023-01-11,156
B0956MW64T,2023-01-12,110
B0956MW64T,2023-01-13,116
B0956MW64T,2023-01-14,90
B0956MW64T,2023-01-15,80
B0956MW64T,2023-01-16,89
B0956MW64T,2023-01-17,84
B0956MW64T,2023-01-18,78
B0956MW64T,2023-01-19,52
B0956MW64T,2023-01-20,62
B0956MW64T,2023-01-21,22
B0956MW64T,2023-01-22,22
B0956MW64T,2023-01-23,25
B0956MW64T,2023-01-24,24
B0956MW64T,2023-01-25,26
B0956MW64T,2023-01-26,23
B0956MW64T,2023-01-27,24
B0956MW64T,2023-01-28,46
B0956MW64T,2023-01-29,37
B0956MW64T,2023-01-30,65
B0956MW64T,2023-01-31,77
B0956MW64T,2023-02-01,52
B0956MW64T,2023-02-02,37
B0956MW64T,2023-02-03,35
B0956MW64T,2023-02-04,30
B0956MW64T,2023-02-05,33
B0956MW64T,2023-02-06,46
B0956MW64T,2023-02-07,64
B0956MW64T,2023-02-08,31
B0956MW64T,2023-02-09,23
B0956MW64T,2023-02-10,20
B0956MW64T,2023-02-11,19
B0956MW64T,2023-02-12,15
B0956MW64T,2023-02-13,18
B0956MW64T,2023-02-14,17
B0956MW64T,2023-02-15,16
B0956MW64T,2023-02-16,18
B0956MW64T,2023-02-17,19
B0956MW64T,2023-02-18,35
B0956MW64T,2023-02-19,42
B0956MW64T,2023-02-20,49
B0956MW64T,2023-02-21,57
B0956MW64T,2023-02-22,58
B0956MW64T,2023-02-23,55
B0956MW64T,2023-02-24,48
B0956MW64T,2023-02-25,42
B0956MW64T,2023-02-26,34
B0956MW64T,2023-02-27,35
B0956MW64T,2023-02-28,29
B0956MW64T,2023-03-01,34
B0956MW64T,2023-03-02,28
B0956MW64T,2023-03-03,30
B0956MW64T,2023-03-04,28
B0956MW64T,2023-03-05,25
B0956MW64T,2023-03-06,29
B0956MW64T,2023-03-07,24
B0956MW64T,2023-03-08,45
B0956MW64T,2023-03-09,62
B0956MW64T,2023-03-10,77
B0956MW64T,2023-03-11,59
B0956MW64T,2023-03-12,103
B0956MW64T,2023-03-13,99
B0956MW64T,2023-03-14,83
B0956MW64T,2023-03-15,100
B0956MW64T,2023-03-16,79
B0956MW64T,2023-03-17,70
B0956MW64T,2023-03-18,33
B0956MW64T,2023-03-19,39
B0956MW64T,2023-03-20,34
B0956MW64T,2023-03-21,35
B0956MW64T,2023-03-22,53
B0956MW64T,2023-03-23,49
B0956MW64T,2023-03-24,63
B0956MW64T,2023-03-25,147
B0956MW64T,2023-03-26,194
B0956MW64T,2023-03-27,226
B0956MW64T,2023-03-28,329
B0956MW64T,2023-03-29,310
B0956MW64T,2023-03-30,245
B0956MW64T,2023-03-31,270
B0956MW64T,2023-04-01,292
B0956MW64T,2023-04-02,400
B0956MW64T,2023-04-03,321
B0956MW64T,2023-04-04,329
B0956MW64T,2023-04-05,466
B0956MW64T,2023-04-06,571
B0956MW64T,2023-04-07,337
B0956MW64T,2023-04-08,384
B0956MW64T,2023-04-09,589
B0956MW64T,2023-04-10,721
B0956MW64T,2023-04-11,433
B0956MW64T,2023-04-12,428
B0956MW64T,2023-04-13,637
B0956MW64T,2023-04-14,656
B0956MW64T,2023-04-15,490
B0956MW64T,2023-04-16,729
B0956MW64T,2023-04-17,868
B0956MW64T,2023-04-18,463
B0956MW64T,2023-04-19,700
B0956MW64T,2023-04-20,573
B0956MW64T,2023-04-21,377
B0956MW64T,2023-04-22,398
B0956MW64T,2023-04-23,445
B0956MW64T,2023-04-24,532
B0956MW64T,2023-04-25,409
B0956MW64T,2023-04-26,720
B0956MW64T,2023-04-27,801
B0956MW64T,2023-04-28,532
B0956MW64T,2023-04-29,405
B0956MW64T,2023-04-30,755
B0956MW64T,2023-05-01,378
B0956MW64T,2023-05-02,352
B0956MW64T,2023-05-03,463
B0956MW64T,2023-05-04,752
B0956MW64T,2023-05-05,503
B0956MW64T,2023-05-06,682
B0956MW64T,2023-05-07,877
B0956MW64T,2023-05-08,467
B0956MW64T,2023-05-09,643
B0956MW64T,2023-05-10,879
B0956MW64T,2023-05-11,538
B0956MW64T,2023-05-12,965
B0956MW64T,2023-05-13,958
B0956MW64T,2023-05-14,1030
B0956MW64T,2023-05-15,496
B0956MW64T,2023-05-16,767
B0956MW64T,2023-05-17,986
B0956MW64T,2023-05-18,554
B0956MW64T,2023-05-19,809
B0956MW64T,2023-05-20,956
B0956MW64T,2023-05-21,1008
B0956MW64T,2023-05-22,616
B0956MW64T,2023-05-23,1064
B0956MW64T,2023-05-24,1065
B0956MW64T,2023-05-25,583
B0956MW64T,2023-05-26,483
B0956MW64T,2023-05-27,358
B0956MW64T,2023-05-28,516
B0956MW64T,2023-05-29,587
B0956MW64T,2023-05-30,299
B0956MW64T,2023-05-31,230
B0956MW64T,2023-06-01,455
B0956MW64T,2023-06-02,510
B0956MW64T,2023-06-03,346
B0956MW64T,2023-06-04,333
B0956MW64T,2023-06-05,324
B0956MW64T,2023-06-06,297
B0956MW64T,2023-06-07,219
B0956MW64T,2023-06-08,291
B0956MW64T,2023-06-09,405
B0956MW64T,2023-06-10,276
B0956MW64T,2023-06-11,280
B0956MW64T,2023-06-12,269
B0956MW64T,2023-06-13,324
B0956MW64T,2023-06-14,596
B0956MW64T,2023-06-15,388
B0956MW64T,2023-06-16,378
B0956MW64T,2023-06-17,341
B0956MW64T,2023-06-18,255
B0956MW64T,2023-06-19,230
B0956MW64T,2023-06-20,268
B0956MW64T,2023-06-21,561
B0956MW64T,2023-06-22,467
B0956MW64T,2023-06-23,702
B0956MW64T,2023-06-24,554
B0956MW64T,2023-06-25,654
B0956MW64T,2023-06-26,858
B0956MW64T,2023-06-27,558
B0956MW64T,2023-06-28,496
B0956MW64T,2023-06-29,724
B0956MW64T,2023-06-30,844
B0956MW64T,2023-07-01,967
B0956MW64T,2023-07-02,1065
B0956MW64T,2023-07-03,1136
B0956MW64T,2023-07-04,1092
B0956MW64T,2023-07-05,547
B0956MW64T,2023-07-06,801
B0956MW64T,2023-07-07,952
B0956MW64T,2023-07-08,414
B0956MW64T,2023-07-09,430
B0956MW64T,2023-07-10,586
B0956MW64T,2023-07-11,727
B0956MW64T,2023-07-12,654
B0956MW64T,2023-07-13,1015
B0956MW64T,2023-07-14,979
B0956MW64T,2023-07-15,530
B0956MW64T,2023-07-16,860
B0956MW64T,2023-07-17,983
B0956MW64T,2023-07-18,1059
B0956MW64T,2023-07-19,1095
B0956MW64T,2023-07-20,1080
B0956MW64T,2023-07-21,1076
B0956MW64T,2023-07-22,1028
B0956MW64T,2023-07-23,604
B0956MW64T,2023-07-24,1148
B0956MW64T,2023-07-25,1123
B0956MW64T,2023-07-26,1135
B0956MW64T,2023-07-27,1093
B0956MW64T,2023-07-28,1095
B0956MW64T,2023-07-29,1097
B0956MW64T,2023-07-30,1149
B0956MW64T,2023-07-31,1187
B0956MW64T,2023-08-01,1211
B0956MW64T,2023-08-02,
B0956MW64T,2023-08-03,1179
B0956MW64T,2023-08-04,1189
B0956MW64T,2023-08-05,1142
B0956MW64T,2023-08-06,794
B0956MW64T,2023-08-07,920
B0956MW64T,2023-08-08,1152
B0956MW64T,2023-08-09,1115
B0956MW64T,2023-08-10,1119
B0956MW64T,2023-08-11,1121
B0956MW64T,2023-08-12,1138
B0956MW64T,2023-08-13,1115
B0956MW64T,2023-08-14,617
