asin,date,daily_salesrank
B09DKGXYCV,2023-01-01,7
B09DKGXYCV,2023-01-02,7
B09DKGXYCV,2023-01-03,7
B09DKGXYCV,2023-01-04,7
B09DKGXYCV,2023-01-05,6
B09DKGXYCV,2023-01-06,4
B09DKGXYCV,2023-01-07,5
B09DKGXYCV,2023-01-08,5
B09DKGXYCV,2023-01-09,7
B09DKGXYCV,2023-01-10,7
B09DKGXYCV,2023-01-11,5
B09DKGXYCV,2023-01-12,5
B09DKGXYCV,2023-01-13,4
B09DKGXYCV,2023-01-14,
B09DKGXYCV,2023-01-15,
B09DKGXYCV,2023-01-16,
B09DKGXYCV,2023-01-17,5
B09DKGXYCV,2023-01-18,4
B09DKGXYCV,2023-01-19,
B09DKGXYCV,2023-01-20,
B09DKGXYCV,2023-01-21,4
B09DKGXYCV,2023-01-22,5
B09DKGXYCV,2023-01-23,6
B09DKGXYCV,2023-01-24,4
B09DKGXYCV,2023-01-25,7
B09DKGXYCV,2023-01-26,9
B09DKGXYCV,2023-01-27,9
B09DKGXYCV,2023-01-28,8
B09DKGXYCV,2023-01-29,13
B09DKGXYCV,2023-01-30,14
B09DKGXYCV,2023-01-31,10
B09DKGXYCV,2023-02-01,5
B09DKGXYCV,2023-02-02,4
B09DKGXYCV,2023-02-03,3
B09DKGXYCV,2023-02-04,4
B09DKGXYCV,2023-02-05,
B09DKGXYCV,2023-02-06,5
B09DKGXYCV,2023-02-07,4
B09DKGXYCV,2023-02-08,
B09DKGXYCV,2023-02-09,994
B09DKGXYCV,2023-02-10,432
B09DKGXYCV,2023-02-11,64
B09DKGXYCV,2023-02-12,94
B09DKGXYCV,2023-02-13,96
B09DKGXYCV,2023-02-14,84
B09DKGXYCV,2023-02-15,98
B09DKGXYCV,2023-02-16,58
B09DKGXYCV,2023-02-17,44
B09DKGXYCV,2023-02-18,349
B09DKGXYCV,2023-02-19,447
B09DKGXYCV,2023-02-20,498
B09DKGXYCV,2023-02-21,580
B09DKGXYCV,2023-02-22,958
B09DKGXYCV,2023-02-23,600
B09DKGXYCV,2023-02-24,256
B09DKGXYCV,2023-02-25,253
B09DKGXYCV,2023-02-26,426
B09DKGXYCV,2023-02-27,514
B09DKGXYCV,2023-02-28,424
B09DKGXYCV,2023-03-01,639
B09DKGXYCV,2023-03-02,810
B09DKGXYCV,2023-03-03,1048
B09DKGXYCV,2023-03-04,1192
B09DKGXYCV,2023-03-05,1289
B09DKGXYCV,2023-03-06,677
B09DKGXYCV,2023-03-07,886
B09DKGXYCV,2023-03-08,494
B09DKGXYCV,2023-03-09,353
B09DKGXYCV,2023-03-10,458
B09DKGXYCV,2023-03-11,424
B09DKGXYCV,2023-03-12,317
B09DKGXYCV,2023-03-13,461
B09DKGXYCV,2023-03-14,297
B09DKGXYCV,2023-03-15,223
B09DKGXYCV,2023-03-16,215
B09DKGXYCV,2023-03-17,306
B09DKGXYCV,2023-03-18,349
B09DKGXYCV,2023-03-19,387
B09DKGXYCV,2023-03-20,534
B09DKGXYCV,2023-03-21,341
B09DKGXYCV,2023-03-22,481
B09DKGXYCV,2023-03-23,891
B09DKGXYCV,2023-03-24,999
B09DKGXYCV,2023-03-25,711
B09DKGXYCV,2023-03-26,857
B09DKGXYCV,2023-03-27,433
