asin,date,daily_salesrank
B09DKKZHFC,2023-01-01,66
B09DKKZHFC,2023-01-02,71
B09DKKZHFC,2023-01-03,55
B09DKKZHFC,2023-01-04,57
B09DKKZHFC,2023-01-05,48
B09DKKZHFC,2023-01-06,37
B09DKKZHFC,2023-01-07,40
B09DKKZHFC,2023-01-08,45
B09DKKZHFC,2023-01-09,69
B09DKKZHFC,2023-01-10,67
B09DKKZHFC,2023-01-11,57
B09DKKZHFC,2023-01-12,61
B09DKKZHFC,2023-01-13,57
B09DKKZHFC,2023-01-14,46
B09DKKZHFC,2023-01-15,53
B09DKKZHFC,2023-01-16,62
B09DKKZHFC,2023-01-17,42
B09DKKZHFC,2023-01-18,48
B09DKKZHFC,2023-01-19,51
B09DKKZHFC,2023-01-20,54
B09DKKZHFC,2023-01-21,45
B09DKKZHFC,2023-01-22,45
B09DKKZHFC,2023-01-23,55
B09DKKZHFC,2023-01-24,32
B09DKKZHFC,2023-01-25,51
B09DKKZHFC,2023-01-26,42
B09DKKZHFC,2023-01-27,34
B09DKKZHFC,2023-01-28,34
B09DKKZHFC,2023-01-29,44
B09DKKZHFC,2023-01-30,47
B09DKKZHFC,2023-01-31,48
B09DKKZHFC,2023-02-01,60
B09DKKZHFC,2023-02-02,37
B09DKKZHFC,2023-02-03,25
B09DKKZHFC,2023-02-04,19
B09DKKZHFC,2023-02-05,19
B09DKKZHFC,2023-02-06,23
B09DKKZHFC,2023-02-07,28
B09DKKZHFC,2023-02-08,34
B09DKKZHFC,2023-02-09,39
B09DKKZHFC,2023-02-10,157
B09DKKZHFC,2023-02-11,55
B09DKKZHFC,2023-02-12,57
B09DKKZHFC,2023-02-13,53
B09DKKZHFC,2023-02-14,58
B09DKKZHFC,2023-02-15,58
B09DKKZHFC,2023-02-16,72
B09DKKZHFC,2023-02-17,64
B09DKKZHFC,2023-02-18,71
B09DKKZHFC,2023-02-19,82
B09DKKZHFC,2023-02-20,48
B09DKKZHFC,2023-02-21,44
B09DKKZHFC,2023-02-22,58
B09DKKZHFC,2023-02-23,81
