asin,date,daily_salesrank
B09DSQQGT8,2023-01-01,1335
B09DSQQGT8,2023-01-02,586
B09DSQQGT8,2023-01-03,293
B09DSQQGT8,2023-01-04,323
B09DSQQGT8,2023-01-05,470
B09DSQQGT8,2023-01-06,335
B09DSQQGT8,2023-01-07,721
B09DSQQGT8,2023-01-08,571
B09DSQQGT8,2023-01-09,837
B09DSQQGT8,2023-01-10,493
B09DSQQGT8,2023-01-11,464
B09DSQQGT8,2023-01-12,424
B09DSQQGT8,2023-01-13,480
B09DSQQGT8,2023-01-14,366
B09DSQQGT8,2023-01-15,404
B09DSQQGT8,2023-01-16,825
B09DSQQGT8,2023-01-17,666
B09DSQQGT8,2023-01-18,479
B09DSQQGT8,2023-01-19,410
B09DSQQGT8,2023-01-20,527
B09DSQQGT8,2023-01-21,830
B09DSQQGT8,2023-01-22,797
B09DSQQGT8,2023-01-23,852
B09DSQQGT8,2023-01-24,1304
B09DSQQGT8,2023-01-25,518
B09DSQQGT8,2023-01-26,338
B09DSQQGT8,2023-01-27,269
B09DSQQGT8,2023-01-28,529
B09DSQQGT8,2023-01-29,433
B09DSQQGT8,2023-01-30,377
B09DSQQGT8,2023-01-31,459
B09DSQQGT8,2023-02-01,634
B09DSQQGT8,2023-02-02,1001
B09DSQQGT8,2023-02-03,717
B09DSQQGT8,2023-02-04,553
B09DSQQGT8,2023-02-05,517
B09DSQQGT8,2023-02-06,880
B09DSQQGT8,2023-02-07,522
B09DSQQGT8,2023-02-08,494
B09DSQQGT8,2023-02-09,510
B09DSQQGT8,2023-02-10,585
B09DSQQGT8,2023-02-11,934
B09DSQQGT8,2023-02-12,633
B09DSQQGT8,2023-02-13,899
B09DSQQGT8,2023-02-14,1177
B09DSQQGT8,2023-02-15,1357
B09DSQQGT8,2023-02-16,464
B09DSQQGT8,2023-02-17,418
B09DSQQGT8,2023-02-18,528
B09DSQQGT8,2023-02-19,388
B09DSQQGT8,2023-02-20,372
B09DSQQGT8,2023-02-21,279
B09DSQQGT8,2023-02-22,332
B09DSQQGT8,2023-02-23,664
B09DSQQGT8,2023-02-24,996
B09DSQQGT8,2023-02-25,1161
B09DSQQGT8,2023-02-26,492
B09DSQQGT8,2023-02-27,644
B09DSQQGT8,2023-02-28,494
B09DSQQGT8,2023-03-01,567
B09DSQQGT8,2023-03-02,408
B09DSQQGT8,2023-03-03,384
B09DSQQGT8,2023-03-04,333
B09DSQQGT8,2023-03-05,412
B09DSQQGT8,2023-03-06,483
B09DSQQGT8,2023-03-07,293
B09DSQQGT8,2023-03-08,421
B09DSQQGT8,2023-03-09,333
B09DSQQGT8,2023-03-10,671
B09DSQQGT8,2023-03-11,586
B09DSQQGT8,2023-03-12,337
B09DSQQGT8,2023-03-13,745
B09DSQQGT8,2023-03-14,736
B09DSQQGT8,2023-03-15,325
B09DSQQGT8,2023-03-16,642
B09DSQQGT8,2023-03-17,290
B09DSQQGT8,2023-03-18,297
B09DSQQGT8,2023-03-19,352
B09DSQQGT8,2023-03-20,501
B09DSQQGT8,2023-03-21,293
B09DSQQGT8,2023-03-22,353
B09DSQQGT8,2023-03-23,366
B09DSQQGT8,2023-03-24,324
B09DSQQGT8,2023-03-25,332
B09DSQQGT8,2023-03-26,336
B09DSQQGT8,2023-03-27,245
B09DSQQGT8,2023-03-28,259
B09DSQQGT8,2023-03-29,338
B09DSQQGT8,2023-03-30,412
B09DSQQGT8,2023-03-31,579
B09DSQQGT8,2023-04-01,585
B09DSQQGT8,2023-04-02,684
B09DSQQGT8,2023-04-03,466
B09DSQQGT8,2023-04-04,287
B09DSQQGT8,2023-04-05,346
B09DSQQGT8,2023-04-06,483
B09DSQQGT8,2023-04-07,276
B09DSQQGT8,2023-04-08,560
B09DSQQGT8,2023-04-09,385
B09DSQQGT8,2023-04-10,438
B09DSQQGT8,2023-04-11,503
B09DSQQGT8,2023-04-12,328
B09DSQQGT8,2023-04-13,344
B09DSQQGT8,2023-04-14,707
B09DSQQGT8,2023-04-15,883
B09DSQQGT8,2023-04-16,741
B09DSQQGT8,2023-04-17,532
B09DSQQGT8,2023-04-18,974
B09DSQQGT8,2023-04-19,498
B09DSQQGT8,2023-04-20,982
B09DSQQGT8,2023-04-21,1179
B09DSQQGT8,2023-04-22,507
B09DSQQGT8,2023-04-23,567
B09DSQQGT8,2023-04-24,352
B09DSQQGT8,2023-04-25,505
B09DSQQGT8,2023-04-26,888
B09DSQQGT8,2023-04-27,1088
B09DSQQGT8,2023-04-28,606
B09DSQQGT8,2023-04-29,879
B09DSQQGT8,2023-04-30,1158
B09DSQQGT8,2023-05-01,1363
B09DSQQGT8,2023-05-02,372
B09DSQQGT8,2023-05-03,432
B09DSQQGT8,2023-05-04,563
B09DSQQGT8,2023-05-05,945
B09DSQQGT8,2023-05-06,509
B09DSQQGT8,2023-05-07,676
B09DSQQGT8,2023-05-08,510
B09DSQQGT8,2023-05-09,490
B09DSQQGT8,2023-05-10,555
B09DSQQGT8,2023-05-11,497
B09DSQQGT8,2023-05-12,485
B09DSQQGT8,2023-05-13,393
B09DSQQGT8,2023-05-14,487
B09DSQQGT8,2023-05-15,804
B09DSQQGT8,2023-05-16,516
B09DSQQGT8,2023-05-17,402
B09DSQQGT8,2023-05-18,913
B09DSQQGT8,2023-05-19,413
B09DSQQGT8,2023-05-20,504
B09DSQQGT8,2023-05-21,903
B09DSQQGT8,2023-05-22,1165
B09DSQQGT8,2023-05-23,696
B09DSQQGT8,2023-05-24,1108
B09DSQQGT8,2023-05-25,639
B09DSQQGT8,2023-05-26,462
B09DSQQGT8,2023-05-27,457
B09DSQQGT8,2023-05-28,697
B09DSQQGT8,2023-05-29,462
B09DSQQGT8,2023-05-30,350
B09DSQQGT8,2023-05-31,554
B09DSQQGT8,2023-06-01,389
B09DSQQGT8,2023-06-02,458
B09DSQQGT8,2023-06-03,561
B09DSQQGT8,2023-06-04,573
B09DSQQGT8,2023-06-05,513
B09DSQQGT8,2023-06-06,479
B09DSQQGT8,2023-06-07,510
B09DSQQGT8,2023-06-08,438
B09DSQQGT8,2023-06-09,319
B09DSQQGT8,2023-06-10,662
B09DSQQGT8,2023-06-11,514
B09DSQQGT8,2023-06-12,758
B09DSQQGT8,2023-06-13,943
B09DSQQGT8,2023-06-14,1101
B09DSQQGT8,2023-06-15,548
B09DSQQGT8,2023-06-16,729
B09DSQQGT8,2023-06-17,826
B09DSQQGT8,2023-06-18,1108
B09DSQQGT8,2023-06-19,1292
B09DSQQGT8,2023-06-20,772
B09DSQQGT8,2023-06-21,868
B09DSQQGT8,2023-06-22,465
B09DSQQGT8,2023-06-23,671
B09DSQQGT8,2023-06-24,977
B09DSQQGT8,2023-06-25,601
B09DSQQGT8,2023-06-26,476
B09DSQQGT8,2023-06-27,
B09DSQQGT8,2023-06-28,1084
B09DSQQGT8,2023-06-29,1275
B09DSQQGT8,2023-06-30,600
B09DSQQGT8,2023-07-01,732
B09DSQQGT8,2023-07-02,451
B09DSQQGT8,2023-07-03,988
B09DSQQGT8,2023-07-04,596
B09DSQQGT8,2023-07-05,1037
B09DSQQGT8,2023-07-06,565
B09DSQQGT8,2023-07-07,999
B09DSQQGT8,2023-07-08,382
B09DSQQGT8,2023-07-09,445
B09DSQQGT8,2023-07-10,548
B09DSQQGT8,2023-07-11,824
B09DSQQGT8,2023-07-12,549
B09DSQQGT8,2023-07-13,600
B09DSQQGT8,2023-07-14,442
B09DSQQGT8,2023-07-15,366
B09DSQQGT8,2023-07-16,653
B09DSQQGT8,2023-07-17,559
B09DSQQGT8,2023-07-18,639
B09DSQQGT8,2023-07-19,456
B09DSQQGT8,2023-07-20,413
B09DSQQGT8,2023-07-21,469
B09DSQQGT8,2023-07-22,746
B09DSQQGT8,2023-07-23,1016
B09DSQQGT8,2023-07-24,1057
B09DSQQGT8,2023-07-25,585
B09DSQQGT8,2023-07-26,423
B09DSQQGT8,2023-07-27,397
B09DSQQGT8,2023-07-28,437
B09DSQQGT8,2023-07-29,464
B09DSQQGT8,2023-07-30,537
B09DSQQGT8,2023-07-31,522
B09DSQQGT8,2023-08-01,
B09DSQQGT8,2023-08-02,599
B09DSQQGT8,2023-08-03,459
B09DSQQGT8,2023-08-04,716
B09DSQQGT8,2023-08-05,1018
B09DSQQGT8,2023-08-06,1164
B09DSQQGT8,2023-08-07,1324
B09DSQQGT8,2023-08-08,1488
B09DSQQGT8,2023-08-09,464
B09DSQQGT8,2023-08-10,688
B09DSQQGT8,2023-08-11,986
B09DSQQGT8,2023-08-12,1129
B09DSQQGT8,2023-08-13,838
B09DSQQGT8,2023-08-14,491
B09DSQQGT8,2023-08-15,568
B09DSQQGT8,2023-08-16,1017
B09DSQQGT8,2023-08-17,623
B09DSQQGT8,2023-08-18,531
B09DSQQGT8,2023-08-19,841
B09DSQQGT8,2023-08-20,1150
B09DSQQGT8,2023-08-21,605
B09DSQQGT8,2023-08-22,889
B09DSQQGT8,2023-08-23,1167
B09DSQQGT8,2023-08-24,1378
B09DSQQGT8,2023-08-25,1520
B09DSQQGT8,2023-08-26,1552
B09DSQQGT8,2023-08-27,1636
B09DSQQGT8,2023-08-28,512
B09DSQQGT8,2023-08-29,488
B09DSQQGT8,2023-08-30,541
B09DSQQGT8,2023-08-31,513
B09DSQQGT8,2023-09-01,580
B09DSQQGT8,2023-09-02,1065
B09DSQQGT8,2023-09-03,1226
B09DSQQGT8,2023-09-04,768
B09DSQQGT8,2023-09-05,1157
B09DSQQGT8,2023-09-06,1329
B09DSQQGT8,2023-09-07,439
B09DSQQGT8,2023-09-08,517
B09DSQQGT8,2023-09-09,607
B09DSQQGT8,2023-09-10,631
B09DSQQGT8,2023-09-11,773
B09DSQQGT8,2023-09-12,525
B09DSQQGT8,2023-09-13,393
B09DSQQGT8,2023-09-14,473
B09DSQQGT8,2023-09-15,619
B09DSQQGT8,2023-09-16,973
B09DSQQGT8,2023-09-17,1152
B09DSQQGT8,2023-09-18,1383
B09DSQQGT8,2023-09-19,464
B09DSQQGT8,2023-09-20,628
B09DSQQGT8,2023-09-21,438
B09DSQQGT8,2023-09-22,353
B09DSQQGT8,2023-09-23,419
B09DSQQGT8,2023-09-24,585
B09DSQQGT8,2023-09-25,673
B09DSQQGT8,2023-09-26,527
B09DSQQGT8,2023-09-27,1282
B09DSQQGT8,2023-09-28,664
B09DSQQGT8,2023-09-29,340
B09DSQQGT8,2023-09-30,447
B09DSQQGT8,2023-10-01,935
B09DSQQGT8,2023-10-02,1187
B09DSQQGT8,2023-10-03,627
B09DSQQGT8,2023-10-04,314
B09DSQQGT8,2023-10-05,301
B09DSQQGT8,2023-10-06,405
B09DSQQGT8,2023-10-07,427
B09DSQQGT8,2023-10-08,402
B09DSQQGT8,2023-10-09,694
B09DSQQGT8,2023-10-10,1030
B09DSQQGT8,2023-10-11,502
B09DSQQGT8,2023-10-12,483
B09DSQQGT8,2023-10-13,603
B09DSQQGT8,2023-10-14,930
B09DSQQGT8,2023-10-15,600
B09DSQQGT8,2023-10-16,594
B09DSQQGT8,2023-10-17,564
B09DSQQGT8,2023-10-18,547
B09DSQQGT8,2023-10-19,349
B09DSQQGT8,2023-10-20,283
B09DSQQGT8,2023-10-21,712
B09DSQQGT8,2023-10-22,721
B09DSQQGT8,2023-10-23,1031
B09DSQQGT8,2023-10-24,554
B09DSQQGT8,2023-10-25,460
B09DSQQGT8,2023-10-26,416
B09DSQQGT8,2023-10-27,849
B09DSQQGT8,2023-10-28,1103
B09DSQQGT8,2023-10-29,1293
B09DSQQGT8,2023-10-30,628
B09DSQQGT8,2023-10-31,380
B09DSQQGT8,2023-11-01,461
B09DSQQGT8,2023-11-02,513
B09DSQQGT8,2023-11-03,823
B09DSQQGT8,2023-11-04,542
B09DSQQGT8,2023-11-05,986
B09DSQQGT8,2023-11-06,487
B09DSQQGT8,2023-11-07,471
B09DSQQGT8,2023-11-08,838
B09DSQQGT8,2023-11-09,1002
B09DSQQGT8,2023-11-10,369
B09DSQQGT8,2023-11-11,692
B09DSQQGT8,2023-11-12,938
B09DSQQGT8,2023-11-13,520
B09DSQQGT8,2023-11-14,806
B09DSQQGT8,2023-11-15,1089
B09DSQQGT8,2023-11-16,1295
B09DSQQGT8,2023-11-17,426
B09DSQQGT8,2023-11-18,469
B09DSQQGT8,2023-11-19,824
B09DSQQGT8,2023-11-20,1030
B09DSQQGT8,2023-11-21,482
B09DSQQGT8,2023-11-22,398
B09DSQQGT8,2023-11-23,468
B09DSQQGT8,2023-11-24,951
B09DSQQGT8,2023-11-25,1186
B09DSQQGT8,2023-11-26,1383
B09DSQQGT8,2023-11-27,1526
B09DSQQGT8,2023-11-28,647
B09DSQQGT8,2023-11-29,698
B09DSQQGT8,2023-11-30,430
