asin,date,daily_salesrank
B09G2KS69R,2023-01-01,278
B09G2KS69R,2023-01-02,382
B09G2KS69R,2023-01-03,304
B09G2KS69R,2023-01-04,252
B09G2KS69R,2023-01-05,273
B09G2KS69R,2023-01-06,328
B09G2KS69R,2023-01-07,566
B09G2KS69R,2023-01-08,513
B09G2KS69R,2023-01-09,414
B09G2KS69R,2023-01-10,217
B09G2KS69R,2023-01-11,219
B09G2KS69R,2023-01-12,253
B09G2KS69R,2023-01-13,221
B09G2KS69R,2023-01-14,206
B09G2KS69R,2023-01-15,512
B09G2KS69R,2023-01-16,288
B09G2KS69R,2023-01-17,309
B09G2KS69R,2023-01-18,270
B09G2KS69R,2023-01-19,368
B09G2KS69R,2023-01-20,233
B09G2KS69R,2023-01-21,207
B09G2KS69R,2023-01-22,246
B09G2KS69R,2023-01-23,266
B09G2KS69R,2023-01-24,297
B09G2KS69R,2023-01-25,288
B09G2KS69R,2023-01-26,656
B09G2KS69R,2023-01-27,208
B09G2KS69R,2023-01-28,283
B09G2KS69R,2023-01-29,634
B09G2KS69R,2023-01-30,361
B09G2KS69R,2023-01-31,301
B09G2KS69R,2023-02-01,223
B09G2KS69R,2023-02-02,359
B09G2KS69R,2023-02-03,406
B09G2KS69R,2023-02-04,406
B09G2KS69R,2023-02-05,799
B09G2KS69R,2023-02-06,942
B09G2KS69R,2023-02-07,921
B09G2KS69R,2023-02-08,441
B09G2KS69R,2023-02-09,469
B09G2KS69R,2023-02-10,336
B09G2KS69R,2023-02-11,385
B09G2KS69R,2023-02-12,460
B09G2KS69R,2023-02-13,381
B09G2KS69R,2023-02-14,720
B09G2KS69R,2023-02-15,873
B09G2KS69R,2023-02-16,944
B09G2KS69R,2023-02-17,1011
B09G2KS69R,2023-02-18,1037
B09G2KS69R,2023-02-19,1108
B09G2KS69R,2023-02-20,509
B09G2KS69R,2023-02-21,596
B09G2KS69R,2023-02-22,961
B09G2KS69R,2023-02-23,1025
B09G2KS69R,2023-02-24,1114
B09G2KS69R,2023-02-25,556
B09G2KS69R,2023-02-26,504
B09G2KS69R,2023-02-27,899
B09G2KS69R,2023-02-28,998
B09G2KS69R,2023-03-01,512
B09G2KS69R,2023-03-02,684
B09G2KS69R,2023-03-03,482
B09G2KS69R,2023-03-04,853
B09G2KS69R,2023-03-05,939
B09G2KS69R,2023-03-06,561
B09G2KS69R,2023-03-07,601
B09G2KS69R,2023-03-08,842
B09G2KS69R,2023-03-09,1046
B09G2KS69R,2023-03-10,1063
B09G2KS69R,2023-03-11,1129
B09G2KS69R,2023-03-12,1197
B09G2KS69R,2023-03-13,1214
B09G2KS69R,2023-03-14,1228
B09G2KS69R,2023-03-15,1206
B09G2KS69R,2023-03-16,494
B09G2KS69R,2023-03-17,864
B09G2KS69R,2023-03-18,963
B09G2KS69R,2023-03-19,1159
B09G2KS69R,2023-03-20,1244
B09G2KS69R,2023-03-21,573
B09G2KS69R,2023-03-22,532
B09G2KS69R,2023-03-23,611
B09G2KS69R,2023-03-24,479
B09G2KS69R,2023-03-25,435
B09G2KS69R,2023-03-26,568
B09G2KS69R,2023-03-27,938
B09G2KS69R,2023-03-28,1054
B09G2KS69R,2023-03-29,1113
B09G2KS69R,2023-03-30,1147
B09G2KS69R,2023-03-31,1203
B09G2KS69R,2023-04-01,1204
B09G2KS69R,2023-04-02,1292
B09G2KS69R,2023-04-03,710
B09G2KS69R,2023-04-04,1119
B09G2KS69R,2023-04-05,566
B09G2KS69R,2023-04-06,836
B09G2KS69R,2023-04-07,550
B09G2KS69R,2023-04-08,752
B09G2KS69R,2023-04-09,1026
B09G2KS69R,2023-04-10,1148
B09G2KS69R,2023-04-11,1196
B09G2KS69R,2023-04-12,1207
B09G2KS69R,2023-04-13,1214
B09G2KS69R,2023-04-14,1206
B09G2KS69R,2023-04-15,1146
B09G2KS69R,2023-04-16,1205
B09G2KS69R,2023-04-17,656
B09G2KS69R,2023-04-18,762
B09G2KS69R,2023-04-19,1026
B09G2KS69R,2023-04-20,1188
B09G2KS69R,2023-04-21,1229
B09G2KS69R,2023-04-22,1227
B09G2KS69R,2023-04-23,1326
B09G2KS69R,2023-04-24,1370
B09G2KS69R,2023-04-25,1310
B09G2KS69R,2023-04-26,1301
B09G2KS69R,2023-04-27,1291
B09G2KS69R,2023-04-28,1278
B09G2KS69R,2023-04-29,1259
B09G2KS69R,2023-04-30,1309
B09G2KS69R,2023-05-01,1335
B09G2KS69R,2023-05-02,675
B09G2KS69R,2023-05-03,1088
B09G2KS69R,2023-05-04,1167
B09G2KS69R,2023-05-05,1221
B09G2KS69R,2023-05-06,1285
B09G2KS69R,2023-05-07,1268
B09G2KS69R,2023-05-08,1283
B09G2KS69R,2023-05-09,1305
B09G2KS69R,2023-05-10,1279
B09G2KS69R,2023-05-11,1273
B09G2KS69R,2023-05-12,1293
B09G2KS69R,2023-05-13,1249
B09G2KS69R,2023-05-14,1281
B09G2KS69R,2023-05-15,1313
B09G2KS69R,2023-05-16,1294
B09G2KS69R,2023-05-17,1337
B09G2KS69R,2023-05-18,1346
B09G2KS69R,2023-05-19,1339
B09G2KS69R,2023-05-20,1300
B09G2KS69R,2023-05-21,1315
B09G2KS69R,2023-05-22,1358
B09G2KS69R,2023-05-23,1321
B09G2KS69R,2023-05-24,1332
B09G2KS69R,2023-05-25,526
B09G2KS69R,2023-05-26,822
B09G2KS69R,2023-05-27,536
B09G2KS69R,2023-05-28,1154
B09G2KS69R,2023-05-29,468
B09G2KS69R,2023-05-30,656
B09G2KS69R,2023-05-31,502
B09G2KS69R,2023-06-01,523
B09G2KS69R,2023-06-02,623
B09G2KS69R,2023-06-03,927
B09G2KS69R,2023-06-04,1109
B09G2KS69R,2023-06-05,1237
B09G2KS69R,2023-06-06,1255
B09G2KS69R,2023-06-07,518
B09G2KS69R,2023-06-08,869
B09G2KS69R,2023-06-09,361
B09G2KS69R,2023-06-10,440
B09G2KS69R,2023-06-11,926
B09G2KS69R,2023-06-12,664
B09G2KS69R,2023-06-13,638
B09G2KS69R,2023-06-14,914
B09G2KS69R,2023-06-15,1055
B09G2KS69R,2023-06-16,510
B09G2KS69R,2023-06-17,572
B09G2KS69R,2023-06-18,451
B09G2KS69R,2023-06-19,838
B09G2KS69R,2023-06-20,1044
B09G2KS69R,2023-06-21,613
B09G2KS69R,2023-06-22,1008
B09G2KS69R,2023-06-23,1114
B09G2KS69R,2023-06-24,1145
B09G2KS69R,2023-06-25,1179
B09G2KS69R,2023-06-26,1262
B09G2KS69R,2023-06-27,1274
B09G2KS69R,2023-06-28,695
B09G2KS69R,2023-06-29,512
B09G2KS69R,2023-06-30,941
B09G2KS69R,2023-07-01,1096
B09G2KS69R,2023-07-02,563
B09G2KS69R,2023-07-03,735
B09G2KS69R,2023-07-04,603
B09G2KS69R,2023-07-05,543
B09G2KS69R,2023-07-06,887
B09G2KS69R,2023-07-07,1042
B09G2KS69R,2023-07-08,452
B09G2KS69R,2023-07-09,525
B09G2KS69R,2023-07-10,990
B09G2KS69R,2023-07-11,1074
B09G2KS69R,2023-07-12,1400
B09G2KS69R,2023-07-13,1445
B09G2KS69R,2023-07-14,1348
B09G2KS69R,2023-07-15,1271
B09G2KS69R,2023-07-16,1298
B09G2KS69R,2023-07-17,1279
B09G2KS69R,2023-07-18,583
B09G2KS69R,2023-07-19,466
B09G2KS69R,2023-07-20,1014
B09G2KS69R,2023-07-21,1070
B09G2KS69R,2023-07-22,1128
B09G2KS69R,2023-07-23,1223
B09G2KS69R,2023-07-24,627
B09G2KS69R,2023-07-25,490
B09G2KS69R,2023-07-26,909
B09G2KS69R,2023-07-27,1038
B09G2KS69R,2023-07-28,561
B09G2KS69R,2023-07-29,634
B09G2KS69R,2023-07-30,1064
B09G2KS69R,2023-07-31,1213
B09G2KS69R,2023-08-01,1279
B09G2KS69R,2023-08-02,1129
B09G2KS69R,2023-08-03,
B09G2KS69R,2023-08-04,1246
B09G2KS69R,2023-08-05,1278
B09G2KS69R,2023-08-06,
B09G2KS69R,2023-08-07,1192
B09G2KS69R,2023-08-08,
B09G2KS69R,2023-08-09,1287
B09G2KS69R,2023-08-10,1257
B09G2KS69R,2023-08-11,761
B09G2KS69R,2023-08-12,961
B09G2KS69R,2023-08-13,386
B09G2KS69R,2023-08-14,513
B09G2KS69R,2023-08-15,518
B09G2KS69R,2023-08-16,766
B09G2KS69R,2023-08-17,1035
B09G2KS69R,2023-08-18,1157
B09G2KS69R,2023-08-19,661
B09G2KS69R,2023-08-20,667
B09G2KS69R,2023-08-21,846
B09G2KS69R,2023-08-22,1085
B09G2KS69R,2023-08-23,1158
B09G2KS69R,2023-08-24,1225
B09G2KS69R,2023-08-25,538
B09G2KS69R,2023-08-26,787
B09G2KS69R,2023-08-27,1083
B09G2KS69R,2023-08-28,1178
B09G2KS69R,2023-08-29,638
B09G2KS69R,2023-08-30,1048
B09G2KS69R,2023-08-31,1125
B09G2KS69R,2023-09-01,1188
B09G2KS69R,2023-09-02,1318
B09G2KS69R,2023-09-03,1328
B09G2KS69R,2023-09-04,1365
B09G2KS69R,2023-09-05,1360
B09G2KS69R,2023-09-06,1345
B09G2KS69R,2023-09-07,1342
B09G2KS69R,2023-09-08,1324
B09G2KS69R,2023-09-09,1304
B09G2KS69R,2023-09-10,1290
B09G2KS69R,2023-09-11,1339
B09G2KS69R,2023-09-12,1355
B09G2KS69R,2023-09-13,1360
B09G2KS69R,2023-09-14,1357
B09G2KS69R,2023-09-15,500
B09G2KS69R,2023-09-16,652
B09G2KS69R,2023-09-17,1024
B09G2KS69R,2023-09-18,668
B09G2KS69R,2023-09-19,1049
B09G2KS69R,2023-09-20,566
B09G2KS69R,2023-09-21,742
B09G2KS69R,2023-09-22,524
B09G2KS69R,2023-09-23,425
B09G2KS69R,2023-09-24,885
B09G2KS69R,2023-09-25,1092
B09G2KS69R,2023-09-26,601
B09G2KS69R,2023-09-27,1258
B09G2KS69R,2023-09-28,1260
B09G2KS69R,2023-09-29,1247
B09G2KS69R,2023-09-30,1270
B09G2KS69R,2023-10-01,1326
B09G2KS69R,2023-10-02,1382
B09G2KS69R,2023-10-03,1396
B09G2KS69R,2023-10-04,648
B09G2KS69R,2023-10-05,977
B09G2KS69R,2023-10-06,1117
B09G2KS69R,2023-10-07,1192
B09G2KS69R,2023-10-08,1269
B09G2KS69R,2023-10-09,465
B09G2KS69R,2023-10-10,982
B09G2KS69R,2023-10-11,1124
B09G2KS69R,2023-10-12,1213
B09G2KS69R,2023-10-13,1225
B09G2KS69R,2023-10-14,771
B09G2KS69R,2023-10-15,960
B09G2KS69R,2023-10-16,1353
B09G2KS69R,2023-10-17,1356
B09G2KS69R,2023-10-18,1356
B09G2KS69R,2023-10-19,1349
B09G2KS69R,2023-10-20,1339
B09G2KS69R,2023-10-21,1320
B09G2KS69R,2023-10-22,1320
B09G2KS69R,2023-10-23,1360
B09G2KS69R,2023-10-24,1392
B09G2KS69R,2023-10-25,1380
B09G2KS69R,2023-10-26,1368
B09G2KS69R,2023-10-27,1339
B09G2KS69R,2023-10-28,1337
B09G2KS69R,2023-10-29,1342
B09G2KS69R,2023-10-30,618
B09G2KS69R,2023-10-31,991
B09G2KS69R,2023-11-01,576
B09G2KS69R,2023-11-02,1048
B09G2KS69R,2023-11-03,1148
B09G2KS69R,2023-11-04,1248
B09G2KS69R,2023-11-05,1291
B09G2KS69R,2023-11-06,628
B09G2KS69R,2023-11-07,503
B09G2KS69R,2023-11-08,864
B09G2KS69R,2023-11-09,1058
B09G2KS69R,2023-11-10,1144
B09G2KS69R,2023-11-11,1253
B09G2KS69R,2023-11-12,1258
B09G2KS69R,2023-11-13,1324
B09G2KS69R,2023-11-14,1337
B09G2KS69R,2023-11-15,1325
B09G2KS69R,2023-11-16,1352
B09G2KS69R,2023-11-17,502
B09G2KS69R,2023-11-18,619
B09G2KS69R,2023-11-19,975
B09G2KS69R,2023-11-20,1215
B09G2KS69R,2023-11-21,1268
B09G2KS69R,2023-11-22,1316
B09G2KS69R,2023-11-23,1310
B09G2KS69R,2023-11-24,1401
B09G2KS69R,2023-11-25,850
B09G2KS69R,2023-11-26,1195
B09G2KS69R,2023-11-27,1418
B09G2KS69R,2023-11-28,1421
B09G2KS69R,2023-11-29,1436
B09G2KS69R,2023-11-30,624
B09G2KS69R,2023-12-01,558
B09G2KS69R,2023-12-02,1142
B09G2KS69R,2023-12-03,1180
B09G2KS69R,2023-12-04,654
B09G2KS69R,2023-12-05,
B09G2KS69R,2023-12-06,740
B09G2KS69R,2023-12-07,508
B09G2KS69R,2023-12-08,589
B09G2KS69R,2023-12-09,1009
B09G2KS69R,2023-12-10,1146
B09G2KS69R,2023-12-11,1289
B09G2KS69R,2023-12-12,1405
B09G2KS69R,2023-12-13,1392
B09G2KS69R,2023-12-14,1436
B09G2KS69R,2023-12-15,1437
B09G2KS69R,2023-12-16,1426
B09G2KS69R,2023-12-17,1493
B09G2KS69R,2023-12-18,1547
B09G2KS69R,2023-12-19,1555
B09G2KS69R,2023-12-20,1517
B09G2KS69R,2023-12-21,1494
B09G2KS69R,2023-12-22,1490
B09G2KS69R,2023-12-23,1466
B09G2KS69R,2023-12-24,1473
B09G2KS69R,2023-12-25,1510
B09G2KS69R,2023-12-26,1492
B09G2KS69R,2023-12-27,1474
B09G2KS69R,2023-12-28,1439
B09G2KS69R,2023-12-29,1437
B09G2KS69R,2023-12-30,1395
B09G2KS69R,2023-12-31,1368
B09G2KS69R,2024-01-01,1361
B09G2KS69R,2024-01-02,1344
B09G2KS69R,2024-01-03,1351
B09G2KS69R,2024-01-04,590
B09G2KS69R,2024-01-05,833
B09G2KS69R,2024-01-06,1184
B09G2KS69R,2024-01-07,1272
B09G2KS69R,2024-01-08,1395
B09G2KS69R,2024-01-09,735
B09G2KS69R,2024-01-10,1083
B09G2KS69R,2024-01-11,554
B09G2KS69R,2024-01-12,783
B09G2KS69R,2024-01-13,1037
B09G2KS69R,2024-01-14,1195
B09G2KS69R,2024-01-15,1307
B09G2KS69R,2024-01-16,1386
B09G2KS69R,2024-01-17,1402
B09G2KS69R,2024-01-18,1410
B09G2KS69R,2024-01-19,1384
B09G2KS69R,2024-01-20,1397
B09G2KS69R,2024-01-21,1442
B09G2KS69R,2024-01-22,1467
B09G2KS69R,2024-01-23,1453
B09G2KS69R,2024-01-24,1465
B09G2KS69R,2024-01-25,1425
B09G2KS69R,2024-01-26,1430
B09G2KS69R,2024-01-27,1448
B09G2KS69R,2024-01-28,1496
B09G2KS69R,2024-01-29,1511
B09G2KS69R,2024-01-30,1488
B09G2KS69R,2024-01-31,511
B09G2KS69R,2024-02-01,1129
B09G2KS69R,2024-02-02,1216
B09G2KS69R,2024-02-03,647
B09G2KS69R,2024-02-04,1003
B09G2KS69R,2024-02-05,1281
B09G2KS69R,2024-02-06,1376
B09G2KS69R,2024-02-07,1422
B09G2KS69R,2024-02-08,1422
B09G2KS69R,2024-02-09,1440
B09G2KS69R,2024-02-10,1448
B09G2KS69R,2024-02-11,1480
B09G2KS69R,2024-02-12,1505
B09G2KS69R,2024-02-13,1507
B09G2KS69R,2024-02-14,1504
B09G2KS69R,2024-02-15,1483
B09G2KS69R,2024-02-16,1476
B09G2KS69R,2024-02-17,1484
B09G2KS69R,2024-02-18,1500
B09G2KS69R,2024-02-19,1548
B09G2KS69R,2024-02-20,1540
