asin,date,daily_salesrank
B09G2L68H2,2023-01-01,278
B09G2L68H2,2023-01-02,342
B09G2L68H2,2023-01-03,271
B09G2L68H2,2023-01-04,252
B09G2L68H2,2023-01-05,273
B09G2L68H2,2023-01-06,284
B09G2L68H2,2023-01-07,566
B09G2L68H2,2023-01-08,519
B09G2L68H2,2023-01-09,357
B09G2L68H2,2023-01-10,217
B09G2L68H2,2023-01-11,219
B09G2L68H2,2023-01-12,253
B09G2L68H2,2023-01-13,221
B09G2L68H2,2023-01-14,238
B09G2L68H2,2023-01-15,512
B09G2L68H2,2023-01-16,288
B09G2L68H2,2023-01-17,309
B09G2L68H2,2023-01-18,243
B09G2L68H2,2023-01-19,368
B09G2L68H2,2023-01-20,233
B09G2L68H2,2023-01-21,196
B09G2L68H2,2023-01-22,246
B09G2L68H2,2023-01-23,273
B09G2L68H2,2023-01-24,253
B09G2L68H2,2023-01-25,336
B09G2L68H2,2023-01-26,596
B09G2L68H2,2023-01-27,256
B09G2L68H2,2023-01-28,256
B09G2L68H2,2023-01-29,634
B09G2L68H2,2023-01-30,411
B09G2L68H2,2023-01-31,366
B09G2L68H2,2023-02-01,223
B09G2L68H2,2023-02-02,359
B09G2L68H2,2023-02-03,406
B09G2L68H2,2023-02-04,489
B09G2L68H2,2023-02-05,799
B09G2L68H2,2023-02-06,946
B09G2L68H2,2023-02-07,915
B09G2L68H2,2023-02-08,441
B09G2L68H2,2023-02-09,469
B09G2L68H2,2023-02-10,336
B09G2L68H2,2023-02-11,350
B09G2L68H2,2023-02-12,460
B09G2L68H2,2023-02-13,413
B09G2L68H2,2023-02-14,707
B09G2L68H2,2023-02-15,858
B09G2L68H2,2023-02-16,944
B09G2L68H2,2023-02-17,1013
B09G2L68H2,2023-02-18,1035
B09G2L68H2,2023-02-19,1100
B09G2L68H2,2023-02-20,509
B09G2L68H2,2023-02-21,596
B09G2L68H2,2023-02-22,962
B09G2L68H2,2023-02-23,1025
B09G2L68H2,2023-02-24,1114
B09G2L68H2,2023-02-25,556
B09G2L68H2,2023-02-26,504
B09G2L68H2,2023-02-27,899
B09G2L68H2,2023-02-28,998
B09G2L68H2,2023-03-01,512
B09G2L68H2,2023-03-02,589
B09G2L68H2,2023-03-03,482
B09G2L68H2,2023-03-04,851
B09G2L68H2,2023-03-05,1024
B09G2L68H2,2023-03-06,561
B09G2L68H2,2023-03-07,529
B09G2L68H2,2023-03-08,871
B09G2L68H2,2023-03-09,1046
B09G2L68H2,2023-03-10,1063
B09G2L68H2,2023-03-11,1127
B09G2L68H2,2023-03-12,1197
B09G2L68H2,2023-03-13,1214
B09G2L68H2,2023-03-14,1228
B09G2L68H2,2023-03-15,1206
B09G2L68H2,2023-03-16,494
B09G2L68H2,2023-03-17,675
B09G2L68H2,2023-03-18,1013
B09G2L68H2,2023-03-19,1159
B09G2L68H2,2023-03-20,1244
B09G2L68H2,2023-03-21,573
B09G2L68H2,2023-03-22,676
B09G2L68H2,2023-03-23,611
B09G2L68H2,2023-03-24,479
B09G2L68H2,2023-03-25,435
B09G2L68H2,2023-03-26,521
B09G2L68H2,2023-03-27,928
B09G2L68H2,2023-03-28,1054
B09G2L68H2,2023-03-29,1122
B09G2L68H2,2023-03-30,1147
B09G2L68H2,2023-03-31,1207
B09G2L68H2,2023-04-01,1204
B09G2L68H2,2023-04-02,1290
B09G2L68H2,2023-04-03,778
B09G2L68H2,2023-04-04,1058
B09G2L68H2,2023-04-05,566
B09G2L68H2,2023-04-06,744
B09G2L68H2,2023-04-07,550
B09G2L68H2,2023-04-08,752
B09G2L68H2,2023-04-09,1026
B09G2L68H2,2023-04-10,1108
B09G2L68H2,2023-04-11,1196
B09G2L68H2,2023-04-12,1207
B09G2L68H2,2023-04-13,1214
B09G2L68H2,2023-04-14,1212
B09G2L68H2,2023-04-15,1146
B09G2L68H2,2023-04-16,1205
B09G2L68H2,2023-04-17,569
B09G2L68H2,2023-04-18,832
B09G2L68H2,2023-04-19,1081
B09G2L68H2,2023-04-20,1188
B09G2L68H2,2023-04-21,1229
B09G2L68H2,2023-04-22,1227
B09G2L68H2,2023-04-23,1326
B09G2L68H2,2023-04-24,1370
B09G2L68H2,2023-04-25,1310
B09G2L68H2,2023-04-26,1301
B09G2L68H2,2023-04-27,1278
B09G2L68H2,2023-04-28,1292
B09G2L68H2,2023-04-29,1256
B09G2L68H2,2023-04-30,1309
B09G2L68H2,2023-05-01,1335
B09G2L68H2,2023-05-02,675
B09G2L68H2,2023-05-03,1088
B09G2L68H2,2023-05-04,1192
B09G2L68H2,2023-05-05,1221
B09G2L68H2,2023-05-06,1282
B09G2L68H2,2023-05-07,1268
B09G2L68H2,2023-05-08,1283
B09G2L68H2,2023-05-09,1293
B09G2L68H2,2023-05-10,1279
B09G2L68H2,2023-05-11,1273
B09G2L68H2,2023-05-12,1293
B09G2L68H2,2023-05-13,1249
B09G2L68H2,2023-05-14,1281
B09G2L68H2,2023-05-15,1313
B09G2L68H2,2023-05-16,1294
B09G2L68H2,2023-05-17,1337
B09G2L68H2,2023-05-18,1346
B09G2L68H2,2023-05-19,1339
B09G2L68H2,2023-05-20,1300
B09G2L68H2,2023-05-21,1315
B09G2L68H2,2023-05-22,1348
B09G2L68H2,2023-05-23,1321
B09G2L68H2,2023-05-24,1332
B09G2L68H2,2023-05-25,526
B09G2L68H2,2023-05-26,724
B09G2L68H2,2023-05-27,536
B09G2L68H2,2023-05-28,1154
B09G2L68H2,2023-05-29,468
B09G2L68H2,2023-05-30,656
B09G2L68H2,2023-05-31,502
B09G2L68H2,2023-06-01,523
B09G2L68H2,2023-06-02,623
B09G2L68H2,2023-06-03,937
B09G2L68H2,2023-06-04,1109
B09G2L68H2,2023-06-05,1237
B09G2L68H2,2023-06-06,1255
B09G2L68H2,2023-06-07,518
B09G2L68H2,2023-06-08,869
B09G2L68H2,2023-06-09,306
B09G2L68H2,2023-06-10,440
B09G2L68H2,2023-06-11,574
B09G2L68H2,2023-06-12,664
B09G2L68H2,2023-06-13,575
B09G2L68H2,2023-06-14,913
B09G2L68H2,2023-06-15,1055
B09G2L68H2,2023-06-16,441
B09G2L68H2,2023-06-17,516
B09G2L68H2,2023-06-18,451
B09G2L68H2,2023-06-19,544
B09G2L68H2,2023-06-20,998
B09G2L68H2,2023-06-21,613
B09G2L68H2,2023-06-22,1008
B09G2L68H2,2023-06-23,1114
B09G2L68H2,2023-06-24,1145
B09G2L68H2,2023-06-25,1177
B09G2L68H2,2023-06-26,1262
B09G2L68H2,2023-06-27,1273
B09G2L68H2,2023-06-28,512
B09G2L68H2,2023-06-29,599
B09G2L68H2,2023-06-30,949
B09G2L68H2,2023-07-01,1096
B09G2L68H2,2023-07-02,461
B09G2L68H2,2023-07-03,642
B09G2L68H2,2023-07-04,603
B09G2L68H2,2023-07-05,543
B09G2L68H2,2023-07-06,796
B09G2L68H2,2023-07-07,1042
B09G2L68H2,2023-07-08,404
B09G2L68H2,2023-07-09,525
B09G2L68H2,2023-07-10,990
B09G2L68H2,2023-07-11,1074
B09G2L68H2,2023-07-12,1400
B09G2L68H2,2023-07-13,1430
B09G2L68H2,2023-07-14,1348
B09G2L68H2,2023-07-15,1271
B09G2L68H2,2023-07-16,1304
B09G2L68H2,2023-07-17,1279
B09G2L68H2,2023-07-18,633
B09G2L68H2,2023-07-19,466
B09G2L68H2,2023-07-20,1009
B09G2L68H2,2023-07-21,1113
B09G2L68H2,2023-07-22,1128
B09G2L68H2,2023-07-23,1223
B09G2L68H2,2023-07-24,627
B09G2L68H2,2023-07-25,490
B09G2L68H2,2023-07-26,909
B09G2L68H2,2023-07-27,1067
B09G2L68H2,2023-07-28,1133
B09G2L68H2,2023-07-29,701
B09G2L68H2,2023-07-30,1015
B09G2L68H2,2023-07-31,1213
B09G2L68H2,2023-08-01,636
B09G2L68H2,2023-08-02,1040
B09G2L68H2,2023-08-03,1188
B09G2L68H2,2023-08-04,1242
B09G2L68H2,2023-08-05,660
B09G2L68H2,2023-08-06,980
B09G2L68H2,2023-08-07,1192
B09G2L68H2,2023-08-08,1217
B09G2L68H2,2023-08-09,1267
B09G2L68H2,2023-08-10,1269
B09G2L68H2,2023-08-11,737
B09G2L68H2,2023-08-12,1077
B09G2L68H2,2023-08-13,386
B09G2L68H2,2023-08-14,513
B09G2L68H2,2023-08-15,518
B09G2L68H2,2023-08-16,766
B09G2L68H2,2023-08-17,1047
B09G2L68H2,2023-08-18,1157
B09G2L68H2,2023-08-19,661
B09G2L68H2,2023-08-20,589
B09G2L68H2,2023-08-21,861
B09G2L68H2,2023-08-22,1085
B09G2L68H2,2023-08-23,1143
B09G2L68H2,2023-08-24,1225
B09G2L68H2,2023-08-25,538
B09G2L68H2,2023-08-26,712
B09G2L68H2,2023-08-27,1083
B09G2L68H2,2023-08-28,1178
B09G2L68H2,2023-08-29,672
B09G2L68H2,2023-08-30,1048
B09G2L68H2,2023-08-31,1125
B09G2L68H2,2023-09-01,1188
B09G2L68H2,2023-09-02,1318
B09G2L68H2,2023-09-03,1340
B09G2L68H2,2023-09-04,1365
B09G2L68H2,2023-09-05,1353
B09G2L68H2,2023-09-06,1343
B09G2L68H2,2023-09-07,1342
B09G2L68H2,2023-09-08,1328
B09G2L68H2,2023-09-09,1304
B09G2L68H2,2023-09-10,1290
B09G2L68H2,2023-09-11,1339
B09G2L68H2,2023-09-12,1355
