asin,date,daily_salesrank
B09J8MF636,2023-01-01,744
B09J8MF636,2023-01-02,897
B09J8MF636,2023-01-03,312
B09J8MF636,2023-01-04,333
B09J8MF636,2023-01-05,388
B09J8MF636,2023-01-06,322
B09J8MF636,2023-01-07,748
B09J8MF636,2023-01-08,414
B09J8MF636,2023-01-09,471
B09J8MF636,2023-01-10,967
B09J8MF636,2023-01-11,1045
B09J8MF636,2023-01-12,502
B09J8MF636,2023-01-13,867
B09J8MF636,2023-01-14,1097
B09J8MF636,2023-01-15,581
B09J8MF636,2023-01-16,724
B09J8MF636,2023-01-17,505
B09J8MF636,2023-01-18,330
B09J8MF636,2023-01-19,30
B09J8MF636,2023-01-20,28
B09J8MF636,2023-01-21,30
B09J8MF636,2023-01-22,43
B09J8MF636,2023-01-23,31
B09J8MF636,2023-01-24,28
B09J8MF636,2023-01-25,40
B09J8MF636,2023-01-26,46
B09J8MF636,2023-01-27,50
B09J8MF636,2023-01-28,37
B09J8MF636,2023-01-29,28
B09J8MF636,2023-01-30,42
B09J8MF636,2023-01-31,37
B09J8MF636,2023-02-01,36
B09J8MF636,2023-02-02,25
B09J8MF636,2023-02-03,42
B09J8MF636,2023-02-04,47
B09J8MF636,2023-02-05,61
B09J8MF636,2023-02-06,47
B09J8MF636,2023-02-07,40
B09J8MF636,2023-02-08,38
B09J8MF636,2023-02-09,28
B09J8MF636,2023-02-10,30
B09J8MF636,2023-02-11,44
B09J8MF636,2023-02-12,53
B09J8MF636,2023-02-13,57
B09J8MF636,2023-02-14,46
B09J8MF636,2023-02-15,60
B09J8MF636,2023-02-16,59
B09J8MF636,2023-02-17,48
B09J8MF636,2023-02-18,45
B09J8MF636,2023-02-19,66
B09J8MF636,2023-02-20,62
B09J8MF636,2023-02-21,47
B09J8MF636,2023-02-22,39
B09J8MF636,2023-02-23,43
B09J8MF636,2023-02-24,32
B09J8MF636,2023-02-25,48
B09J8MF636,2023-02-26,60
B09J8MF636,2023-02-27,77
B09J8MF636,2023-02-28,83
B09J8MF636,2023-03-01,92
B09J8MF636,2023-03-02,90
B09J8MF636,2023-03-03,105
B09J8MF636,2023-03-04,119
B09J8MF636,2023-03-05,81
B09J8MF636,2023-03-06,83
B09J8MF636,2023-03-07,83
B09J8MF636,2023-03-08,72
B09J8MF636,2023-03-09,103
B09J8MF636,2023-03-10,133
B09J8MF636,2023-03-11,161
B09J8MF636,2023-03-12,165
B09J8MF636,2023-03-13,195
B09J8MF636,2023-03-14,141
B09J8MF636,2023-03-15,141
B09J8MF636,2023-03-16,122
B09J8MF636,2023-03-17,156
B09J8MF636,2023-03-18,97
B09J8MF636,2023-03-19,98
B09J8MF636,2023-03-20,69
B09J8MF636,2023-03-21,55
B09J8MF636,2023-03-22,58
B09J8MF636,2023-03-23,63
B09J8MF636,2023-03-24,95
B09J8MF636,2023-03-25,91
B09J8MF636,2023-03-26,89
B09J8MF636,2023-03-27,105
B09J8MF636,2023-03-28,150
B09J8MF636,2023-03-29,119
B09J8MF636,2023-03-30,78
B09J8MF636,2023-03-31,61
B09J8MF636,2023-04-01,56
