asin,date,daily_salesrank
B09N73WQ2V,2023-01-01,7
B09N73WQ2V,2023-01-02,7
B09N73WQ2V,2023-01-03,8
B09N73WQ2V,2023-01-04,7
B09N73WQ2V,2023-01-05,6
B09N73WQ2V,2023-01-06,4
B09N73WQ2V,2023-01-07,5
B09N73WQ2V,2023-01-08,5
B09N73WQ2V,2023-01-09,5
B09N73WQ2V,2023-01-10,7
B09N73WQ2V,2023-01-11,5
B09N73WQ2V,2023-01-12,5
B09N73WQ2V,2023-01-13,4
B09N73WQ2V,2023-01-14,
B09N73WQ2V,2023-01-15,
B09N73WQ2V,2023-01-16,
B09N73WQ2V,2023-01-17,4
B09N73WQ2V,2023-01-18,
B09N73WQ2V,2023-01-19,
B09N73WQ2V,2023-01-20,
B09N73WQ2V,2023-01-21,4
B09N73WQ2V,2023-01-22,5
B09N73WQ2V,2023-01-23,7
B09N73WQ2V,2023-01-24,4
B09N73WQ2V,2023-01-25,7
B09N73WQ2V,2023-01-26,9
B09N73WQ2V,2023-01-27,8
B09N73WQ2V,2023-01-28,8
B09N73WQ2V,2023-01-29,13
B09N73WQ2V,2023-01-30,14
B09N73WQ2V,2023-01-31,10
B09N73WQ2V,2023-02-01,5
B09N73WQ2V,2023-02-02,3
B09N73WQ2V,2023-02-03,
B09N73WQ2V,2023-02-04,4
B09N73WQ2V,2023-02-05,
B09N73WQ2V,2023-02-06,4
B09N73WQ2V,2023-02-07,4
B09N73WQ2V,2023-02-08,
B09N73WQ2V,2023-02-09,84
B09N73WQ2V,2023-02-10,81
B09N73WQ2V,2023-02-11,64
B09N73WQ2V,2023-02-12,94
B09N73WQ2V,2023-02-13,96
B09N73WQ2V,2023-02-14,84
B09N73WQ2V,2023-02-15,95
B09N73WQ2V,2023-02-16,58
B09N73WQ2V,2023-02-17,44
B09N73WQ2V,2023-02-18,84
B09N73WQ2V,2023-02-19,71
B09N73WQ2V,2023-02-20,97
B09N73WQ2V,2023-02-21,404
B09N73WQ2V,2023-02-22,432
B09N73WQ2V,2023-02-23,449
B09N73WQ2V,2023-02-24,355
B09N73WQ2V,2023-02-25,385
B09N73WQ2V,2023-02-26,347
B09N73WQ2V,2023-02-27,491
B09N73WQ2V,2023-02-28,512
B09N73WQ2V,2023-03-01,535
B09N73WQ2V,2023-03-02,535
B09N73WQ2V,2023-03-03,652
B09N73WQ2V,2023-03-04,627
B09N73WQ2V,2023-03-05,678
B09N73WQ2V,2023-03-06,730
B09N73WQ2V,2023-03-07,70
B09N73WQ2V,2023-03-08,104
B09N73WQ2V,2023-03-09,118
B09N73WQ2V,2023-03-10,188
B09N73WQ2V,2023-03-11,254
B09N73WQ2V,2023-03-12,327
B09N73WQ2V,2023-03-13,339
B09N73WQ2V,2023-03-14,399
B09N73WQ2V,2023-03-15,364
B09N73WQ2V,2023-03-16,438
B09N73WQ2V,2023-03-17,330
B09N73WQ2V,2023-03-18,34
B09N73WQ2V,2023-03-19,117
B09N73WQ2V,2023-03-20,85
B09N73WQ2V,2023-03-21,28
B09N73WQ2V,2023-03-22,26
B09N73WQ2V,2023-03-23,29
B09N73WQ2V,2023-03-24,36
B09N73WQ2V,2023-03-25,36
B09N73WQ2V,2023-03-26,31
B09N73WQ2V,2023-03-27,35
B09N73WQ2V,2023-03-28,34
B09N73WQ2V,2023-03-29,31
B09N73WQ2V,2023-03-30,37
B09N73WQ2V,2023-03-31,40
B09N73WQ2V,2023-04-01,35
B09N73WQ2V,2023-04-02,47
B09N73WQ2V,2023-04-03,55
B09N73WQ2V,2023-04-04,44
B09N73WQ2V,2023-04-05,40
B09N73WQ2V,2023-04-06,51
B09N73WQ2V,2023-04-07,63
B09N73WQ2V,2023-04-08,57
B09N73WQ2V,2023-04-09,70
B09N73WQ2V,2023-04-10,83
B09N73WQ2V,2023-04-11,73
B09N73WQ2V,2023-04-12,57
B09N73WQ2V,2023-04-13,63
B09N73WQ2V,2023-04-14,45
B09N73WQ2V,2023-04-15,38
B09N73WQ2V,2023-04-16,37
B09N73WQ2V,2023-04-17,47
B09N73WQ2V,2023-04-18,42
B09N73WQ2V,2023-04-19,39
B09N73WQ2V,2023-04-20,38
B09N73WQ2V,2023-04-21,61
B09N73WQ2V,2023-04-22,43
B09N73WQ2V,2023-04-23,32
B09N73WQ2V,2023-04-24,40
B09N73WQ2V,2023-04-25,41
B09N73WQ2V,2023-04-26,23
B09N73WQ2V,2023-04-27,21
B09N73WQ2V,2023-04-28,21
B09N73WQ2V,2023-04-29,18
B09N73WQ2V,2023-04-30,24
B09N73WQ2V,2023-05-01,25
B09N73WQ2V,2023-05-02,16
B09N73WQ2V,2023-05-03,14
B09N73WQ2V,2023-05-04,17
B09N73WQ2V,2023-05-05,20
B09N73WQ2V,2023-05-06,25
B09N73WQ2V,2023-05-07,45
B09N73WQ2V,2023-05-08,51
B09N73WQ2V,2023-05-09,52
B09N73WQ2V,2023-05-10,64
B09N73WQ2V,2023-05-11,59
B09N73WQ2V,2023-05-12,81
B09N73WQ2V,2023-05-13,38
B09N73WQ2V,2023-05-14,36
