asin,date,daily_salesrank
B09NNH112Q,2023-01-01,83
B09NNH112Q,2023-01-02,66
B09NNH112Q,2023-01-03,55
B09NNH112Q,2023-01-04,50
B09NNH112Q,2023-01-05,35
B09NNH112Q,2023-01-06,37
B09NNH112Q,2023-01-07,45
B09NNH112Q,2023-01-08,49
B09NNH112Q,2023-01-09,69
B09NNH112Q,2023-01-10,67
B09NNH112Q,2023-01-11,57
B09NNH112Q,2023-01-12,61
B09NNH112Q,2023-01-13,57
B09NNH112Q,2023-01-14,54
B09NNH112Q,2023-01-15,53
B09NNH112Q,2023-01-16,50
B09NNH112Q,2023-01-17,39
B09NNH112Q,2023-01-18,48
B09NNH112Q,2023-01-19,54
B09NNH112Q,2023-01-20,52
B09NNH112Q,2023-01-21,45
B09NNH112Q,2023-01-22,46
B09NNH112Q,2023-01-23,55
B09NNH112Q,2023-01-24,32
B09NNH112Q,2023-01-25,50
B09NNH112Q,2023-01-26,44
B09NNH112Q,2023-01-27,45
B09NNH112Q,2023-01-28,36
B09NNH112Q,2023-01-29,50
B09NNH112Q,2023-01-30,47
B09NNH112Q,2023-01-31,58
B09NNH112Q,2023-02-01,62
B09NNH112Q,2023-02-02,27
B09NNH112Q,2023-02-03,22
B09NNH112Q,2023-02-04,22
B09NNH112Q,2023-02-05,19
B09NNH112Q,2023-02-06,18
B09NNH112Q,2023-02-07,30
B09NNH112Q,2023-02-08,32
B09NNH112Q,2023-02-09,39
B09NNH112Q,2023-02-10,494
B09NNH112Q,2023-02-11,288
B09NNH112Q,2023-02-12,320
B09NNH112Q,2023-02-13,424
B09NNH112Q,2023-02-14,624
B09NNH112Q,2023-02-15,485
B09NNH112Q,2023-02-16,324
B09NNH112Q,2023-02-17,466
B09NNH112Q,2023-02-18,551
B09NNH112Q,2023-02-19,401
B09NNH112Q,2023-02-20,480
B09NNH112Q,2023-02-21,396
B09NNH112Q,2023-02-22,785
B09NNH112Q,2023-02-23,552
B09NNH112Q,2023-02-24,723
B09NNH112Q,2023-02-25,1020
B09NNH112Q,2023-02-26,1158
B09NNH112Q,2023-02-27,1236
B09NNH112Q,2023-02-28,1300
B09NNH112Q,2023-03-01,1359
B09NNH112Q,2023-03-02,560
B09NNH112Q,2023-03-03,1493
B09NNH112Q,2023-03-04,506
B09NNH112Q,2023-03-05,580
B09NNH112Q,2023-03-06,1060
B09NNH112Q,2023-03-07,1269
B09NNH112Q,2023-03-08,649
B09NNH112Q,2023-03-09,408
B09NNH112Q,2023-03-10,354
B09NNH112Q,2023-03-11,842
B09NNH112Q,2023-03-12,1091
B09NNH112Q,2023-03-13,545
B09NNH112Q,2023-03-14,467
B09NNH112Q,2023-03-15,573
B09NNH112Q,2023-03-16,624
B09NNH112Q,2023-03-17,369
B09NNH112Q,2023-03-18,240
B09NNH112Q,2023-03-19,594
B09NNH112Q,2023-03-20,469
B09NNH112Q,2023-03-21,668
B09NNH112Q,2023-03-22,558
B09NNH112Q,2023-03-23,895
B09NNH112Q,2023-03-24,1057
B09NNH112Q,2023-03-25,1256
B09NNH112Q,2023-03-26,435
