asin,date,daily_salesrank
B09P31T6GF,2023-01-01,88660
B09P31T6GF,2023-01-02,106101
B09P31T6GF,2023-01-03,120401
B09P31T6GF,2023-01-04,104913
B09P31T6GF,2023-01-05,135089
B09P31T6GF,2023-01-06,72360
B09P31T6GF,2023-01-07,95443
B09P31T6GF,2023-01-08,137576
B09P31T6GF,2023-01-09,83702
B09P31T6GF,2023-01-10,127353
B09P31T6GF,2023-01-11,47528
B09P31T6GF,2023-01-12,65434
B09P31T6GF,2023-01-13,44404
B09P31T6GF,2023-01-14,22911
B09P31T6GF,2023-01-15,76294
B09P31T6GF,2023-01-16,
B09P31T6GF,2023-01-17,30370
B09P31T6GF,2023-01-18,47244
B09P31T6GF,2023-01-19,27747
B09P31T6GF,2023-01-20,78546
B09P31T6GF,2023-01-21,48449
B09P31T6GF,2023-01-22,99214
B09P31T6GF,2023-01-23,67824
B09P31T6GF,2023-01-24,50695
B09P31T6GF,2023-01-25,92149
B09P31T6GF,2023-01-26,29022
B09P31T6GF,2023-01-27,88660
B09P31T6GF,2023-01-28,29298
B09P31T6GF,2023-01-29,69356
B09P31T6GF,2023-01-30,52930
B09P31T6GF,2023-01-31,43291
B09P31T6GF,2023-02-01,60207
B09P31T6GF,2023-02-02,22903
B09P31T6GF,2023-02-03,40198
B09P31T6GF,2023-02-04,42582
B09P31T6GF,2023-02-05,77786
B09P31T6GF,2023-02-06,108452
B09P31T6GF,2023-02-07,116599
B09P31T6GF,2023-02-08,50492
B09P31T6GF,2023-02-09,21481
B09P31T6GF,2023-02-10,34392
B09P31T6GF,2023-02-11,38862
B09P31T6GF,2023-02-12,84404
B09P31T6GF,2023-02-13,112744
B09P31T6GF,2023-02-14,126923
B09P31T6GF,2023-02-15,143367
B09P31T6GF,2023-02-16,154130
B09P31T6GF,2023-02-17,22782
B09P31T6GF,2023-02-18,63669
B09P31T6GF,2023-02-19,98004
B09P31T6GF,2023-02-20,25673
B09P31T6GF,2023-02-21,53027
B09P31T6GF,2023-02-22,54016
B09P31T6GF,2023-02-23,90370
B09P31T6GF,2023-02-24,45074
B09P31T6GF,2023-02-25,98240
B09P31T6GF,2023-02-26,37378
B09P31T6GF,2023-02-27,51592
B09P31T6GF,2023-02-28,45563
B09P31T6GF,2023-03-01,50579
B09P31T6GF,2023-03-02,77792
B09P31T6GF,2023-03-03,54049
