asin,date,daily_salesrank
B09TSBGDN4,2023-01-01,4
B09TSBGDN4,2023-01-02,
B09TSBGDN4,2023-01-03,3
B09TSBGDN4,2023-01-04,4
B09TSBGDN4,2023-01-05,3
B09TSBGDN4,2023-01-06,3
B09TSBGDN4,2023-01-07,3
B09TSBGDN4,2023-01-08,
B09TSBGDN4,2023-01-09,
B09TSBGDN4,2023-01-10,
B09TSBGDN4,2023-01-11,
B09TSBGDN4,2023-01-12,
B09TSBGDN4,2023-01-13,5
B09TSBGDN4,2023-01-14,5
B09TSBGDN4,2023-01-15,7
B09TSBGDN4,2023-01-16,10
B09TSBGDN4,2023-01-17,8
B09TSBGDN4,2023-01-18,11
B09TSBGDN4,2023-01-19,21
B09TSBGDN4,2023-01-20,41
B09TSBGDN4,2023-01-21,50
B09TSBGDN4,2023-01-22,76
B09TSBGDN4,2023-01-23,92
B09TSBGDN4,2023-01-24,93
B09TSBGDN4,2023-01-25,87
B09TSBGDN4,2023-01-26,48
B09TSBGDN4,2023-01-27,17
B09TSBGDN4,2023-01-28,20
B09TSBGDN4,2023-01-29,13
B09TSBGDN4,2023-01-30,13
B09TSBGDN4,2023-01-31,11
B09TSBGDN4,2023-02-01,7
B09TSBGDN4,2023-02-02,12
B09TSBGDN4,2023-02-03,18
B09TSBGDN4,2023-02-04,18
B09TSBGDN4,2023-02-05,25
B09TSBGDN4,2023-02-06,16
B09TSBGDN4,2023-02-07,14
B09TSBGDN4,2023-02-08,14
B09TSBGDN4,2023-02-09,10
B09TSBGDN4,2023-02-10,7
B09TSBGDN4,2023-02-11,7
B09TSBGDN4,2023-02-12,13
B09TSBGDN4,2023-02-13,12
B09TSBGDN4,2023-02-14,13
B09TSBGDN4,2023-02-15,10
B09TSBGDN4,2023-02-16,10
B09TSBGDN4,2023-02-17,7
B09TSBGDN4,2023-02-18,7
B09TSBGDN4,2023-02-19,5
B09TSBGDN4,2023-02-20,4
B09TSBGDN4,2023-02-21,
B09TSBGDN4,2023-02-22,4
B09TSBGDN4,2023-02-23,4
B09TSBGDN4,2023-02-24,4
B09TSBGDN4,2023-02-25,
B09TSBGDN4,2023-02-26,5
B09TSBGDN4,2023-02-27,4
B09TSBGDN4,2023-02-28,4
B09TSBGDN4,2023-03-01,4
B09TSBGDN4,2023-03-02,3
B09TSBGDN4,2023-03-03,
B09TSBGDN4,2023-03-04,
B09TSBGDN4,2023-03-05,
B09TSBGDN4,2023-03-06,
B09TSBGDN4,2023-03-07,
B09TSBGDN4,2023-03-08,3
B09TSBGDN4,2023-03-09,
B09TSBGDN4,2023-03-10,3
B09TSBGDN4,2023-03-11,4
B09TSBGDN4,2023-03-12,4
B09TSBGDN4,2023-03-13,5
B09TSBGDN4,2023-03-14,
B09TSBGDN4,2023-03-15,3
B09TSBGDN4,2023-03-16,3
B09TSBGDN4,2023-03-17,3
B09TSBGDN4,2023-03-18,3
B09TSBGDN4,2023-03-19,3
B09TSBGDN4,2023-03-20,10
B09TSBGDN4,2023-03-21,23
B09TSBGDN4,2023-03-22,46
B09TSBGDN4,2023-03-23,18
B09TSBGDN4,2023-03-24,10
B09TSBGDN4,2023-03-25,10
B09TSBGDN4,2023-03-26,9
B09TSBGDN4,2023-03-27,9
B09TSBGDN4,2023-03-28,8
B09TSBGDN4,2023-03-29,
B09TSBGDN4,2023-03-30,9
B09TSBGDN4,2023-03-31,8
B09TSBGDN4,2023-04-01,10
B09TSBGDN4,2023-04-02,10
B09TSBGDN4,2023-04-03,7
B09TSBGDN4,2023-04-04,7
B09TSBGDN4,2023-04-05,6
B09TSBGDN4,2023-04-06,6
B09TSBGDN4,2023-04-07,
B09TSBGDN4,2023-04-08,7
B09TSBGDN4,2023-04-09,9
B09TSBGDN4,2023-04-10,8
B09TSBGDN4,2023-04-11,7
B09TSBGDN4,2023-04-12,9
B09TSBGDN4,2023-04-13,9
B09TSBGDN4,2023-04-14,8
B09TSBGDN4,2023-04-15,12
B09TSBGDN4,2023-04-16,9
B09TSBGDN4,2023-04-17,11
B09TSBGDN4,2023-04-18,11
B09TSBGDN4,2023-04-19,10
B09TSBGDN4,2023-04-20,11
B09TSBGDN4,2023-04-21,10
B09TSBGDN4,2023-04-22,5
B09TSBGDN4,2023-04-23,5
B09TSBGDN4,2023-04-24,5
B09TSBGDN4,2023-04-25,5
B09TSBGDN4,2023-04-26,4
B09TSBGDN4,2023-04-27,4
B09TSBGDN4,2023-04-28,5
