asin,date,daily_salesrank
B0BD3FYJ3S,2023-01-01,1772
B0BD3FYJ3S,2023-01-02,734
B0BD3FYJ3S,2023-01-03,1141
B0BD3FYJ3S,2023-01-04,1539
B0BD3FYJ3S,2023-01-05,1755
B0BD3FYJ3S,2023-01-06,2025
B0BD3FYJ3S,2023-01-07,2163
B0BD3FYJ3S,2023-01-08,2355
B0BD3FYJ3S,2023-01-09,2460
B0BD3FYJ3S,2023-01-10,2592
B0BD3FYJ3S,2023-01-11,2683
B0BD3FYJ3S,2023-01-12,2755
B0BD3FYJ3S,2023-01-13,2808
B0BD3FYJ3S,2023-01-14,2865
B0BD3FYJ3S,2023-01-15,2921
B0BD3FYJ3S,2023-01-16,3001
B0BD3FYJ3S,2023-01-17,3046
B0BD3FYJ3S,2023-01-18,3137
B0BD3FYJ3S,2023-01-19,3216
B0BD3FYJ3S,2023-01-20,3280
B0BD3FYJ3S,2023-01-21,3305
B0BD3FYJ3S,2023-01-22,3371
B0BD3FYJ3S,2023-01-23,3401
B0BD3FYJ3S,2023-01-24,3443
B0BD3FYJ3S,2023-01-25,3512
B0BD3FYJ3S,2023-01-26,521
B0BD3FYJ3S,2023-01-27,865
B0BD3FYJ3S,2023-01-28,197
B0BD3FYJ3S,2023-01-29,244
B0BD3FYJ3S,2023-01-30,501
B0BD3FYJ3S,2023-01-31,945
B0BD3FYJ3S,2023-02-01,1148
B0BD3FYJ3S,2023-02-02,1363
B0BD3FYJ3S,2023-02-03,356
B0BD3FYJ3S,2023-02-04,327
B0BD3FYJ3S,2023-02-05,535
B0BD3FYJ3S,2023-02-06,454
B0BD3FYJ3S,2023-02-07,527
B0BD3FYJ3S,2023-02-08,914
B0BD3FYJ3S,2023-02-09,1155
B0BD3FYJ3S,2023-02-10,616
B0BD3FYJ3S,2023-02-11,782
B0BD3FYJ3S,2023-02-12,525
B0BD3FYJ3S,2023-02-13,479
B0BD3FYJ3S,2023-02-14,817
B0BD3FYJ3S,2023-02-15,554
B0BD3FYJ3S,2023-02-16,936
B0BD3FYJ3S,2023-02-17,1203
B0BD3FYJ3S,2023-02-18,1392
B0BD3FYJ3S,2023-02-19,792
B0BD3FYJ3S,2023-02-20,605
B0BD3FYJ3S,2023-02-21,755
B0BD3FYJ3S,2023-02-22,1151
B0BD3FYJ3S,2023-02-23,688
B0BD3FYJ3S,2023-02-24,688
B0BD3FYJ3S,2023-02-25,1190
B0BD3FYJ3S,2023-02-26,1426
B0BD3FYJ3S,2023-02-27,847
B0BD3FYJ3S,2023-02-28,1128
B0BD3FYJ3S,2023-03-01,1382
B0BD3FYJ3S,2023-03-02,1608
B0BD3FYJ3S,2023-03-03,1764
B0BD3FYJ3S,2023-03-04,1907
B0BD3FYJ3S,2023-03-05,1991
B0BD3FYJ3S,2023-03-06,2093
B0BD3FYJ3S,2023-03-07,2168
B0BD3FYJ3S,2023-03-08,2183
B0BD3FYJ3S,2023-03-09,2249
B0BD3FYJ3S,2023-03-10,2291
B0BD3FYJ3S,2023-03-11,689
B0BD3FYJ3S,2023-03-12,991
B0BD3FYJ3S,2023-03-13,1418
B0BD3FYJ3S,2023-03-14,1655
B0BD3FYJ3S,2023-03-15,1848
B0BD3FYJ3S,2023-03-16,1996
B0BD3FYJ3S,2023-03-17,549
B0BD3FYJ3S,2023-03-18,1000
B0BD3FYJ3S,2023-03-19,1412
B0BD3FYJ3S,2023-03-20,1695
B0BD3FYJ3S,2023-03-21,1903
B0BD3FYJ3S,2023-03-22,2029
B0BD3FYJ3S,2023-03-23,2156
B0BD3FYJ3S,2023-03-24,2302
B0BD3FYJ3S,2023-03-25,2388
B0BD3FYJ3S,2023-03-26,2480
B0BD3FYJ3S,2023-03-27,2511
B0BD3FYJ3S,2023-03-28,2616
B0BD3FYJ3S,2023-03-29,2696
B0BD3FYJ3S,2023-03-30,2744
B0BD3FYJ3S,2023-03-31,2778
B0BD3FYJ3S,2023-04-01,195
B0BD3FYJ3S,2023-04-02,237
B0BD3FYJ3S,2023-04-03,244
B0BD3FYJ3S,2023-04-04,263
B0BD3FYJ3S,2023-04-05,160
B0BD3FYJ3S,2023-04-06,235
B0BD3FYJ3S,2023-04-07,213
B0BD3FYJ3S,2023-04-08,241
B0BD3FYJ3S,2023-04-09,184
B0BD3FYJ3S,2023-04-10,250
B0BD3FYJ3S,2023-04-11,192
B0BD3FYJ3S,2023-04-12,193
B0BD3FYJ3S,2023-04-13,167
B0BD3FYJ3S,2023-04-14,277
B0BD3FYJ3S,2023-04-15,364
B0BD3FYJ3S,2023-04-16,407
B0BD3FYJ3S,2023-04-17,271
B0BD3FYJ3S,2023-04-18,297
B0BD3FYJ3S,2023-04-19,203
B0BD3FYJ3S,2023-04-20,233
B0BD3FYJ3S,2023-04-21,316
B0BD3FYJ3S,2023-04-22,236
B0BD3FYJ3S,2023-04-23,277
B0BD3FYJ3S,2023-04-24,259
B0BD3FYJ3S,2023-04-25,203
B0BD3FYJ3S,2023-04-26,156
B0BD3FYJ3S,2023-04-27,153
B0BD3FYJ3S,2023-04-28,238
B0BD3FYJ3S,2023-04-29,438
B0BD3FYJ3S,2023-04-30,207
B0BD3FYJ3S,2023-05-01,213
B0BD3FYJ3S,2023-05-02,218
B0BD3FYJ3S,2023-05-03,224
B0BD3FYJ3S,2023-05-04,280
B0BD3FYJ3S,2023-05-05,235
B0BD3FYJ3S,2023-05-06,268
B0BD3FYJ3S,2023-05-07,113
B0BD3FYJ3S,2023-05-08,112
B0BD3FYJ3S,2023-05-09,142
B0BD3FYJ3S,2023-05-10,143
B0BD3FYJ3S,2023-05-11,179
B0BD3FYJ3S,2023-05-12,245
B0BD3FYJ3S,2023-05-13,382
B0BD3FYJ3S,2023-05-14,438
B0BD3FYJ3S,2023-05-15,416
B0BD3FYJ3S,2023-05-16,469
B0BD3FYJ3S,2023-05-17,407
B0BD3FYJ3S,2023-05-18,754
B0BD3FYJ3S,2023-05-19,395
B0BD3FYJ3S,2023-05-20,505
B0BD3FYJ3S,2023-05-21,273
B0BD3FYJ3S,2023-05-22,208
B0BD3FYJ3S,2023-05-23,209
B0BD3FYJ3S,2023-05-24,329
B0BD3FYJ3S,2023-05-25,232
B0BD3FYJ3S,2023-05-26,252
B0BD3FYJ3S,2023-05-27,297
B0BD3FYJ3S,2023-05-28,484
B0BD3FYJ3S,2023-05-29,359
B0BD3FYJ3S,2023-05-30,193
B0BD3FYJ3S,2023-05-31,254
B0BD3FYJ3S,2023-06-01,300
B0BD3FYJ3S,2023-06-02,213
B0BD3FYJ3S,2023-06-03,249
B0BD3FYJ3S,2023-06-04,228
B0BD3FYJ3S,2023-06-05,298
B0BD3FYJ3S,2023-06-06,172
B0BD3FYJ3S,2023-06-07,195
B0BD3FYJ3S,2023-06-08,186
B0BD3FYJ3S,2023-06-09,225
B0BD3FYJ3S,2023-06-10,259
B0BD3FYJ3S,2023-06-11,223
B0BD3FYJ3S,2023-06-12,262
B0BD3FYJ3S,2023-06-13,294
B0BD3FYJ3S,2023-06-14,218
B0BD3FYJ3S,2023-06-15,205
B0BD3FYJ3S,2023-06-16,183
B0BD3FYJ3S,2023-06-17,163
B0BD3FYJ3S,2023-06-18,179
B0BD3FYJ3S,2023-06-19,146
B0BD3FYJ3S,2023-06-20,132
B0BD3FYJ3S,2023-06-21,164
B0BD3FYJ3S,2023-06-22,127
B0BD3FYJ3S,2023-06-23,141
B0BD3FYJ3S,2023-06-24,260
B0BD3FYJ3S,2023-06-25,239
B0BD3FYJ3S,2023-06-26,215
B0BD3FYJ3S,2023-06-27,218
B0BD3FYJ3S,2023-06-28,221
B0BD3FYJ3S,2023-06-29,255
B0BD3FYJ3S,2023-06-30,286
B0BD3FYJ3S,2023-07-01,376
B0BD3FYJ3S,2023-07-02,263
B0BD3FYJ3S,2023-07-03,191
B0BD3FYJ3S,2023-07-04,170
B0BD3FYJ3S,2023-07-05,221
B0BD3FYJ3S,2023-07-06,238
B0BD3FYJ3S,2023-07-07,162
B0BD3FYJ3S,2023-07-08,282
B0BD3FYJ3S,2023-07-09,132
B0BD3FYJ3S,2023-07-10,175
B0BD3FYJ3S,2023-07-11,133
B0BD3FYJ3S,2023-07-12,130
B0BD3FYJ3S,2023-07-13,133
B0BD3FYJ3S,2023-07-14,129
B0BD3FYJ3S,2023-07-15,82
B0BD3FYJ3S,2023-07-16,69
B0BD3FYJ3S,2023-07-17,94
B0BD3FYJ3S,2023-07-18,128
B0BD3FYJ3S,2023-07-19,134
B0BD3FYJ3S,2023-07-20,134
B0BD3FYJ3S,2023-07-21,132
B0BD3FYJ3S,2023-07-22,98
B0BD3FYJ3S,2023-07-23,93
B0BD3FYJ3S,2023-07-24,108
B0BD3FYJ3S,2023-07-25,96
B0BD3FYJ3S,2023-07-26,98
B0BD3FYJ3S,2023-07-27,101
B0BD3FYJ3S,2023-07-28,121
B0BD3FYJ3S,2023-07-29,94
B0BD3FYJ3S,2023-07-30,105
B0BD3FYJ3S,2023-07-31,135
B0BD3FYJ3S,2023-08-01,119
B0BD3FYJ3S,2023-08-02,88
B0BD3FYJ3S,2023-08-03,63
B0BD3FYJ3S,2023-08-04,71
B0BD3FYJ3S,2023-08-05,56
B0BD3FYJ3S,2023-08-06,51
B0BD3FYJ3S,2023-08-07,54
B0BD3FYJ3S,2023-08-08,51
B0BD3FYJ3S,2023-08-09,46
B0BD3FYJ3S,2023-08-10,54
B0BD3FYJ3S,2023-08-11,63
B0BD3FYJ3S,2023-08-12,53
