asin,date,daily_salesrank
B0BD3GJGLF,2023-01-01,483
B0BD3GJGLF,2023-01-02,792
B0BD3GJGLF,2023-01-03,363
B0BD3GJGLF,2023-01-04,604
B0BD3GJGLF,2023-01-05,578
B0BD3GJGLF,2023-01-06,1006
B0BD3GJGLF,2023-01-07,593
B0BD3GJGLF,2023-01-08,577
B0BD3GJGLF,2023-01-09,661
B0BD3GJGLF,2023-01-10,1135
B0BD3GJGLF,2023-01-11,1265
B0BD3GJGLF,2023-01-12,1426
B0BD3GJGLF,2023-01-13,1515
B0BD3GJGLF,2023-01-14,1573
B0BD3GJGLF,2023-01-15,584
B0BD3GJGLF,2023-01-16,408
B0BD3GJGLF,2023-01-17,478
B0BD3GJGLF,2023-01-18,455
B0BD3GJGLF,2023-01-19,728
B0BD3GJGLF,2023-01-20,533
B0BD3GJGLF,2023-01-21,533
B0BD3GJGLF,2023-01-22,1035
B0BD3GJGLF,2023-01-23,1270
B0BD3GJGLF,2023-01-24,479
B0BD3GJGLF,2023-01-25,400
B0BD3GJGLF,2023-01-26,609
B0BD3GJGLF,2023-01-27,520
B0BD3GJGLF,2023-01-28,290
B0BD3GJGLF,2023-01-29,349
B0BD3GJGLF,2023-01-30,297
B0BD3GJGLF,2023-01-31,259
B0BD3GJGLF,2023-02-01,420
B0BD3GJGLF,2023-02-02,233
B0BD3GJGLF,2023-02-03,494
B0BD3GJGLF,2023-02-04,399
B0BD3GJGLF,2023-02-05,384
B0BD3GJGLF,2023-02-06,337
B0BD3GJGLF,2023-02-07,331
B0BD3GJGLF,2023-02-08,197
B0BD3GJGLF,2023-02-09,215
B0BD3GJGLF,2023-02-10,230
B0BD3GJGLF,2023-02-11,408
B0BD3GJGLF,2023-02-12,215
B0BD3GJGLF,2023-02-13,311
B0BD3GJGLF,2023-02-14,249
B0BD3GJGLF,2023-02-15,331
B0BD3GJGLF,2023-02-16,236
B0BD3GJGLF,2023-02-17,479
B0BD3GJGLF,2023-02-18,374
B0BD3GJGLF,2023-02-19,282
B0BD3GJGLF,2023-02-20,234
B0BD3GJGLF,2023-02-21,268
B0BD3GJGLF,2023-02-22,440
B0BD3GJGLF,2023-02-23,253
B0BD3GJGLF,2023-02-24,241
B0BD3GJGLF,2023-02-25,292
B0BD3GJGLF,2023-02-26,161
B0BD3GJGLF,2023-02-27,196
B0BD3GJGLF,2023-02-28,173
B0BD3GJGLF,2023-03-01,195
B0BD3GJGLF,2023-03-02,187
B0BD3GJGLF,2023-03-03,156
B0BD3GJGLF,2023-03-04,185
B0BD3GJGLF,2023-03-05,135
B0BD3GJGLF,2023-03-06,101
B0BD3GJGLF,2023-03-07,213
B0BD3GJGLF,2023-03-08,242
B0BD3GJGLF,2023-03-09,232
B0BD3GJGLF,2023-03-10,222
B0BD3GJGLF,2023-03-11,252
B0BD3GJGLF,2023-03-12,238
B0BD3GJGLF,2023-03-13,274
B0BD3GJGLF,2023-03-14,359
B0BD3GJGLF,2023-03-15,401
B0BD3GJGLF,2023-03-16,418
B0BD3GJGLF,2023-03-17,253
B0BD3GJGLF,2023-03-18,290
B0BD3GJGLF,2023-03-19,290
B0BD3GJGLF,2023-03-20,296
B0BD3GJGLF,2023-03-21,280
B0BD3GJGLF,2023-03-22,225
B0BD3GJGLF,2023-03-23,393
B0BD3GJGLF,2023-03-24,311
B0BD3GJGLF,2023-03-25,259
B0BD3GJGLF,2023-03-26,302
B0BD3GJGLF,2023-03-27,337
B0BD3GJGLF,2023-03-28,380
B0BD3GJGLF,2023-03-29,345
B0BD3GJGLF,2023-03-30,202
B0BD3GJGLF,2023-03-31,172
B0BD3GJGLF,2023-04-01,179
B0BD3GJGLF,2023-04-02,224
B0BD3GJGLF,2023-04-03,240
B0BD3GJGLF,2023-04-04,263
B0BD3GJGLF,2023-04-05,160
B0BD3GJGLF,2023-04-06,227
B0BD3GJGLF,2023-04-07,222
B0BD3GJGLF,2023-04-08,241
B0BD3GJGLF,2023-04-09,184
B0BD3GJGLF,2023-04-10,250
B0BD3GJGLF,2023-04-11,192
B0BD3GJGLF,2023-04-12,193
B0BD3GJGLF,2023-04-13,167
B0BD3GJGLF,2023-04-14,236
B0BD3GJGLF,2023-04-15,364
B0BD3GJGLF,2023-04-16,407
B0BD3GJGLF,2023-04-17,271
B0BD3GJGLF,2023-04-18,297
B0BD3GJGLF,2023-04-19,203
B0BD3GJGLF,2023-04-20,245
B0BD3GJGLF,2023-04-21,280
B0BD3GJGLF,2023-04-22,236
B0BD3GJGLF,2023-04-23,232
B0BD3GJGLF,2023-04-24,259
B0BD3GJGLF,2023-04-25,203
B0BD3GJGLF,2023-04-26,156
B0BD3GJGLF,2023-04-27,153
B0BD3GJGLF,2023-04-28,238
B0BD3GJGLF,2023-04-29,413
B0BD3GJGLF,2023-04-30,207
B0BD3GJGLF,2023-05-01,213
B0BD3GJGLF,2023-05-02,213
B0BD3GJGLF,2023-05-03,209
B0BD3GJGLF,2023-05-04,268
B0BD3GJGLF,2023-05-05,242
B0BD3GJGLF,2023-05-06,215
B0BD3GJGLF,2023-05-07,113
B0BD3GJGLF,2023-05-08,112
B0BD3GJGLF,2023-05-09,115
B0BD3GJGLF,2023-05-10,175
B0BD3GJGLF,2023-05-11,179
B0BD3GJGLF,2023-05-12,283
B0BD3GJGLF,2023-05-13,344
B0BD3GJGLF,2023-05-14,438
B0BD3GJGLF,2023-05-15,416
B0BD3GJGLF,2023-05-16,469
B0BD3GJGLF,2023-05-17,407
B0BD3GJGLF,2023-05-18,754
B0BD3GJGLF,2023-05-19,395
B0BD3GJGLF,2023-05-20,395
B0BD3GJGLF,2023-05-21,278
B0BD3GJGLF,2023-05-22,208
B0BD3GJGLF,2023-05-23,209
B0BD3GJGLF,2023-05-24,329
B0BD3GJGLF,2023-05-25,232
B0BD3GJGLF,2023-05-26,232
B0BD3GJGLF,2023-05-27,297
B0BD3GJGLF,2023-05-28,484
B0BD3GJGLF,2023-05-29,359
B0BD3GJGLF,2023-05-30,195
B0BD3GJGLF,2023-05-31,195
B0BD3GJGLF,2023-06-01,300
B0BD3GJGLF,2023-06-02,213
B0BD3GJGLF,2023-06-03,249
B0BD3GJGLF,2023-06-04,228
B0BD3GJGLF,2023-06-05,298
B0BD3GJGLF,2023-06-06,172
B0BD3GJGLF,2023-06-07,194
B0BD3GJGLF,2023-06-08,186
B0BD3GJGLF,2023-06-09,210
B0BD3GJGLF,2023-06-10,210
B0BD3GJGLF,2023-06-11,214
B0BD3GJGLF,2023-06-12,306
B0BD3GJGLF,2023-06-13,257
B0BD3GJGLF,2023-06-14,186
B0BD3GJGLF,2023-06-15,207
B0BD3GJGLF,2023-06-16,182
B0BD3GJGLF,2023-06-17,163
B0BD3GJGLF,2023-06-18,179
B0BD3GJGLF,2023-06-19,154
B0BD3GJGLF,2023-06-20,127
B0BD3GJGLF,2023-06-21,155
B0BD3GJGLF,2023-06-22,127
B0BD3GJGLF,2023-06-23,141
B0BD3GJGLF,2023-06-24,235
B0BD3GJGLF,2023-06-25,239
B0BD3GJGLF,2023-06-26,215
B0BD3GJGLF,2023-06-27,218
B0BD3GJGLF,2023-06-28,221
B0BD3GJGLF,2023-06-29,219
B0BD3GJGLF,2023-06-30,286
B0BD3GJGLF,2023-07-01,359
B0BD3GJGLF,2023-07-02,402
B0BD3GJGLF,2023-07-03,191
B0BD3GJGLF,2023-07-04,170
B0BD3GJGLF,2023-07-05,221
B0BD3GJGLF,2023-07-06,238
B0BD3GJGLF,2023-07-07,162
B0BD3GJGLF,2023-07-08,251
B0BD3GJGLF,2023-07-09,132
B0BD3GJGLF,2023-07-10,175
B0BD3GJGLF,2023-07-11,133
B0BD3GJGLF,2023-07-12,130
B0BD3GJGLF,2023-07-13,133
B0BD3GJGLF,2023-07-14,143
B0BD3GJGLF,2023-07-15,82
B0BD3GJGLF,2023-07-16,69
B0BD3GJGLF,2023-07-17,107
B0BD3GJGLF,2023-07-18,133
B0BD3GJGLF,2023-07-19,130
B0BD3GJGLF,2023-07-20,134
B0BD3GJGLF,2023-07-21,139
B0BD3GJGLF,2023-07-22,98
B0BD3GJGLF,2023-07-23,93
B0BD3GJGLF,2023-07-24,105
B0BD3GJGLF,2023-07-25,96
B0BD3GJGLF,2023-07-26,98
B0BD3GJGLF,2023-07-27,101
B0BD3GJGLF,2023-07-28,121
B0BD3GJGLF,2023-07-29,94
B0BD3GJGLF,2023-07-30,105
B0BD3GJGLF,2023-07-31,135
B0BD3GJGLF,2023-08-01,133
B0BD3GJGLF,2023-08-02,73
B0BD3GJGLF,2023-08-03,664
B0BD3GJGLF,2023-08-04,82
B0BD3GJGLF,2023-08-05,66
B0BD3GJGLF,2023-08-06,45
B0BD3GJGLF,2023-08-07,48
B0BD3GJGLF,2023-08-08,51
B0BD3GJGLF,2023-08-09,49
B0BD3GJGLF,2023-08-10,59
B0BD3GJGLF,2023-08-11,53
B0BD3GJGLF,2023-08-12,78
B0BD3GJGLF,2023-08-13,67
B0BD3GJGLF,2023-08-14,65
B0BD3GJGLF,2023-08-15,77
B0BD3GJGLF,2023-08-16,72
B0BD3GJGLF,2023-08-17,45
B0BD3GJGLF,2023-08-18,68
B0BD3GJGLF,2023-08-19,76
B0BD3GJGLF,2023-08-20,73
B0BD3GJGLF,2023-08-21,84
B0BD3GJGLF,2023-08-22,93
B0BD3GJGLF,2023-08-23,63
B0BD3GJGLF,2023-08-24,80
B0BD3GJGLF,2023-08-25,89
B0BD3GJGLF,2023-08-26,82
B0BD3GJGLF,2023-08-27,67
B0BD3GJGLF,2023-08-28,49
B0BD3GJGLF,2023-08-29,48
B0BD3GJGLF,2023-08-30,76
B0BD3GJGLF,2023-08-31,73
B0BD3GJGLF,2023-09-01,81
B0BD3GJGLF,2023-09-02,71
B0BD3GJGLF,2023-09-03,86
B0BD3GJGLF,2023-09-04,68
B0BD3GJGLF,2023-09-05,71
B0BD3GJGLF,2023-09-06,71
B0BD3GJGLF,2023-09-07,91
B0BD3GJGLF,2023-09-08,56
B0BD3GJGLF,2023-09-09,60
B0BD3GJGLF,2023-09-10,53
B0BD3GJGLF,2023-09-11,55
B0BD3GJGLF,2023-09-12,44
B0BD3GJGLF,2023-09-13,56
B0BD3GJGLF,2023-09-14,69
B0BD3GJGLF,2023-09-15,57
B0BD3GJGLF,2023-09-16,59
B0BD3GJGLF,2023-09-17,47
B0BD3GJGLF,2023-09-18,48
B0BD3GJGLF,2023-09-19,52
B0BD3GJGLF,2023-09-20,47
B0BD3GJGLF,2023-09-21,61
B0BD3GJGLF,2023-09-22,34
B0BD3GJGLF,2023-09-23,54
B0BD3GJGLF,2023-09-24,59
B0BD3GJGLF,2023-09-25,53
B0BD3GJGLF,2023-09-26,78
B0BD3GJGLF,2023-09-27,105
B0BD3GJGLF,2023-09-28,66
B0BD3GJGLF,2023-09-29,45
B0BD3GJGLF,2023-09-30,44
B0BD3GJGLF,2023-10-01,33
B0BD3GJGLF,2023-10-02,39
B0BD3GJGLF,2023-10-03,32
B0BD3GJGLF,2023-10-04,48
B0BD3GJGLF,2023-10-05,51
B0BD3GJGLF,2023-10-06,48
B0BD3GJGLF,2023-10-07,45
B0BD3GJGLF,2023-10-08,38
B0BD3GJGLF,2023-10-09,65
B0BD3GJGLF,2023-10-10,59
B0BD3GJGLF,2023-10-11,66
B0BD3GJGLF,2023-10-12,61
B0BD3GJGLF,2023-10-13,55
B0BD3GJGLF,2023-10-14,14
B0BD3GJGLF,2023-10-15,11
B0BD3GJGLF,2023-10-16,13
B0BD3GJGLF,2023-10-17,13
B0BD3GJGLF,2023-10-18,20
B0BD3GJGLF,2023-10-19,24
B0BD3GJGLF,2023-10-20,23
B0BD3GJGLF,2023-10-21,26
