asin,date,daily_salesrank
B0BH8JRJCQ,2023-01-01,483
B0BH8JRJCQ,2023-01-02,836
B0BH8JRJCQ,2023-01-03,363
B0BH8JRJCQ,2023-01-04,637
B0BH8JRJCQ,2023-01-05,578
B0BH8JRJCQ,2023-01-06,998
B0BH8JRJCQ,2023-01-07,696
B0BH8JRJCQ,2023-01-08,577
B0BH8JRJCQ,2023-01-09,661
B0BH8JRJCQ,2023-01-10,1143
B0BH8JRJCQ,2023-01-11,1218
B0BH8JRJCQ,2023-01-12,1432
B0BH8JRJCQ,2023-01-13,1502
B0BH8JRJCQ,2023-01-14,1560
B0BH8JRJCQ,2023-01-15,660
B0BH8JRJCQ,2023-01-16,408
B0BH8JRJCQ,2023-01-17,417
B0BH8JRJCQ,2023-01-18,455
B0BH8JRJCQ,2023-01-19,728
B0BH8JRJCQ,2023-01-20,533
B0BH8JRJCQ,2023-01-21,672
B0BH8JRJCQ,2023-01-22,993
B0BH8JRJCQ,2023-01-23,1236
B0BH8JRJCQ,2023-01-24,479
B0BH8JRJCQ,2023-01-25,400
B0BH8JRJCQ,2023-01-26,609
B0BH8JRJCQ,2023-01-27,520
B0BH8JRJCQ,2023-01-28,290
B0BH8JRJCQ,2023-01-29,280
B0BH8JRJCQ,2023-01-30,297
B0BH8JRJCQ,2023-01-31,259
B0BH8JRJCQ,2023-02-01,386
B0BH8JRJCQ,2023-02-02,233
B0BH8JRJCQ,2023-02-03,494
B0BH8JRJCQ,2023-02-04,399
B0BH8JRJCQ,2023-02-05,384
B0BH8JRJCQ,2023-02-06,295
B0BH8JRJCQ,2023-02-07,331
B0BH8JRJCQ,2023-02-08,197
B0BH8JRJCQ,2023-02-09,215
B0BH8JRJCQ,2023-02-10,230
B0BH8JRJCQ,2023-02-11,376
B0BH8JRJCQ,2023-02-12,215
B0BH8JRJCQ,2023-02-13,339
B0BH8JRJCQ,2023-02-14,249
B0BH8JRJCQ,2023-02-15,349
B0BH8JRJCQ,2023-02-16,236
B0BH8JRJCQ,2023-02-17,422
B0BH8JRJCQ,2023-02-18,374
B0BH8JRJCQ,2023-02-19,348
B0BH8JRJCQ,2023-02-20,234
B0BH8JRJCQ,2023-02-21,268
B0BH8JRJCQ,2023-02-22,385
B0BH8JRJCQ,2023-02-23,303
B0BH8JRJCQ,2023-02-24,241
B0BH8JRJCQ,2023-02-25,292
B0BH8JRJCQ,2023-02-26,254
B0BH8JRJCQ,2023-02-27,161
B0BH8JRJCQ,2023-02-28,179
B0BH8JRJCQ,2023-03-01,219
B0BH8JRJCQ,2023-03-02,187
B0BH8JRJCQ,2023-03-03,156
B0BH8JRJCQ,2023-03-04,185
B0BH8JRJCQ,2023-03-05,145
B0BH8JRJCQ,2023-03-06,101
B0BH8JRJCQ,2023-03-07,164
B0BH8JRJCQ,2023-03-08,242
B0BH8JRJCQ,2023-03-09,232
B0BH8JRJCQ,2023-03-10,222
B0BH8JRJCQ,2023-03-11,252
B0BH8JRJCQ,2023-03-12,238
B0BH8JRJCQ,2023-03-13,274
B0BH8JRJCQ,2023-03-14,336
B0BH8JRJCQ,2023-03-15,401
B0BH8JRJCQ,2023-03-16,486
B0BH8JRJCQ,2023-03-17,253
B0BH8JRJCQ,2023-03-18,319
B0BH8JRJCQ,2023-03-19,338
B0BH8JRJCQ,2023-03-20,296
B0BH8JRJCQ,2023-03-21,280
B0BH8JRJCQ,2023-03-22,225
B0BH8JRJCQ,2023-03-23,393
B0BH8JRJCQ,2023-03-24,367
