asin,date,daily_salesrank
B0BP6J3SQX,2023-01-01,49
B0BP6J3SQX,2023-01-02,51
B0BP6J3SQX,2023-01-03,87
B0BP6J3SQX,2023-01-04,100
B0BP6J3SQX,2023-01-05,107
B0BP6J3SQX,2023-01-06,81
B0BP6J3SQX,2023-01-07,80
B0BP6J3SQX,2023-01-08,83
B0BP6J3SQX,2023-01-09,82
B0BP6J3SQX,2023-01-10,59
B0BP6J3SQX,2023-01-11,67
B0BP6J3SQX,2023-01-12,78
B0BP6J3SQX,2023-01-13,69
B0BP6J3SQX,2023-01-14,56
B0BP6J3SQX,2023-01-15,77
B0BP6J3SQX,2023-01-16,97
B0BP6J3SQX,2023-01-17,212
B0BP6J3SQX,2023-01-18,202
B0BP6J3SQX,2023-01-19,189
B0BP6J3SQX,2023-01-20,220
B0BP6J3SQX,2023-01-21,156
B0BP6J3SQX,2023-01-22,55
B0BP6J3SQX,2023-01-23,33
B0BP6J3SQX,2023-01-24,27
B0BP6J3SQX,2023-01-25,28
B0BP6J3SQX,2023-01-26,25
B0BP6J3SQX,2023-01-27,26
B0BP6J3SQX,2023-01-28,26
B0BP6J3SQX,2023-01-29,23
B0BP6J3SQX,2023-01-30,36
B0BP6J3SQX,2023-01-31,30
B0BP6J3SQX,2023-02-01,37
B0BP6J3SQX,2023-02-02,26
B0BP6J3SQX,2023-02-03,34
B0BP6J3SQX,2023-02-04,50
B0BP6J3SQX,2023-02-05,47
B0BP6J3SQX,2023-02-06,54
B0BP6J3SQX,2023-02-07,57
B0BP6J3SQX,2023-02-08,50
B0BP6J3SQX,2023-02-09,44
B0BP6J3SQX,2023-02-10,28
B0BP6J3SQX,2023-02-11,39
B0BP6J3SQX,2023-02-12,40
B0BP6J3SQX,2023-02-13,50
B0BP6J3SQX,2023-02-14,51
B0BP6J3SQX,2023-02-15,46
B0BP6J3SQX,2023-02-16,51
B0BP6J3SQX,2023-02-17,38
B0BP6J3SQX,2023-02-18,37
B0BP6J3SQX,2023-02-19,42
B0BP6J3SQX,2023-02-20,39
B0BP6J3SQX,2023-02-21,79
B0BP6J3SQX,2023-02-22,121
B0BP6J3SQX,2023-02-23,87
B0BP6J3SQX,2023-02-24,98
B0BP6J3SQX,2023-02-25,122
B0BP6J3SQX,2023-02-26,120
B0BP6J3SQX,2023-02-27,119
B0BP6J3SQX,2023-02-28,107
B0BP6J3SQX,2023-03-01,129
B0BP6J3SQX,2023-03-02,78
B0BP6J3SQX,2023-03-03,52
B0BP6J3SQX,2023-03-04,44
B0BP6J3SQX,2023-03-05,41
B0BP6J3SQX,2023-03-06,45
B0BP6J3SQX,2023-03-07,47
B0BP6J3SQX,2023-03-08,73
B0BP6J3SQX,2023-03-09,80
B0BP6J3SQX,2023-03-10,55
B0BP6J3SQX,2023-03-11,71
B0BP6J3SQX,2023-03-12,83
B0BP6J3SQX,2023-03-13,83
B0BP6J3SQX,2023-03-14,79
B0BP6J3SQX,2023-03-15,54
B0BP6J3SQX,2023-03-16,61
B0BP6J3SQX,2023-03-17,53
B0BP6J3SQX,2023-03-18,36
B0BP6J3SQX,2023-03-19,35
B0BP6J3SQX,2023-03-20,31
B0BP6J3SQX,2023-03-21,39
B0BP6J3SQX,2023-03-22,28
B0BP6J3SQX,2023-03-23,29
B0BP6J3SQX,2023-03-24,32
B0BP6J3SQX,2023-03-25,35
B0BP6J3SQX,2023-03-26,50
B0BP6J3SQX,2023-03-27,55
B0BP6J3SQX,2023-03-28,61
B0BP6J3SQX,2023-03-29,435
B0BP6J3SQX,2023-03-30,64
B0BP6J3SQX,2023-03-31,60
B0BP6J3SQX,2023-04-01,41
B0BP6J3SQX,2023-04-02,32
B0BP6J3SQX,2023-04-03,36
B0BP6J3SQX,2023-04-04,42
B0BP6J3SQX,2023-04-05,130
B0BP6J3SQX,2023-04-06,82
B0BP6J3SQX,2023-04-07,65
B0BP6J3SQX,2023-04-08,81
B0BP6J3SQX,2023-04-09,67
B0BP6J3SQX,2023-04-10,61
B0BP6J3SQX,2023-04-11,162
B0BP6J3SQX,2023-04-12,266
B0BP6J3SQX,2023-04-13,391
B0BP6J3SQX,2023-04-14,485
B0BP6J3SQX,2023-04-15,569
B0BP6J3SQX,2023-04-16,706
B0BP6J3SQX,2023-04-17,839
B0BP6J3SQX,2023-04-18,889
B0BP6J3SQX,2023-04-19,954
B0BP6J3SQX,2023-04-20,557
B0BP6J3SQX,2023-04-21,782
B0BP6J3SQX,2023-04-22,43
B0BP6J3SQX,2023-04-23,44
B0BP6J3SQX,2023-04-24,34
B0BP6J3SQX,2023-04-25,34
B0BP6J3SQX,2023-04-26,43
B0BP6J3SQX,2023-04-27,65
B0BP6J3SQX,2023-04-28,64
B0BP6J3SQX,2023-04-29,55
B0BP6J3SQX,2023-04-30,67
B0BP6J3SQX,2023-05-01,69
B0BP6J3SQX,2023-05-02,71
B0BP6J3SQX,2023-05-03,63
B0BP6J3SQX,2023-05-04,71
B0BP6J3SQX,2023-05-05,72
B0BP6J3SQX,2023-05-06,111
B0BP6J3SQX,2023-05-07,82
B0BP6J3SQX,2023-05-08,112
B0BP6J3SQX,2023-05-09,88
B0BP6J3SQX,2023-05-10,87
B0BP6J3SQX,2023-05-11,67
B0BP6J3SQX,2023-05-12,57
B0BP6J3SQX,2023-05-13,46
B0BP6J3SQX,2023-05-14,55
B0BP6J3SQX,2023-05-15,73
B0BP6J3SQX,2023-05-16,77
B0BP6J3SQX,2023-05-17,74
B0BP6J3SQX,2023-05-18,81
B0BP6J3SQX,2023-05-19,85
B0BP6J3SQX,2023-05-20,81
B0BP6J3SQX,2023-05-21,74
B0BP6J3SQX,2023-05-22,79
B0BP6J3SQX,2023-05-23,53
B0BP6J3SQX,2023-05-24,41
B0BP6J3SQX,2023-05-25,49
B0BP6J3SQX,2023-05-26,52
B0BP6J3SQX,2023-05-27,30
B0BP6J3SQX,2023-05-28,36
B0BP6J3SQX,2023-05-29,39
B0BP6J3SQX,2023-05-30,31
B0BP6J3SQX,2023-05-31,24
B0BP6J3SQX,2023-06-01,31
B0BP6J3SQX,2023-06-02,17
B0BP6J3SQX,2023-06-03,21
B0BP6J3SQX,2023-06-04,21
B0BP6J3SQX,2023-06-05,25
B0BP6J3SQX,2023-06-06,23
B0BP6J3SQX,2023-06-07,17
B0BP6J3SQX,2023-06-08,23
B0BP6J3SQX,2023-06-09,27
B0BP6J3SQX,2023-06-10,42
B0BP6J3SQX,2023-06-11,43
B0BP6J3SQX,2023-06-12,45
B0BP6J3SQX,2023-06-13,38
B0BP6J3SQX,2023-06-14,47
B0BP6J3SQX,2023-06-15,43
B0BP6J3SQX,2023-06-16,58
B0BP6J3SQX,2023-06-17,58
B0BP6J3SQX,2023-06-18,45
B0BP6J3SQX,2023-06-19,47
B0BP6J3SQX,2023-06-20,46
B0BP6J3SQX,2023-06-21,44
B0BP6J3SQX,2023-06-22,40
B0BP6J3SQX,2023-06-23,37
B0BP6J3SQX,2023-06-24,28
B0BP6J3SQX,2023-06-25,39
B0BP6J3SQX,2023-06-26,35
B0BP6J3SQX,2023-06-27,33
B0BP6J3SQX,2023-06-28,30
B0BP6J3SQX,2023-06-29,32
B0BP6J3SQX,2023-06-30,25
B0BP6J3SQX,2023-07-01,29
B0BP6J3SQX,2023-07-02,33
B0BP6J3SQX,2023-07-03,30
B0BP6J3SQX,2023-07-04,27
B0BP6J3SQX,2023-07-05,26
B0BP6J3SQX,2023-07-06,23
B0BP6J3SQX,2023-07-07,32
B0BP6J3SQX,2023-07-08,29
B0BP6J3SQX,2023-07-09,12
B0BP6J3SQX,2023-07-10,14
B0BP6J3SQX,2023-07-11,14
B0BP6J3SQX,2023-07-12,11
B0BP6J3SQX,2023-07-13,16
B0BP6J3SQX,2023-07-14,17
B0BP6J3SQX,2023-07-15,17
B0BP6J3SQX,2023-07-16,19
B0BP6J3SQX,2023-07-17,19
B0BP6J3SQX,2023-07-18,20
B0BP6J3SQX,2023-07-19,27
B0BP6J3SQX,2023-07-20,42
B0BP6J3SQX,2023-07-21,40
B0BP6J3SQX,2023-07-22,40
B0BP6J3SQX,2023-07-23,41
B0BP6J3SQX,2023-07-24,48
B0BP6J3SQX,2023-07-25,35
B0BP6J3SQX,2023-07-26,34
B0BP6J3SQX,2023-07-27,31
B0BP6J3SQX,2023-07-28,37
B0BP6J3SQX,2023-07-29,43
B0BP6J3SQX,2023-07-30,61
B0BP6J3SQX,2023-07-31,43
B0BP6J3SQX,2023-08-01,47
B0BP6J3SQX,2023-08-02,62
B0BP6J3SQX,2023-08-03,69
B0BP6J3SQX,2023-08-04,34
B0BP6J3SQX,2023-08-05,29
B0BP6J3SQX,2023-08-06,34
B0BP6J3SQX,2023-08-07,50
B0BP6J3SQX,2023-08-08,45
B0BP6J3SQX,2023-08-09,26
B0BP6J3SQX,2023-08-10,18
B0BP6J3SQX,2023-08-11,20
B0BP6J3SQX,2023-08-12,13
B0BP6J3SQX,2023-08-13,14
B0BP6J3SQX,2023-08-14,12
B0BP6J3SQX,2023-08-15,15
B0BP6J3SQX,2023-08-16,10
B0BP6J3SQX,2023-08-17,17
B0BP6J3SQX,2023-08-18,19
B0BP6J3SQX,2023-08-19,24
B0BP6J3SQX,2023-08-20,24
B0BP6J3SQX,2023-08-21,19
B0BP6J3SQX,2023-08-22,21
B0BP6J3SQX,2023-08-23,18
B0BP6J3SQX,2023-08-24,13
B0BP6J3SQX,2023-08-25,12
B0BP6J3SQX,2023-08-26,19
B0BP6J3SQX,2023-08-27,25
B0BP6J3SQX,2023-08-28,24
B0BP6J3SQX,2023-08-29,22
B0BP6J3SQX,2023-08-30,27
B0BP6J3SQX,2023-08-31,13
B0BP6J3SQX,2023-09-01,15
B0BP6J3SQX,2023-09-02,12
B0BP6J3SQX,2023-09-03,19
B0BP6J3SQX,2023-09-04,18
B0BP6J3SQX,2023-09-05,17
B0BP6J3SQX,2023-09-06,14
B0BP6J3SQX,2023-09-07,13
B0BP6J3SQX,2023-09-08,11
B0BP6J3SQX,2023-09-09,12
B0BP6J3SQX,2023-09-10,7
B0BP6J3SQX,2023-09-11,8
B0BP6J3SQX,2023-09-12,10
B0BP6J3SQX,2023-09-13,4
B0BP6J3SQX,2023-09-14,4
B0BP6J3SQX,2023-09-15,11
B0BP6J3SQX,2023-09-16,14
B0BP6J3SQX,2023-09-17,8
B0BP6J3SQX,2023-09-18,11
B0BP6J3SQX,2023-09-19,10
B0BP6J3SQX,2023-09-20,8
B0BP6J3SQX,2023-09-21,12
B0BP6J3SQX,2023-09-22,12
B0BP6J3SQX,2023-09-23,13
