asin,date,daily_salesrank
B0BP6VPD4K,2023-01-01,33
B0BP6VPD4K,2023-01-02,38
B0BP6VPD4K,2023-01-03,83
B0BP6VPD4K,2023-01-04,98
B0BP6VPD4K,2023-01-05,102
B0BP6VPD4K,2023-01-06,81
B0BP6VPD4K,2023-01-07,69
B0BP6VPD4K,2023-01-08,75
B0BP6VPD4K,2023-01-09,66
B0BP6VPD4K,2023-01-10,59
B0BP6VPD4K,2023-01-11,69
B0BP6VPD4K,2023-01-12,64
B0BP6VPD4K,2023-01-13,56
B0BP6VPD4K,2023-01-14,51
B0BP6VPD4K,2023-01-15,76
B0BP6VPD4K,2023-01-16,90
B0BP6VPD4K,2023-01-17,144
B0BP6VPD4K,2023-01-18,211
B0BP6VPD4K,2023-01-19,189
B0BP6VPD4K,2023-01-20,204
B0BP6VPD4K,2023-01-21,156
B0BP6VPD4K,2023-01-22,60
B0BP6VPD4K,2023-01-23,33
B0BP6VPD4K,2023-01-24,27
B0BP6VPD4K,2023-01-25,28
B0BP6VPD4K,2023-01-26,25
B0BP6VPD4K,2023-01-27,29
B0BP6VPD4K,2023-01-28,31
B0BP6VPD4K,2023-01-29,23
B0BP6VPD4K,2023-01-30,36
B0BP6VPD4K,2023-01-31,30
B0BP6VPD4K,2023-02-01,34
B0BP6VPD4K,2023-02-02,26
B0BP6VPD4K,2023-02-03,32
B0BP6VPD4K,2023-02-04,50
B0BP6VPD4K,2023-02-05,47
B0BP6VPD4K,2023-02-06,54
B0BP6VPD4K,2023-02-07,57
B0BP6VPD4K,2023-02-08,50
B0BP6VPD4K,2023-02-09,44
B0BP6VPD4K,2023-02-10,28
B0BP6VPD4K,2023-02-11,39
B0BP6VPD4K,2023-02-12,40
B0BP6VPD4K,2023-02-13,50
B0BP6VPD4K,2023-02-14,49
B0BP6VPD4K,2023-02-15,50
B0BP6VPD4K,2023-02-16,51
B0BP6VPD4K,2023-02-17,38
B0BP6VPD4K,2023-02-18,37
