asin,date,daily_salesrank
B0BQQKTMVD,2023-01-01,409
B0BQQKTMVD,2023-01-02,411
B0BQQKTMVD,2023-01-03,412
B0BQQKTMVD,2023-01-04,264
B0BQQKTMVD,2023-01-05,319
B0BQQKTMVD,2023-01-06,374
B0BQQKTMVD,2023-01-07,1466
B0BQQKTMVD,2023-01-08,933
B0BQQKTMVD,2023-01-09,1231
B0BQQKTMVD,2023-01-10,1586
B0BQQKTMVD,2023-01-11,1835
B0BQQKTMVD,2023-01-12,626
B0BQQKTMVD,2023-01-13,1203
B0BQQKTMVD,2023-01-14,1421
B0BQQKTMVD,2023-01-15,1682
B0BQQKTMVD,2023-01-16,1911
B0BQQKTMVD,2023-01-17,709
B0BQQKTMVD,2023-01-18,1025
B0BQQKTMVD,2023-01-19,523
B0BQQKTMVD,2023-01-20,818
B0BQQKTMVD,2023-01-21,257
B0BQQKTMVD,2023-01-22,237
B0BQQKTMVD,2023-01-23,410
B0BQQKTMVD,2023-01-24,698
B0BQQKTMVD,2023-01-25,952
B0BQQKTMVD,2023-01-26,526
B0BQQKTMVD,2023-01-27,703
B0BQQKTMVD,2023-01-28,1024
B0BQQKTMVD,2023-01-29,1326
B0BQQKTMVD,2023-01-30,1521
B0BQQKTMVD,2023-01-31,670
B0BQQKTMVD,2023-02-01,877
B0BQQKTMVD,2023-02-02,411
B0BQQKTMVD,2023-02-03,702
B0BQQKTMVD,2023-02-04,651
B0BQQKTMVD,2023-02-05,874
B0BQQKTMVD,2023-02-06,1215
B0BQQKTMVD,2023-02-07,1388
B0BQQKTMVD,2023-02-08,544
B0BQQKTMVD,2023-02-09,492
B0BQQKTMVD,2023-02-10,640
B0BQQKTMVD,2023-02-11,782
B0BQQKTMVD,2023-02-12,622
B0BQQKTMVD,2023-02-13,556
B0BQQKTMVD,2023-02-14,656
B0BQQKTMVD,2023-02-15,856
B0BQQKTMVD,2023-02-16,1151
B0BQQKTMVD,2023-02-17,1369
B0BQQKTMVD,2023-02-18,1516
B0BQQKTMVD,2023-02-19,1639
B0BQQKTMVD,2023-02-20,826
B0BQQKTMVD,2023-02-21,408
B0BQQKTMVD,2023-02-22,472
B0BQQKTMVD,2023-02-23,379
B0BQQKTMVD,2023-02-24,276
B0BQQKTMVD,2023-02-25,609
