asin,week_start_date,weekly_salesrank
B01C10VSM0,2023-01-01,635
B01C10VSM0,2023-01-08,1363
B01C10VSM0,2023-01-15,455
B01C10VSM0,2023-01-22,653
B01C10VSM0,2023-01-29,451
B01C10VSM0,2023-02-05,670
B01C10VSM0,2023-02-12,551
B01C10VSM0,2023-02-19,367
B01C10VSM0,2023-02-26,633
B01C10VSM0,2023-03-05,641
B01C10VSM0,2023-03-12,1789
B01C10VSM0,2023-03-19,442
B01C10VSM0,2023-03-26,429
B01C10VSM0,2023-04-02,486
B01C10VSM0,2023-04-09,578
B01C10VSM0,2023-04-16,607
B01C10VSM0,2023-04-23,1446
B01C10VSM0,2023-04-30,590
B01C10VSM0,2023-05-07,585
B01C10VSM0,2023-05-14,535
B01C10VSM0,2023-05-21,660
B01C10VSM0,2023-05-28,1290
B01C10VSM0,2023-06-04,2089
B01C10VSM0,2023-06-11,347
B01C10VSM0,2023-06-18,659
B01C10VSM0,2023-06-25,1323
B01C10VSM0,2023-07-02,575
B01C10VSM0,2023-07-09,784
B01C10VSM0,2023-07-16,806
B01C10VSM0,2023-07-23,536
B01C10VSM0,2023-07-30,683
B01C10VSM0,2023-08-06,619
B01C10VSM0,2023-08-13,513
B01C10VSM0,2023-08-20,645
B01C10VSM0,2023-08-27,1267
B01C10VSM0,2023-09-03,621
B01C10VSM0,2023-09-10,594
B01C10VSM0,2023-09-17,694
B01C10VSM0,2023-09-24,1851
B01C10VSM0,2023-10-01,693
B01C10VSM0,2023-10-08,348
B01C10VSM0,2023-10-15,627
B01C10VSM0,2023-10-22,539
B01C10VSM0,2023-10-29,531
B01C10VSM0,2023-11-05,586
B01C10VSM0,2023-11-12,560
B01C10VSM0,2023-11-19,901
B01C10VSM0,2023-11-26,684
B01C10VSM0,2023-12-03,852
B01C10VSM0,2023-12-10,793
B01C10VSM0,2023-12-17,680
B01C10VSM0,2023-12-24,502
B01C10VSM0,2023-12-31,707
B01C10VSM0,2024-01-07,632
B01C10VSM0,2024-01-14,531
B01C10VSM0,2024-01-21,746
B01C10VSM0,2024-01-28,692
B01C10VSM0,2024-02-04,2161
B01C10VSM0,2024-02-11,614
B01C10VSM0,2024-02-18,1603
B01C10VSM0,2024-02-25,453
B01C10VSM0,2024-03-03,682
B01C10VSM0,2024-03-10,772
B01C10VSM0,2024-03-17,650
B01C10VSM0,2024-03-24,2143
B01C10VSM0,2024-03-31,855
B01C10VSM0,2024-04-07,626
B01C10VSM0,2024-04-14,522
B01C10VSM0,2024-04-21,538
B01C10VSM0,2024-04-28,646
B01C10VSM0,2024-05-05,601
B01C10VSM0,2024-05-12,466
B01C10VSM0,2024-05-19,737
B01C10VSM0,2024-05-26,649
B01C10VSM0,2024-06-02,610
B01C10VSM0,2024-06-09,684
B01C10VSM0,2024-06-16,476
B01C10VSM0,2024-06-23,896
B01C10VSM0,2024-06-30,549
B01C10VSM0,2024-07-07,445
B01C10VSM0,2024-07-14,543
B01C10VSM0,2024-07-21,624
B01C10VSM0,2024-07-28,414
B01C10VSM0,2024-08-04,346
B01C10VSM0,2024-08-11,479
B01C10VSM0,2024-08-18,464
B01C10VSM0,2024-08-25,589
B01C10VSM0,2024-09-01,470
B01C10VSM0,2024-09-08,437
B01C10VSM0,2024-09-15,541
B01C10VSM0,2024-09-22,373
B01C10VSM0,2024-09-29,411
B01C10VSM0,2024-10-06,526
B01C10VSM0,2024-10-13,784
B01C10VSM0,2024-10-20,554
B01C10VSM0,2024-10-27,599
B01C10VSM0,2024-11-03,438
B01C10VSM0,2024-11-10,488
B01C10VSM0,2024-11-17,524
B01C10VSM0,2024-11-24,585
B01C10VSM0,2024-12-01,692
B01C10VSM0,2024-12-08,651
B01C10VSM0,2024-12-15,539
B01C10VSM0,2024-12-22,341
B01C10VSM0,2024-12-29,501
B01C10VSM0,2025-01-05,646
B01C10VSM0,2025-01-12,2086
B01C10VSM0,2025-01-19,425
B01C10VSM0,2025-01-26,609
B01C10VSM0,2025-02-02,679
B01C10VSM0,2025-02-09,722
B01C10VSM0,2025-02-16,2468
B01C10VSM0,2025-02-23,2689
B01C10VSM0,2025-03-02,625
B01C10VSM0,2025-03-09,358
B01C10VSM0,2025-03-16,632
B01C10VSM0,2025-03-23,584
B01C10VSM0,2025-03-30,634
B01C10VSM0,2025-04-06,713
B01C10VSM0,2025-04-13,444
B01C10VSM0,2025-04-20,612
B01C10VSM0,2025-04-27,708
B01C10VSM0,2025-05-04,849
B01C10VSM0,2025-05-11,1452
B01C10VSM0,2025-05-18,652
B01C10VSM0,2025-05-25,1024
B01C10VSM0,2025-06-01,1314
B01C10VSM0,2025-06-08,988
B01C10VSM0,2025-06-15,1329
B01C10VSM0,2025-06-22,1374
B01C10VSM0,2025-06-29,1796
B01C10VSM0,2025-07-06,1089
B01C10VSM0,2025-07-13,1168
B01C10VSM0,2025-07-20,910
B01C10VSM0,2025-07-27,1310
B01C10VSM0,2025-08-03,806
B01C10VSM0,2025-08-10,859
B01C10VSM0,2025-08-17,1013
B01C10VSM0,2025-08-24,688
B01C10VSM0,2025-08-31,595
B01C10VSM0,2025-09-07,716
B01C10VSM0,2025-09-14,995
B01C10VSM0,2025-09-21,1131
B01C10VSM0,2025-09-28,769
B01C10VSM0,2025-10-05,1284
B01C10VSM0,2025-10-12,1443
B01C10VSM0,2025-10-19,986
B01C10VSM0,2025-10-26,1260
B01C10VSM0,2025-11-02,1036
B01C10VSM0,2025-11-09,729
B01C10VSM0,2025-11-16,816
B01C10VSM0,2025-11-23,817
B01C10VSM0,2025-11-30,981
B01C10VSM0,2025-12-07,992
B01C10VSM0,2025-12-14,930
B01C10VSM0,2025-12-21,1348
B01C10VSM0,2025-12-28,890
