asin,week_start_date,weekly_salesrank
B01C10VTE2,2023-01-01,587
B01C10VTE2,2023-01-08,340
B01C10VTE2,2023-01-15,214
B01C10VTE2,2023-01-22,291
B01C10VTE2,2023-01-29,444
B01C10VTE2,2023-02-05,630
B01C10VTE2,2023-02-12,615
B01C10VTE2,2023-02-19,460
B01C10VTE2,2023-02-26,488
B01C10VTE2,2023-03-05,1349
B01C10VTE2,2023-03-12,460
B01C10VTE2,2023-03-19,609
B01C10VTE2,2023-03-26,511
B01C10VTE2,2023-04-02,423
B01C10VTE2,2023-04-09,566
B01C10VTE2,2023-04-16,651
B01C10VTE2,2023-04-23,477
B01C10VTE2,2023-04-30,599
B01C10VTE2,2023-05-07,506
B01C10VTE2,2023-05-14,348
B01C10VTE2,2023-05-21,452
B01C10VTE2,2023-05-28,357
B01C10VTE2,2023-06-04,390
B01C10VTE2,2023-06-11,522
B01C10VTE2,2023-06-18,559
B01C10VTE2,2023-06-25,410
B01C10VTE2,2023-07-02,714
B01C10VTE2,2023-07-09,618
B01C10VTE2,2023-07-16,478
B01C10VTE2,2023-07-23,498
B01C10VTE2,2023-07-30,619
B01C10VTE2,2023-08-06,459
B01C10VTE2,2023-08-13,446
B01C10VTE2,2023-08-20,552
B01C10VTE2,2023-08-27,459
B01C10VTE2,2023-09-03,367
B01C10VTE2,2023-09-10,236
B01C10VTE2,2023-09-17,360
B01C10VTE2,2023-09-24,347
B01C10VTE2,2023-10-01,452
B01C10VTE2,2023-10-08,407
B01C10VTE2,2023-10-15,481
B01C10VTE2,2023-10-22,475
B01C10VTE2,2023-10-29,366
B01C10VTE2,2023-11-05,387
B01C10VTE2,2023-11-12,368
B01C10VTE2,2023-11-19,410
B01C10VTE2,2023-11-26,745
B01C10VTE2,2023-12-03,638
B01C10VTE2,2023-12-10,626
B01C10VTE2,2023-12-17,1025
B01C10VTE2,2023-12-24,692
B01C10VTE2,2023-12-31,1909
B01C10VTE2,2024-01-07,2115
B01C10VTE2,2024-01-14,2115
B01C10VTE2,2024-01-21,2157
