asin,week_start_date,weekly_salesrank
B01G58K3KM,2023-01-01,5115
B01G58K3KM,2023-01-08,5191
B01G58K3KM,2023-01-15,5223
B01G58K3KM,2023-01-22,5235
B01G58K3KM,2023-01-29,5258
B01G58K3KM,2023-02-05,5282
B01G58K3KM,2023-02-12,5295
B01G58K3KM,2023-02-19,5272
B01G58K3KM,2023-02-26,5286
B01G58K3KM,2023-03-05,5307
B01G58K3KM,2023-03-12,5344
B01G58K3KM,2023-03-19,5418
B01G58K3KM,2023-03-26,5436
B01G58K3KM,2023-04-02,5490
B01G58K3KM,2023-04-09,5518
B01G58K3KM,2023-04-16,5517
B01G58K3KM,2023-04-23,5561
B01G58K3KM,2023-04-30,5599
B01G58K3KM,2023-05-07,639
B01G58K3KM,2023-05-14,2615
B01G58K3KM,2023-05-21,3706
B01G58K3KM,2023-05-28,4158
B01G58K3KM,2023-06-04,4421
B01G58K3KM,2023-06-11,4759
B01G58K3KM,2023-06-18,4975
B01G58K3KM,2023-06-25,5095
B01G58K3KM,2023-07-02,5196
B01G58K3KM,2023-07-09,5299
B01G58K3KM,2023-07-16,5362
B01G58K3KM,2023-07-23,5406
B01G58K3KM,2023-07-30,5395
B01G58K3KM,2023-08-06,5431
B01G58K3KM,2023-08-13,5409
B01G58K3KM,2023-08-20,5397
B01G58K3KM,2023-08-27,5432
B01G58K3KM,2023-09-03,5445
B01G58K3KM,2023-09-10,5471
B01G58K3KM,2023-09-17,5548
B01G58K3KM,2023-09-24,5571
B01G58K3KM,2023-10-01,5577
B01G58K3KM,2023-10-08,5645
B01G58K3KM,2023-10-15,5657
B01G58K3KM,2023-10-22,5710
B01G58K3KM,2023-10-29,5742
B01G58K3KM,2023-11-05,5775
B01G58K3KM,2023-11-12,5819
B01G58K3KM,2023-11-19,5815
B01G58K3KM,2023-11-26,5835
B01G58K3KM,2023-12-03,5902
B01G58K3KM,2023-12-10,5936
B01G58K3KM,2023-12-17,5955
B01G58K3KM,2023-12-24,6022
B01G58K3KM,2023-12-31,6019
B01G58K3KM,2024-01-07,6023
B01G58K3KM,2024-01-14,6030
B01G58K3KM,2024-01-21,6053
B01G58K3KM,2024-01-28,6080
B01G58K3KM,2024-02-04,6144
B01G58K3KM,2024-02-11,6192
B01G58K3KM,2024-02-18,6231
B01G58K3KM,2024-02-25,6241
B01G58K3KM,2024-03-03,6315
B01G58K3KM,2024-03-10,6341
B01G58K3KM,2024-03-17,6382
B01G58K3KM,2024-03-24,6439
B01G58K3KM,2024-03-31,6491
B01G58K3KM,2024-04-07,6575
B01G58K3KM,2024-04-14,6591
B01G58K3KM,2024-04-21,6615
B01G58K3KM,2024-04-28,6707
B01G58K3KM,2024-05-05,6688
B01G58K3KM,2024-05-12,6719
B01G58K3KM,2024-05-19,6772
B01G58K3KM,2024-05-26,6843
B01G58K3KM,2024-06-02,6869
B01G58K3KM,2024-06-09,6952
B01G58K3KM,2024-06-16,7027
B01G58K3KM,2024-06-23,7027
B01G58K3KM,2024-06-30,7078
B01G58K3KM,2024-07-07,7143
B01G58K3KM,2024-07-14,7281
B01G58K3KM,2024-07-21,7370
B01G58K3KM,2024-07-28,7406
B01G58K3KM,2024-08-04,7490
B01G58K3KM,2024-08-11,7536
B01G58K3KM,2024-08-18,7629
B01G58K3KM,2024-08-25,7669
B01G58K3KM,2024-09-01,7702
B01G58K3KM,2024-09-08,7755
B01G58K3KM,2024-09-15,7762
B01G58K3KM,2024-09-22,7755
B01G58K3KM,2024-09-29,7823
B01G58K3KM,2024-10-06,7898
B01G58K3KM,2024-10-13,7966
B01G58K3KM,2024-10-20,8031
B01G58K3KM,2024-10-27,8082
B01G58K3KM,2024-11-03,8064
B01G58K3KM,2024-11-10,8135
B01G58K3KM,2024-11-17,8219
B01G58K3KM,2024-11-24,8236
B01G58K3KM,2024-12-01,8342
B01G58K3KM,2024-12-08,8447
B01G58K3KM,2024-12-15,8488
B01G58K3KM,2024-12-22,8525
B01G58K3KM,2024-12-29,8654
B01G58K3KM,2025-01-05,923
B01G58K3KM,2025-01-12,3262
B01G58K3KM,2025-01-19,4532
B01G58K3KM,2025-01-26,5278
B01G58K3KM,2025-02-02,6018
B01G58K3KM,2025-02-09,6667
B01G58K3KM,2025-02-16,7244
B01G58K3KM,2025-02-23,7669
B01G58K3KM,2025-03-02,7949
B01G58K3KM,2025-03-09,8193
B01G58K3KM,2025-03-16,8353
B01G58K3KM,2025-03-23,8493
B01G58K3KM,2025-03-30,8580
B01G58K3KM,2025-04-06,8690
B01G58K3KM,2025-04-13,8784
B01G58K3KM,2025-04-20,8841
B01G58K3KM,2025-04-27,8895
B01G58K3KM,2025-05-04,8939
B01G58K3KM,2025-05-11,10545
B01G58K3KM,2025-05-18,10633
B01G58K3KM,2025-05-25,10745
B01G58K3KM,2025-06-01,10865
B01G58K3KM,2025-06-08,10988
B01G58K3KM,2025-06-15,11044
B01G58K3KM,2025-06-22,11138
B01G58K3KM,2025-06-29,11261
B01G58K3KM,2025-07-06,11428
B01G58K3KM,2025-07-13,11582
B01G58K3KM,2025-07-20,11811
B01G58K3KM,2025-07-27,11898
B01G58K3KM,2025-08-03,12010
B01G58K3KM,2025-08-10,1660
B01G58K3KM,2025-08-17,1664
B01G58K3KM,2025-08-24,2838
B01G58K3KM,2025-08-31,4765
B01G58K3KM,2025-09-07,5633
B01G58K3KM,2025-09-14,6436
B01G58K3KM,2025-09-21,7069
B01G58K3KM,2025-09-28,7829
B01G58K3KM,2025-10-05,8340
B01G58K3KM,2025-10-12,8737
B01G58K3KM,2025-10-19,8953
B01G58K3KM,2025-10-26,9149
B01G58K3KM,2025-11-02,9236
B01G58K3KM,2025-11-09,9352
B01G58K3KM,2025-11-16,9437
B01G58K3KM,2025-11-23,9529
B01G58K3KM,2025-11-30,9596
B01G58K3KM,2025-12-07,9682
B01G58K3KM,2025-12-14,9726
B01G58K3KM,2025-12-21,10821
B01G58K3KM,2025-12-28,10878
