asin,week_start_date,weekly_salesrank
B075B5WR85,2023-01-01,187
B075B5WR85,2023-01-08,168
B075B5WR85,2023-01-15,177
B075B5WR85,2023-01-22,203
B075B5WR85,2023-01-29,126
B075B5WR85,2023-02-05,138
B075B5WR85,2023-02-12,153
B075B5WR85,2023-02-19,207
B075B5WR85,2023-02-26,130
B075B5WR85,2023-03-05,209
B075B5WR85,2023-03-12,123
B075B5WR85,2023-03-19,124
B075B5WR85,2023-03-26,136
B075B5WR85,2023-04-02,95
B075B5WR85,2023-04-09,159
B075B5WR85,2023-04-16,152
B075B5WR85,2023-04-23,189
B075B5WR85,2023-04-30,207
B075B5WR85,2023-05-07,393
B075B5WR85,2023-05-14,235
B075B5WR85,2023-05-21,167
B075B5WR85,2023-05-28,179
B075B5WR85,2023-06-04,160
B075B5WR85,2023-06-11,200
B075B5WR85,2023-06-18,238
B075B5WR85,2023-06-25,226
B075B5WR85,2023-07-02,294
B075B5WR85,2023-07-09,380
B075B5WR85,2023-07-16,352
B075B5WR85,2023-07-23,169
B075B5WR85,2023-07-30,280
B075B5WR85,2023-08-06,197
B075B5WR85,2023-08-13,211
B075B5WR85,2023-08-20,220
B075B5WR85,2023-08-27,217
B075B5WR85,2023-09-03,244
B075B5WR85,2023-09-10,175
B075B5WR85,2023-09-17,176
B075B5WR85,2023-09-24,176
B075B5WR85,2023-10-01,166
B075B5WR85,2023-10-08,191
B075B5WR85,2023-10-15,245
B075B5WR85,2023-10-22,233
B075B5WR85,2023-10-29,165
B075B5WR85,2023-11-05,208
B075B5WR85,2023-11-12,176
B075B5WR85,2023-11-19,222
B075B5WR85,2023-11-26,356
B075B5WR85,2023-12-03,381
B075B5WR85,2023-12-10,324
B075B5WR85,2023-12-17,273
B075B5WR85,2023-12-24,260
B075B5WR85,2023-12-31,278
B075B5WR85,2024-01-07,293
B075B5WR85,2024-01-14,369
B075B5WR85,2024-01-21,210
B075B5WR85,2024-01-28,236
B075B5WR85,2024-02-04,315
B075B5WR85,2024-02-11,280
B075B5WR85,2024-02-18,346
B075B5WR85,2024-02-25,256
B075B5WR85,2024-03-03,330
B075B5WR85,2024-03-10,315
B075B5WR85,2024-03-17,224
B075B5WR85,2024-03-24,210
B075B5WR85,2024-03-31,311
B075B5WR85,2024-04-07,213
B075B5WR85,2024-04-14,313
B075B5WR85,2024-04-21,309
B075B5WR85,2024-04-28,319
B075B5WR85,2024-05-05,256
B075B5WR85,2024-05-12,471
B075B5WR85,2024-05-19,304
B075B5WR85,2024-05-26,298
B075B5WR85,2024-06-02,411
B075B5WR85,2024-06-09,360
B075B5WR85,2024-06-16,335
B075B5WR85,2024-06-23,433
B075B5WR85,2024-06-30,293
B075B5WR85,2024-07-07,410
B075B5WR85,2024-07-14,502
B075B5WR85,2024-07-21,357
B075B5WR85,2024-07-28,487
B075B5WR85,2024-08-04,446
B075B5WR85,2024-08-11,519
B075B5WR85,2024-08-18,614
B075B5WR85,2024-08-25,648
B075B5WR85,2024-09-01,539
B075B5WR85,2024-09-08,453
B075B5WR85,2024-09-15,301
B075B5WR85,2024-09-22,390
B075B5WR85,2024-09-29,548
B075B5WR85,2024-10-06,561
B075B5WR85,2024-10-13,671
B075B5WR85,2024-10-20,521
B075B5WR85,2024-10-27,473
B075B5WR85,2024-11-03,373
B075B5WR85,2024-11-10,546
B075B5WR85,2024-11-17,495
B075B5WR85,2024-11-24,619
B075B5WR85,2024-12-01,790
B075B5WR85,2024-12-08,790
B075B5WR85,2024-12-15,833
B075B5WR85,2024-12-22,613
B075B5WR85,2024-12-29,635
B075B5WR85,2025-01-05,735
B075B5WR85,2025-01-12,1691
B075B5WR85,2025-01-19,762
B075B5WR85,2025-01-26,371
B075B5WR85,2025-02-02,593
B075B5WR85,2025-02-09,605
B075B5WR85,2025-02-16,455
B075B5WR85,2025-02-23,437
B075B5WR85,2025-03-02,442
B075B5WR85,2025-03-09,509
B075B5WR85,2025-03-16,518
B075B5WR85,2025-03-23,541
B075B5WR85,2025-03-30,851
B075B5WR85,2025-04-06,747
B075B5WR85,2025-04-13,1998
B075B5WR85,2025-04-20,2046
B075B5WR85,2025-04-27,724
B075B5WR85,2025-05-04,1279
B075B5WR85,2025-05-11,1123
B075B5WR85,2025-05-18,1203
B075B5WR85,2025-05-25,1118
B075B5WR85,2025-06-01,1358
B075B5WR85,2025-06-08,999
B075B5WR85,2025-06-15,1413
B075B5WR85,2025-06-22,1045
B075B5WR85,2025-06-29,962
B075B5WR85,2025-07-06,1894
B075B5WR85,2025-07-13,1061
B075B5WR85,2025-07-20,1377
B075B5WR85,2025-07-27,1451
B075B5WR85,2025-08-03,1344
B075B5WR85,2025-08-10,1366
B075B5WR85,2025-08-17,1244
B075B5WR85,2025-08-24,1443
B075B5WR85,2025-08-31,2612
B075B5WR85,2025-09-07,1505
B075B5WR85,2025-09-14,2550
B075B5WR85,2025-09-21,1483
B075B5WR85,2025-09-28,1486
B075B5WR85,2025-10-05,2823
B075B5WR85,2025-10-12,1523
B075B5WR85,2025-10-19,2292
B075B5WR85,2025-10-26,1496
B075B5WR85,2025-11-02,1497
B075B5WR85,2025-11-09,1111
B075B5WR85,2025-11-16,1109
B075B5WR85,2025-11-23,1759
B075B5WR85,2025-11-30,2896
B075B5WR85,2025-12-07,3164
B075B5WR85,2025-12-14,3356
B075B5WR85,2025-12-21,1214
B075B5WR85,2025-12-28,1217
