asin,week_start_date,weekly_salesrank
B07KCNJY79,2023-01-01,1713
B07KCNJY79,2023-01-08,1810
B07KCNJY79,2023-01-15,1770
B07KCNJY79,2023-01-22,613
B07KCNJY79,2023-01-29,1502
B07KCNJY79,2023-02-05,1762
B07KCNJY79,2023-02-12,1808
B07KCNJY79,2023-02-19,1825
B07KCNJY79,2023-02-26,1816
B07KCNJY79,2023-03-05,1857
B07KCNJY79,2023-03-12,1886
B07KCNJY79,2023-03-19,1904
B07KCNJY79,2023-03-26,1944
B07KCNJY79,2023-04-02,1998
B07KCNJY79,2023-04-09,1939
B07KCNJY79,2023-04-16,1961
B07KCNJY79,2023-04-23,1983
B07KCNJY79,2023-04-30,1979
B07KCNJY79,2023-05-07,1966
B07KCNJY79,2023-05-14,1981
B07KCNJY79,2023-05-21,1994
B07KCNJY79,2023-05-28,1899
B07KCNJY79,2023-06-04,1966
B07KCNJY79,2023-06-11,1961
B07KCNJY79,2023-06-18,765
B07KCNJY79,2023-06-25,600
B07KCNJY79,2023-07-02,1585
B07KCNJY79,2023-07-09,1001
B07KCNJY79,2023-07-16,1036
B07KCNJY79,2023-07-23,1755
B07KCNJY79,2023-07-30,1945
B07KCNJY79,2023-08-06,2029
B07KCNJY79,2023-08-13,1992
B07KCNJY79,2023-08-20,2080
B07KCNJY79,2023-08-27,2022
B07KCNJY79,2023-09-03,1789
B07KCNJY79,2023-09-10,1782
B07KCNJY79,2023-09-17,1821
B07KCNJY79,2023-09-24,1838
B07KCNJY79,2023-10-01,630
B07KCNJY79,2023-10-08,1114
B07KCNJY79,2023-10-15,1868
B07KCNJY79,2023-10-22,1845
B07KCNJY79,2023-10-29,1815
B07KCNJY79,2023-11-05,1883
B07KCNJY79,2023-11-12,1858
B07KCNJY79,2023-11-19,703
B07KCNJY79,2023-11-26,677
B07KCNJY79,2023-12-03,1560
B07KCNJY79,2023-12-10,1224
B07KCNJY79,2023-12-17,2161
B07KCNJY79,2023-12-24,726
B07KCNJY79,2023-12-31,2093
B07KCNJY79,2024-01-07,2248
B07KCNJY79,2024-01-14,2213
B07KCNJY79,2024-01-21,582
B07KCNJY79,2024-01-28,2100
B07KCNJY79,2024-02-04,2281
B07KCNJY79,2024-02-11,2260
B07KCNJY79,2024-02-18,2301
B07KCNJY79,2024-02-25,2329
B07KCNJY79,2024-03-03,2281
B07KCNJY79,2024-03-10,561
B07KCNJY79,2024-03-17,1737
B07KCNJY79,2024-03-24,681
B07KCNJY79,2024-03-31,1540
B07KCNJY79,2024-04-07,2243
B07KCNJY79,2024-04-14,2244
B07KCNJY79,2024-04-21,2327
B07KCNJY79,2024-04-28,862
B07KCNJY79,2024-05-05,1638
B07KCNJY79,2024-05-12,2274
B07KCNJY79,2024-05-19,2350
B07KCNJY79,2024-05-26,759
B07KCNJY79,2024-06-02,1816
B07KCNJY79,2024-06-09,2365
B07KCNJY79,2024-06-16,2432
B07KCNJY79,2024-06-23,745
B07KCNJY79,2024-06-30,2492
B07KCNJY79,2024-07-07,2625
B07KCNJY79,2024-07-14,2648
B07KCNJY79,2024-07-21,2694
B07KCNJY79,2024-07-28,2681
B07KCNJY79,2024-08-04,2661
B07KCNJY79,2024-08-11,2643
B07KCNJY79,2024-08-18,950
B07KCNJY79,2024-08-25,1746
B07KCNJY79,2024-09-01,2604
B07KCNJY79,2024-09-08,2610
B07KCNJY79,2024-09-15,2608
B07KCNJY79,2024-09-22,2700
B07KCNJY79,2024-09-29,2721
B07KCNJY79,2024-10-06,2726
B07KCNJY79,2024-10-13,2719
B07KCNJY79,2024-10-20,3077
B07KCNJY79,2024-10-27,
B07KCNJY79,2024-11-03,3052
B07KCNJY79,2024-11-10,3023
B07KCNJY79,2024-11-17,3038
B07KCNJY79,2024-11-24,3056
B07KCNJY79,2024-12-01,3276
B07KCNJY79,2024-12-08,3264
B07KCNJY79,2024-12-15,3199
B07KCNJY79,2024-12-22,3190
B07KCNJY79,2024-12-29,3093
B07KCNJY79,2025-01-05,3142
B07KCNJY79,2025-01-12,743
B07KCNJY79,2025-01-19,2605
B07KCNJY79,2025-01-26,3105
B07KCNJY79,2025-02-02,3216
B07KCNJY79,2025-02-09,3390
B07KCNJY79,2025-02-16,3425
B07KCNJY79,2025-02-23,3480
B07KCNJY79,2025-03-02,3513
B07KCNJY79,2025-03-09,
B07KCNJY79,2025-03-16,3533
B07KCNJY79,2025-03-23,3621
B07KCNJY79,2025-03-30,3669
B07KCNJY79,2025-04-06,3696
B07KCNJY79,2025-04-13,3762
B07KCNJY79,2025-04-20,3821
B07KCNJY79,2025-04-27,1057
B07KCNJY79,2025-05-04,2861
B07KCNJY79,2025-05-11,4122
B07KCNJY79,2025-05-18,4755
B07KCNJY79,2025-05-25,5321
B07KCNJY79,2025-06-01,5755
B07KCNJY79,2025-06-08,6079
B07KCNJY79,2025-06-15,
B07KCNJY79,2025-06-22,
