asin,week_start_date,weekly_salesrank
B07YC9Z3MV,2023-01-01,4194
B07YC9Z3MV,2023-01-08,4197
B07YC9Z3MV,2023-01-15,4196
B07YC9Z3MV,2023-01-22,4213
B07YC9Z3MV,2023-01-29,4222
B07YC9Z3MV,2023-02-05,4219
B07YC9Z3MV,2023-02-12,4243
B07YC9Z3MV,2023-02-19,4234
B07YC9Z3MV,2023-02-26,4222
B07YC9Z3MV,2023-03-05,4272
B07YC9Z3MV,2023-03-12,4317
B07YC9Z3MV,2023-03-19,4356
B07YC9Z3MV,2023-03-26,1971
B07YC9Z3MV,2023-04-02,2024
B07YC9Z3MV,2023-04-09,1961
B07YC9Z3MV,2023-04-16,1999
B07YC9Z3MV,2023-04-23,2008
B07YC9Z3MV,2023-04-30,2021
B07YC9Z3MV,2023-05-07,2004
B07YC9Z3MV,2023-05-14,2045
B07YC9Z3MV,2023-05-21,2001
B07YC9Z3MV,2023-05-28,1937
B07YC9Z3MV,2023-06-04,665
B07YC9Z3MV,2023-06-11,1655
B07YC9Z3MV,2023-06-18,649
B07YC9Z3MV,2023-06-25,1870
B07YC9Z3MV,2023-07-02,2066
B07YC9Z3MV,2023-07-09,2078
B07YC9Z3MV,2023-07-16,2087
B07YC9Z3MV,2023-07-23,2065
B07YC9Z3MV,2023-07-30,2039
B07YC9Z3MV,2023-08-06,2086
B07YC9Z3MV,2023-08-13,792
B07YC9Z3MV,2023-08-20,1507
B07YC9Z3MV,2023-08-27,2050
B07YC9Z3MV,2023-09-03,2061
B07YC9Z3MV,2023-09-10,2059
B07YC9Z3MV,2023-09-17,2136
B07YC9Z3MV,2023-09-24,2147
B07YC9Z3MV,2023-10-01,623
B07YC9Z3MV,2023-10-08,939
B07YC9Z3MV,2023-10-15,1011
B07YC9Z3MV,2023-10-22,987
B07YC9Z3MV,2023-10-29,1887
B07YC9Z3MV,2023-11-05,669
B07YC9Z3MV,2023-11-12,1298
B07YC9Z3MV,2023-11-19,1915
B07YC9Z3MV,2023-11-26,2216
B07YC9Z3MV,2023-12-03,2343
B07YC9Z3MV,2023-12-10,2343
B07YC9Z3MV,2023-12-17,2388
B07YC9Z3MV,2023-12-24,2320
B07YC9Z3MV,2023-12-31,621
B07YC9Z3MV,2024-01-07,1341
B07YC9Z3MV,2024-01-14,631
B07YC9Z3MV,2024-01-21,588
B07YC9Z3MV,2024-01-28,556
B07YC9Z3MV,2024-02-04,534
B07YC9Z3MV,2024-02-11,1246
B07YC9Z3MV,2024-02-18,2136
B07YC9Z3MV,2024-02-25,619
B07YC9Z3MV,2024-03-03,2162
B07YC9Z3MV,2024-03-10,711
B07YC9Z3MV,2024-03-17,2047
B07YC9Z3MV,2024-03-24,1537
B07YC9Z3MV,2024-03-31,2225
B07YC9Z3MV,2024-04-07,1924
B07YC9Z3MV,2024-04-14,
B07YC9Z3MV,2024-04-21,2079
B07YC9Z3MV,2024-04-28,2035
B07YC9Z3MV,2024-05-05,2444
B07YC9Z3MV,2024-05-12,
B07YC9Z3MV,2024-05-19,2370
B07YC9Z3MV,2024-05-26,
B07YC9Z3MV,2024-06-02,2561
B07YC9Z3MV,2024-06-09,
B07YC9Z3MV,2024-06-16,2754
B07YC9Z3MV,2024-06-23,
B07YC9Z3MV,2024-06-30,
B07YC9Z3MV,2024-07-07,
B07YC9Z3MV,2024-07-14,
B07YC9Z3MV,2024-07-21,
B07YC9Z3MV,2024-07-28,
B07YC9Z3MV,2024-08-04,2770
B07YC9Z3MV,2024-08-11,
B07YC9Z3MV,2024-08-18,2837
B07YC9Z3MV,2024-08-25,2932
B07YC9Z3MV,2024-09-01,
B07YC9Z3MV,2024-09-08,
B07YC9Z3MV,2024-09-15,2984
B07YC9Z3MV,2024-09-22,
B07YC9Z3MV,2024-09-29,3000
B07YC9Z3MV,2024-10-06,3050
