asin,week_start_date,weekly_salesrank
B07YCBRJFQ,2023-01-01,1709
B07YCBRJFQ,2023-01-08,1831
B07YCBRJFQ,2023-01-15,1801
B07YCBRJFQ,2023-01-22,1793
B07YCBRJFQ,2023-01-29,1824
B07YCBRJFQ,2023-02-05,1806
B07YCBRJFQ,2023-02-12,1852
B07YCBRJFQ,2023-02-19,1868
B07YCBRJFQ,2023-02-26,1844
B07YCBRJFQ,2023-03-05,1903
B07YCBRJFQ,2023-03-12,610
B07YCBRJFQ,2023-03-19,1623
B07YCBRJFQ,2023-03-26,1969
B07YCBRJFQ,2023-04-02,2018
B07YCBRJFQ,2023-04-09,1955
B07YCBRJFQ,2023-04-16,1990
B07YCBRJFQ,2023-04-23,2003
B07YCBRJFQ,2023-04-30,2000
B07YCBRJFQ,2023-05-07,1988
B07YCBRJFQ,2023-05-14,2008
B07YCBRJFQ,2023-05-21,2001
B07YCBRJFQ,2023-05-28,1912
B07YCBRJFQ,2023-06-04,665
B07YCBRJFQ,2023-06-11,1625
B07YCBRJFQ,2023-06-18,649
B07YCBRJFQ,2023-06-25,1720
B07YCBRJFQ,2023-07-02,2016
B07YCBRJFQ,2023-07-09,2077
B07YCBRJFQ,2023-07-16,2053
B07YCBRJFQ,2023-07-23,2040
B07YCBRJFQ,2023-07-30,2069
B07YCBRJFQ,2023-08-06,2086
B07YCBRJFQ,2023-08-13,563
B07YCBRJFQ,2023-08-20,1372
B07YCBRJFQ,2023-08-27,2005
B07YCBRJFQ,2023-09-03,2048
B07YCBRJFQ,2023-09-10,2037
B07YCBRJFQ,2023-09-17,2082
B07YCBRJFQ,2023-09-24,2132
B07YCBRJFQ,2023-10-01,623
B07YCBRJFQ,2023-10-08,544
B07YCBRJFQ,2023-10-15,890
B07YCBRJFQ,2023-10-22,651
B07YCBRJFQ,2023-10-29,1885
B07YCBRJFQ,2023-11-05,669
B07YCBRJFQ,2023-11-12,746
B07YCBRJFQ,2023-11-19,1894
B07YCBRJFQ,2023-11-26,2216
B07YCBRJFQ,2023-12-03,2338
B07YCBRJFQ,2023-12-10,2345
B07YCBRJFQ,2023-12-17,2388
B07YCBRJFQ,2023-12-24,2324
B07YCBRJFQ,2023-12-31,621
B07YCBRJFQ,2024-01-07,1341
B07YCBRJFQ,2024-01-14,631
B07YCBRJFQ,2024-01-21,588
B07YCBRJFQ,2024-01-28,556
B07YCBRJFQ,2024-02-04,534
B07YCBRJFQ,2024-02-11,1195
B07YCBRJFQ,2024-02-18,2129
B07YCBRJFQ,2024-02-25,682
B07YCBRJFQ,2024-03-03,2162
B07YCBRJFQ,2024-03-10,711
B07YCBRJFQ,2024-03-17,648
B07YCBRJFQ,2024-03-24,671
B07YCBRJFQ,2024-03-31,1949
B07YCBRJFQ,2024-04-07,860
B07YCBRJFQ,2024-04-14,751
B07YCBRJFQ,2024-04-21,1893
B07YCBRJFQ,2024-04-28,821
B07YCBRJFQ,2024-05-05,2323
B07YCBRJFQ,2024-05-12,728
B07YCBRJFQ,2024-05-19,1889
B07YCBRJFQ,2024-05-26,971
B07YCBRJFQ,2024-06-02,2377
B07YCBRJFQ,2024-06-09,2605
B07YCBRJFQ,2024-06-16,2689
B07YCBRJFQ,2024-06-23,734
B07YCBRJFQ,2024-06-30,2442
B07YCBRJFQ,2024-07-07,1067
B07YCBRJFQ,2024-07-14,1231
B07YCBRJFQ,2024-07-21,874
B07YCBRJFQ,2024-07-28,1836
B07YCBRJFQ,2024-08-04,1032
B07YCBRJFQ,2024-08-11,1825
