asin,week_start_date,weekly_salesrank
B07YLRMKRG,2023-01-01,46
B07YLRMKRG,2023-01-08,65
B07YLRMKRG,2023-01-15,28
B07YLRMKRG,2023-01-22,28
B07YLRMKRG,2023-01-29,25
B07YLRMKRG,2023-02-05,28
B07YLRMKRG,2023-02-12,45
B07YLRMKRG,2023-02-19,39
B07YLRMKRG,2023-02-26,60
B07YLRMKRG,2023-03-05,72
B07YLRMKRG,2023-03-12,97
B07YLRMKRG,2023-03-19,55
B07YLRMKRG,2023-03-26,56
B07YLRMKRG,2023-04-02,54
B07YLRMKRG,2023-04-09,50
B07YLRMKRG,2023-04-16,51
B07YLRMKRG,2023-04-23,71
B07YLRMKRG,2023-04-30,130
B07YLRMKRG,2023-05-07,134
B07YLRMKRG,2023-05-14,81
B07YLRMKRG,2023-05-21,126
B07YLRMKRG,2023-05-28,142
B07YLRMKRG,2023-06-04,179
B07YLRMKRG,2023-06-11,134
B07YLRMKRG,2023-06-18,99
B07YLRMKRG,2023-06-25,61
B07YLRMKRG,2023-07-02,70
B07YLRMKRG,2023-07-09,59
B07YLRMKRG,2023-07-16,87
B07YLRMKRG,2023-07-23,75
B07YLRMKRG,2023-07-30,52
B07YLRMKRG,2023-08-06,50
B07YLRMKRG,2023-08-13,71
B07YLRMKRG,2023-08-20,20
B07YLRMKRG,2023-08-27,27
B07YLRMKRG,2023-09-03,18
B07YLRMKRG,2023-09-10,23
B07YLRMKRG,2023-09-17,29
B07YLRMKRG,2023-09-24,15
B07YLRMKRG,2023-10-01,114
B07YLRMKRG,2023-10-08,80
B07YLRMKRG,2023-10-15,84
B07YLRMKRG,2023-10-22,122
B07YLRMKRG,2023-10-29,97
B07YLRMKRG,2023-11-05,101
B07YLRMKRG,2023-11-12,97
B07YLRMKRG,2023-11-19,42
B07YLRMKRG,2023-11-26,54
B07YLRMKRG,2023-12-03,81
B07YLRMKRG,2023-12-10,78
B07YLRMKRG,2023-12-17,91
B07YLRMKRG,2023-12-24,80
B07YLRMKRG,2023-12-31,54
B07YLRMKRG,2024-01-07,48
B07YLRMKRG,2024-01-14,94
B07YLRMKRG,2024-01-21,52
B07YLRMKRG,2024-01-28,59
B07YLRMKRG,2024-02-04,88
B07YLRMKRG,2024-02-11,71
B07YLRMKRG,2024-02-18,105
B07YLRMKRG,2024-02-25,95
B07YLRMKRG,2024-03-03,49
B07YLRMKRG,2024-03-10,139
B07YLRMKRG,2024-03-17,96
B07YLRMKRG,2024-03-24,2
B07YLRMKRG,2024-03-31,3
B07YLRMKRG,2024-04-07,2
B07YLRMKRG,2024-04-14,2
B07YLRMKRG,2024-04-21,128
B07YLRMKRG,2024-04-28,151
B07YLRMKRG,2024-05-05,3
B07YLRMKRG,2024-05-12,1
B07YLRMKRG,2024-05-19,3
B07YLRMKRG,2024-05-26,6
B07YLRMKRG,2024-06-02,3
B07YLRMKRG,2024-06-09,4
B07YLRMKRG,2024-06-16,7
B07YLRMKRG,2024-06-23,3
B07YLRMKRG,2024-06-30,4
B07YLRMKRG,2024-07-07,5
B07YLRMKRG,2024-07-14,6
B07YLRMKRG,2024-07-21,3
B07YLRMKRG,2024-07-28,128
B07YLRMKRG,2024-08-04,10
B07YLRMKRG,2024-08-11,136
B07YLRMKRG,2024-08-18,99
B07YLRMKRG,2024-08-25,108
B07YLRMKRG,2024-09-01,187
B07YLRMKRG,2024-09-08,161
