asin,week_start_date,weekly_salesrank
B07ZPSWGYN,2023-01-01,1068
B07ZPSWGYN,2023-01-08,1149
B07ZPSWGYN,2023-01-15,1137
B07ZPSWGYN,2023-01-22,1125
B07ZPSWGYN,2023-01-29,1187
B07ZPSWGYN,2023-02-05,1127
B07ZPSWGYN,2023-02-12,555
B07ZPSWGYN,2023-02-19,1190
B07ZPSWGYN,2023-02-26,1199
B07ZPSWGYN,2023-03-05,1206
B07ZPSWGYN,2023-03-12,1222
B07ZPSWGYN,2023-03-19,576
B07ZPSWGYN,2023-03-26,642
B07ZPSWGYN,2023-04-02,724
B07ZPSWGYN,2023-04-09,1188
B07ZPSWGYN,2023-04-16,1244
B07ZPSWGYN,2023-04-23,1286
B07ZPSWGYN,2023-04-30,1311
B07ZPSWGYN,2023-05-07,1281
B07ZPSWGYN,2023-05-14,1306
B07ZPSWGYN,2023-05-21,1303
B07ZPSWGYN,2023-05-28,1263
B07ZPSWGYN,2023-06-04,1301
B07ZPSWGYN,2023-06-11,1314
B07ZPSWGYN,2023-06-18,1332
B07ZPSWGYN,2023-06-25,1314
B07ZPSWGYN,2023-07-02,1338
B07ZPSWGYN,2023-07-09,1378
B07ZPSWGYN,2023-07-16,1332
B07ZPSWGYN,2023-07-23,666
B07ZPSWGYN,2023-07-30,1212
B07ZPSWGYN,2023-08-06,1366
B07ZPSWGYN,2023-08-13,1335
B07ZPSWGYN,2023-08-20,1383
B07ZPSWGYN,2023-08-27,717
B07ZPSWGYN,2023-09-03,1341
B07ZPSWGYN,2023-09-10,1320
B07ZPSWGYN,2023-09-17,796
B07ZPSWGYN,2023-09-24,1351
B07ZPSWGYN,2023-10-01,1372
B07ZPSWGYN,2023-10-08,535
B07ZPSWGYN,2023-10-15,1306
B07ZPSWGYN,2023-10-22,649
B07ZPSWGYN,2023-10-29,782
B07ZPSWGYN,2023-11-05,1397
B07ZPSWGYN,2023-11-12,1395
B07ZPSWGYN,2023-11-19,1400
B07ZPSWGYN,2023-11-26,704
B07ZPSWGYN,2023-12-03,1490
B07ZPSWGYN,2023-12-10,1521
B07ZPSWGYN,2023-12-17,1535
B07ZPSWGYN,2023-12-24,1439
B07ZPSWGYN,2023-12-31,1392
B07ZPSWGYN,2024-01-07,1435
B07ZPSWGYN,2024-01-14,1470
B07ZPSWGYN,2024-01-21,1490
B07ZPSWGYN,2024-01-28,1520
B07ZPSWGYN,2024-02-04,1515
B07ZPSWGYN,2024-02-11,1514
B07ZPSWGYN,2024-02-18,1547
B07ZPSWGYN,2024-02-25,1561
B07ZPSWGYN,2024-03-03,615
B07ZPSWGYN,2024-03-10,1598
B07ZPSWGYN,2024-03-17,1654
B07ZPSWGYN,2024-03-24,1688
B07ZPSWGYN,2024-03-31,1068
B07ZPSWGYN,2024-04-07,1672
B07ZPSWGYN,2024-04-14,1689
B07ZPSWGYN,2024-04-21,1707
B07ZPSWGYN,2024-04-28,698
B07ZPSWGYN,2024-05-05,653
B07ZPSWGYN,2024-05-12,1639
B07ZPSWGYN,2024-05-19,1712
B07ZPSWGYN,2024-05-26,834
B07ZPSWGYN,2024-06-02,713
B07ZPSWGYN,2024-06-09,672
B07ZPSWGYN,2024-06-16,1714
B07ZPSWGYN,2024-06-23,1841
B07ZPSWGYN,2024-06-30,1838
B07ZPSWGYN,2024-07-07,1963
B07ZPSWGYN,2024-07-14,1996
B07ZPSWGYN,2024-07-21,877
B07ZPSWGYN,2024-07-28,1765
B07ZPSWGYN,2024-08-04,1921
B07ZPSWGYN,2024-08-11,995
B07ZPSWGYN,2024-08-18,1902
B07ZPSWGYN,2024-08-25,1951
B07ZPSWGYN,2024-09-01,1995
B07ZPSWGYN,2024-09-08,1972
B07ZPSWGYN,2024-09-15,1971
B07ZPSWGYN,2024-09-22,1956
B07ZPSWGYN,2024-09-29,1955
B07ZPSWGYN,2024-10-06,1992
B07ZPSWGYN,2024-10-13,1994
B07ZPSWGYN,2024-10-20,2000
B07ZPSWGYN,2024-10-27,2013
B07ZPSWGYN,2024-11-03,2059
B07ZPSWGYN,2024-11-10,2044
B07ZPSWGYN,2024-11-17,2075
B07ZPSWGYN,2024-11-24,2085
B07ZPSWGYN,2024-12-01,1117
B07ZPSWGYN,2024-12-08,1467
B07ZPSWGYN,2024-12-15,2128
B07ZPSWGYN,2024-12-22,2127
B07ZPSWGYN,2024-12-29,2097
B07ZPSWGYN,2025-01-05,2233
