asin,week_start_date,weekly_salesrank
B0815PXPKZ,2023-01-01,103
B0815PXPKZ,2023-01-08,88
B0815PXPKZ,2023-01-15,118
B0815PXPKZ,2023-01-22,128
B0815PXPKZ,2023-01-29,98
B0815PXPKZ,2023-02-05,104
B0815PXPKZ,2023-02-12,117
B0815PXPKZ,2023-02-19,84
B0815PXPKZ,2023-02-26,78
B0815PXPKZ,2023-03-05,71
B0815PXPKZ,2023-03-12,94
B0815PXPKZ,2023-03-19,124
B0815PXPKZ,2023-03-26,123
B0815PXPKZ,2023-04-02,124
B0815PXPKZ,2023-04-09,80
B0815PXPKZ,2023-04-16,90
B0815PXPKZ,2023-04-23,94
B0815PXPKZ,2023-04-30,95
B0815PXPKZ,2023-05-07,99
B0815PXPKZ,2023-05-14,86
B0815PXPKZ,2023-05-21,98
B0815PXPKZ,2023-05-28,102
B0815PXPKZ,2023-06-04,134
B0815PXPKZ,2023-06-11,94
B0815PXPKZ,2023-06-18,99
B0815PXPKZ,2023-06-25,92
B0815PXPKZ,2023-07-02,139
B0815PXPKZ,2023-07-09,126
B0815PXPKZ,2023-07-16,109
B0815PXPKZ,2023-07-23,174
B0815PXPKZ,2023-07-30,112
B0815PXPKZ,2023-08-06,120
B0815PXPKZ,2023-08-13,78
B0815PXPKZ,2023-08-20,113
B0815PXPKZ,2023-08-27,137
B0815PXPKZ,2023-09-03,82
B0815PXPKZ,2023-09-10,235
B0815PXPKZ,2023-09-17,158
B0815PXPKZ,2023-09-24,178
B0815PXPKZ,2023-10-01,146
B0815PXPKZ,2023-10-08,119
B0815PXPKZ,2023-10-15,140
B0815PXPKZ,2023-10-22,167
B0815PXPKZ,2023-10-29,153
B0815PXPKZ,2023-11-05,231
B0815PXPKZ,2023-11-12,118
B0815PXPKZ,2023-11-19,147
B0815PXPKZ,2023-11-26,148
B0815PXPKZ,2023-12-03,154
B0815PXPKZ,2023-12-10,159
B0815PXPKZ,2023-12-17,94
B0815PXPKZ,2023-12-24,86
B0815PXPKZ,2023-12-31,101
B0815PXPKZ,2024-01-07,106
B0815PXPKZ,2024-01-14,82
B0815PXPKZ,2024-01-21,97
B0815PXPKZ,2024-01-28,108
B0815PXPKZ,2024-02-04,96
B0815PXPKZ,2024-02-11,114
B0815PXPKZ,2024-02-18,132
B0815PXPKZ,2024-02-25,87
B0815PXPKZ,2024-03-03,97
B0815PXPKZ,2024-03-10,121
B0815PXPKZ,2024-03-17,103
B0815PXPKZ,2024-03-24,114
B0815PXPKZ,2024-03-31,92
B0815PXPKZ,2024-04-07,110
B0815PXPKZ,2024-04-14,88
B0815PXPKZ,2024-04-21,83
B0815PXPKZ,2024-04-28,118
B0815PXPKZ,2024-05-05,88
B0815PXPKZ,2024-05-12,110
B0815PXPKZ,2024-05-19,122
B0815PXPKZ,2024-05-26,80
B0815PXPKZ,2024-06-02,86
B0815PXPKZ,2024-06-09,126
B0815PXPKZ,2024-06-16,152
B0815PXPKZ,2024-06-23,138
B0815PXPKZ,2024-06-30,124
B0815PXPKZ,2024-07-07,140
B0815PXPKZ,2024-07-14,165
B0815PXPKZ,2024-07-21,248
B0815PXPKZ,2024-07-28,218
B0815PXPKZ,2024-08-04,193
B0815PXPKZ,2024-08-11,188
B0815PXPKZ,2024-08-18,109
B0815PXPKZ,2024-08-25,146
B0815PXPKZ,2024-09-01,113
B0815PXPKZ,2024-09-08,146
B0815PXPKZ,2024-09-15,192
B0815PXPKZ,2024-09-22,167
B0815PXPKZ,2024-09-29,163
B0815PXPKZ,2024-10-06,178
B0815PXPKZ,2024-10-13,121
B0815PXPKZ,2024-10-20,121
B0815PXPKZ,2024-10-27,128
B0815PXPKZ,2024-11-03,178
B0815PXPKZ,2024-11-10,141
B0815PXPKZ,2024-11-17,264
B0815PXPKZ,2024-11-24,204
B0815PXPKZ,2024-12-01,170
B0815PXPKZ,2024-12-08,197
B0815PXPKZ,2024-12-15,170
B0815PXPKZ,2024-12-22,215
B0815PXPKZ,2024-12-29,327
B0815PXPKZ,2025-01-05,271
B0815PXPKZ,2025-01-12,265
B0815PXPKZ,2025-01-19,247
B0815PXPKZ,2025-01-26,231
B0815PXPKZ,2025-02-02,241
B0815PXPKZ,2025-02-09,354
B0815PXPKZ,2025-02-16,238
B0815PXPKZ,2025-02-23,265
B0815PXPKZ,2025-03-02,236
B0815PXPKZ,2025-03-09,168
B0815PXPKZ,2025-03-16,317
B0815PXPKZ,2025-03-23,267
B0815PXPKZ,2025-03-30,249
B0815PXPKZ,2025-04-06,233
B0815PXPKZ,2025-04-13,159
B0815PXPKZ,2025-04-20,250
B0815PXPKZ,2025-04-27,259
B0815PXPKZ,2025-05-04,277
B0815PXPKZ,2025-05-11,277
B0815PXPKZ,2025-05-18,252
B0815PXPKZ,2025-05-25,247
B0815PXPKZ,2025-06-01,286
B0815PXPKZ,2025-06-08,300
