asin,week_start_date,weekly_salesrank
B083N9LZ6Y,2023-01-01,187
B083N9LZ6Y,2023-01-08,181
B083N9LZ6Y,2023-01-15,280
B083N9LZ6Y,2023-01-22,185
B083N9LZ6Y,2023-01-29,206
B083N9LZ6Y,2023-02-05,176
B083N9LZ6Y,2023-02-12,240
B083N9LZ6Y,2023-02-19,163
B083N9LZ6Y,2023-02-26,194
B083N9LZ6Y,2023-03-05,266
B083N9LZ6Y,2023-03-12,312
B083N9LZ6Y,2023-03-19,293
B083N9LZ6Y,2023-03-26,253
B083N9LZ6Y,2023-04-02,302
B083N9LZ6Y,2023-04-09,319
B083N9LZ6Y,2023-04-16,298
B083N9LZ6Y,2023-04-23,231
B083N9LZ6Y,2023-04-30,268
B083N9LZ6Y,2023-05-07,284
B083N9LZ6Y,2023-05-14,381
B083N9LZ6Y,2023-05-21,317
B083N9LZ6Y,2023-05-28,205
B083N9LZ6Y,2023-06-04,414
B083N9LZ6Y,2023-06-11,400
B083N9LZ6Y,2023-06-18,327
B083N9LZ6Y,2023-06-25,406
B083N9LZ6Y,2023-07-02,318
B083N9LZ6Y,2023-07-09,453
B083N9LZ6Y,2023-07-16,444
B083N9LZ6Y,2023-07-23,391
B083N9LZ6Y,2023-07-30,429
B083N9LZ6Y,2023-08-06,435
B083N9LZ6Y,2023-08-13,405
B083N9LZ6Y,2023-08-20,325
B083N9LZ6Y,2023-08-27,399
B083N9LZ6Y,2023-09-03,412
B083N9LZ6Y,2023-09-10,375
B083N9LZ6Y,2023-09-17,466
B083N9LZ6Y,2023-09-24,481
B083N9LZ6Y,2023-10-01,492
B083N9LZ6Y,2023-10-08,487
B083N9LZ6Y,2023-10-15,421
B083N9LZ6Y,2023-10-22,417
B083N9LZ6Y,2023-10-29,657
B083N9LZ6Y,2023-11-05,307
B083N9LZ6Y,2023-11-12,525
B083N9LZ6Y,2023-11-19,441
B083N9LZ6Y,2023-11-26,481
B083N9LZ6Y,2023-12-03,674
B083N9LZ6Y,2023-12-10,505
B083N9LZ6Y,2023-12-17,388
B083N9LZ6Y,2023-12-24,473
B083N9LZ6Y,2023-12-31,578
B083N9LZ6Y,2024-01-07,484
B083N9LZ6Y,2024-01-14,356
B083N9LZ6Y,2024-01-21,528
B083N9LZ6Y,2024-01-28,558
B083N9LZ6Y,2024-02-04,343
B083N9LZ6Y,2024-02-11,518
B083N9LZ6Y,2024-02-18,510
B083N9LZ6Y,2024-02-25,574
B083N9LZ6Y,2024-03-03,382
B083N9LZ6Y,2024-03-10,458
B083N9LZ6Y,2024-03-17,229
B083N9LZ6Y,2024-03-24,537
B083N9LZ6Y,2024-03-31,450
B083N9LZ6Y,2024-04-07,718
B083N9LZ6Y,2024-04-14,698
B083N9LZ6Y,2024-04-21,689
B083N9LZ6Y,2024-04-28,496
B083N9LZ6Y,2024-05-05,642
B083N9LZ6Y,2024-05-12,1479
B083N9LZ6Y,2024-05-19,867
B083N9LZ6Y,2024-05-26,472
B083N9LZ6Y,2024-06-02,728
B083N9LZ6Y,2024-06-09,597
B083N9LZ6Y,2024-06-16,604
B083N9LZ6Y,2024-06-23,778
B083N9LZ6Y,2024-06-30,473
B083N9LZ6Y,2024-07-07,663
B083N9LZ6Y,2024-07-14,803
B083N9LZ6Y,2024-07-21,483
B083N9LZ6Y,2024-07-28,662
B083N9LZ6Y,2024-08-04,734
B083N9LZ6Y,2024-08-11,1175
B083N9LZ6Y,2024-08-18,410
B083N9LZ6Y,2024-08-25,702
B083N9LZ6Y,2024-09-01,576
B083N9LZ6Y,2024-09-08,757
B083N9LZ6Y,2024-09-15,661
B083N9LZ6Y,2024-09-22,710
B083N9LZ6Y,2024-09-29,694
B083N9LZ6Y,2024-10-06,581
B083N9LZ6Y,2024-10-13,502
B083N9LZ6Y,2024-10-20,815
B083N9LZ6Y,2024-10-27,547
B083N9LZ6Y,2024-11-03,603
B083N9LZ6Y,2024-11-10,544
B083N9LZ6Y,2024-11-17,411
B083N9LZ6Y,2024-11-24,644
B083N9LZ6Y,2024-12-01,641
B083N9LZ6Y,2024-12-08,650
B083N9LZ6Y,2024-12-15,427
B083N9LZ6Y,2024-12-22,731
B083N9LZ6Y,2024-12-29,1377
B083N9LZ6Y,2025-01-05,537
B083N9LZ6Y,2025-01-12,1016
B083N9LZ6Y,2025-01-19,1937
B083N9LZ6Y,2025-01-26,619
B083N9LZ6Y,2025-02-02,855
B083N9LZ6Y,2025-02-09,2054
B083N9LZ6Y,2025-02-16,718
B083N9LZ6Y,2025-02-23,682
B083N9LZ6Y,2025-03-02,2114
B083N9LZ6Y,2025-03-09,2283
B083N9LZ6Y,2025-03-16,846
B083N9LZ6Y,2025-03-23,753
B083N9LZ6Y,2025-03-30,1560
B083N9LZ6Y,2025-04-06,1654
B083N9LZ6Y,2025-04-13,663
B083N9LZ6Y,2025-04-20,822
B083N9LZ6Y,2025-04-27,811
B083N9LZ6Y,2025-05-04,1022
B083N9LZ6Y,2025-05-11,1124
B083N9LZ6Y,2025-05-18,1161
B083N9LZ6Y,2025-05-25,1255
B083N9LZ6Y,2025-06-01,1262
B083N9LZ6Y,2025-06-08,1348
B083N9LZ6Y,2025-06-15,895
B083N9LZ6Y,2025-06-22,1150
