asin,week_start_date,weekly_salesrank
B083PR3Y2K,2023-01-01,5204
B083PR3Y2K,2023-01-08,2549
B083PR3Y2K,2023-01-15,2632
B083PR3Y2K,2023-01-22,2007
B083PR3Y2K,2023-01-29,4349
B083PR3Y2K,2023-02-05,8915
B083PR3Y2K,2023-02-12,9135
B083PR3Y2K,2023-02-19,10089
B083PR3Y2K,2023-02-26,10994
B083PR3Y2K,2023-03-05,529
B083PR3Y2K,2023-03-12,516
B083PR3Y2K,2023-03-19,492
B083PR3Y2K,2023-03-26,384
B083PR3Y2K,2023-04-02,440
B083PR3Y2K,2023-04-09,394
B083PR3Y2K,2023-04-16,297
B083PR3Y2K,2023-04-23,535
B083PR3Y2K,2023-04-30,344
B083PR3Y2K,2023-05-07,323
B083PR3Y2K,2023-05-14,688
B083PR3Y2K,2023-05-21,557
B083PR3Y2K,2023-05-28,501
B083PR3Y2K,2023-06-04,753
B083PR3Y2K,2023-06-11,267
B083PR3Y2K,2023-06-18,186
B083PR3Y2K,2023-06-25,554
B083PR3Y2K,2023-07-02,1169
B083PR3Y2K,2023-07-09,377
B083PR3Y2K,2023-07-16,294
B083PR3Y2K,2023-07-23,331
B083PR3Y2K,2023-07-30,395
B083PR3Y2K,2023-08-06,661
B083PR3Y2K,2023-08-13,348
B083PR3Y2K,2023-08-20,581
B083PR3Y2K,2023-08-27,432
B083PR3Y2K,2023-09-03,191
B083PR3Y2K,2023-09-10,471
B083PR3Y2K,2023-09-17,285
B083PR3Y2K,2023-09-24,290
B083PR3Y2K,2023-10-01,440
B083PR3Y2K,2023-10-08,298
B083PR3Y2K,2023-10-15,327
B083PR3Y2K,2023-10-22,469
B083PR3Y2K,2023-10-29,520
B083PR3Y2K,2023-11-05,534
B083PR3Y2K,2023-11-12,587
B083PR3Y2K,2023-11-19,1316
B083PR3Y2K,2023-11-26,765
B083PR3Y2K,2023-12-03,553
B083PR3Y2K,2023-12-10,544
B083PR3Y2K,2023-12-17,516
B083PR3Y2K,2023-12-24,341
B083PR3Y2K,2023-12-31,618
B083PR3Y2K,2024-01-07,699
B083PR3Y2K,2024-01-14,1444
B083PR3Y2K,2024-01-21,713
B083PR3Y2K,2024-01-28,606
B083PR3Y2K,2024-02-04,1570
B083PR3Y2K,2024-02-11,560
B083PR3Y2K,2024-02-18,462
B083PR3Y2K,2024-02-25,578
B083PR3Y2K,2024-03-03,623
B083PR3Y2K,2024-03-10,602
B083PR3Y2K,2024-03-17,586
B083PR3Y2K,2024-03-24,1388
B083PR3Y2K,2024-03-31,622
B083PR3Y2K,2024-04-07,1392
B083PR3Y2K,2024-04-14,1705
B083PR3Y2K,2024-04-21,760
B083PR3Y2K,2024-04-28,1512
B083PR3Y2K,2024-05-05,1795
B083PR3Y2K,2024-05-12,1779
B083PR3Y2K,2024-05-19,1843
B083PR3Y2K,2024-05-26,1900
B083PR3Y2K,2024-06-02,721
B083PR3Y2K,2024-06-09,660
B083PR3Y2K,2024-06-16,629
B083PR3Y2K,2024-06-23,713
B083PR3Y2K,2024-06-30,719
B083PR3Y2K,2024-07-07,1478
B083PR3Y2K,2024-07-14,996
B083PR3Y2K,2024-07-21,760
B083PR3Y2K,2024-07-28,1641
B083PR3Y2K,2024-08-04,639
B083PR3Y2K,2024-08-11,522
B083PR3Y2K,2024-08-18,852
B083PR3Y2K,2024-08-25,648
B083PR3Y2K,2024-09-01,794
B083PR3Y2K,2024-09-08,619
B083PR3Y2K,2024-09-15,656
B083PR3Y2K,2024-09-22,577
B083PR3Y2K,2024-09-29,856
B083PR3Y2K,2024-10-06,780
B083PR3Y2K,2024-10-13,814
B083PR3Y2K,2024-10-20,474
B083PR3Y2K,2024-10-27,538
B083PR3Y2K,2024-11-03,437
B083PR3Y2K,2024-11-10,579
B083PR3Y2K,2024-11-17,523
B083PR3Y2K,2024-11-24,621
B083PR3Y2K,2024-12-01,747
B083PR3Y2K,2024-12-08,577
B083PR3Y2K,2024-12-15,677
B083PR3Y2K,2024-12-22,597
B083PR3Y2K,2024-12-29,656
B083PR3Y2K,2025-01-05,621
B083PR3Y2K,2025-01-12,710
B083PR3Y2K,2025-01-19,625
B083PR3Y2K,2025-01-26,594
B083PR3Y2K,2025-02-02,725
B083PR3Y2K,2025-02-09,711
B083PR3Y2K,2025-02-16,798
B083PR3Y2K,2025-02-23,871
B083PR3Y2K,2025-03-02,1722
B083PR3Y2K,2025-03-09,769
B083PR3Y2K,2025-03-16,1461
B083PR3Y2K,2025-03-23,534
B083PR3Y2K,2025-03-30,676
B083PR3Y2K,2025-04-06,892
B083PR3Y2K,2025-04-13,2370
B083PR3Y2K,2025-04-20,594
B083PR3Y2K,2025-04-27,760
B083PR3Y2K,2025-05-04,1064
B083PR3Y2K,2025-05-11,1268
B083PR3Y2K,2025-05-18,1168
B083PR3Y2K,2025-05-25,1387
B083PR3Y2K,2025-06-01,1173
B083PR3Y2K,2025-06-08,1191
B083PR3Y2K,2025-06-15,1516
B083PR3Y2K,2025-06-22,1061
B083PR3Y2K,2025-06-29,1372
B083PR3Y2K,2025-07-06,1104
B083PR3Y2K,2025-07-13,1597
B083PR3Y2K,2025-07-20,1519
B083PR3Y2K,2025-07-27,876
B083PR3Y2K,2025-08-03,874
B083PR3Y2K,2025-08-10,1424
B083PR3Y2K,2025-08-17,1477
B083PR3Y2K,2025-08-24,1478
B083PR3Y2K,2025-08-31,1176
B083PR3Y2K,2025-09-07,1832
B083PR3Y2K,2025-09-14,1086
B083PR3Y2K,2025-09-21,1467
B083PR3Y2K,2025-09-28,1556
B083PR3Y2K,2025-10-05,1000
B083PR3Y2K,2025-10-12,1268
B083PR3Y2K,2025-10-19,1266
B083PR3Y2K,2025-10-26,967
B083PR3Y2K,2025-11-02,1333
B083PR3Y2K,2025-11-09,1352
B083PR3Y2K,2025-11-16,1361
B083PR3Y2K,2025-11-23,1363
B083PR3Y2K,2025-11-30,834
B083PR3Y2K,2025-12-07,1163
B083PR3Y2K,2025-12-14,1118
B083PR3Y2K,2025-12-21,1205
B083PR3Y2K,2025-12-28,1153
