asin,week_start_date,weekly_salesrank
B094VFZXMG,2023-01-01,267
B094VFZXMG,2023-01-08,118
B094VFZXMG,2023-01-15,203
B094VFZXMG,2023-01-22,138
B094VFZXMG,2023-01-29,189
B094VFZXMG,2023-02-05,160
B094VFZXMG,2023-02-12,150
B094VFZXMG,2023-02-19,158
B094VFZXMG,2023-02-26,106
B094VFZXMG,2023-03-05,92
B094VFZXMG,2023-03-12,127
B094VFZXMG,2023-03-19,143
B094VFZXMG,2023-03-26,108
B094VFZXMG,2023-04-02,80
B094VFZXMG,2023-04-09,145
B094VFZXMG,2023-04-16,240
B094VFZXMG,2023-04-23,191
B094VFZXMG,2023-04-30,154
B094VFZXMG,2023-05-07,188
B094VFZXMG,2023-05-14,245
B094VFZXMG,2023-05-21,290
B094VFZXMG,2023-05-28,311
B094VFZXMG,2023-06-04,138
B094VFZXMG,2023-06-11,269
B094VFZXMG,2023-06-18,264
B094VFZXMG,2023-06-25,201
B094VFZXMG,2023-07-02,188
B094VFZXMG,2023-07-09,168
B094VFZXMG,2023-07-16,251
B094VFZXMG,2023-07-23,235
B094VFZXMG,2023-07-30,214
B094VFZXMG,2023-08-06,222
B094VFZXMG,2023-08-13,155
B094VFZXMG,2023-08-20,210
B094VFZXMG,2023-08-27,149
B094VFZXMG,2023-09-03,134
B094VFZXMG,2023-09-10,157
B094VFZXMG,2023-09-17,193
B094VFZXMG,2023-09-24,141
B094VFZXMG,2023-10-01,169
B094VFZXMG,2023-10-08,55
B094VFZXMG,2023-10-15,65
B094VFZXMG,2023-10-22,109
B094VFZXMG,2023-10-29,191
B094VFZXMG,2023-11-05,188
B094VFZXMG,2023-11-12,258
B094VFZXMG,2023-11-19,62
B094VFZXMG,2023-11-26,45
B094VFZXMG,2023-12-03,64
B094VFZXMG,2023-12-10,202
B094VFZXMG,2023-12-17,140
B094VFZXMG,2023-12-24,220
B094VFZXMG,2023-12-31,97
B094VFZXMG,2024-01-07,131
B094VFZXMG,2024-01-14,220
B094VFZXMG,2024-01-21,123
B094VFZXMG,2024-01-28,35
B094VFZXMG,2024-02-04,126
B094VFZXMG,2024-02-11,232
B094VFZXMG,2024-02-18,214
B094VFZXMG,2024-02-25,148
B094VFZXMG,2024-03-03,71
B094VFZXMG,2024-03-10,156
B094VFZXMG,2024-03-17,100
B094VFZXMG,2024-03-24,54
B094VFZXMG,2024-03-31,47
B094VFZXMG,2024-04-07,167
B094VFZXMG,2024-04-14,116
B094VFZXMG,2024-04-21,104
B094VFZXMG,2024-04-28,108
B094VFZXMG,2024-05-05,179
B094VFZXMG,2024-05-12,208
B094VFZXMG,2024-05-19,178
B094VFZXMG,2024-05-26,139
B094VFZXMG,2024-06-02,157
B094VFZXMG,2024-06-09,184
B094VFZXMG,2024-06-16,217
B094VFZXMG,2024-06-23,226
B094VFZXMG,2024-06-30,113
B094VFZXMG,2024-07-07,96
B094VFZXMG,2024-07-14,71
B094VFZXMG,2024-07-21,162
B094VFZXMG,2024-07-28,139
B094VFZXMG,2024-08-04,124
B094VFZXMG,2024-08-11,137
B094VFZXMG,2024-08-18,261
B094VFZXMG,2024-08-25,111
B094VFZXMG,2024-09-01,98
B094VFZXMG,2024-09-08,96
B094VFZXMG,2024-09-15,173
B094VFZXMG,2024-09-22,158
B094VFZXMG,2024-09-29,111
B094VFZXMG,2024-10-06,113
B094VFZXMG,2024-10-13,49
B094VFZXMG,2024-10-20,61
B094VFZXMG,2024-10-27,137
B094VFZXMG,2024-11-03,34
B094VFZXMG,2024-11-10,36
B094VFZXMG,2024-11-17,132
B094VFZXMG,2024-11-24,90
B094VFZXMG,2024-12-01,66
B094VFZXMG,2024-12-08,26
B094VFZXMG,2024-12-15,101
B094VFZXMG,2024-12-22,79
B094VFZXMG,2024-12-29,63
B094VFZXMG,2025-01-05,48
B094VFZXMG,2025-01-12,50
B094VFZXMG,2025-01-19,158
B094VFZXMG,2025-01-26,333
B094VFZXMG,2025-02-02,98
B094VFZXMG,2025-02-09,76
B094VFZXMG,2025-02-16,141
B094VFZXMG,2025-02-23,189
B094VFZXMG,2025-03-02,91
B094VFZXMG,2025-03-09,28
B094VFZXMG,2025-03-16,31
B094VFZXMG,2025-03-23,154
B094VFZXMG,2025-03-30,235
B094VFZXMG,2025-04-06,284
B094VFZXMG,2025-04-13,147
B094VFZXMG,2025-04-20,351
