asin,week_start_date,weekly_salesrank
B0956GJ3CL,2023-01-01,32
B0956GJ3CL,2023-01-08,70
B0956GJ3CL,2023-01-15,25
B0956GJ3CL,2023-01-22,22
B0956GJ3CL,2023-01-29,31
B0956GJ3CL,2023-02-05,16
B0956GJ3CL,2023-02-12,15
B0956GJ3CL,2023-02-19,42
B0956GJ3CL,2023-02-26,28
B0956GJ3CL,2023-03-05,24
B0956GJ3CL,2023-03-12,33
B0956GJ3CL,2023-03-19,34
B0956GJ3CL,2023-03-26,194
B0956GJ3CL,2023-04-02,263
B0956GJ3CL,2023-04-09,398
B0956GJ3CL,2023-04-16,377
B0956GJ3CL,2023-04-23,409
B0956GJ3CL,2023-04-30,378
B0956GJ3CL,2023-05-07,467
B0956GJ3CL,2023-05-14,496
B0956GJ3CL,2023-05-21,358
B0956GJ3CL,2023-05-28,230
B0956GJ3CL,2023-06-04,219
B0956GJ3CL,2023-06-11,269
B0956GJ3CL,2023-06-18,230
B0956GJ3CL,2023-06-25,496
B0956GJ3CL,2023-07-02,439
B0956GJ3CL,2023-07-09,430
B0956GJ3CL,2023-07-16,801
B0956GJ3CL,2023-07-23,567
B0956GJ3CL,2023-07-30,1131
B0956GJ3CL,2023-08-06,774
B0956GJ3CL,2023-08-13,516
B0956GJ3CL,2023-08-20,579
B0956GJ3CL,2023-08-27,651
B0956GJ3CL,2023-09-03,530
B0956GJ3CL,2023-09-10,560
B0956GJ3CL,2023-09-17,658
B0956GJ3CL,2023-09-24,610
B0956GJ3CL,2023-10-01,1121
B0956GJ3CL,2023-10-08,1123
B0956GJ3CL,2023-10-15,1160
B0956GJ3CL,2023-10-22,524
B0956GJ3CL,2023-10-29,1129
B0956GJ3CL,2023-11-05,598
B0956GJ3CL,2023-11-12,1057
B0956GJ3CL,2023-11-19,373
B0956GJ3CL,2023-11-26,699
B0956GJ3CL,2023-12-03,1235
B0956GJ3CL,2023-12-10,1300
B0956GJ3CL,2023-12-17,1298
B0956GJ3CL,2023-12-24,1184
B0956GJ3CL,2023-12-31,1166
B0956GJ3CL,2024-01-07,761
B0956GJ3CL,2024-01-14,1222
B0956GJ3CL,2024-01-21,687
B0956GJ3CL,2024-01-28,1229
B0956GJ3CL,2024-02-04,1259
B0956GJ3CL,2024-02-11,775
B0956GJ3CL,2024-02-18,1279
B0956GJ3CL,2024-02-25,1343
B0956GJ3CL,2024-03-03,1401
B0956GJ3CL,2024-03-10,1344
B0956GJ3CL,2024-03-17,1405
