asin,week_start_date,weekly_salesrank
B09DKGXYCV,2023-01-01,4
B09DKGXYCV,2023-01-08,4
B09DKGXYCV,2023-01-15,4
B09DKGXYCV,2023-01-22,4
B09DKGXYCV,2023-01-29,3
B09DKGXYCV,2023-02-05,4
B09DKGXYCV,2023-02-12,44
B09DKGXYCV,2023-02-19,253
B09DKGXYCV,2023-02-26,424
B09DKGXYCV,2023-03-05,353
B09DKGXYCV,2023-03-12,215
B09DKGXYCV,2023-03-19,341
B09DKGXYCV,2023-03-26,31
B09DKGXYCV,2023-04-02,40
B09DKGXYCV,2023-04-09,39
B09DKGXYCV,2023-04-16,37
B09DKGXYCV,2023-04-23,18
B09DKGXYCV,2023-04-30,14
B09DKGXYCV,2023-05-07,38
B09DKGXYCV,2023-05-14,36
B09DKGXYCV,2023-05-21,45
B09DKGXYCV,2023-05-28,31
B09DKGXYCV,2023-06-04,42
B09DKGXYCV,2023-06-11,31
B09DKGXYCV,2023-06-18,46
B09DKGXYCV,2023-06-25,97
B09DKGXYCV,2023-07-02,60
B09DKGXYCV,2023-07-09,105
B09DKGXYCV,2023-07-16,72
B09DKGXYCV,2023-07-23,82
B09DKGXYCV,2023-07-30,147
B09DKGXYCV,2023-08-06,172
B09DKGXYCV,2023-08-13,148
B09DKGXYCV,2023-08-20,17
B09DKGXYCV,2023-08-27,23
B09DKGXYCV,2023-09-03,35
B09DKGXYCV,2023-09-10,28
B09DKGXYCV,2023-09-17,42
B09DKGXYCV,2023-09-24,32
B09DKGXYCV,2023-10-01,59
B09DKGXYCV,2023-10-08,92
B09DKGXYCV,2023-10-15,65
B09DKGXYCV,2023-10-22,51
B09DKGXYCV,2023-10-29,35
B09DKGXYCV,2023-11-05,38
B09DKGXYCV,2023-11-12,43
B09DKGXYCV,2023-11-19,32
B09DKGXYCV,2023-11-26,29
B09DKGXYCV,2023-12-03,47
B09DKGXYCV,2023-12-10,57
B09DKGXYCV,2023-12-17,22
B09DKGXYCV,2023-12-24,21
B09DKGXYCV,2023-12-31,44
B09DKGXYCV,2024-01-07,38
B09DKGXYCV,2024-01-14,35
B09DKGXYCV,2024-01-21,39
B09DKGXYCV,2024-01-28,33
B09DKGXYCV,2024-02-04,29
B09DKGXYCV,2024-02-11,18
B09DKGXYCV,2024-02-18,25
B09DKGXYCV,2024-02-25,98
B09DKGXYCV,2024-03-03,49
B09DKGXYCV,2024-03-10,432
