asin,week_start_date,weekly_salesrank
B09DKKZHFC,2023-01-01,37
B09DKKZHFC,2023-01-08,45
B09DKKZHFC,2023-01-15,42
B09DKKZHFC,2023-01-22,32
B09DKKZHFC,2023-01-29,19
B09DKKZHFC,2023-02-05,19
B09DKKZHFC,2023-02-12,53
B09DKKZHFC,2023-02-19,37
B09DKKZHFC,2023-02-26,32
B09DKKZHFC,2023-03-05,36
B09DKKZHFC,2023-03-12,49
B09DKKZHFC,2023-03-19,41
B09DKKZHFC,2023-03-26,48
B09DKKZHFC,2023-04-02,38
B09DKKZHFC,2023-04-09,47
B09DKKZHFC,2023-04-16,60
B09DKKZHFC,2023-04-23,28
B09DKKZHFC,2023-04-30,77
B09DKKZHFC,2023-05-07,67
B09DKKZHFC,2023-05-14,77
B09DKKZHFC,2023-05-21,84
B09DKKZHFC,2023-05-28,76
B09DKKZHFC,2023-06-04,108
B09DKKZHFC,2023-06-11,116
B09DKKZHFC,2023-06-18,102
B09DKKZHFC,2023-06-25,101
B09DKKZHFC,2023-07-02,69
B09DKKZHFC,2023-07-09,26
B09DKKZHFC,2023-07-16,42
B09DKKZHFC,2023-07-23,40
B09DKKZHFC,2023-07-30,41
B09DKKZHFC,2023-08-06,29
B09DKKZHFC,2023-08-13,32
B09DKKZHFC,2023-08-20,35
B09DKKZHFC,2023-08-27,50
B09DKKZHFC,2023-09-03,51
B09DKKZHFC,2023-09-10,49
B09DKKZHFC,2023-09-17,59
B09DKKZHFC,2023-09-24,53
B09DKKZHFC,2023-10-01,113
B09DKKZHFC,2023-10-08,99
B09DKKZHFC,2023-10-15,111
B09DKKZHFC,2023-10-22,65
B09DKKZHFC,2023-10-29,181
B09DKKZHFC,2023-11-05,134
B09DKKZHFC,2023-11-12,114
B09DKKZHFC,2023-11-19,71
B09DKKZHFC,2023-11-26,128
B09DKKZHFC,2023-12-03,108
B09DKKZHFC,2023-12-10,75
B09DKKZHFC,2023-12-17,76
B09DKKZHFC,2023-12-24,72
B09DKKZHFC,2023-12-31,68
