asin,week_start_date,weekly_salesrank
B09DSQQGT8,2023-01-01,293
B09DSQQGT8,2023-01-08,366
B09DSQQGT8,2023-01-15,404
B09DSQQGT8,2023-01-22,269
B09DSQQGT8,2023-01-29,377
B09DSQQGT8,2023-02-05,494
B09DSQQGT8,2023-02-12,418
B09DSQQGT8,2023-02-19,279
B09DSQQGT8,2023-02-26,333
B09DSQQGT8,2023-03-05,293
B09DSQQGT8,2023-03-12,290
B09DSQQGT8,2023-03-19,293
B09DSQQGT8,2023-03-26,245
B09DSQQGT8,2023-04-02,276
B09DSQQGT8,2023-04-09,328
B09DSQQGT8,2023-04-16,498
B09DSQQGT8,2023-04-23,352
B09DSQQGT8,2023-04-30,372
B09DSQQGT8,2023-05-07,393
B09DSQQGT8,2023-05-14,402
B09DSQQGT8,2023-05-21,457
B09DSQQGT8,2023-05-28,350
B09DSQQGT8,2023-06-04,319
B09DSQQGT8,2023-06-11,514
B09DSQQGT8,2023-06-18,465
B09DSQQGT8,2023-06-25,476
B09DSQQGT8,2023-07-02,382
B09DSQQGT8,2023-07-09,366
B09DSQQGT8,2023-07-16,413
B09DSQQGT8,2023-07-23,397
B09DSQQGT8,2023-07-30,459
B09DSQQGT8,2023-08-06,464
B09DSQQGT8,2023-08-13,491
B09DSQQGT8,2023-08-20,605
B09DSQQGT8,2023-08-27,488
B09DSQQGT8,2023-09-03,439
B09DSQQGT8,2023-09-10,393
B09DSQQGT8,2023-09-17,353
B09DSQQGT8,2023-09-24,340
B09DSQQGT8,2023-10-01,301
B09DSQQGT8,2023-10-08,402
B09DSQQGT8,2023-10-15,283
B09DSQQGT8,2023-10-22,416
B09DSQQGT8,2023-10-29,380
B09DSQQGT8,2023-11-05,369
B09DSQQGT8,2023-11-12,426
B09DSQQGT8,2023-11-19,398
B09DSQQGT8,2023-11-26,430
B09DSQQGT8,2023-12-03,731
B09DSQQGT8,2023-12-10,355
B09DSQQGT8,2023-12-17,984
B09DSQQGT8,2023-12-24,1633
B09DSQQGT8,2023-12-31,1678
B09DSQQGT8,2024-01-07,1921
B09DSQQGT8,2024-01-14,437
B09DSQQGT8,2024-01-21,566
B09DSQQGT8,2024-01-28,581
B09DSQQGT8,2024-02-04,466
B09DSQQGT8,2024-02-11,506
B09DSQQGT8,2024-02-18,456
B09DSQQGT8,2024-02-25,488
B09DSQQGT8,2024-03-03,622
B09DSQQGT8,2024-03-10,401
B09DSQQGT8,2024-03-17,515
B09DSQQGT8,2024-03-24,350
B09DSQQGT8,2024-03-31,425
B09DSQQGT8,2024-04-07,521
B09DSQQGT8,2024-04-14,444
B09DSQQGT8,2024-04-21,612
B09DSQQGT8,2024-04-28,472
B09DSQQGT8,2024-05-05,548
B09DSQQGT8,2024-05-12,477
B09DSQQGT8,2024-05-19,619
B09DSQQGT8,2024-05-26,1881
B09DSQQGT8,2024-06-02,503
B09DSQQGT8,2024-06-09,628
B09DSQQGT8,2024-06-16,812
B09DSQQGT8,2024-06-23,607
B09DSQQGT8,2024-06-30,984
B09DSQQGT8,2024-07-07,2122
B09DSQQGT8,2024-07-14,977
B09DSQQGT8,2024-07-21,621
B09DSQQGT8,2024-07-28,456
B09DSQQGT8,2024-08-04,743
B09DSQQGT8,2024-08-11,1009
B09DSQQGT8,2024-08-18,1876
B09DSQQGT8,2024-08-25,793
B09DSQQGT8,2024-09-01,665
B09DSQQGT8,2024-09-08,804
B09DSQQGT8,2024-09-15,801
B09DSQQGT8,2024-09-22,843
B09DSQQGT8,2024-09-29,766
B09DSQQGT8,2024-10-06,2137
B09DSQQGT8,2024-10-13,813
B09DSQQGT8,2024-10-20,820
B09DSQQGT8,2024-10-27,623
B09DSQQGT8,2024-11-03,2126
B09DSQQGT8,2024-11-10,538
B09DSQQGT8,2024-11-17,473
B09DSQQGT8,2024-11-24,541
B09DSQQGT8,2024-12-01,773
B09DSQQGT8,2024-12-08,731
B09DSQQGT8,2024-12-15,2165
B09DSQQGT8,2024-12-22,727
B09DSQQGT8,2024-12-29,1685
B09DSQQGT8,2025-01-05,810
B09DSQQGT8,2025-01-12,2183
B09DSQQGT8,2025-01-19,957
B09DSQQGT8,2025-01-26,562
B09DSQQGT8,2025-02-02,701
B09DSQQGT8,2025-02-09,1456
B09DSQQGT8,2025-02-16,755
B09DSQQGT8,2025-02-23,1873
B09DSQQGT8,2025-03-02,998
B09DSQQGT8,2025-03-09,877
B09DSQQGT8,2025-03-16,934
B09DSQQGT8,2025-03-23,642
B09DSQQGT8,2025-03-30,847
B09DSQQGT8,2025-04-06,749
B09DSQQGT8,2025-04-13,2335
B09DSQQGT8,2025-04-20,1218
B09DSQQGT8,2025-04-27,2413
B09DSQQGT8,2025-05-04,1467
B09DSQQGT8,2025-05-11,1828
B09DSQQGT8,2025-05-18,2734
B09DSQQGT8,2025-05-25,1226
B09DSQQGT8,2025-06-01,1054
B09DSQQGT8,2025-06-08,1003
B09DSQQGT8,2025-06-15,1667
B09DSQQGT8,2025-06-22,1416
B09DSQQGT8,2025-06-29,1016
B09DSQQGT8,2025-07-06,1382
B09DSQQGT8,2025-07-13,1396
B09DSQQGT8,2025-07-20,1306
B09DSQQGT8,2025-07-27,1470
B09DSQQGT8,2025-08-03,1119
B09DSQQGT8,2025-08-10,1428
B09DSQQGT8,2025-08-17,1389
B09DSQQGT8,2025-08-24,1363
B09DSQQGT8,2025-08-31,2213
B09DSQQGT8,2025-09-07,1530
B09DSQQGT8,2025-09-14,1528
B09DSQQGT8,2025-09-21,1941
B09DSQQGT8,2025-09-28,1566
B09DSQQGT8,2025-10-05,1518
B09DSQQGT8,2025-10-12,2053
B09DSQQGT8,2025-10-19,3060
B09DSQQGT8,2025-10-26,3402
B09DSQQGT8,2025-11-02,1304
B09DSQQGT8,2025-11-09,2430
B09DSQQGT8,2025-11-16,3472
B09DSQQGT8,2025-11-23,3721
B09DSQQGT8,2025-11-30,1648
B09DSQQGT8,2025-12-07,1421
B09DSQQGT8,2025-12-14,3053
B09DSQQGT8,2025-12-21,1592
B09DSQQGT8,2025-12-28,2696
