asin,week_start_date,weekly_salesrank
B09G2L68H2,2023-01-01,252
B09G2L68H2,2023-01-08,217
B09G2L68H2,2023-01-15,196
B09G2L68H2,2023-01-22,246
B09G2L68H2,2023-01-29,223
B09G2L68H2,2023-02-05,336
B09G2L68H2,2023-02-12,413
B09G2L68H2,2023-02-19,509
B09G2L68H2,2023-02-26,482
B09G2L68H2,2023-03-05,529
B09G2L68H2,2023-03-12,494
B09G2L68H2,2023-03-19,435
B09G2L68H2,2023-03-26,521
B09G2L68H2,2023-04-02,550
B09G2L68H2,2023-04-09,1026
B09G2L68H2,2023-04-16,569
B09G2L68H2,2023-04-23,1256
B09G2L68H2,2023-04-30,675
B09G2L68H2,2023-05-07,1249
B09G2L68H2,2023-05-14,1281
B09G2L68H2,2023-05-21,526
B09G2L68H2,2023-05-28,468
B09G2L68H2,2023-06-04,306
B09G2L68H2,2023-06-11,441
B09G2L68H2,2023-06-18,451
B09G2L68H2,2023-06-25,512
B09G2L68H2,2023-07-02,404
B09G2L68H2,2023-07-09,525
B09G2L68H2,2023-07-16,466
B09G2L68H2,2023-07-23,490
B09G2L68H2,2023-07-30,636
B09G2L68H2,2023-08-06,737
B09G2L68H2,2023-08-13,386
B09G2L68H2,2023-08-20,538
B09G2L68H2,2023-08-27,672
B09G2L68H2,2023-09-03,1304
B09G2L68H2,2023-09-10,500
B09G2L68H2,2023-09-17,425
B09G2L68H2,2023-09-24,631
B09G2L68H2,2023-10-01,648
B09G2L68H2,2023-10-08,465
B09G2L68H2,2023-10-15,960
B09G2L68H2,2023-10-22,1320
B09G2L68H2,2023-10-29,576
B09G2L68H2,2023-11-05,503
B09G2L68H2,2023-11-12,502
B09G2L68H2,2023-11-19,734
B09G2L68H2,2023-11-26,558
B09G2L68H2,2023-12-03,508
B09G2L68H2,2023-12-10,994
B09G2L68H2,2023-12-17,1466
B09G2L68H2,2023-12-24,1390
B09G2L68H2,2023-12-31,590
B09G2L68H2,2024-01-07,554
B09G2L68H2,2024-01-14,1232
B09G2L68H2,2024-01-21,1425
B09G2L68H2,2024-01-28,602
B09G2L68H2,2024-02-04,1085
B09G2L68H2,2024-02-11,1477
B09G2L68H2,2024-02-18,1500
B09G2L68H2,2024-02-25,711
B09G2L68H2,2024-03-03,1595
B09G2L68H2,2024-03-10,694
B09G2L68H2,2024-03-17,1616
B09G2L68H2,2024-03-24,797
B09G2L68H2,2024-03-31,1230
B09G2L68H2,2024-04-07,1660
B09G2L68H2,2024-04-14,1647
B09G2L68H2,2024-04-21,1682
B09G2L68H2,2024-04-28,1689
B09G2L68H2,2024-05-05,1700
B09G2L68H2,2024-05-12,650
B09G2L68H2,2024-05-19,650
B09G2L68H2,2024-05-26,648
B09G2L68H2,2024-06-02,755
B09G2L68H2,2024-06-09,737
B09G2L68H2,2024-06-16,1701
B09G2L68H2,2024-06-23,1781
B09G2L68H2,2024-06-30,739
B09G2L68H2,2024-07-07,1878
B09G2L68H2,2024-07-14,680
B09G2L68H2,2024-07-21,714
B09G2L68H2,2024-07-28,703
B09G2L68H2,2024-08-04,1870
B09G2L68H2,2024-08-11,756
B09G2L68H2,2024-08-18,815
B09G2L68H2,2024-08-25,650
B09G2L68H2,2024-09-01,706
B09G2L68H2,2024-09-08,926
B09G2L68H2,2024-09-15,1062
B09G2L68H2,2024-09-22,1870
B09G2L68H2,2024-09-29,1867
B09G2L68H2,2024-10-06,947
B09G2L68H2,2024-10-13,1157
B09G2L68H2,2024-10-20,681
B09G2L68H2,2024-10-27,1650
B09G2L68H2,2024-11-03,1965
B09G2L68H2,2024-11-10,1963
B09G2L68H2,2024-11-17,2003
B09G2L68H2,2024-11-24,2036
B09G2L68H2,2024-12-01,2275
B09G2L68H2,2024-12-08,868
B09G2L68H2,2024-12-15,821
B09G2L68H2,2024-12-22,902
B09G2L68H2,2024-12-29,1996
B09G2L68H2,2025-01-05,2170
B09G2L68H2,2025-01-12,692
B09G2L68H2,2025-01-19,688
B09G2L68H2,2025-01-26,1582
B09G2L68H2,2025-02-02,566
B09G2L68H2,2025-02-09,732
B09G2L68H2,2025-02-16,1434
B09G2L68H2,2025-02-23,808
B09G2L68H2,2025-03-02,2225
B09G2L68H2,2025-03-09,743
B09G2L68H2,2025-03-16,1481
B09G2L68H2,2025-03-23,809
B09G2L68H2,2025-03-30,1624
B09G2L68H2,2025-04-06,2343
B09G2L68H2,2025-04-13,786
B09G2L68H2,2025-04-20,926
B09G2L68H2,2025-04-27,877
B09G2L68H2,2025-05-04,1825
B09G2L68H2,2025-05-11,1526
B09G2L68H2,2025-05-18,2732
B09G2L68H2,2025-05-25,1615
B09G2L68H2,2025-06-01,1563
B09G2L68H2,2025-06-08,1998
B09G2L68H2,2025-06-15,3380
B09G2L68H2,2025-06-22,1633
B09G2L68H2,2025-06-29,1618
B09G2L68H2,2025-07-06,3340
B09G2L68H2,2025-07-13,3907
B09G2L68H2,2025-07-20,4034
B09G2L68H2,2025-07-27,1652
B09G2L68H2,2025-08-03,1470
B09G2L68H2,2025-08-10,1051
B09G2L68H2,2025-08-17,1470
B09G2L68H2,2025-08-24,2985
B09G2L68H2,2025-08-31,3655
B09G2L68H2,2025-09-07,4126
B09G2L68H2,2025-09-14,1499
B09G2L68H2,2025-09-21,2301
B09G2L68H2,2025-09-28,3733
B09G2L68H2,2025-10-05,4399
B09G2L68H2,2025-10-12,4724
B09G2L68H2,2025-10-19,1642
B09G2L68H2,2025-10-26,3639
B09G2L68H2,2025-11-02,4283
B09G2L68H2,2025-11-09,1271
B09G2L68H2,2025-11-16,1273
B09G2L68H2,2025-11-23,3538
B09G2L68H2,2025-11-30,3291
B09G2L68H2,2025-12-07,1681
B09G2L68H2,2025-12-14,4537
B09G2L68H2,2025-12-21,1390
B09G2L68H2,2025-12-28,1426
