asin,week_start_date,weekly_salesrank
B09N73WQ2V,2023-01-01,4
B09N73WQ2V,2023-01-08,4
B09N73WQ2V,2023-01-15,4
B09N73WQ2V,2023-01-22,4
B09N73WQ2V,2023-01-29,3
B09N73WQ2V,2023-02-05,4
B09N73WQ2V,2023-02-12,44
B09N73WQ2V,2023-02-19,71
B09N73WQ2V,2023-02-26,347
B09N73WQ2V,2023-03-05,70
B09N73WQ2V,2023-03-12,34
B09N73WQ2V,2023-03-19,26
B09N73WQ2V,2023-03-26,31
B09N73WQ2V,2023-04-02,40
B09N73WQ2V,2023-04-09,38
B09N73WQ2V,2023-04-16,37
B09N73WQ2V,2023-04-23,18
B09N73WQ2V,2023-04-30,14
B09N73WQ2V,2023-05-07,38
B09N73WQ2V,2023-05-14,36
B09N73WQ2V,2023-05-21,45
B09N73WQ2V,2023-05-28,31
B09N73WQ2V,2023-06-04,42
B09N73WQ2V,2023-06-11,31
B09N73WQ2V,2023-06-18,16
B09N73WQ2V,2023-06-25,5
B09N73WQ2V,2023-07-02,4
B09N73WQ2V,2023-07-09,58
B09N73WQ2V,2023-07-16,78
B09N73WQ2V,2023-07-23,97
B09N73WQ2V,2023-07-30,46
B09N73WQ2V,2023-08-06,33
B09N73WQ2V,2023-08-13,34
B09N73WQ2V,2023-08-20,17
B09N73WQ2V,2023-08-27,23
B09N73WQ2V,2023-09-03,40
B09N73WQ2V,2023-09-10,28
B09N73WQ2V,2023-09-17,40
B09N73WQ2V,2023-09-24,32
B09N73WQ2V,2023-10-01,59
B09N73WQ2V,2023-10-08,92
B09N73WQ2V,2023-10-15,65
B09N73WQ2V,2023-10-22,48
B09N73WQ2V,2023-10-29,35
B09N73WQ2V,2023-11-05,38
B09N73WQ2V,2023-11-12,43
B09N73WQ2V,2023-11-19,32
B09N73WQ2V,2023-11-26,29
B09N73WQ2V,2023-12-03,45
B09N73WQ2V,2023-12-10,65
B09N73WQ2V,2023-12-17,22
B09N73WQ2V,2023-12-24,21
B09N73WQ2V,2023-12-31,44
