asin,week_start_date,weekly_salesrank
B0BPM6K84W,2023-01-01,544
B0BPM6K84W,2023-01-08,456
B0BPM6K84W,2023-01-15,17
B0BPM6K84W,2023-01-22,76
B0BPM6K84W,2023-01-29,30
B0BPM6K84W,2023-02-05,31
B0BPM6K84W,2023-02-12,35
B0BPM6K84W,2023-02-19,23
B0BPM6K84W,2023-02-26,69
B0BPM6K84W,2023-03-05,69
B0BPM6K84W,2023-03-12,59
B0BPM6K84W,2023-03-19,47
B0BPM6K84W,2023-03-26,46
B0BPM6K84W,2023-04-02,44
B0BPM6K84W,2023-04-09,61
B0BPM6K84W,2023-04-16,50
B0BPM6K84W,2023-04-23,43
B0BPM6K84W,2023-04-30,43
B0BPM6K84W,2023-05-07,63
B0BPM6K84W,2023-05-14,49
B0BPM6K84W,2023-05-21,42
B0BPM6K84W,2023-05-28,31
B0BPM6K84W,2023-06-04,44
B0BPM6K84W,2023-06-11,33
B0BPM6K84W,2023-06-18,41
B0BPM6K84W,2023-06-25,39
B0BPM6K84W,2023-07-02,24
B0BPM6K84W,2023-07-09,26
B0BPM6K84W,2023-07-16,29
B0BPM6K84W,2023-07-23,32
B0BPM6K84W,2023-07-30,24
B0BPM6K84W,2023-08-06,50
B0BPM6K84W,2023-08-13,39
B0BPM6K84W,2023-08-20,41
B0BPM6K84W,2023-08-27,43
B0BPM6K84W,2023-09-03,44
B0BPM6K84W,2023-09-10,29
B0BPM6K84W,2023-09-17,28
B0BPM6K84W,2023-09-24,33
B0BPM6K84W,2023-10-01,35
B0BPM6K84W,2023-10-08,31
B0BPM6K84W,2023-10-15,63
B0BPM6K84W,2023-10-22,70
B0BPM6K84W,2023-10-29,57
B0BPM6K84W,2023-11-05,55
B0BPM6K84W,2023-11-12,28
B0BPM6K84W,2023-11-19,26
B0BPM6K84W,2023-11-26,79
B0BPM6K84W,2023-12-03,144
B0BPM6K84W,2023-12-10,121
B0BPM6K84W,2023-12-17,122
B0BPM6K84W,2023-12-24,118
B0BPM6K84W,2023-12-31,81
B0BPM6K84W,2024-01-07,206
B0BPM6K84W,2024-01-14,178
B0BPM6K84W,2024-01-21,173
B0BPM6K84W,2024-01-28,266
B0BPM6K84W,2024-02-04,344
B0BPM6K84W,2024-02-11,420
B0BPM6K84W,2024-02-18,338
B0BPM6K84W,2024-02-25,216
B0BPM6K84W,2024-03-03,456
B0BPM6K84W,2024-03-10,1219
B0BPM6K84W,2024-03-17,490
B0BPM6K84W,2024-03-24,438
B0BPM6K84W,2024-03-31,402
B0BPM6K84W,2024-04-07,524
