date,f_cap,f_aut,f_pri,f_siz
2023/1/1,60,28,59,38
2023/1/2,60,54,78,42
2023/1/3,57,69,67,40
2023/1/4,73,51,57,40
2023/1/5,67,41,52,45
2023/1/6,43,42,54,49
2023/1/7,82,70,59,68
2023/1/8,64,66,74,64
2023/1/9,90,53,65,56
2023/1/10,50,41,48,47
2023/1/11,70,40,48,44
2023/1/12,60,28,39,43
2023/1/13,51,49,49,48
2023/1/14,67,72,57,60
2023/1/15,79,50,76,66
2023/1/16,64,59,49,58
2023/1/17,56,39,46,45
2023/1/18,57,34,50,50
2023/1/19,53,48,42,51
2023/1/20,58,58,40,43
2023/1/21,78,30,65,65
2023/1/22,73,41,63,67
2023/1/23,81,49,35,48
2023/1/24,73,35,44,50
2023/1/25,66,32,36,61
2023/1/26,55,48,60,54
2023/1/27,52,50,56,47
2023/1/28,82,49,65,76
2023/1/29,88,44,70,78
2023/1/30,56,52,52,55
2023/1/31,69,48,61,42
2023/2/1,68,32,49,47
2023/2/2,74,48,48,51
2023/2/3,65,46,61,57
2023/2/4,82,61,73,67
2023/2/5,95,82,69,70
2023/2/6,70,38,64,65
2023/2/7,67,43,60,66
2023/2/8,57,40,44,42
2023/2/9,67,35,54,57
2023/2/10,70,38,63,46
2023/2/11,90,55,75,74
2023/2/12,94,72,73,74
2023/2/13,61,58,65,62
2023/2/14,64,43,58,48
2023/2/15,56,42,47,57
2023/2/16,59,54,42,49
2023/2/17,59,20,54,52
2023/2/18,88,47,59,68
2023/2/19,92,75,88,78
2023/2/20,64,51,67,45
2023/2/21,68,40,56,53
2023/2/22,66,44,68,56
2023/2/23,95,66,100,100
2023/2/24,65,26,55,62
2023/2/25,97,45,66,95
2023/2/26,84,66,84,62
2023/2/27,69,51,55,82
2023/2/28,66,38,53,66
2023/3/1,66,32,50,63
2023/3/2,72,27,50,55
2023/3/3,71,31,52,46
2023/3/4,93,77,66,76
2023/3/5,100,75,83,71
2023/3/6,59,44,44,62
2023/3/7,65,29,52,72
2023/3/8,68,33,59,53
2023/3/9,68,45,49,53
2023/3/10,64,43,40,43
2023/3/11,81,57,65,84
2023/3/12,82,39,59,73
2023/3/13,66,34,43,54
2023/3/14,65,26,43,52
2023/3/15,65,46,43,58
2023/3/16,60,39,46,66
2023/3/17,52,38,52,47
2023/3/18,75,44,58,89
2023/3/19,83,54,59,78
2023/3/20,55,50,60,65
2023/3/21,76,43,55,68
2023/3/22,64,35,53,43
2023/3/23,71,47,58,50
2023/3/24,56,36,49,54
2023/3/25,75,33,60,74
2023/3/26,81,68,60,80
2023/3/27,66,45,53,61
2023/3/28,62,31,52,56
2023/3/29,57,57,45,63
2023/3/30,69,54,37,49
2023/3/31,51,42,36,60
2023/4/1,70,52,61,89
2023/4/2,83,53,60,82
2023/4/3,55,22,30,50
2023/4/4,54,40,60,50
2023/4/5,54,46,28,31
2023/4/6,49,40,40,44
2023/4/7,53,37,36,52
2023/4/8,57,66,59,61
2023/4/9,63,55,49,53
2023/4/10,43,50,53,48
2023/4/11,56,32,33,53
2023/4/12,42,38,50,36
2023/4/13,60,26,34,42
2023/4/14,34,44,40,44
2023/4/15,63,70,59,62
2023/4/16,61,55,72,75
2023/4/17,46,59,35,50
2023/4/18,51,52,37,37
2023/4/19,25,30,35,34
2023/4/20,45,36,60,54
2023/4/21,45,40,44,37
2023/4/22,55,57,54,49
2023/4/23,54,63,51,56
2023/4/24,59,39,48,48
2023/4/25,50,42,35,32
2023/4/26,35,36,45,45
2023/4/27,35,35,38,48
2023/4/28,40,38,32,36
2023/4/29,56,53,46,59
2023/4/30,60,52,41,56
2023/5/1,52,38,39,54
2023/5/2,36,34,38,48
2023/5/3,37,62,47,42
2023/5/4,57,44,42,46
2023/5/5,44,42,51,35
2023/5/6,44,47,41,51
2023/5/7,55,65,45,54
2023/5/8,47,43,40,55
2023/5/9,52,41,47,40
2023/5/10,45,41,31,34
2023/5/11,46,29,34,39
2023/5/12,41,28,35,44
2023/5/13,59,27,48,56
2023/5/14,61,64,59,52
2023/5/15,54,39,47,40
2023/5/16,47,39,32,39
2023/5/17,50,38,48,32
2023/5/18,40,39,35,43
2023/5/19,39,45,29,32
2023/5/20,47,48,53,44
2023/5/21,55,49,45,56
2023/5/22,32,50,42,48
2023/5/23,42,38,36,40
2023/5/24,48,33,37,42
2023/5/25,47,51,48,44
2023/5/26,34,35,30,36
2023/5/27,53,54,44,57
2023/5/28,53,54,65,56
2023/5/29,49,39,43,44
2023/5/30,46,43,46,49
2023/5/31,38,44,48,35
2023/6/1,50,41,40,33
2023/6/2,34,33,39,39
2023/6/3,49,62,65,72
2023/6/4,55,100,62,64
2023/6/5,61,57,46,41
2023/6/6,38,51,44,50
2023/6/7,62,47,47,43
2023/6/8,37,64,34,36
2023/6/9,47,35,43,41
2023/6/10,39,33,42,55
2023/6/11,57,65,51,58
2023/6/12,45,39,55,45
2023/6/13,58,39,54,46
2023/6/14,43,45,42,40
2023/6/15,56,44,47,41
2023/6/16,43,38,32,36
2023/6/17,53,46,59,68
2023/6/18,59,69,53,47
2023/6/19,46,32,47,52
2023/6/20,56,40,50,47
2023/6/21,50,47,35,43
2023/6/22,43,45,37,48
2023/6/23,30,20,29,58
2023/6/24,56,55,46,52
2023/6/25,64,73,55,66
2023/6/26,44,53,46,48
2023/6/27,53,29,41,36
2023/6/28,42,49,30,36
2023/6/29,51,35,47,38
2023/6/30,39,35,44,29
2023/7/1,62,60,46,76
2023/7/2,68,61,65,68
2023/7/3,55,31,55,48
2023/7/4,47,51,43,45
2023/7/5,55,52,47,44
2023/7/6,39,57,54,40
2023/7/7,45,34,43,51
2023/7/8,52,53,71,56
2023/7/9,53,92,60,61
2023/7/10,45,82,44,52
2023/7/11,51,90,46,40
2023/7/12,30,72,25,37
2023/7/13,34,45,48,39
2023/7/14,40,27,42,47
2023/7/15,50,46,61,68
2023/7/16,54,44,51,54
2023/7/17,55,59,51,59
2023/7/18,44,46,48,57
2023/7/19,41,55,46,35
2023/7/20,46,39,39,42
2023/7/21,39,55,41,42
2023/7/22,57,46,46,57
2023/7/23,39,71,44,45
2023/7/24,38,35,40,48
2023/7/25,41,57,44,39
2023/7/26,31,59,44,25
2023/7/27,34,33,37,43
2023/7/28,34,49,37,40
2023/7/29,50,48,55,60
2023/7/30,45,38,45,52
2023/7/31,46,37,32,49
2023/8/1,40,60,48,48
2023/8/2,36,59,33,30
2023/8/3,30,36,38,44
2023/8/4,34,38,37,39
2023/8/5,45,48,53,40
2023/8/6,42,62,47,58
2023/8/7,25,44,35,44
2023/8/8,36,44,38,48
2023/8/9,32,33,27,37
2023/8/10,35,68,48,41
2023/8/11,66,48,52,62
2023/8/12,46,51,34,47
2023/8/13,42,52,50,36
2023/8/14,42,45,30,36
2023/8/15,47,0,42,44
2023/8/16,40,28,54,44
2023/8/17,33,31,47,50
2023/8/18,36,38,44,45
2023/8/19,54,51,60,68
2023/8/20,60,66,74,65
2023/8/21,30,44,49,49
2023/8/22,51,40,38,38
2023/8/23,38,47,38,40
2023/8/24,43,36,53,44
2023/8/25,36,50,46,41
2023/8/26,45,61,56,45
2023/8/27,72,41,59,62
2023/8/28,51,41,43,50
2023/8/29,48,60,52,38
2023/8/30,45,50,52,47
2023/8/31,48,52,44,38
2023/9/1,54,55,60,38
2023/9/2,63,53,66,54
2023/9/3,60,65,99,65
2023/9/4,54,55,71,55
2023/9/5,53,44,64,35
2023/9/6,51,51,70,47
2023/9/7,43,42,39,49
2023/9/8,47,40,56,38
2023/9/9,39,40,72,51
2023/9/10,59,68,72,71
2023/9/11,45,51,55,40
2023/9/12,48,55,46,43
2023/9/13,50,41,46,39
2023/9/14,48,36,64,48
2023/9/15,46,41,62,49
2023/9/16,56,53,79,62
2023/9/17,61,56,78,47
2023/9/18,60,60,88,62
2023/9/19,56,48,55,53
2023/9/20,52,68,70,54
2023/9/21,47,45,58,47
2023/9/22,49,36,61,46
2023/9/23,68,52,75,55
2023/9/24,65,61,84,59
2023/9/25,56,39,61,64
2023/9/26,51,51,67,42
2023/9/27,41,44,51,37
2023/9/28,44,40,63,51
2023/9/29,37,35,47,40
2023/9/30,44,59,61,57
2023/10/1,71,60,79,59
2023/10/2,45,49,55,37
2023/10/3,36,44,51,43
2023/10/4,53,37,52,37
2023/10/5,47,52,56,48
2023/10/6,54,29,57,37
2023/10/7,48,42,59,64
2023/10/8,70,62,58,51
2023/10/9,49,55,57,63
2023/10/10,51,53,50,37
2023/10/11,49,43,81,41
2023/10/12,64,57,59,48
2023/10/13,38,41,74,44
2023/10/14,67,96,75,67
2023/10/15,63,83,86,71
2023/10/16,53,32,65,51
2023/10/17,40,47,47,45
2023/10/18,50,59,57,38
2023/10/19,46,27,52,28
2023/10/20,41,39,53,45
2023/10/21,40,42,63,59
2023/10/22,63,62,82,52
2023/10/23,58,48,61,60
2023/10/24,51,39,48,48
2023/10/25,46,41,44,45
2023/10/26,72,31,78,58
2023/10/27,48,47,56,39
2023/10/28,60,65,69,61
2023/10/29,57,53,75,56
2023/10/30,47,31,47,30
2023/10/31,48,54,32,47
2023/11/1,47,49,45,53
2023/11/2,49,30,42,18
2023/11/3,52,54,62,52
2023/11/4,54,55,75,53
2023/11/5,64,56,72,53
2023/11/6,57,43,87,62
2023/11/7,32,37,40,44
2023/11/8,50,44,57,40
2023/11/9,65,40,43,42
2023/11/10,50,41,65,42
2023/11/11,61,61,54,57
2023/11/12,77,53,81,53
2023/11/13,47,43,64,49
2023/11/14,73,53,61,54
2023/11/15,46,46,59,38
2023/11/16,47,36,52,49
2023/11/17,46,29,52,29
2023/11/18,70,62,71,56
2023/11/19,79,57,97,59
2023/11/20,61,41,66,58
2023/11/21,61,60,60,51
2023/11/22,51,59,67,50
2023/11/23,59,81,65,77
2023/11/24,54,73,76,64
2023/11/25,69,100,68,64
2023/11/26,74,64,77,67
2023/11/27,58,29,76,62
2023/11/28,55,64,68,51
2023/11/29,49,31,54,65
2023/11/30,53,48,54,32
2023/12/1,37,74,52,53
2023/12/2,72,59,91,64
2023/12/3,68,72,82,70
2023/12/4,52,57,71,42
2023/12/5,42,44,66,47
2023/12/6,60,59,73,54
2023/12/7,40,37,53,38
2023/12/8,51,37,50,46
2023/12/9,73,66,94,65
2023/12/10,69,74,86,53
2023/12/11,62,49,72,45
2023/12/12,66,44,72,40
2023/12/13,48,47,51,49
2023/12/14,57,40,58,54
2023/12/15,40,46,43,47
2023/12/16,61,71,78,63
2023/12/17,77,58,82,71
2023/12/18,43,47,58,76
2023/12/19,42,56,48,41
2023/12/20,48,45,51,44
2023/12/21,44,30,50,43
2023/12/22,37,43,54,52
2023/12/23,57,39,75,51
2023/12/24,48,49,64,51
2023/12/25,68,42,51,45
2023/12/26,66,32,65,45
2023/12/27,61,37,49,42
2023/12/28,44,39,58,38
2023/12/29,55,70,51,41
2023/12/30,57,39,76,45
2023/12/31,36,33,74,34
2024/1/1,48,29,86,48
2024/1/2,58,51,92,49
2024/1/3,85,75,88,52
2024/1/4,65,67,84,46
2024/1/5,52,41,64,53
