asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B007410K80,2023/1/1,150691,14,17,26,23,77
B007410K80,2023/1/8,38955,15,18,25,24,75
B007410K80,2023/1/15,47658,14,16,25,24,75
B007410K80,2023/1/22,53862,13,15,26,23,71
B007410K80,2023/1/29,39856,15,18,27,27,73
B007410K80,2023/2/5,132791,15,18,30,24,78
B007410K80,2023/2/12,227277,15,16,27,25,79
B007410K80,2023/2/19,271240,14,18,29,25,99
B007410K80,2023/2/26,27574,14,18,27,23,84
B007410K80,2023/3/5,71337,16,20,25,23,87
B007410K80,2023/3/12,31494,14,17,25,23,83
B007410K80,2023/3/19,23330,15,19,27,23,76
B007410K80,2023/3/26,16760,16,17,24,23,83
B007410K80,2023/4/2,33254,15,17,23,22,82
B007410K80,2023/4/9,25346,13,17,24,23,82
B007410K80,2023/4/16,127420,16,17,28,23,84
B007410K80,2023/4/23,19530,15,16,25,22,85
B007410K80,2023/4/30,30146,15,17,26,23,89
B007410K80,2023/5/7,104323,16,16,31,27,80
B007410K80,2023/5/14,31325,16,18,27,22,83
B007410K80,2023/5/21,187465,15,19,26,24,88
B007410K80,2023/5/28,32760,14,18,23,22,81
B007410K80,2023/6/4,34952,16,17,24,22,83
B007410K80,2023/6/11,44852,18,16,26,27,74
B007410K80,2023/6/18,66474,17,16,26,23,75
B007410K80,2023/6/25,84340,14,15,22,24,74
B007410K80,2023/7/2,217374,15,15,23,24,70
B007410K80,2023/7/9,60271,15,17,24,24,76
B007410K80,2023/7/16,39915,15,16,23,23,73
B007410K80,2023/7/23,73801,14,15,23,25,74
B007410K80,2023/7/30,21914,14,16,24,26,79
B007410K80,2023/8/6,11742,14,15,23,24,76
B007410K80,2023/8/13,30095,16,16,22,23,74
B007410K80,2023/8/20,163242,14,15,22,25,75
B007410K80,2023/8/27,230861,16,19,25,26,85
B007410K80,2023/9/3,272993,14,18,25,25,79
B007410K80,2023/9/10,29673,15,27,34,32,100
B007410K80,2023/9/17,201868,16,24,35,33,87
B007410K80,2023/9/24,39728,16,27,34,31,91
B007410K80,2023/10/1,28737,16,23,30,31,94
B007410K80,2023/10/8,30308,16,24,33,27,88
B007410K80,2023/10/15,49994,15,22,26,27,85
B007410K80,2023/10/22,210311,16,22,28,28,89
B007410K80,2023/10/29,272785,16,21,29,27,90
B007410K80,2023/11/5,40609,16,21,28,26,94
B007410K80,2023/11/12,119469,13,19,26,25,81
B007410K80,2023/11/19,30752,15,18,26,26,83
B007410K80,2023/11/26,293957,16,20,26,28,87
B007410K80,2023/12/3,30911,15,19,26,27,83
B007410K80,2023/12/10,24909,15,18,28,28,79
B007410K80,2023/12/17,47009,14,18,23,25,72
B007410K80,2023/12/24,32722,12,16,23,21,66
B007410K80,2023/12/31,35733,15,18,24,22,72
B007410K80,2024/1/7,31760,16,18,24,25,72
B007410K80,2024/1/14,100150,15,20,23,25,76
B007410K80,2024/1/21,269455,14,17,23,26,79
B007410K80,2024/1/28,46276,14,19,25,26,82
B007410K80,2024/2/4,120475,15,18,24,27,81
B007410K80,2024/2/11,269637,15,21,25,25,84
B007410K80,2024/2/18,314458,15,20,26,26,88
B007410K80,2024/2/25,33642,15,20,24,27,77
B007410K80,2024/3/3,41459,15,22,26,26,84
B007410K80,2024/3/10,224702,16,21,25,27,91
B007410K80,2024/3/17,313300,15,21,27,27,91
B007410K80,2024/3/24,345202,15,19,24,24,90
B007410K80,2024/3/31,367850,14,19,24,23,86
B007410K80,2024/4/7,44859,16,20,22,25,92
B007410K80,2024/4/14,187878,18,19,23,28,94
B007410K80,2024/4/21,326052,15,20,24,26,90
B007410K80,2024/4/28,357196,17,21,25,26,98
B007410K80,2024/5/5,34521,16,21,24,28,95
B007410K80,2024/5/12,48864,17,22,26,26,94
B007410K80,2024/5/19,244122,19,20,28,26,96
B007410K80,2024/5/26,88531,15,19,24,26,89
B007410K80,2024/6/2,30586,15,19,23,26,89
B007410K80,2024/6/9,38295,16,17,22,25,84
B007410K80,2024/6/16,47185,15,16,23,26,85
B007410K80,2024/6/23,28370,15,16,23,27,76
B007410K80,2024/6/30,35561,16,15,23,27,81
B007410K80,2024/7/7,27567,14,15,21,23,78
B007410K80,2024/7/14,58660,16,15,21,25,85
B007410K80,2024/7/21,233373,14,16,20,25,74
B007410K80,2024/7/28,40617,13,15,21,23,73
B007410K80,2024/8/4,182353,15,14,19,22,74
B007410K80,2024/8/11,32247,13,16,22,23,76
B007410K80,2024/8/18,138732,16,16,22,24,79
B007410K80,2024/8/25,57833,15,14,22,25,74
B007410K80,2024/9/1,53711,16,16,22,25,77
B007410K80,2024/9/8,28878,17,24,30,28,85
B007410K80,2024/9/15,42835,16,23,27,28,89
B007410K80,2024/9/22,42835,15,24,28,27,85
B007410K80,2024/9/29,43022,15,21,24,25,85
B007410K80,2024/10/6,50742,14,22,24,27,87
B007410K80,2024/10/13,120012,16,23,25,27,95
