asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B01ALAZOOK,2023/1/1,28727,14,17,26,23,77
B01ALAZOOK,2023/1/8,31601,15,18,25,24,75
B01ALAZOOK,2023/1/15,17838,14,16,25,24,75
B01ALAZOOK,2023/1/22,29215,13,15,26,23,71
B01ALAZOOK,2023/1/29,28958,15,18,27,27,73
B01ALAZOOK,2023/2/5,33200,15,18,30,24,78
B01ALAZOOK,2023/2/12,13521,15,16,27,25,79
B01ALAZOOK,2023/2/19,14452,14,18,29,25,99
B01ALAZOOK,2023/2/26,12400,14,18,27,23,84
B01ALAZOOK,2023/3/5,26230,16,20,25,23,87
B01ALAZOOK,2023/3/12,17547,14,17,25,23,83
B01ALAZOOK,2023/3/19,15759,15,19,27,23,76
B01ALAZOOK,2023/3/26,24647,16,17,24,23,83
B01ALAZOOK,2023/4/2,21946,15,17,23,22,82
B01ALAZOOK,2023/4/9,40905,13,17,24,23,82
B01ALAZOOK,2023/4/16,33596,16,17,28,23,84
B01ALAZOOK,2023/4/23,15352,15,16,25,22,85
B01ALAZOOK,2023/4/30,16727,15,17,26,23,89
B01ALAZOOK,2023/5/7,44124,16,16,31,27,80
B01ALAZOOK,2023/5/14,28087,16,18,27,22,83
B01ALAZOOK,2023/5/21,21092,15,19,26,24,88
B01ALAZOOK,2023/5/28,20543,14,18,23,22,81
B01ALAZOOK,2023/6/4,20383,16,17,24,22,83
B01ALAZOOK,2023/6/11,36415,18,16,26,27,74
B01ALAZOOK,2023/6/18,40276,17,16,26,23,75
B01ALAZOOK,2023/6/25,43737,14,15,22,24,74
B01ALAZOOK,2023/7/2,51676,15,15,23,24,70
B01ALAZOOK,2023/7/9,18234,15,17,24,24,76
B01ALAZOOK,2023/7/16,32967,15,16,23,23,73
B01ALAZOOK,2023/7/23,46033,14,15,23,25,74
B01ALAZOOK,2023/7/30,24669,14,16,24,26,79
B01ALAZOOK,2023/8/6,27904,14,15,23,24,76
B01ALAZOOK,2023/8/13,37369,16,16,22,23,74
B01ALAZOOK,2023/8/20,30469,14,15,22,25,75
B01ALAZOOK,2023/8/27,22026,16,19,25,26,85
B01ALAZOOK,2023/9/3,50656,14,18,25,25,79
B01ALAZOOK,2023/9/10,42808,15,27,34,32,100
B01ALAZOOK,2023/9/17,48398,16,24,35,33,87
B01ALAZOOK,2023/9/24,35587,16,27,34,31,91
B01ALAZOOK,2023/10/1,55362,16,23,30,31,94
B01ALAZOOK,2023/10/8,35198,16,24,33,27,88
B01ALAZOOK,2023/10/15,23176,15,22,26,27,85
B01ALAZOOK,2023/10/22,24920,16,22,28,28,89
B01ALAZOOK,2023/10/29,42497,16,21,29,27,90
B01ALAZOOK,2023/11/5,18500,16,21,28,26,94
B01ALAZOOK,2023/11/12,18553,13,19,26,25,81
B01ALAZOOK,2023/11/19,23955,15,18,26,26,83
B01ALAZOOK,2023/11/26,58131,16,20,26,28,87
B01ALAZOOK,2023/12/3,42350,15,19,26,27,83
B01ALAZOOK,2023/12/10,28830,15,18,28,28,79
B01ALAZOOK,2023/12/17,18372,14,18,23,25,72
B01ALAZOOK,2023/12/24,12969,12,16,23,21,66
B01ALAZOOK,2023/12/31,41272,15,18,24,22,72
B01ALAZOOK,2024/1/7,19293,16,18,24,25,72
B01ALAZOOK,2024/1/14,15516,15,20,23,25,76
B01ALAZOOK,2024/1/21,36916,14,17,23,26,79
B01ALAZOOK,2024/1/28,25170,14,19,25,26,82
B01ALAZOOK,2024/2/4,61610,15,18,24,27,81
B01ALAZOOK,2024/2/11,41499,15,21,25,25,84
B01ALAZOOK,2024/2/18,18625,15,20,26,26,88
B01ALAZOOK,2024/2/25,90100,15,20,24,27,77
B01ALAZOOK,2024/3/3,30362,15,22,26,26,84
