asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B072J97HT1,2023/1/1,28964,14,17,26,23,77
B072J97HT1,2023/1/8,32296,15,18,25,24,75
B072J97HT1,2023/1/15,13569,14,16,25,24,75
B072J97HT1,2023/1/22,47395,13,15,26,23,71
B072J97HT1,2023/1/29,19808,15,18,27,27,73
B072J97HT1,2023/2/5,113133,15,18,30,24,78
B072J97HT1,2023/2/12,38142,15,16,27,25,79
B072J97HT1,2023/2/19,45134,14,18,29,25,99
B072J97HT1,2023/2/26,19919,14,18,27,23,84
B072J97HT1,2023/3/5,21427,16,20,25,23,87
B072J97HT1,2023/3/12,15687,14,17,25,23,83
B072J97HT1,2023/3/19,17081,15,19,27,23,76
B072J97HT1,2023/3/26,23327,16,17,24,23,83
B072J97HT1,2023/4/2,9007,15,17,23,22,82
B072J97HT1,2023/4/9,18702,13,17,24,23,82
B072J97HT1,2023/4/16,22407,16,17,28,23,84
B072J97HT1,2023/4/23,28228,15,16,25,22,85
B072J97HT1,2023/4/30,22136,15,17,26,23,89
B072J97HT1,2023/5/7,32053,16,16,31,27,80
B072J97HT1,2023/5/14,28459,16,18,27,22,83
B072J97HT1,2023/5/21,26684,15,19,26,24,88
B072J97HT1,2023/5/28,60653,14,18,23,22,81
B072J97HT1,2023/6/4,36543,16,17,24,22,83
B072J97HT1,2023/6/11,89713,18,16,26,27,74
B072J97HT1,2023/6/18,24083,17,16,26,23,75
B072J97HT1,2023/6/25,17718,14,15,22,24,74
B072J97HT1,2023/7/2,25750,15,15,23,24,70
B072J97HT1,2023/7/9,35861,15,17,24,24,76
B072J97HT1,2023/7/16,38400,15,16,23,23,73
B072J97HT1,2023/7/23,99386,14,15,23,25,74
B072J97HT1,2023/7/30,53840,14,16,24,26,79
B072J97HT1,2023/8/6,30552,14,15,23,24,76
B072J97HT1,2023/8/13,104003,16,16,22,23,74
B072J97HT1,2023/8/20,19165,14,15,22,25,75
B072J97HT1,2023/8/27,12843,16,19,25,26,85
B072J97HT1,2023/9/3,29906,14,18,25,25,79
B072J97HT1,2023/9/10,37086,15,27,34,32,100
B072J97HT1,2023/9/17,31711,16,24,35,33,87
B072J97HT1,2023/9/24,24797,16,27,34,31,91
B072J97HT1,2023/10/1,28334,16,23,30,31,94
B072J97HT1,2023/10/8,20869,16,24,33,27,88
B072J97HT1,2023/10/15,31296,15,22,26,27,85
B072J97HT1,2023/10/22,65081,16,22,28,28,89
B072J97HT1,2023/10/29,51573,16,21,29,27,90
B072J97HT1,2023/11/5,22750,16,21,28,26,94
B072J97HT1,2023/11/12,18645,13,19,26,25,81
B072J97HT1,2023/11/19,22566,15,18,26,26,83
B072J97HT1,2023/11/26,27079,16,20,26,28,87
B072J97HT1,2023/12/3,28419,15,19,26,27,83
B072J97HT1,2023/12/10,29796,15,18,28,28,79
B072J97HT1,2023/12/17,23336,14,18,23,25,72
B072J97HT1,2023/12/24,37636,12,16,23,21,66
B072J97HT1,2023/12/31,144088,15,18,24,22,72
B072J97HT1,2024/1/7,32701,16,18,24,25,72
B072J97HT1,2024/1/14,23860,15,20,23,25,76
B072J97HT1,2024/1/21,22525,14,17,23,26,79
B072J97HT1,2024/1/28,111182,14,19,25,26,82
B072J97HT1,2024/2/4,48929,15,18,24,27,81
B072J97HT1,2024/2/11,40277,15,21,25,25,84
B072J97HT1,2024/2/18,20374,15,20,26,26,88
B072J97HT1,2024/2/25,108829,15,20,24,27,77
B072J97HT1,2024/3/3,175784,15,22,26,26,84
B072J97HT1,2024/3/10,32286,16,21,25,27,91
B072J97HT1,2024/3/17,163106,15,21,27,27,91
B072J97HT1,2024/3/24,19268,15,19,24,24,90
B072J97HT1,2024/3/31,22886,14,19,24,23,86
B072J97HT1,2024/4/7,17752,16,20,22,25,92
B072J97HT1,2024/4/14,21159,18,19,23,28,94
B072J97HT1,2024/4/21,40961,15,20,24,26,90
B072J97HT1,2024/4/28,40642,17,21,25,26,98
B072J97HT1,2024/5/5,17545,16,21,24,28,95
B072J97HT1,2024/5/12,55367,17,22,26,26,94
B072J97HT1,2024/5/19,27023,19,20,28,26,96
B072J97HT1,2024/5/26,23917,15,19,24,26,89
B072J97HT1,2024/6/2,27306,15,19,23,26,89
B072J97HT1,2024/6/9,24244,16,17,22,25,84
B072J97HT1,2024/6/16,20395,15,16,23,26,85
B072J97HT1,2024/6/23,18186,15,16,23,27,76
B072J97HT1,2024/6/30,25515,16,15,23,27,81
B072J97HT1,2024/7/7,21340,14,15,21,23,78
B072J97HT1,2024/7/14,36513,16,15,21,25,85
B072J97HT1,2024/7/21,31138,14,16,20,25,74
B072J97HT1,2024/7/28,135990,13,15,21,23,73
B072J97HT1,2024/8/4,34161,15,14,19,22,74
B072J97HT1,2024/8/11,33784,13,16,22,23,76
B072J97HT1,2024/8/18,26438,16,16,22,24,79
B072J97HT1,2024/8/25,52423,15,14,22,25,74
B072J97HT1,2024/9/1,49138,16,16,22,25,77
B072J97HT1,2024/9/8,66658,17,24,30,28,85
B072J97HT1,2024/9/15,31589,16,23,27,28,89
